,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.865B,1.865B,1.299B,566.20M,252.70M,36.50M,70.30M,,45.60M,-45.60M,359.50M,206.70M,45.60M,-45.60M,14.30M,-45.60M,175.40M,46.90M,128.50M,,,-0.40M,128.10M,123.41M,328.10M,107.10M,221.00M,0.67,,,,0.6453,0.67,0.67,,,,0.6453,0.67,189.80M,190.20M,0.12
2020-06,1.737B,1.737B,1.251B,486.70M,216.80M,38.20M,72.30M,,51.40M,-51.40M,327.30M,159.40M,51.40M,-51.40M,6.30M,-51.40M,114.30M,28.50M,85.80M,,,1.00M,86.80M,87.03M,265.80M,100.10M,165.70M,0.46,,,,0.4612,0.46,0.46,,,,0.4612,0.46,189.80M,190.20M,0.12
2020-03,1.930B,1.930B,1.351B,578.70M,243.40M,49.00M,69.00M,,53.30M,-53.30M,361.40M,217.30M,53.30M,-53.30M,-14.80M,-53.30M,149.20M,38.00M,111.20M,,,0.40M,111.60M,121.88M,280.70M,78.20M,202.50M,0.58,,,,0.6339,0.58,0.58,,,,0.6337,0.58,190.80M,191.40M,0.12
2019-12,2.368B,2.368B,1.694B,674.90M,323.70M,59.60M,65.50M,,58.30M,-58.30M,448.80M,226.10M,58.30M,-58.30M,6.90M,-58.30M,174.70M,37.70M,137.00M,,,-1.30M,135.70M,133.58M,298.50M,59.80M,233.00M,0.71,,,,0.699,0.71,0.71,,,,0.699,0.71,192.40M,192.60M,0.12
2019-09,2.002B,2.002B,1.402B,599.40M,292.20M,58.60M,79.50M,,57.70M,-57.70M,430.30M,169.10M,57.70M,-57.70M,1.90M,-57.70M,113.30M,22.70M,90.60M,,,0.50M,91.10M,93.02M,274.70M,103.70M,171.00M,0.48,,,,0.4901,0.48,0.48,,,,0.49,0.48,189.60M,191.50M,0.12
2019-06,2.236B,2.236B,1.622B,614.70M,290.90M,57.20M,66.00M,,58.50M,-58.50M,414.10M,200.60M,58.50M,-58.50M,2.10M,-58.50M,144.20M,41.50M,102.70M,,,1.40M,104.10M,104.96M,302.50M,99.80M,202.70M,0.58,,,,0.5848,0.58,0.54,,,,0.5445,0.54,177.30M,191.50M,0.12
2019-03,1.594B,1.594B,1.205B,389.00M,259.80M,34.50M,27.40M,,44.60M,-44.60M,321.70M,67.30M,44.60M,-44.60M,-8.20M,-44.60M,14.50M,18.50M,-4.00M,,,-0.50M,-4.50M,4.698M,115.00M,55.90M,59.10M,-0.04,,,,0.0359,-0.04,-0.04,,,,0.0359,-0.04,121.20M,121.20M,0.12
2018-12,1.118B,1.118B,820.80M,297.00M,168.00M,25.90M,9.70M,,36.30M,-36.30M,203.60M,93.40M,36.30M,-36.30M,0.40M,-36.30M,57.50M,22.70M,34.80M,,,-0.50M,34.30M,33.63M,120.10M,26.30M,93.80M,0.36,,,,0.3531,0.36,0.36,,,,0.3531,0.36,96.30M,96.80M,0.12
2018-09,1.078B,1.078B,775.80M,302.00M,146.80M,20.10M,9.90M,,23.70M,-23.70M,176.80M,125.20M,23.70M,-23.70M,1.20M,-23.70M,102.70M,16.60M,86.10M,,,1.60M,87.70M,90.63M,156.17M,29.77M,126.40M,0.91,,,,0.9405,0.91,0.91,,,,0.9404,0.91,96.20M,96.60M,0.12
2018-06,1.112B,1.112B,787.71M,323.97M,171.16M,19.39M,9.899M,,31.92M,-31.92M,200.44M,123.52M,31.92M,-31.92M,2.171M,-31.92M,93.77M,10.50M,83.27M,,,1.145M,84.42M,86.44M,151.07M,25.37M,125.69M,0.88,,,,0.9011,0.88,0.87,,,,0.8909,0.87,95.99M,96.58M,0.12
2018-03,1.056B,1.056B,745.30M,310.88M,147.20M,22.05M,10.35M,,20.28M,-20.28M,179.60M,131.28M,20.28M,-20.28M,2.586M,-20.28M,113.58M,26.12M,87.46M,,,0.909M,88.37M,89.16M,161.72M,27.85M,133.86M,0.92,,,,0.9283,0.92,0.92,,,,0.9282,0.92,95.81M,96.37M,0.12
2017-12,1.075B,1.075B,807.06M,268.43M,143.71M,23.69M,9.461M,,20.44M,-20.44M,176.86M,91.56M,20.44M,-20.44M,3.596M,-20.44M,74.72M,25.02M,49.70M,,,-0.71M,48.99M,49.92M,121.39M,26.23M,95.16M,0.51,,,,0.5196,0.51,0.51,,,,0.5196,0.51,96.51M,96.98M,0.12
2017-09,957.93M,957.93M,704.73M,253.20M,118.18M,24.71M,8.645M,,20.04M,-20.04M,151.54M,101.67M,20.04M,-20.04M,-0.443M,-20.04M,81.18M,12.75M,68.44M,,,-1.04M,67.40M,70.87M,127.14M,25.92M,101.22M,0.7,,,,0.7362,0.7,0.7,,,,0.736,0.7,95.71M,96.32M,0.12
