,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,128.50M,,,119.60M,-12.50M,107.10M,107.10M,,11.90M,,11.90M,-0.90M,38.10M,-19.10M,,,-36.10M,-18.00M,,229.50M,-31.10M,-9.70M,-40.80M,0.00,19.10M,-21.70M,-214.80M,-214.80M,,0.00,0.00,-22.80M,-22.80M,,0.30M,-237.30M,587.90M,-29.50M,0.90M,559.30M,,843.00M,-1.058B,0.00
2020-06,85.80M,,,117.90M,-17.80M,100.10M,100.10M,,-1.60M,,-1.60M,268.70M,-6.80M,-93.40M,,,-42.30M,126.20M,,310.50M,-34.30M,3.30M,-31.00M,-4.60M,,-35.60M,-284.00M,-284.00M,,0.00,0.00,-23.40M,-23.40M,,0.40M,-307.00M,615.90M,-32.10M,4.10M,587.90M,,1.112B,-1.396B,0.00
2020-03,111.20M,,,115.80M,-37.60M,78.20M,78.20M,,7.30M,,7.30M,-22.60M,-23.50M,-149.30M,,,-83.20M,-278.60M,,-81.90M,-33.30M,6.40M,-26.90M,-35.70M,,-62.60M,317.70M,317.70M,,-105.30M,-105.30M,-23.00M,-23.00M,,-5.90M,183.50M,604.20M,39.00M,-27.30M,615.90M,,981.50M,-663.80M,-105.30M
2019-12,137.00M,,,112.10M,-52.30M,59.80M,59.80M,,13.90M,,13.90M,26.00M,197.20M,-32.30M,,,57.60M,248.50M,,447.80M,-72.70M,3.90M,-68.80M,4.20M,-3.40M,-68.00M,-332.10M,-332.10M,,,,-23.50M,-23.50M,,-0.80M,-355.60M,587.40M,24.20M,-7.40M,604.20M,,1.027B,-1.359B,
2019-09,90.70M,,,124.20M,-20.50M,103.70M,103.70M,,12.20M,,12.20M,3.40M,-88.70M,-86.90M,,,89.50M,-82.70M,,123.90M,-50.70M,-3.10M,-53.80M,-19.00M,3.40M,-69.40M,117.10M,117.10M,,0.00,0.00,-23.90M,-23.90M,,-2.20M,91.00M,461.30M,145.50M,-19.30M,587.40M,,629.60M,-512.50M,0.00
2019-06,102.80M,,,109.20M,-9.40M,99.80M,99.80M,,15.40M,,15.40M,15.90M,72.10M,131.70M,,,-25.20M,194.50M,,412.50M,-32.20M,2.30M,-29.90M,-270.90M,,-300.80M,-125.00M,-125.00M,,0.00,0.00,-22.60M,-22.60M,,-9.30M,-156.90M,512.90M,-45.20M,-6.40M,461.30M,,589.40M,-714.40M,0.00
2019-03,-4.00M,,,55.90M,0.00,55.90M,55.90M,,8.50M,,8.50M,-51.60M,75.30M,-158.00M,,,105.20M,-29.10M,,31.30M,-29.70M,0.80M,-28.90M,-2.711B,,-2.740B,898.80M,898.80M,,0.00,0.00,-11.70M,-11.70M,,-4.10M,883.00M,2.342B,-1.825B,-4.20M,512.90M,,1.736B,-837.70M,0.00
2018-12,34.80M,-3.10M,-3.10M,26.30M,0.00,26.30M,26.30M,,4.80M,,4.80M,45.60M,16.60M,111.60M,,,45.40M,219.20M,,276.70M,-29.10M,2.20M,-26.90M,-2.10M,,-43.10M,3.10M,3.10M,,,,-11.60M,-11.60M,-3.10M,-5.60M,-17.20M,2.135B,216.40M,-9.50M,2.342B,,-9.50M,12.60M,
2018-09,86.17M,2.647M,2.647M,29.77M,0.00,29.77M,29.77M,,6.517M,,6.517M,-40.22M,-9.369M,-109.95M,,,4.531M,-155.01M,,-29.90M,-24.48M,0.20M,-24.28M,-10.82M,,-35.10M,1.978B,1.978B,,,,-11.60M,-11.60M,6.233M,-0.197M,1.973B,245.57M,1.908B,-17.70M,2.135B,,2.898B,-920.21M,
2018-06,83.27M,1.377M,1.377M,53.23M,0.00,25.37M,25.37M,,8.287M,,8.287M,6.368M,-65.38M,42.18M,,,-57.78M,-74.60M,,43.70M,-22.26M,1.002M,-21.26M,-3.98M,,-25.24M,5.233M,5.233M,,,,-11.56M,-11.56M,3.994M,-3.566M,-5.904M,249.89M,12.56M,-16.88M,245.57M,,285.28M,-280.05M,
