,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-09,629.90M,,629.90M,6.702B,437.20M,7.140B,516.20M,2.845B,,,11.20B,,,,,805.10M,,,805.10M,,805.10M,5.832B,2.195B,8.027B,,1.050B,732.50M,10.61B,21.81B,7.953B,,7.953B,,7.953B,193.00M,125.00M,318.00M,318.00M,465.80M,465.80M,,,10.12B,4.266B,292.50M,4.558B,,65.60M,65.60M,46.50M,1.256B,5.880B,16.00B,192.30M,2.317B,4.132B,-870.40M,5.772B
2020-06,349.70M,,349.70M,6.874B,377.40M,7.251B,436.70M,2.653B,,,10.76B,,,,,823.60M,,,823.60M,,823.60M,5.756B,2.226B,7.982B,,1.012B,727.70M,10.55B,21.31B,7.950B,,7.950B,,7.950B,103.60M,225.00M,328.60M,328.60M,453.30M,453.30M,,,9.864B,4.315B,307.90M,4.623B,,66.30M,66.30M,45.90M,1.218B,5.908B,15.77B,191.50M,2.228B,4.051B,-982.20M,5.489B
2020-03,352.80M,,352.80M,7.094B,364.80M,7.459B,377.60M,2.280B,,,10.53B,,,,,829.10M,,,829.10M,,829.10M,5.555B,2.247B,7.802B,,1.004B,674.40M,10.31B,20.84B,7.779B,,7.779B,,7.779B,122.60M,455.00M,577.60M,577.60M,423.30M,423.30M,,,9.838B,4.315B,319.40M,4.634B,,68.20M,68.20M,40.60M,1.226B,5.929B,15.77B,189.60M,2.161B,3.910B,-1.231B,5.030B
2019-12,604.80M,,604.80M,5.419B,472.50M,5.892B,503.60M,2.019B,,,9.118B,0.0,144.90M,,727.20M,412.50M,18.00M,150.20M,1.453B,-591.90M,860.90M,5.618B,2.319B,7.937B,,945.60M,773.60M,10.52B,19.63B,6.348B,,6.348B,,6.348B,170.60M,620.00M,790.60M,790.60M,434.10M,434.10M,,,8.921B,3.816B,340.90M,4.157B,,69.70M,69.70M,60.00M,1.272B,5.498B,14.42B,188.10M,1.901B,3.826B,-759.60M,5.156B
2019-09,578.90M,,578.90M,5.685B,514.80M,6.200B,457.50M,2.028B,,,9.329B,,,,,843.30M,,,843.30M,,843.30M,5.315B,2.074B,7.388B,,952.80M,660.80M,9.845B,19.17B,6.574B,,6.574B,,6.574B,170.10M,490.00M,660.10M,660.10M,421.20M,421.20M,,,8.911B,3.816B,335.30M,4.151B,,72.70M,72.70M,68.70M,1.127B,5.351B,14.26B,186.50M,1.884B,3.698B,-925.10M,4.843B
2019-06,512.30M,,512.30M,6.008B,485.90M,6.494B,442.40M,2.034B,,,9.547B,,,,,826.40M,,,826.40M,,826.40M,5.242B,2.009B,7.251B,,905.70M,670.10M,9.653B,19.20B,6.874B,,6.874B,,6.874B,137.30M,425.00M,562.30M,562.30M,429.00M,429.00M,,,8.932B,3.816B,327.40M,4.143B,,75.30M,75.30M,68.40M,1.102B,5.32B,14.25B,186.10M,1.839B,3.656B,-802.50M,4.879B
2019-03,871.50M,,871.50M,6.253B,420.30M,6.674B,400.10M,1.669B,,,9.670B,,,,,819.00M,,,819.00M,,819.00M,4.801B,1.841B,6.642B,,869.90M,630.70M,8.962B,18.63B,6.741B,,6.741B,,6.741B,134.80M,360.00M,494.80M,494.80M,402.10M,402.10M,,,8.638B,3.690B,329.90M,4.020B,,78.00M,78.00M,77.90M,937.10M,5.035B,13.67B,185.30M,1.810B,3.606B,-721.50M,4.880B
2018-12,607.20M,,607.20M,4.858B,508.40M,5.366B,424.40M,1.630B,,,8.119B,0.0,144.30M,,638.00M,12.40M,14.90M,132.10M,941.70M,-504.80M,436.90M,4.626B,1.773B,6.399B,,806.20M,573.60M,8.215B,16.33B,5.740B,,5.740B,,5.740B,154.00M,365.00M,519.00M,519.00M,379.30M,379.30M,,,7.694B,3.091B,0.00,3.091B,,78.40M,78.40M,70.80M,900.90M,4.071B,11.76B,184.00M,1.559B,3.542B,-785.60M,4.499B
2018-09,605.00M,,605.00M,4.872B,460.80M,5.333B,431.80M,1.656B,,,8.084B,,,,,,,,,,429.30M,4.501B,1.772B,6.273B,,743.40M,584.60M,8.031B,16.11B,5.694B,,5.694B,,5.694B,159.30M,230.00M,389.30M,389.30M,396.60M,396.60M,,,7.423B,3.141B,,3.141B,,76.10M,76.10M,68.20M,862.10M,4.079B,11.50B,183.70M,1.518B,3.517B,-673.40M,4.544B
2018-06,652.20M,,652.20M,5.142B,424.90M,5.567B,398.20M,1.692B,,,8.365B,,,,,,,,,,427.60M,4.404B,1.731B,6.135B,,716.30M,586.70M,7.866B,16.23B,5.983B,,5.983B,,5.983B,111.10M,235.00M,346.10M,346.10M,395.20M,395.20M,,,7.569B,3.141B,,3.141B,,76.60M,76.60M,69.50M,931.20M,4.149B,11.72B,182.60M,1.466B,3.446B,-651.40M,4.444B
2018-03,697.90M,,697.90M,5.675B,358.50M,6.034B,341.80M,1.411B,,,8.533B,,,,,,,,,,424.20M,4.236B,1.640B,5.876B,,708.40M,585.70M,7.594B,16.13B,6.071B,,6.071B,,6.071B,121.00M,360.00M,481.00M,481.00M,390.40M,390.40M,,,7.742B,2.792B,,2.792B,,74.80M,74.80M,69.90M,933.70M,3.801B,11.54B,182.10M,1.427B,3.405B,-499.50M,4.515B
2017-12,681.20M,,681.20M,4.083B,401.30M,4.484B,397.00M,1.624B,,,7.269B,0.0,143.60M,,580.70M,12.00M,20.10M,124.20M,880.60M,-468.40M,412.20M,4.165B,1.645B,5.809B,,851.60M,567.10M,7.640B,14.91B,4.986B,,4.986B,,4.986B,151.10M,290.00M,441.10M,441.10M,355.30M,355.30M,,,6.730B,2.692B,,2.692B,,75.30M,75.30M,64.10M,1.113B,3.880B,10.61B,181.00M,1.222B,3.388B,-555.40M,4.236B
2017-09,564.90M,,564.90M,2.227B,298.10M,2.525B,381.50M,1.616B,,,5.087B,,,,,,,,,,413.40M,4.160B,1.671B,5.832B,,918.40M,559.60M,7.723B,12.81B,3.508B,,3.508B,,3.508B,156.40M,125.00M,281.40M,281.40M,85.40M,85.40M,,61.80M,4.705B,2.742B,,2.742B,,,,62.20M,1.191B,3.933B,8.638B,180.80M,1.062B,3.366B,-498.90M,4.11B
2017-06,587.80M,,587.80M,2.374B,328.40M,2.703B,335.70M,1.481B,,,5.107B,,,,,,,,,,387.60M,3.989B,1.663B,5.652B,,861.90M,561.30M,7.462B,12.57B,3.546B,,3.546B,,3.546B,100.00M,368.00M,468.00M,468.00M,74.00M,74.00M,,58.50M,4.858B,2.645B,,2.645B,,,,65.30M,1.157B,3.802B,8.660B,180.20M,1.003B,3.324B,-661.90M,3.845B
