,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.716B,1.846B,1.234B,611.40M,,,36.50M,97.40M,-16.70M,48.10M,-48.10M,203.20M,337.10M,274.30M,48.10M,-48.10M,-16.70M,-48.10M,209.50M,21.70M,187.80M,,-11.20M,176.60M,191.56M,391.50M,133.90M,257.60M,0.92,,0.998,0.92,0.9,,0.9762,0.9,191.90M,196.30M,0.45
2020-06,1.463B,1.583B,1.009B,573.80M,,,34.40M,88.20M,-14.70M,50.00M,-50.00M,214.80M,337.40M,236.40M,50.00M,-50.00M,-14.70M,-50.00M,171.70M,9.90M,161.80M,,-8.10M,153.70M,167.55M,344.30M,122.60M,221.70M,0.81,,0.8827,0.81,0.79,,0.8613,0.79,190.50M,194.10M,0.45
2020-03,1.725B,1.867B,1.119B,747.40M,,,36.80M,135.60M,89.20M,50.50M,-50.50M,257.70M,430.10M,317.30M,50.50M,-50.50M,89.20M,-50.50M,356.00M,0.60M,355.40M,,-9.10M,346.30M,257.28M,578.90M,172.40M,406.50M,1.83,,1.358,1.83,1.79,,1.329,1.79,188.70M,193.20M,0.45
2019-12,1.586B,1.708B,1.176B,532.30M,,,36.00M,93.60M,9.70M,48.10M,-48.10M,280.30M,409.90M,122.40M,48.10M,-48.10M,9.70M,-48.10M,84.00M,-21.60M,105.60M,,-7.10M,98.50M,91.42M,261.70M,129.60M,132.10M,0.5257,,0.488,0.5257,0.51,,0.473,0.51,187.50M,191.60M,0.43
2019-09,1.71B,1.822B,1.271B,551.10M,,,35.10M,84.20M,-2.40M,46.60M,-46.60M,268.00M,387.30M,163.80M,46.60M,-46.60M,-2.40M,-46.60M,114.80M,-22.30M,137.10M,,-11.00M,126.10M,127.85M,280.70M,119.30M,161.40M,0.68,,0.6894,0.68,0.66,,0.6692,0.66,186.30M,190.70M,0.43
2019-06,1.546B,1.656B,1.131B,524.60M,,,35.30M,79.70M,-1.50M,44.90M,-44.90M,257.70M,372.70M,151.90M,44.90M,-44.90M,-1.50M,-44.90M,105.50M,-15.90M,121.40M,,-11.30M,110.10M,111.20M,265.40M,115.00M,150.40M,0.59,,0.5959,0.59,0.58,,0.5858,0.58,185.80M,189.80M,0.43
2019-03,1.796B,1.934B,1.253B,680.80M,,,34.00M,76.50M,54.20M,40.20M,-40.20M,262.50M,373.00M,307.80M,40.20M,-40.20M,54.20M,-40.20M,321.80M,-29.90M,351.70M,,-17.60M,334.10M,294.53M,472.50M,110.50M,362.00M,1.81,,1.5959999999999999,1.81,1.77,,1.56,1.77,184.50M,188.40M,0.43
2018-12,1.561B,1.657B,1.228B,428.40M,,,33.00M,76.80M,-1.80M,36.50M,-36.50M,237.10M,346.90M,81.50M,36.50M,-36.50M,-1.80M,-36.50M,43.20M,-84.60M,127.80M,,-10.50M,117.30M,118.61M,189.50M,109.80M,79.70M,0.6381,,0.6452,0.6381,0.63,,0.637,0.63,183.60M,187.70M,0.41
2018-09,1.671B,1.778B,1.312B,466.10M,,,33.40M,72.80M,-5.20M,36.70M,-36.70M,227.70M,333.90M,132.20M,36.70M,-36.70M,-5.20M,-36.70M,90.30M,-48.10M,138.40M,,-10.80M,127.60M,131.40M,233.20M,106.20M,127.00M,0.7,,0.7207,0.7,0.68,,0.7003,0.68,183.30M,186.80M,0.41
2018-06,1.548B,1.654B,1.202B,452.40M,,,30.80M,73.40M,12.10M,33.90M,-33.90M,222.80M,327.00M,125.40M,33.90M,-33.90M,12.10M,-33.90M,103.60M,-20.10M,123.70M,,-8.80M,114.90M,106.07M,241.70M,104.20M,137.50M,0.63,,0.5816,0.63,0.62,,0.5724,0.62,182.40M,185.50M,0.41
