,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.811B,983.86M,2.795B,1.144B,,,1.144B,16.24M,29.00M,470.98M,,516.22M,,,,550.59M,5.005B,0.0,17.81M,354.74M,5.579B,1.002B,109.02M,7.062B,-4.723B,2.339B,,27.47B,27.47B,148.25M,,1.140B,31.09B,36.10B,747.53M,747.53M,2.828B,3.576B,,,2.093B,,2.093B,861.84M,861.84M,,,6.530B,11.99B,73.06M,12.06B,3.636B,546.53M,4.182B,0.257M,633.95M,,16.88B,23.41B,5.259M,7.642B,5.045B,,,-1.583M,12.69B
2020-06,2.590B,40.20M,2.630B,531.83M,,,531.83M,17.59M,34.24M,263.53M,,315.37M,,,,631.36M,4.109B,0.0,17.81M,354.27M,5.575B,1.003B,95.42M,7.046B,-4.660B,2.385B,,26.43B,26.43B,147.86M,,424.67M,29.39B,33.50B,372.27M,372.27M,2.675B,3.047B,,,2.073B,,2.073B,659.50M,659.50M,,,5.780B,10.99B,77.71M,11.06B,2.992B,896.20M,3.888B,0.032M,605.82M,,15.56B,21.34B,5.246M,7.138B,5.019B,,,-2.664M,12.16B
2020-03,2.827B,560.72M,3.388B,544.11M,,,544.11M,20.91M,26.95M,281.52M,,329.39M,,,,381.03M,4.642B,0.0,17.81M,351.78M,5.586B,1.005B,67.95M,7.029B,-4.592B,2.436B,,26.01B,26.01B,161.72M,,424.86M,29.03B,33.67B,356.56M,356.56M,2.420B,2.776B,,,1.172B,,1.172B,683.06M,683.06M,,,4.631B,12.98B,82.90M,13.06B,2.900B,843.70M,3.743B,-0.186M,577.99M,,17.38B,22.01B,5.233M,6.685B,4.969B,,,0.198M,11.66B
2019-12,2.444B,416.70M,2.860B,588.36M,,,588.36M,33.62M,34.12M,255.16M,,322.90M,,,,243.50M,4.015B,0.0,17.81M,349.35M,5.727B,1.033B,278.08M,7.405B,-4.555B,2.851B,,25.79B,25.79B,160.07M,,415.69M,29.22B,33.23B,280.64M,280.64M,2.363B,2.643B,,,1.171B,,1.171B,681.48M,681.48M,,,4.496B,12.97B,84.80M,13.05B,2.871B,695.02M,3.566B,-0.449M,552.08M,,17.17B,21.67B,5.23M,6.612B,4.947B,,,-0.018M,11.56B
2019-09,1.403B,191.03M,1.594B,577.80M,,,577.80M,13.44M,41.83M,259.35M,,314.62M,,,,244.58M,2.731B,0.0,17.81M,347.92M,5.758B,1.041B,249.26M,7.414B,-4.504B,2.910B,,25.54B,25.54B,159.59M,,425.39M,29.04B,31.77B,317.69M,317.69M,2.385B,2.703B,,,1.173B,,1.173B,690.32M,690.32M,,,4.567B,12.96B,92.80M,13.05B,2.817B,636.72M,3.454B,-0.722M,528.20M,,17.04B,21.60B,4.93M,6.223B,3.942B,,,-0.252M,10.17B
2019-06,1.901B,831.32M,2.732B,584.12M,,,584.12M,15.37M,44.96M,270.81M,,331.14M,,,,270.22M,3.918B,0.0,13.19M,287.19M,4.662B,902.84M,187.11M,6.052B,-3.477B,2.575B,,25.24B,25.24B,163.79M,,390.78M,28.37B,32.28B,361.05M,361.05M,2.751B,3.112B,,,2.416B,,2.416B,667.19M,667.19M,,,6.196B,12.75B,455.92M,13.20B,2.589B,461.28M,3.050B,-1.066M,504.70M,,16.76B,22.95B,4.699M,5.870B,3.457B,,,0.149M,9.332B
2019-03,1.577B,816.38M,2.393B,581.68M,,,581.68M,16.95M,49.94M,242.36M,,309.25M,,,,308.23M,3.592B,0.0,13.19M,285.32M,4.661B,949.03M,126.19M,6.034B,-3.446B,2.589B,,24.98B,24.98B,161.65M,,367.72M,28.09B,31.69B,277.37M,277.37M,2.715B,2.992B,,,1.316B,,1.316B,646.38M,646.38M,,,4.955B,13.83B,491.84M,14.32B,2.529B,452.34M,2.981B,-1.335M,481.44M,,17.78B,22.74B,4.681M,5.553B,3.395B,,,-0.057M,8.953B
2018-12,887.35M,1.181B,2.069B,639.86M,,,639.86M,18.68M,56.87M,215.19M,,290.73M,,,,289.80M,3.289B,0.0,13.19M,290.65M,4.784B,499.82M,100.56M,5.689B,-3.760B,1.928B,,24.75B,24.75B,118.99M,,496.22M,27.30B,30.59B,233.75M,233.75M,2.545B,2.779B,,,1.342B,,1.342B,655.31M,655.31M,,,4.776B,13.81B,0.00,13.81B,2.475B,470.93M,2.946B,-1.499M,460.07M,,17.22B,21.99B,4.679M,5.213B,3.379B,,,-0.874M,8.596B
2018-09,1.230B,635.43M,1.865B,670.83M,,,670.83M,17.65M,55.91M,231.38M,,304.94M,,,,197.99M,3.039B,0.0,14.06M,294.53M,4.788B,499.82M,139.83M,5.736B,-3.746B,1.990B,,24.49B,24.49B,109.55M,,511.84M,27.10B,30.14B,269.52M,269.52M,2.555B,2.825B,,,1.367B,,1.367B,685.68M,685.68M,,,4.878B,13.79B,,13.79B,2.329B,457.48M,2.786B,-1.807M,440.17M,,17.02B,21.89B,4.676M,4.876B,3.365B,,,-0.537M,8.245B
2018-06,1.008B,547.00M,1.555B,641.89M,,,641.89M,14.40M,47.51M,267.60M,,329.51M,,,,217.53M,2.744B,0.0,14.06M,295.12M,4.859B,499.82M,116.70M,5.784B,-3.736B,2.048B,,24.24B,24.24B,115.87M,,504.85M,26.91B,29.65B,284.77M,284.77M,2.603B,2.888B,,,34.82M,,34.82M,709.05M,709.05M,,,3.632B,15.11B,,15.11B,2.217B,465.11M,2.682B,2.44M,420.58M,,18.21B,21.84B,4.675M,4.444B,3.354B,,,0.735M,7.804B
