,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.484B,1.518B,686.90M,830.70M,,,91.00M,94.80M,-94.80M,,309.00M,521.70M,94.80M,-94.80M,-11.30M,-94.80M,415.60M,50.00M,367.50M,,,-3.00M,,364.50M,363.00M,743.20M,232.80M,510.40M,,1.60,,,,1.593,1.60,,1.60,,,,1.593,1.60,,227.30M,227.50M,0.505,,AOR,
2020-06,1.143B,1.185B,600.50M,584.20M,,,90.90M,99.50M,-99.50M,,312.50M,271.70M,99.50M,-99.50M,-4.20M,-99.50M,168.00M,33.70M,136.30M,,,-2.90M,,133.40M,130.91M,503.70M,236.20M,267.50M,,0.59,,,,0.5791,0.59,,0.59,,,,0.5791,0.59,,227.20M,227.60M,0.505,,AOR,
2020-03,1.117B,1.117B,608.40M,508.30M,,,92.30M,96.20M,-96.20M,,310.80M,197.50M,96.20M,-96.20M,-21.20M,-96.20M,80.10M,10.10M,72.20M,,,-2.80M,,69.40M,70.10M,409.20M,232.90M,176.30M,,0.31,,,,0.3131,0.31,,0.31,,,,0.3131,0.31,,227.10M,227.50M,0.505,,AOR,
2019-12,1.202B,1.132B,660.10M,471.50M,,,89.10M,96.70M,-96.70M,,305.70M,165.80M,96.70M,-96.70M,-6.50M,-96.70M,62.60M,-2.20M,66.70M,,,-2.80M,,63.90M,61.42M,375.90M,-218.30M,159.30M,,0.31,,,,0.2991,0.31,,0.30,,,,0.2891,0.30,,227.50M,228.20M,0.505,,AOR,
2019-09,1.566B,1.578B,731.30M,846.30M,,,91.50M,90.80M,-90.80M,,307.60M,538.70M,90.80M,-90.80M,-15.10M,-90.80M,432.80M,65.50M,370.90M,,,-4.10M,,366.80M,365.27M,752.90M,229.30M,523.60M,,1.56,,,,1.553,1.56,,1.56,,,,1.553,1.56,,234.60M,235.00M,0.475,,AOR,Restated
2019-06,1.185B,1.222B,643.00M,578.70M,,,91.60M,95.40M,-95.40M,,307.00M,271.70M,95.40M,-95.40M,-9.40M,-95.40M,166.90M,24.40M,144.60M,,,-4.90M,,139.70M,137.48M,492.50M,230.20M,262.30M,,0.57,,,,0.5609,0.57,,0.57,,,,0.5609,0.57,,243.20M,243.40M,0.475,,AOR,Restated
2019-03,1.217B,1.217B,700.40M,516.50M,,,93.30M,91.10M,-91.10M,,306.90M,209.60M,91.10M,-91.10M,-8.00M,-91.10M,110.50M,9.30M,103.40M,,,-3.90M,,99.50M,96.56M,429.80M,228.20M,201.60M,,0.39,,,,0.3784,0.39,,0.39,,,,0.3784,0.39,,252.80M,253.00M,0.475,,AOR,Restated
2018-12,1.200B,1.200B,756.90M,442.90M,,,85.60M,88.30M,-88.30M,,292.80M,150.10M,88.30M,-88.30M,-10.70M,-88.30M,51.10M,30.70M,21.10M,,,-2.60M,,18.50M,16.60M,346.60M,-23.30M,139.40M,,-0.11,,,,-0.1172,-0.11,,-0.11,,,,-0.1172,-0.11,,261.90M,262.40M,0.475,,AOR,Restated
2018-09,1.582B,1.582B,772.50M,810.00M,,,83.00M,89.10M,-89.10M,,276.90M,533.10M,89.10M,-89.10M,-24.30M,-89.10M,419.70M,64.10M,357.60M,,,-2.60M,,355.00M,350.84M,717.60M,208.80M,508.80M,,1.32,,,,1.305,1.32,,1.32,,,,1.305,1.32,,268.60M,268.80M,0.46,,AOR,Restated
2018-06,893.40M,893.40M,581.90M,311.50M,,,56.60M,58.40M,-58.40M,,184.60M,126.90M,58.40M,-58.40M,-10.50M,-58.40M,58.00M,-45.00M,104.40M,,,-2.60M,,101.80M,100.63M,250.50M,134.10M,116.40M,,0.56,,,,0.5535,0.56,,0.56,,,,0.5535,0.56,,180.90M,181.00M,0.40,,AOR,Restated
2018-03,600.20M,600.20M,343.20M,257.00M,,,43.90M,43.80M,-43.80M,,133.50M,123.50M,43.80M,-43.80M,-9.00M,-43.80M,70.70M,9.20M,62.90M,,,-2.40M,,60.50M,60.85M,211.80M,97.30M,114.50M,,0.42,,,,0.4224,0.42,,0.42,,,,0.4224,0.42,,142.60M,142.70M,0.40,,AOR,Restated
