,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,794.00M,794.00M,268.00M,526.00M,192.00M,172.00M,,,11.00M,5.00M,-6.00M,,364.00M,162.00M,5.00M,11.00M,-6.00M,59.00M,-6.00M,215.00M,36.00M,179.00M,0.00,179.00M,179.00M,273.00M,47.00M,226.00M,1.22,,1.22,1.22,1.21,,1.21,1.21,146.00M,148.00M
2020-06,633.00M,633.00M,205.00M,428.00M,177.00M,155.00M,,,11.00M,7.00M,-4.00M,,332.00M,96.00M,7.00M,11.00M,-4.00M,73.00M,-4.00M,165.00M,118.00M,47.00M,0.00,47.00M,47.00M,222.00M,46.00M,176.00M,0.32,,0.32,0.32,0.32,,0.32,0.32,147.00M,148.00M
2020-03,859.00M,859.00M,240.00M,619.00M,274.00M,156.00M,,,11.00M,14.00M,3.00M,,430.00M,189.00M,14.00M,11.00M,3.00M,-14.00M,3.00M,178.00M,5.00M,173.00M,0.00,173.00M,173.00M,233.00M,44.00M,189.00M,1.18,,1.18,1.18,1.17,,1.17,1.17,147.00M,148.00M
2019-12,952.00M,952.00M,290.00M,662.00M,233.00M,161.00M,,,11.00M,16.00M,5.00M,,394.00M,268.00M,16.00M,11.00M,5.00M,-4.00M,5.00M,269.00M,30.00M,239.00M,0.00,239.00M,239.00M,325.00M,45.00M,280.00M,1.63,,1.63,1.63,1.61,,1.61,1.61,147.00M,149.00M
2019-09,907.00M,907.00M,259.00M,648.00M,189.00M,151.00M,,,11.00M,16.00M,5.00M,,340.00M,308.00M,16.00M,11.00M,5.00M,-43.00M,5.00M,270.00M,36.00M,234.00M,0.00,234.00M,234.00M,328.00M,47.00M,281.00M,1.59,,1.59,1.59,1.58,,1.58,1.58,147.00M,148.00M
2019-06,838.00M,838.00M,265.00M,573.00M,202.00M,166.00M,,,15.00M,20.00M,5.00M,,368.00M,205.00M,20.00M,15.00M,5.00M,136.00M,5.00M,346.00M,53.00M,293.00M,3.00M,296.00M,296.00M,410.00M,49.00M,361.00M,2.01,,2.01,2.01,1.99,,1.99,1.99,147.00M,149.00M
2019-03,846.00M,846.00M,262.00M,584.00M,211.00M,169.00M,,,15.00M,23.00M,8.00M,,380.00M,204.00M,23.00M,15.00M,8.00M,21.00M,8.00M,233.00M,9.00M,224.00M,9.00M,233.00M,233.00M,295.00M,47.00M,248.00M,1.58,,1.58,1.58,1.57,,1.57,1.57,147.00M,149.00M
2018-12,867.00M,867.00M,277.00M,590.00M,217.00M,176.00M,,,20.00M,13.00M,-7.00M,,393.00M,197.00M,13.00M,20.00M,-7.00M,19.00M,-7.00M,209.00M,12.00M,197.00M,13.00M,210.00M,210.00M,279.00M,50.00M,229.00M,1.43,,1.43,1.43,1.41,,1.41,1.41,147.00M,152.00M
2018-09,853.00M,853.00M,256.00M,597.00M,197.00M,159.00M,,,15.00M,14.00M,-1.00M,,356.00M,241.00M,14.00M,15.00M,-1.00M,-8.00M,-1.00M,232.00M,44.00M,188.00M,11.00M,199.00M,199.00M,292.00M,45.00M,247.00M,1.35,,1.35,1.35,1.33,,1.33,1.33,147.00M,149.00M
2018-06,830.00M,830.00M,255.00M,575.00M,197.00M,151.00M,,,11.00M,11.00M,0.00,,348.00M,227.00M,11.00M,11.00M,0.00,5.00M,0.00,232.00M,32.00M,200.00M,9.00M,209.00M,209.00M,288.00M,45.00M,243.00M,1.42,,1.42,1.42,1.41,,1.41,1.41,147.00M,148.00M
