,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-09,691.84M,336.16M,1.028B,235.44M,,,235.44M,59.71M,74.15M,26.01M,159.87M,28.88M,,85.48M,,1.538B,,,,,,,,,,193.65M,667.19M,297.91M,965.10M,,43.30M,78.00M,1.280B,2.818B,63.13M,24.88M,88.01M,159.68M,247.69M,11.32M,,28.81M,28.81M,,28.81M,62.83M,62.83M,,418.92M,830.69M,,830.69M,,,0.81M,,,192.81M,1.024B,1.443B,1.739M,127.19M,2.484B,1.240B,,,,1.368M,1.374B
2013-06,783.61M,345.85M,1.129B,207.41M,,,207.41M,60.87M,80.46M,26.74M,168.07M,56.56M,,84.89M,,1.646B,,,,,,,,,,187.36M,596.59M,304.47M,901.06M,,9.715M,78.68M,1.177B,2.823B,67.65M,30.07M,97.72M,152.38M,250.10M,10.83M,,29.73M,29.73M,,29.73M,71.95M,71.95M,,418.88M,822.17M,,822.17M,,,1.394M,,,192.17M,1.016B,1.435B,1.726M,95.84M,2.530B,1.240B,,,,1.163M,1.389B
2013-03,443.08M,624.39M,1.067B,210.83M,,,210.83M,66.59M,75.50M,25.87M,167.96M,30.52M,,73.99M,,1.551B,,,,,,,,,,186.79M,604.49M,307.21M,911.71M,,21.65M,73.27M,1.193B,2.744B,76.63M,24.64M,101.26M,147.90M,249.16M,10.81M,,37.64M,37.64M,,37.64M,63.40M,63.40M,,409.94M,813.74M,,813.74M,,,2.484M,,,206.20M,1.022B,1.432B,1.711M,59.96M,2.464B,1.215B,,,,1.703M,1.312B
2012-12,433.98M,916.22M,1.350B,217.37M,,1.886M,214.98M,61.66M,75.68M,21.38M,158.72M,32.70M,,30.45M,,1.787B,0.0,,0.00,224.45M,,7.39M,87.73M,319.57M,-153.40M,166.17M,369.33M,130.20M,499.52M,,40.18M,73.16M,779.04M,2.566B,65.73M,23.02M,88.75M,39.27M,128.02M,10.14M,,36.97M,36.97M,,36.97M,69.58M,69.58M,,304.57M,805.41M,,805.41M,,,3.158M,,,134.37M,942.93M,1.248B,1.703M,82.55M,2.420B,1.188B,,,,2.123M,1.319B
2012-09,343.09M,889.98M,1.233B,218.14M,,,218.14M,56.20M,72.37M,19.11M,147.68M,20.11M,,27.23M,,1.646B,,,,,,,,,,154.87M,370.19M,134.83M,505.02M,,54.41M,77.45M,791.75M,2.438B,74.97M,22.25M,97.22M,37.06M,134.28M,,,,36.31M,,36.31M,76.57M,76.57M,,303.10M,797.16M,,797.16M,,,3.818M,,,111.69M,912.67M,1.216B,1.69M,10.64M,2.371B,1.164B,,,,2.447M,1.222B
2012-06,316.41M,985.27M,1.302B,188.56M,,,188.56M,57.23M,60.70M,15.91M,133.84M,16.37M,,23.91M,,1.664B,,,,,,,,,,147.92M,321.85M,89.01M,410.86M,,48.86M,76.73M,684.37M,2.349B,56.67M,25.45M,82.12M,66.32M,148.43M,,,,35.66M,,35.66M,65.43M,65.43M,,299.14M,789.01M,,789.01M,,,,,,79.81M,868.81M,1.168B,1.685M,-19.11M,2.339B,1.143B,,,,2.203M,1.181B
2012-03,260.19M,1.006B,1.266B,202.23M,,,202.23M,55.39M,55.60M,17.70M,128.68M,17.32M,,22.69M,,1.637B,,,,,,,,,,143.49M,321.85M,103.01M,424.86M,,26.48M,69.35M,664.18M,2.301B,59.86M,23.34M,83.20M,106.19M,189.39M,,,,35.02M,,35.02M,68.52M,68.52M,,292.93M,780.94M,,780.94M,,,,,,67.43M,848.38M,1.141B,1.681M,-42.51M,2.309B,1.111B,,,,2.263M,1.160B
2011-12,302.98M,886.59M,1.190B,175.23M,,2.657M,173.89M,58.34M,53.41M,17.03M,128.78M,29.20M,,23.19M,,1.545B,0.0,,,206.74M,,10.02M,63.41M,280.16M,-136.68M,143.48M,321.85M,106.48M,428.33M,,19.68M,59.74M,651.22M,2.196B,49.81M,19.34M,69.14M,23.24M,92.39M,11.97M,,,,,,70.53M,70.53M,,226.92M,807.37M,,807.37M,,,5.722M,,,80.61M,893.70M,1.121B,1.668M,-68.71M,2.250B,1.110B,,,,2.117M,1.075B
2011-09,229.85M,902.34M,1.132B,169.05M,,,169.05M,62.92M,57.15M,19.20M,139.26M,38.58M,,25.12M,,1.504B,,,,,,,,,,135.39M,321.85M,109.77M,431.62M,,19.36M,56.48M,642.84M,2.147B,52.25M,26.00M,78.24M,95.61M,173.85M,,,,33.79M,,33.79M,63.20M,63.20M,26.37M,297.21M,765.08M,,765.08M,,,,,,49.23M,814.31M,1.112B,1.661M,-80.43M,2.222B,1.110B,,,,2.086M,1.036B
2011-06,261.08M,972.83M,1.234B,193.43M,,,193.43M,62.03M,60.54M,20.01M,142.58M,30.94M,,22.45M,,1.623B,,,,,,,,,,129.76M,321.85M,112.71M,434.56M,,16.99M,52.36M,633.67M,2.257B,58.27M,34.68M,92.95M,54.44M,147.39M,,,,40.65M,,40.65M,52.83M,52.83M,,284.46M,757.27M,,757.27M,,,,,,46.95M,804.23M,1.089B,1.651M,-100.58M,2.171B,905.67M,,,,2.347M,1.168B
