,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-03,49.04M,,49.04M,21.43M,,,21.43M,5.529M,5.601M,1.796M,12.93M,1.192M,,,,84.59M,,,,,,,,33.59M,-14.38M,19.22M,2.125M,6.597M,8.722M,,,,27.94M,112.53M,24.58M,,24.58M,,24.58M,,,,0.118M,,0.118M,,,,24.70M,0.025M,,0.025M,,,,,,9.082M,9.107M,33.80M,,,,,,,,78.72M,78.72M
2005-12,50.82M,,50.82M,17.62M,,,17.62M,4.575M,4.546M,1.188M,10.31M,0.959M,,,,79.71M,0.0,,0.819M,29.69M,,,,30.51M,-14.38M,16.13M,2.125M,2.644M,4.769M,,,,20.90M,100.61M,7.39M,,7.39M,,7.39M,,,,0.118M,,0.118M,1.937M,1.937M,12.27M,21.72M,0.054M,,0.054M,,,,,,6.341M,6.395M,28.11M,0.413M,-144.59M,216.77M,,,,,-0.096M,72.50M
2005-09,50.17M,,50.17M,17.61M,,,17.61M,3.284M,2.509M,1.369M,7.162M,1.382M,,,,76.32M,,,,,,,,26.39M,-11.05M,15.34M,,5.361M,5.361M,,,,20.70M,97.03M,7.972M,,7.972M,9.558M,17.53M,,,,,,,2.212M,2.212M,,19.74M,,,,,,,,,,6.18M,25.92M,,,,,,,,71.10M,71.10M
2005-06,54.57M,,54.57M,12.19M,,,12.19M,2.602M,1.929M,0.626M,5.157M,1.023M,,,,72.94M,,,,,,,,24.62M,-11.05M,13.57M,,4.748M,4.748M,,,,18.32M,91.26M,15.07M,,15.07M,,15.07M,,,,,,,,,,15.07M,,,,,,,,,,5.903M,20.97M,,,,,,,,70.29M,70.29M
2005-03,52.95M,9.108M,62.06M,11.76M,,,11.76M,2.012M,2.587M,0.38M,4.979M,1.618M,,,,80.41M,,,,,,,,21.88M,-11.05M,10.83M,,2.536M,2.536M,,,,13.37M,93.78M,15.58M,,15.58M,,15.58M,,,,,,,,,,15.58M,,,,,,,,,,5.773M,21.36M,0.381M,72.04M,,,,,,,72.42M
2004-12,54.79M,,54.79M,11.89M,,,11.89M,1.487M,1.714M,0.606M,3.807M,0.999M,12.20M,,,83.69M,0.0,,0.347M,19.28M,,,,19.62M,-11.05M,8.574M,,2.642M,2.642M,,,,11.22M,94.91M,2.684M,,2.684M,9.492M,12.18M,,,,,,,0.915M,0.915M,5.957M,19.05M,,,,,,,,,,3.597M,22.64M,0.381M,-123.71M,195.65M,,,,,-0.06M,72.26M
2004-09,54.32M,12.18M,66.51M,9.486M,,,9.486M,1.473M,1.629M,0.081M,3.183M,2.345M,,,,81.52M,,,,,,,,18.42M,-10.55M,7.87M,,2.682M,2.682M,,,,10.55M,92.07M,10.62M,,10.62M,,10.62M,,,,,,,,,9.225M,19.84M,,,,,,,,,,3.503M,23.34M,,,,,,,,68.73M,68.73M
2004-06,54.11M,12.07M,66.18M,9.933M,,,9.933M,1.345M,1.195M,0.23M,2.77M,0.386M,,,,79.27M,,,,,,,,55.68M,-10.55M,45.13M,,0.904M,0.904M,,,,46.03M,125.30M,11.12M,,11.12M,,11.12M,,,,0.388M,,0.388M,,,9.036M,20.54M,24.79M,,24.79M,,,,,,10.26M,35.06M,55.60M,,-124.93M,,,,,,194.64M,69.70M
2004-03,8.74M,19.05M,27.79M,8.877M,,0.165M,9.042M,0.815M,1.148M,0.187M,2.15M,0.582M,0.10M,,,39.66M,,,,,,,,56.03M,-10.55M,45.47M,,0.941M,0.941M,,,12.15M,58.56M,98.22M,9.223M,,9.223M,,9.223M,,,,0.542M,,0.542M,,,,9.765M,24.89M,,24.89M,,,,,,18.85M,43.74M,53.50M,,,,,,,,44.72M,44.72M
2003-12,12.46M,20.32M,32.78M,4.549M,,0.249M,4.798M,0.829M,0.931M,0.262M,2.022M,0.716M,0.10M,,,40.42M,0.0,10.36M,29.48M,16.32M,0.174M,,,56.33M,-10.55M,45.78M,,0.848M,0.848M,,,12.19M,58.82M,99.23M,7.57M,,7.57M,,7.57M,,,,0.619M,,0.619M,,,,8.189M,25.00M,,25.00M,,,,,,18.66M,43.66M,51.85M,0.329M,-117.49M,165.31M,,,,,-0.768M,47.39M
2003-09,9.989M,28.86M,38.85M,3.825M,,,3.825M,0.955M,0.99M,0.701M,2.646M,0.834M,12.36M,,,58.51M,,,,,,,,53.10M,-6.352M,46.74M,,1.02M,1.02M,,,,47.76M,106.28M,10.96M,,10.96M,8.469M,19.43M,,,,0.699M,,0.699M,,,,20.13M,25.09M,,25.09M,,,,,,10.00M,35.09M,55.22M,,,,,,,,51.06M,51.06M
2003-06,6.466M,33.63M,40.09M,2.949M,,,2.949M,1.218M,0.96M,0.356M,2.534M,0.314M,12.43M,,,58.32M,,,,,,,,53.62M,-6.352M,47.27M,,0.948M,0.948M,,,,48.22M,106.54M,6.16M,,6.16M,8.28M,14.44M,,,,0.778M,,0.778M,,,,15.22M,25.18M,,25.18M,,,,,,10.24M,35.42M,50.64M,,,,,,,,55.90M,55.90M
2003-03,4.879M,43.02M,47.90M,2.89M,,,2.89M,1.389M,0.561M,0.39M,2.34M,0.555M,12.48M,,,66.17M,,,,,,,,54.43M,-6.352M,48.08M,,0.973M,0.973M,,,,49.05M,115.22M,6.723M,,6.723M,8.241M,14.96M,,,,0.692M,,0.692M,,,,15.66M,25.27M,,25.27M,,,,,,10.40M,35.68M,51.33M,,,,,,,,63.89M,63.89M
2002-12,2.037M,51.73M,53.76M,3.731M,,,3.731M,1.552M,0.407M,0.34M,2.299M,0.495M,12.53M,,,72.82M,0.0,10.36M,29.48M,14.79M,,,,54.63M,-6.352M,48.28M,,0.786M,0.786M,,,0.022M,49.09M,121.91M,1.77M,,1.77M,11.85M,13.62M,,,,0.677M,,0.677M,,,,14.30M,25.62M,,25.62M,,,,,,10.24M,35.86M,50.16M,0.325M,-90.42M,164.48M,,,,,-2.64M,71.74M
2002-09,1.185M,72.54M,73.72M,3.048M,,,3.048M,1.516M,0.093M,,1.609M,0.518M,,,,78.90M,,,,,,,,50.70M,-1.829M,48.88M,,0.691M,0.691M,,,,49.57M,128.46M,5.203M,,5.203M,7.86M,13.06M,,,,0.66M,,0.66M,,,,13.72M,25.45M,,25.45M,,,,,,10.60M,36.05M,49.77M,,,,,,,,,78.70M
2002-06,0.705M,79.38M,80.08M,2.064M,,,2.064M,1.167M,0.129M,,1.296M,0.176M,,,,83.62M,,,,,,,,51.24M,-1.829M,49.41M,,0.582M,0.582M,,,,50.00M,133.61M,4.344M,,4.344M,7.70M,12.04M,,,,0.642M,,0.642M,,,,12.69M,25.53M,,25.53M,,,,,,10.71M,36.24M,48.92M,,-75.21M,,,,,,159.90M,84.69M
2002-03,10.42M,77.36M,87.78M,1.525M,,,1.525M,,,,1.08M,0.262M,,,,90.65M,,,,,,,,51.15M,-1.829M,49.32M,,0.588M,0.588M,,,,49.90M,140.55M,4.264M,,4.264M,,4.264M,,,,0.625M,,0.625M,,,,4.889M,25.62M,,25.62M,,,,,,10.91M,36.53M,41.42M,,,,,,,,,99.13M
2001-12,4.165M,86.33M,90.49M,1.266M,,,1.266M,0.971M,,,0.971M,0.237M,3.292M,,,96.26M,,,,11.41M,,16.39M,,27.80M,-1.829M,25.97M,,,,,,0.233M,26.20M,122.46M,1.975M,,1.975M,2.536M,4.511M,,,,0.297M,,0.297M,,,,4.808M,0.59M,,0.59M,,,,,,10.28M,10.87M,15.67M,0.322M,-50.09M,163.90M,,,,,-7.334M,106.79M
2001-09,3.743M,96.75M,100.49M,,,,,,,,,,,,4.515M,105.01M,,,,,,,,22.55M,-0.4350M,22.11M,,0.4220M,0.4220M,,,,22.54M,127.54M,2.920M,,2.920M,,2.920M,,,,0.2872M,,0.2872M,,,,3.207M,0.6678M,,0.6678M,,,,,,10.06M,10.73M,13.94M,,-25.27M,,,,,,138.88M,113.61M
2001-06,11.42M,98.54M,109.96M,,6.618M,,6.618M,,,,,,,,6.492M,123.07M,,,,,,,,7.095M,-0.4350M,6.660M,,0.4177M,0.4177M,,,,7.077M,130.15M,3.151M,,3.151M,,3.151M,,,,0.2782M,,0.2782M,,,,3.429M,0.7431M,,0.7431M,8.875M,8.875M,,,,,9.618M,13.05M,,,,,,,,117.10M,117.10M
2001-03,113.60M,1.632M,115.23M,,6.479M,,6.479M,,,,,,,,3.994M,125.70M,0.0,4.561M,,,,,,4.561M,,4.561M,,0.4272M,0.4272M,,,,4.989M,130.69M,3.174M,,3.174M,,3.174M,,0.2694M,,0.2694M,,0.2694M,,,,3.443M,0.8160M,,0.8160M,,,,,,5.188M,6.004M,9.446M,,,,,,,,121.25M,121.25M
2000-12,116.10M,1.001M,117.10M,,,,,,,,,,,,11.96M,129.07M,,,,,,,,3.724M,-0.435M,3.289M,,0.038M,0.038M,,,0.399M,3.726M,132.79M,0.727M,,0.727M,,0.727M,,,,0.261M,,0.261M,,,1.818M,2.806M,0.887M,,0.887M,,,,,,5.00M,5.887M,8.693M,0.32M,-25.27M,163.08M,,,,,-14.03M,124.10M
2000-09,121.58M,2.586M,124.17M,,,,6.20M,,,,,,,,2.025M,132.39M,,,,,,,,7.097M,-4.972M,2.125M,,0.4458M,0.4458M,,,,2.571M,134.97M,1.947M,,1.947M,,1.947M,,,,0.2526M,,0.2526M,,,,2.199M,0.9550M,,0.9550M,,,,,,5.00M,5.955M,8.154M,37.45M,,,,37.40M,,,89.36M,126.81M
2000-06,19.60M,11.54M,31.14M,,,,,,,,,,,,0.9322M,32.07M,,,,,,,,1.622M,-0.1311M,1.491M,,0.1312M,0.1312M,,,,1.622M,33.69M,1.171M,,1.171M,,1.171M,,,,0.2446M,,0.2446M,,,,1.416M,1.021M,,1.021M,,,,,,3.75M,4.771M,6.187M,,,,,,,,27.51M,27.51M
2000-03,15.07M,17.65M,32.72M,,,,0.3720M,,,,,,,,0.3984M,33.49M,,,,,,,,0.8368M,-0.0347M,0.8020M,,0.0663M,0.0663M,,,0.0744M,0.9427M,34.43M,0.3499M,,0.3499M,,0.3499M,,,,,,,,,0.7460M,1.096M,,,,,,,,,,2.50M,3.596M,37.47M,-11.51M,23.69M,,37.40M,,,-18.81M,30.83M
