,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,10.48B,10.48B,8.631B,1.85B,583.00M,583.00M,,132.00M,,-120.00M,,583.00M,1.267B,,132.00M,-120.00M,38.00M,-120.00M,1.185B,183.00M,1.002B,,1.002B,1.002B,1.552B,235.00M,1.317B,,3.50,,,3.50,3.50,,3.49,,,3.49,3.49,,286.28M,287.46M,1.10,,AOR,
2020-09,9.431B,9.431B,7.836B,1.595B,511.00M,511.00M,,118.00M,,-118.00M,,511.00M,1.084B,,118.00M,-118.00M,12.00M,-118.00M,978.00M,144.00M,834.00M,,834.00M,834.00M,1.308B,212.00M,1.096B,,2.91,,,2.91,2.91,,2.90,,,2.90,2.90,,286.45M,287.23M,1.10,,AOR,
2020-06,9.264B,9.264B,7.849B,1.415B,574.00M,574.00M,,132.00M,,-132.00M,,574.00M,841.00M,,132.00M,-132.00M,18.00M,-132.00M,727.00M,102.00M,625.00M,,625.00M,625.00M,1.078B,219.00M,859.00M,,2.18,,,2.18,2.18,,2.18,,,2.18,2.18,,286.39M,286.93M,1.10,,AOR,
2020-03,8.749B,8.749B,7.261B,1.488B,547.00M,547.00M,,107.00M,,-107.00M,,547.00M,941.00M,,107.00M,-107.00M,14.00M,-107.00M,848.00M,142.00M,706.00M,,706.00M,706.00M,1.167B,212.00M,955.00M,,2.45,,,2.45,2.45,,2.43,,,2.43,2.43,,288.57M,289.94M,1.02,,AOR,
2019-12,10.77B,10.77B,8.888B,1.885B,635.00M,635.00M,,122.00M,,-110.00M,,635.00M,1.25B,,122.00M,-110.00M,74.00M,-110.00M,1.214B,194.00M,1.02B,,1.02B,1.02B,1.54B,204.00M,1.336B,,3.53,,,3.53,3.53,,3.51,,,3.51,3.51,,288.75M,290.84M,1.02,,AOR,Restated
2019-09,9.761B,9.761B,7.973B,1.788B,572.00M,572.00M,,114.00M,,-114.00M,,572.00M,1.216B,,114.00M,-114.00M,-12.00M,-114.00M,1.09B,177.00M,913.00M,,913.00M,913.00M,1.414B,210.00M,1.204B,,3.17,,,3.17,3.17,,3.14,,,3.14,3.14,,288.37M,290.89M,1.02,,AOR,Restated
2019-06,9.555B,9.555B,7.869B,1.686B,596.00M,596.00M,,119.00M,,-119.00M,,596.00M,1.09B,,119.00M,-119.00M,12.00M,-119.00M,983.00M,177.00M,806.00M,,806.00M,806.00M,1.312B,210.00M,1.102B,,2.80,,,2.80,2.80,,2.77,,,2.77,2.77,,288.10M,290.82M,1.02,,AOR,Restated
2019-03,9.261B,9.261B,7.633B,1.628B,614.00M,614.00M,,117.00M,,-117.00M,,614.00M,1.014B,,117.00M,-117.00M,18.00M,-117.00M,915.00M,170.00M,745.00M,,745.00M,745.00M,1.237B,205.00M,1.032B,,2.59,,,2.59,2.59,,2.56,,,2.56,2.56,,287.92M,290.89M,0.93,,AOR,Restated
2018-12,10.38B,10.38B,8.653B,1.725B,562.00M,562.00M,,130.00M,,-112.00M,,562.00M,1.163B,,130.00M,-112.00M,81.00M,-112.00M,1.132B,223.00M,909.00M,0.00,909.00M,909.00M,1.483B,221.00M,1.262B,,3.10,0.00,,3.10,3.10,,3.07,0.00,,3.07,3.07,,293.16M,296.41M,0.00,,AOR,Restated
2018-09,9.094B,9.094B,7.407B,1.687B,552.00M,552.00M,,114.00M,,-114.00M,,552.00M,1.135B,,114.00M,-114.00M,2.00M,-114.00M,1.023B,159.00M,864.00M,-13.00M,851.00M,864.00M,1.352B,215.00M,1.137B,,2.92,-0.04,,2.92,2.88,,2.89,-0.04,,2.89,2.85,,295.34M,299.09M,0.93,,AOR,Restated
2018-06,9.186B,9.186B,7.486B,1.70B,612.00M,612.00M,,103.00M,,-103.00M,,612.00M,1.088B,,103.00M,-103.00M,-15.00M,-103.00M,970.00M,184.00M,786.00M,,786.00M,786.00M,1.291B,218.00M,1.073B,,2.65,,,2.65,2.65,,2.62,,,2.62,2.62,,296.15M,300.14M,1.86,,AOR,Restated
2018-03,7.535B,7.535B,5.99B,1.545B,537.00M,537.00M,,27.00M,,-27.00M,,537.00M,1.008B,,27.00M,-27.00M,-21.00M,-27.00M,960.00M,161.00M,799.00M,,799.00M,799.00M,1.096B,109.00M,987.00M,,2.70,,,2.70,2.70,,2.65,,,2.65,2.65,,296.40M,301.10M,0.84,,AOR,Restated
2017-12,8.277B,8.277B,6.68B,1.597B,537.00M,537.00M,,41.00M,,-27.00M,,537.00M,1.06B,,41.00M,-27.00M,-25.00M,-27.00M,1.008B,372.00M,636.00M,0.00,636.00M,636.00M,1.164B,115.00M,1.049B,,2.14,0.00,,2.14,2.14,,2.10,0.00,,2.10,2.10,,296.98M,302.04M,0.00,,AOR,Restated
2017-09,7.58B,7.58B,6.014B,1.566B,503.00M,503.00M,,27.00M,,-27.00M,,503.00M,1.063B,,27.00M,-27.00M,-9.00M,-27.00M,1.027B,263.00M,764.00M,0.00,764.00M,764.00M,1.16B,106.00M,1.054B,,2.56,0.00,,2.56,2.56,,2.52,0.00,,2.52,2.52,,298.14M,303.75M,0.84,,AOR,Restated
2017-06,7.675B,7.675B,6.114B,1.561B,494.00M,494.00M,,24.00M,,-24.00M,,494.00M,1.067B,,24.00M,-24.00M,-11.00M,-24.00M,1.032B,283.00M,749.00M,,749.00M,749.00M,1.165B,109.00M,1.056B,,2.50,,,2.50,2.50,,2.45,,,2.45,2.45,,299.79M,305.35M,0.84,,AOR,Restated
2017-03,7.441B,7.441B,5.923B,1.518B,472.00M,472.00M,,25.00M,,-25.00M,,472.00M,1.046B,,25.00M,-25.00M,-11.00M,-25.00M,1.01B,247.00M,763.00M,,763.00M,763.00M,1.146B,111.00M,1.035B,,2.53,,,2.53,2.53,,2.48,,,2.48,2.48,,301.77M,307.28M,0.84,,AOR,Restated
2016-12,7.654B,7.654B,6.372B,1.282B,504.00M,504.00M,,31.00M,,-23.00M,,504.00M,778.00M,,31.00M,-23.00M,-10.00M,-23.00M,745.00M,165.00M,580.00M,-10.00M,570.00M,580.00M,889.00M,113.00M,776.00M,,2.67,-0.04,,2.67,2.63,,2.62,-0.04,,2.62,2.58,,302.49M,308.18M,0.76,,AOR,Restated
