,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-09,386.76M,,,,-68.88M,42.66M,42.66M,,,,,-27.30M,338.98M,-44.14M,45.11M,-1.356M,97.60M,,436.20M,7.257M,776.69M,-138.41M,,-138.41M,,66.37M,-1.443B,-71.30M,-1.586B,,,,134.30M,,134.30M,,-114.30M,-5.103M,14.90M,2.009B,-794.87M,0.223M,1.214B,134.30M,,,
2004-06,486.24M,,,,145.88M,40.34M,40.34M,,,,,27.30M,-293.98M,-12.86M,24.89M,12.36M,32.40M,,-237.20M,-20.26M,442.31M,-75.59M,,-75.59M,,-66.37M,-335.88M,90.30M,-387.54M,,,,63.70M,,63.70M,,-80.70M,25.10M,8.105M,1.947B,62.87M,-0.223M,2.009B,63.70M,,,
2004-03,441.00M,,,,180.00M,40.00M,40.00M,,,,,,60.00M,-11.00M,58.00M,26.00M,-17.00M,,116.00M,59.00M,836.00M,-55.00M,,-55.00M,,,-642.00M,-18.00M,-715.00M,,,,105.00M,,105.00M,,-57.00M,-20.00M,28.00M,1.796B,149.00M,1.00M,1.947B,105.00M,,,
2003-12,411.00M,,,,186.00M,40.00M,40.00M,,,,,,-198.00M,18.00M,23.00M,14.00M,-22.00M,,-165.00M,-59.00M,413.00M,-63.00M,,-63.00M,,,-707.00M,133.00M,-637.00M,,,,32.00M,,32.00M,,-56.00M,,-24.00M,2.045B,-248.00M,-1.00M,1.796B,32.00M,,,
2003-09,253.93M,,,,63.66M,40.14M,40.14M,,,,,-0.25M,121.41M,8.786M,24.53M,12.12M,9.308M,,176.15M,-4.808M,528.83M,-44.44M,,-44.44M,,33.80M,-251.45M,-18.94M,-281.02M,,,0.229M,65.32M,-0.376M,64.95M,,-55.99M,-7.136M,2.048M,1.795B,249.85M,0.027M,2.045B,65.32M,,,-0.376M
2003-06,430.72M,,,,50.85M,16.33M,16.33M,,,,,0.25M,-71.76M,32.42M,-29.60M,-30.91M,-17.27M,,-117.12M,-84.19M,296.84M,-26.59M,,-26.59M,,-33.80M,-622.42M,280.71M,-402.10M,,,11.37M,12.84M,-42.05M,-29.20M,,-79.01M,7.116M,-89.73M,1.990B,-194.98M,-0.033M,1.795B,12.84M,,,-42.05M
2003-03,103.02M,,,,275.55M,46.35M,46.35M,,,,,,133.02M,-43.34M,-9.269M,21.42M,52.10M,,153.93M,,578.84M,-49.41M,,-49.41M,,,-106.01M,13.19M,-142.23M,,,-8.219M,63.96M,-123.58M,-59.62M,,,0.00,-67.84M,1.620B,368.78M,0.772M,1.990B,63.96M,,,-123.58M
2002-12,241.33M,,,,233.93M,43.18M,43.18M,,,,,,-129.67M,-20.87M,-9.663M,-14.62M,-13.13M,,-187.96M,,330.48M,-81.56M,,-81.56M,,,-443.12M,358.04M,-166.64M,,,-3.378M,55.87M,,55.87M,,,0.02M,52.52M,1.407B,216.36M,-2.766M,1.620B,55.87M,,,
2002-09,355.60M,,,,64.87M,63.90M,63.90M,,,,,,105.54M,-3.117M,120.89M,-13.48M,50.06M,,259.90M,,444.28M,-18.58M,,-18.58M,,289.84M,-277.37M,-328.23M,-334.34M,,,,16.01M,,10.01M,,,-11.83M,-1.826M,1.281B,108.11M,17.62M,1.407B,16.01M,,,
2002-06,-13.77M,,,,169.85M,104.66M,104.66M,,,,,,-120.30M,-1.361M,-39.15M,14.48M,-44.32M,,-190.66M,,70.09M,-35.42M,,-35.42M,,-289.84M,-13.56M,228.84M,-109.99M,,,,50.64M,,50.64M,,,5.761M,56.40M,1.268B,16.50M,-3.303M,1.281B,50.64M,,,
2002-03,43.93M,,,,113.15M,96.79M,96.79M,-65.73M,,,,,38.84M,9.218M,-35.08M,-11.66M,-8.129M,,-6.812M,,181.32M,-39.52M,,-39.52M,,,-365.04M,-36.13M,-440.70M,,,,34.84M,,34.84M,,,5.022M,39.86M,1.486B,-219.51M,1.33M,1.268B,34.84M,,,
2001-12,139.23M,,,,-1.873M,83.65M,83.65M,65.73M,,,,,-25.08M,13.26M,0.337M,1.656M,-9.605M,,-19.43M,,267.31M,-33.48M,,-33.48M,,,31.98M,-186.48M,-187.98M,,,,17.51M,,17.51M,,,1.051M,18.56M,1.389B,97.90M,-0.647M,1.486B,17.51M,,,
2001-09,-194.34M,,,,275.64M,79.87M,79.87M,64.47M,,,,,23.29M,16.85M,-17.49M,19.58M,44.72M,,86.95M,,312.59M,52.52M,,52.52M,,211.45M,166.68M,-342.84M,87.81M,,,0.052M,22.58M,,22.58M,,,0.271M,22.90M,965.42M,423.30M,-0.117M,1.389B,22.58M,,,
2001-06,-44.90M,,,,282.26M,78.61M,78.61M,-34.52M,,,,,-176.31M,-20.77M,1.798M,-3.783M,-76.93M,,-275.98M,,5.467M,-120.98M,,-120.98M,,-211.45M,-39.86M,181.34M,-190.94M,,,-0.052M,36.90M,,36.90M,,,0.996M,37.85M,1.114B,-147.62M,-1.235M,965.42M,36.90M,,,
2001-03,109.72M,,,,-315.53M,78.63M,78.63M,357.31M,,,,,-111.94M,-10.35M,-3.323M,5.971M,8.785M,,-110.85M,,119.29M,-18.62M,,-18.62M,,,344.28M,-178.59M,147.07M,,,,22.93M,,22.93M,,,-0.93M,22.00M,826.34M,288.36M,-0.423M,1.114B,22.93M,,,
2000-12,-419.22M,,,,1.008B,82.70M,82.70M,-357.31M,,,,,-19.64M,-26.48M,5.174M,5.753M,-25.16M,,-60.35M,,254.15M,-27.12M,,-27.12M,,,22.22M,-188.47M,-193.37M,,,,50.27M,,50.27M,,,0.558M,50.83M,716.87M,111.62M,-2.148M,826.34M,50.27M,,,
2000-09,138.68M,,,,22.28M,79.77M,79.77M,67.92M,,,,,-21.63M,-11.34M,77.14M,-0.707M,-115.48M,,-72.02M,,236.62M,-19.46M,0.00,-19.46M,,-25.71M,-187.77M,-32.48M,-265.42M,,,0.00,35.25M,,35.25M,,,-1.19M,34.06M,712.71M,5.26M,-1.098M,716.87M,35.25M,,,
2000-06,154.70M,,,,5.082M,82.68M,82.68M,137.04M,,,,,-68.01M,-2.069M,-97.71M,25.83M,2.302M,,-139.66M,,239.84M,-28.61M,30.85M,2.233M,,-58.32M,-277.81M,9.244M,-324.66M,,,0.00,23.46M,,23.46M,,,0.50M,23.96M,772.55M,-60.86M,1.024M,712.71M,23.46M,,,
2000-03,199.72M,,,,-157.22M,46.31M,46.31M,171.34M,,,,,191.82M,-52.47M,-137.89M,-19.15M,11.80M,,-5.889M,,254.25M,-77.02M,216.14M,139.12M,,-189.63M,41.45M,292.34M,283.28M,,,-124.00M,53.58M,,53.58M,,,-2.227M,-72.65M,303.98M,464.88M,3.691M,772.55M,53.58M,,,
1999-12,177.12M,,,,30.10M,35.08M,35.08M,105.33M,,,,,-240.97M,-2.895M,-6.288M,-27.48M,11.41M,,-266.22M,,81.40M,-38.08M,,-38.08M,,,-172.01M,-269.09M,-479.18M,,,12.00M,31.48M,,31.48M,,,-1.231M,42.25M,660.02M,-355.53M,-0.512M,303.98M,31.48M,,,
1999-09,136.04M,,,,43.13M,31.62M,31.62M,,,,,-0.10M,-227.50M,-55.86M,178.91M,10.83M,-6.068M,,-99.70M,,14.39M,-43.32M,-98.10M,-141.41M,,,-825.67M,33.40M,-933.68M,,,15.56M,1.129B,,1.129B,,,-1.897M,1.143B,436.10M,223.66M,0.187M,660.00M,1.129B,,,
1999-06,58.96M,,,,241.97M,40.08M,40.08M,,,,,-144.30M,-77.20M,-30.04M,44.89M,7.074M,3.068M,,-52.20M,,144.51M,-41.88M,98.10M,56.21M,,,71.27M,-65.60M,61.88M,,,33.94M,76.32M,,76.32M,,,-0.003M,110.26M,121.30M,316.64M,-1.787M,436.10M,76.32M,,,
1999-03,-42.60M,,,,7.80M,42.30M,42.30M,,,,,144.20M,-5.50M,74.50M,-47.90M,-20.10M,8.90M,,9.90M,,161.60M,-32.10M,,-32.10M,,,25.20M,-27.30M,-34.20M,,,-225.50M,98.30M,,98.30M,,,0.50M,-126.70M,131.90M,0.70M,-11.40M,121.30M,98.30M,,,
1998-12,48.50M,,,,-1.00M,44.40M,44.40M,,,,,0.10M,-270.10M,51.50M,-2.10M,-4.80M,-4.80M,,-230.30M,,-138.30M,-62.90M,,-62.90M,,,29.10M,-15.60M,-49.40M,,,137.00M,8.00M,,8.00M,,,-1.20M,143.80M,175.80M,-43.90M,,131.90M,8.00M,,,
1998-09,39.88M,,,,17.86M,41.03M,41.03M,,,,,4.999M,9.587M,7.249M,98.95M,-56.61M,-23.81M,,35.36M,,157.34M,-86.31M,,-86.31M,,,113.85M,-217.04M,-189.50M,,,16.27M,16.61M,,16.61M,,,-4.788M,28.10M,179.90M,-4.068M,,175.80M,16.61M,,,
1998-06,5.842M,,,,44.23M,35.75M,35.75M,,,,,0.001M,-214.93M,-34.11M,24.52M,-24.95M,42.42M,,-207.04M,,-121.21M,-81.07M,,-81.07M,,,119.50M,-12.36M,26.07M,,,81.25M,6.908M,,6.908M,,,-0.082M,88.07M,186.97M,-7.069M,,179.90M,6.908M,,,
