,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.053B,2.053B,,1.543B,1.543B,-7.00M,1.536B,,159.00M,256.00M,47.00M,209.00M,,209.00M,214.71M,31.00M,298.00M,1.53,,1.5719999999999998,1.53,1.5,,1.541,1.5,136.70M,139.30M,0.37
2020-06,1.811B,1.811B,,1.398B,1.398B,0.00,1.398B,,175.00M,198.00M,26.00M,172.00M,,172.00M,172.00M,30.00M,240.00M,1.25,,1.25,1.25,1.23,,1.23,1.23,137.10M,139.40M,0.37
2020-03,2.042B,2.042B,,1.562B,1.562B,0.00,1.562B,,242.00M,239.00M,70.00M,169.00M,,169.00M,169.00M,28.00M,282.00M,1.22,,1.22,1.22,1.2,,1.2,1.2,138.40M,141.10M,0.37
2019-12,1.983B,1.983B,,1.489B,1.489B,0.00,1.489B,,246.00M,359.00M,91.00M,268.00M,-1.00M,267.00M,267.00M,30.00M,410.00M,1.93,,1.93,1.93,1.89,,1.89,1.89,138.30M,141.50M,0.37
2019-09,1.999B,1.999B,,1.468B,1.468B,0.00,1.468B,,258.00M,354.00M,89.00M,265.00M,,265.00M,265.00M,31.00M,416.00M,1.9,,1.9,1.9,1.86,,1.86,1.86,138.60M,141.60M,0.34
2019-06,1.903B,1.903B,,1.426B,1.426B,0.00,1.426B,,248.00M,342.00M,83.00M,259.00M,,259.00M,259.00M,28.00M,415.00M,1.84,,1.84,1.84,1.8,,1.8,1.8,140.40M,143.60M,0.34
2019-03,1.837B,1.837B,,1.36B,1.36B,0.00,1.36B,,249.00M,347.00M,86.00M,261.00M,,261.00M,261.00M,27.00M,422.00M,1.85,,1.85,1.85,1.81,,1.81,1.81,140.80M,143.90M,0.34
2018-12,1.907B,1.907B,,1.40B,1.40B,-15.00M,1.385B,,243.00M,332.00M,83.00M,249.00M,0.00,249.00M,260.28M,26.00M,405.00M,1.73,,1.808,1.73,1.69,,1.767,1.69,144.20M,147.30M,0.34
2018-09,1.875B,1.875B,,1.375B,1.375B,0.00,1.375B,,229.00M,350.00M,87.00M,263.00M,,263.00M,263.00M,27.00M,413.00M,1.8,,1.8,1.8,1.76,,1.76,1.76,145.60M,148.80M,0.3
2018-06,1.814B,1.814B,,1.354B,1.354B,0.00,1.354B,,217.00M,318.00M,86.00M,232.00M,0.00,232.00M,232.00M,25.00M,372.00M,1.59,,1.59,1.59,1.55,,1.55,1.55,145.60M,149.40M,0.3
2018-03,1.789B,1.789B,,1.332B,1.332B,0.00,1.332B,,204.00M,332.00M,89.00M,243.00M,0.00,243.00M,243.00M,24.00M,377.00M,1.67,,1.67,1.67,1.63,,1.63,1.63,145.40M,149.00M,0.25
2017-12,1.704B,1.704B,,1.267B,1.267B,-4.00M,1.263B,,192.00M,311.00M,192.00M,119.00M,0.00,119.00M,121.40M,23.00M,351.00M,0.82,,0.8366,0.82,0.8,,0.8162,0.8,144.50M,148.30M,0.25
2017-09,1.668B,1.668B,,1.213B,1.213B,-38.60M,1.175B,,179.65M,279.24M,84.84M,194.40M,,193.25M,220.13M,21.85M,322.04M,1.34,,1.527,1.34,1.31,,1.492,1.31,144.02M,147.36M,0.22
2017-06,1.604B,1.604B,,1.200B,1.200B,-3.366M,1.196B,0.00,165.66M,276.94M,91.59M,185.35M,-1.927M,183.42M,185.67M,21.19M,315.50M,1.27,,1.286,1.27,1.24,,1.255,1.24,143.71M,147.10M,0.22
2017-03,1.546B,1.546B,,1.153B,1.153B,-9.368M,1.144B,0.00,155.87M,161.30M,52.76M,108.54M,4.21M,112.76M,119.13M,21.02M,197.98M,0.78,,0.8245,0.78,0.77,,0.8135,0.77,143.37M,146.78M,0.22
2016-12,1.474B,1.474B,,1.114B,1.114B,-12.67M,1.101B,0.00,146.82M,207.52M,59.81M,147.70M,-1.136M,146.57M,155.58M,19.94M,243.48M,1.03,,1.093,1.03,1.0,,1.062,1.0,142.11M,145.68M,0.22
2016-09,1.475B,1.475B,,1.065B,1.065B,-19.37M,1.045B,0.00,140.26M,242.91M,64.75M,178.16M,-6.487M,171.67M,185.88M,18.42M,275.12M,1.21,,1.311,1.21,1.19,,1.2890000000000001,1.19,141.39M,144.20M,0.2
2016-06,1.334B,1.334B,,1.017B,1.017B,-13.44M,1.004B,0.00,135.78M,204.85M,72.26M,132.59M,-7.089M,125.50M,134.21M,18.31M,232.89M,0.89,,0.9516,0.89,0.87,,0.9305,0.87,141.16M,143.95M,0.2
2016-03,1.287B,1.287B,,991.84M,991.84M,-6.015M,985.82M,4.196M,132.53M,194.11M,72.27M,121.84M,4.01M,125.85M,129.67M,17.74M,223.22M,0.89,,0.917,0.89,0.87,,0.8965,0.87,141.47M,144.01M,0.2
2015-12,1.250B,1.250B,,979.16M,979.16M,-1.872M,977.29M,0.00,115.77M,170.07M,62.01M,108.06M,-1.735M,106.33M,107.51M,17.91M,196.77M,0.74,,0.7483,0.74,0.73,,0.7381,0.73,143.06M,146.14M,0.2
2015-09,1.319B,1.319B,,1.013B,1.013B,0.00,1.013B,0.00,115.49M,239.04M,77.63M,161.40M,-32.22M,129.19M,129.19M,17.26M,263.16M,0.9,,0.9,0.9,0.88,,0.88,0.88,143.28M,146.15M,0.18
2015-06,1.296B,1.296B,,1.011B,1.011B,0.00,1.011B,0.00,109.42M,201.30M,74.94M,126.36M,6.835M,133.20M,133.20M,17.12M,229.02M,0.93,,0.93,0.93,0.91,,0.91,0.91,143.25M,146.49M,0.18
2015-03,1.257B,1.257B,,992.36M,992.36M,0.00,992.36M,0.00,107.57M,175.63M,66.86M,108.78M,4.687M,113.46M,113.46M,17.60M,202.48M,0.79,,0.79,0.79,0.77,,0.77,0.77,142.32M,146.05M,0.18
2014-12,1.229B,1.229B,,934.36M,934.36M,0.00,934.36M,0.00,104.72M,198.65M,76.61M,122.04M,4.259M,126.30M,126.30M,16.33M,226.03M,0.89,,0.89,0.89,0.87,,0.87,0.87,141.25M,145.28M,0.18
2014-09,1.260B,1.260B,,963.57M,963.57M,,963.57M,0.00,100.32M,205.20M,76.05M,129.16M,7.21M,136.37M,136.37M,16.00M,230.89M,0.97,,0.97,0.97,0.94,,0.94,0.94,140.50M,144.42M,0.16
2014-06,1.192B,1.192B,,923.93M,923.93M,,923.93M,0.00,92.34M,178.93M,68.55M,110.38M,12.31M,122.69M,122.69M,15.71M,205.98M,0.87,,0.87,0.87,0.85,,0.85,0.85,140.27M,143.98M,0.16
2014-03,1.155B,1.155B,,918.46M,918.46M,,918.46M,0.00,92.41M,153.00M,60.90M,92.10M,12.46M,104.56M,104.56M,15.84M,178.98M,0.74,,0.74,0.74,0.72,,0.72,0.72,139.89M,143.64M,0.16
2013-12,1.162B,1.162B,,899.04M,899.04M,,899.04M,0.00,91.72M,178.81M,62.29M,116.52M,0.112M,116.63M,116.63M,16.61M,204.18M,0.83,,0.83,0.83,0.81,,0.81,0.81,139.09M,142.60M,0.16
2013-09,1.104B,1.104B,,851.48M,851.48M,-21.70M,829.78M,0.00,88.11M,158.54M,44.51M,114.03M,3.426M,117.46M,133.07M,17.47M,185.50M,0.84,,0.9527,0.84,0.82,,0.9302,0.82,138.45M,141.67M,0.14
2013-06,1.090B,1.090B,,871.20M,871.20M,-13.45M,857.75M,0.00,89.18M,128.90M,48.19M,80.70M,3.157M,83.86M,92.28M,15.88M,157.09M,0.6,,0.6609,0.6,0.59,,0.6496,0.59,138.18M,141.23M,0.14
2013-03,1.123B,1.123B,,859.55M,859.55M,-20.92M,838.63M,0.00,90.83M,159.30M,51.06M,108.25M,-28.29M,79.96M,94.18M,16.59M,186.51M,0.57,,0.6732,0.57,0.56,,0.661,0.56,137.82M,140.72M,0.14
2012-12,1.091B,1.091B,,853.54M,853.54M,-17.38M,836.16M,0.00,95.10M,147.17M,53.27M,93.89M,-8.02M,85.87M,96.96M,16.42M,175.19M,0.62,,0.7012,0.62,0.61,,0.69,0.61,136.52M,138.69M,0.14
2012-09,1.046B,1.046B,,835.19M,835.19M,-18.72M,816.47M,0.00,93.26M,117.38M,40.98M,76.40M,6.927M,83.32M,95.51M,13.37M,145.24M,0.6,0.0,0.6899,0.6,0.6,0.0,0.6892,0.6,135.61M,136.60M,0.13
