,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,209.00M,,,,31.00M,31.00M,-26.00M,,,23.00M,,31.00M,1.00M,,865.00M,51.00M,231.00M,-43.00M,1.079B,1.399B,-27.00M,-27.00M,0.00,-2.119B,-23.00M,-1.965B,-1.00M,0.00,-1.00M,,-50.00M,-50.00M,-51.00M,-51.00M,7.00M,1.00M,1.335B,8.837B,769.00M,28.00M,9.634B,,0.00,-1.00M,-50.00M,44.00M,46.00M
2020-06,172.00M,,,,30.00M,30.00M,1.00M,,,23.00M,,-37.00M,329.00M,,-1.316B,112.00M,179.00M,136.00M,-572.00M,-288.00M,-26.00M,-26.00M,-5.00M,-1.213B,-21.00M,-930.00M,-2.00M,0.00,-2.00M,,0.00,0.00,-51.00M,-51.00M,12.00M,-1.00M,-4.693B,14.69B,-5.911B,55.00M,8.837B,,-1.00M,-1.00M,0.00,26.00M,26.00M
2020-03,169.00M,,,,28.00M,28.00M,-30.00M,,,31.00M,,180.00M,-391.00M,,2.472B,-95.00M,0.00,-126.00M,1.861B,2.397B,-35.00M,-35.00M,,-860.00M,8.00M,-1.588B,493.00M,-6.00M,487.00M,,-203.00M,-203.00M,-52.00M,-52.00M,18.00M,-1.00M,7.297B,6.69B,8.106B,-103.00M,14.69B,,495.00M,-2.00M,-203.00M,167.00M,53.00M
2019-12,268.00M,,,,30.00M,30.00M,16.00M,,,43.00M,,-117.00M,188.00M,,465.00M,-81.00M,-340.00M,77.00M,297.00M,546.00M,-36.00M,-36.00M,,-108.00M,-18.00M,-502.00M,-1.00M,6.00M,5.00M,,-19.00M,-19.00M,-51.00M,-51.00M,25.00M,,654.00M,5.971B,698.00M,21.00M,6.69B,,850.00M,-851.00M,-19.00M,9.00M,39.00M
2019-09,265.00M,,,,31.00M,31.00M,-1.00M,,,24.00M,,24.00M,3.00M,,69.00M,12.00M,179.00M,90.00M,302.00M,678.00M,-36.00M,-36.00M,0.00,-150.00M,29.00M,-511.00M,-1.00M,-50.00M,-51.00M,,-162.00M,-162.00M,-48.00M,-48.00M,12.00M,-3.00M,-137.00M,5.952B,30.00M,-11.00M,5.971B,,0.00,-1.00M,-162.00M,95.00M,75.00M
2019-06,259.00M,,,,28.00M,28.00M,-21.00M,,,23.00M,,-9.00M,92.00M,,-212.00M,35.00M,130.00M,-431.00M,-415.00M,-121.00M,-43.00M,-43.00M,-5.00M,-19.00M,12.00M,-476.00M,-1.00M,50.00M,49.00M,,-95.00M,-95.00M,-48.00M,-48.00M,10.00M,-53.00M,411.00M,6.119B,-186.00M,19.00M,5.952B,,850.00M,-851.00M,-95.00M,107.00M,61.00M
2019-03,261.00M,,,,27.00M,27.00M,-7.00M,,,28.00M,,-57.00M,143.00M,,-846.00M,-96.00M,160.00M,173.00M,-467.00M,-205.00M,-32.00M,-32.00M,,-74.00M,-8.00M,-377.00M,-302.00M,,-302.00M,,-41.00M,-41.00M,-48.00M,-48.00M,20.00M,-1.00M,-427.00M,7.104B,-1.009B,24.00M,6.119B,,0.00,-302.00M,-41.00M,178.00M,85.00M
2018-12,249.00M,,,,26.00M,26.00M,6.00M,,,37.00M,,115.00M,444.00M,,-242.00M,-22.00M,-389.00M,-36.00M,-243.00M,225.00M,-27.00M,-27.00M,,-140.00M,-34.00M,-533.00M,299.00M,0.00,299.00M,,-480.00M,-480.00M,-47.00M,-47.00M,23.00M,,1.526B,5.941B,1.218B,-55.00M,7.104B,,300.00M,-1.00M,-480.00M,10.00M,62.00M
2018-09,263.00M,,,,27.00M,27.00M,18.00M,,,24.00M,,-48.00M,-347.00M,,530.00M,49.00M,184.00M,-70.00M,337.00M,660.00M,-38.00M,-38.00M,0.00,-45.00M,-5.00M,-978.00M,-1.00M,0.00,-1.00M,,-38.00M,-38.00M,-44.00M,-44.00M,9.00M,-11.00M,378.00M,5.867B,60.00M,14.00M,5.941B,,0.00,-611.00M,-38.00M,39.00M,74.00M
2018-06,232.00M,,,,25.00M,25.00M,-6.00M,,,19.00M,,-23.00M,-17.00M,,-954.00M,0.00,105.00M,266.00M,-657.00M,-382.00M,-26.00M,-26.00M,0.00,-118.00M,49.00M,-683.00M,-2.00M,0.00,-2.00M,,-1.00M,-1.00M,-36.00M,-36.00M,10.00M,-8.00M,730.00M,6.219B,-335.00M,-17.00M,5.867B,,850.00M,-242.00M,-1.00M,109.00M,43.00M
