,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.737B,3.737B,1.276B,2.461B,1.244B,242.00M,,114.00M,-2.00M,,,,,1.60B,861.00M,,,,-81.00M,,780.00M,159.00M,621.00M,,,1.059B,198.00M,861.00M,,2020-09,1.664,1.66,,2020-09,1.63,1.63,,2020-09,0.575,,2020-09,AOR,
2020-06,2.764B,2.764B,1.216B,1.548B,1.225B,233.00M,,110.00M,0.00,,,,,1.568B,-20.00M,,,,-67.00M,,-87.00M,-4.00M,-83.00M,,,173.00M,193.00M,-20.00M,,2020-06,-0.22,-0.22,,2020-06,-0.22,-0.22,,2020-06,0.575,,2020-06,AOR,
2020-03,3.588B,3.588B,1.257B,2.331B,1.33B,254.00M,,118.00M,6.00M,,,,,1.702B,629.00M,,,,-39.00M,,590.00M,97.00M,493.00M,,,827.00M,198.00M,629.00M,,2020-03,1.307,1.32,,2020-03,1.30,1.30,,2020-03,0.575,,2020-03,AOR,
2019-12,4.131B,4.131B,1.428B,2.703B,1.38B,254.00M,,112.00M,-13.00M,,,,,1.746B,957.00M,,,,-21.00M,,936.00M,211.00M,725.00M,,,1.152B,195.00M,957.00M,,2019-12,1.967,1.94,,2019-12,1.90,1.90,,2019-12,0.575,,2019-12,AOR,
2019-09,3.587B,3.587B,1.257B,2.33B,1.291B,246.00M,,116.00M,-49.00M,,,,,1.653B,677.00M,,,,-96.00M,,581.00M,115.00M,466.00M,,,871.00M,194.00M,677.00M,,2019-09,1.345,1.24,,2019-09,1.23,1.23,,2019-09,0.52,,2019-09,AOR,Restated
2019-06,3.65B,3.65B,1.27B,2.38B,1.282B,246.00M,,122.00M,-117.00M,,,,,1.65B,730.00M,,,,-165.00M,,565.00M,85.00M,480.00M,,,929.00M,199.00M,730.00M,,2019-06,1.556,1.29,,2019-06,1.26,1.26,,2019-06,0.52,,2019-06,AOR,Restated
2019-03,3.516B,3.516B,1.233B,2.283B,1.403B,225.00M,,114.00M,-13.00M,,,,,1.742B,541.00M,,,,-61.00M,,480.00M,68.00M,412.00M,,,731.00M,190.00M,541.00M,,2019-03,1.130,1.10,,2019-03,1.09,1.09,,2019-03,0.52,,2019-03,AOR,Restated
2018-12,3.796B,3.796B,1.34B,2.456B,1.431B,221.00M,,93.00M,-13.00M,,,,,1.745B,711.00M,,,,-54.00M,,657.00M,-1.411B,2.068B,,,887.00M,176.00M,711.00M,,2018-12,5.545,5.52,,2018-12,5.44,5.44,,2018-12,0.52,,2018-12,AOR,Restated
2018-09,3.242B,3.242B,1.087B,2.155B,1.242B,221.00M,,112.00M,-4.00M,,,,,1.575B,580.00M,,,,-46.00M,,534.00M,-56.00M,590.00M,,,765.00M,185.00M,580.00M,,2018-09,1.588,1.58,,2018-09,1.55,1.55,,2018-09,0.47,,2018-09,AOR,Restated
2018-06,3.322B,3.322B,1.132B,2.19B,1.19B,216.00M,,110.00M,-2.00M,,,,,1.516B,674.00M,,,,-51.00M,,623.00M,171.00M,452.00M,,,860.00M,186.00M,674.00M,,2018-06,1.214,1.21,,2018-06,1.19,1.19,,2018-06,0.47,,2018-06,AOR,Restated
2018-03,3.241B,3.241B,1.104B,2.137B,1.236B,204.00M,,102.00M,-4.00M,,,,,1.542B,595.00M,,,,-53.00M,,542.00M,99.00M,443.00M,,,771.00M,176.00M,595.00M,,2018-03,1.189,1.18,,2018-03,1.16,1.16,,2018-03,0.47,,2018-03,AOR,Restated
2017-12,3.471B,3.471B,1.23B,2.241B,1.217B,205.00M,,96.00M,-9.00M,,,,,1.518B,723.00M,,,,-74.00M,,649.00M,898.00M,-249.00M,,,892.00M,169.00M,723.00M,,2017-12,-0.6456,-0.66,,2017-12,-0.66,-0.66,,2017-12,0.47,,2017-12,AOR,Restated
2017-09,3.006B,3.006B,1.022B,1.984B,1.103B,198.00M,,92.00M,-66.00M,,,,,1.393B,591.00M,,,,-120.00M,,471.00M,37.00M,434.00M,,,754.00M,163.00M,591.00M,,2017-09,1.322,1.16,,2017-09,1.14,1.14,,2017-09,0.425,,2017-09,AOR,Restated
2017-06,3.012B,3.012B,1.021B,1.991B,1.13B,192.00M,,95.00M,-72.00M,,,,,1.417B,574.00M,,,,-130.00M,,444.00M,53.00M,391.00M,,,734.00M,160.00M,574.00M,,2017-06,1.210,1.04,,2017-06,1.03,1.03,,2017-06,0.425,,2017-06,AOR,Restated
2017-03,2.955B,2.955B,991.00M,1.964B,1.102B,192.00M,,88.00M,-26.00M,,,,,1.382B,582.00M,,,,-83.00M,,499.00M,55.00M,444.00M,,,732.00M,150.00M,582.00M,,2017-03,1.252,1.19,,2017-03,1.17,1.17,,2017-03,0.425,,2017-03,AOR,Restated
2016-12,3.157B,3.157B,1.062B,2.095B,1.093B,189.00M,,89.00M,-54.00M,,,,,1.371B,724.00M,,,,-136.00M,,588.00M,78.00M,510.00M,,,875.00M,151.00M,724.00M,,2016-12,1.485,1.36,,2016-12,1.34,1.34,,2016-12,0.425,,2016-12,AOR,Restated
2016-09,2.833B,2.833B,960.00M,1.873B,1.057B,184.00M,,89.00M,-57.00M,,,,,1.33B,543.00M,,,,-124.00M,,419.00M,64.00M,355.00M,,,691.00M,148.00M,543.00M,,2016-09,1.079,0.95,,2016-09,0.94,0.94,,2016-09,0.38,,2016-09,AOR,Restated
2016-06,2.84B,2.84B,998.00M,1.842B,1.043B,183.00M,,88.00M,-28.00M,,,,,1.314B,528.00M,,,,-95.00M,,433.00M,53.00M,380.00M,,,673.00M,145.00M,528.00M,,2016-06,1.086,1.02,,2016-06,1.00,1.00,,2016-06,0.38,,2016-06,AOR,Restated
2016-03,2.495B,2.495B,801.00M,1.694B,944.00M,159.00M,,53.00M,-19.00M,,,,,1.156B,538.00M,,,,-57.00M,,481.00M,79.00M,402.00M,,,640.00M,102.00M,538.00M,,2016-03,1.123,1.08,,2016-03,1.07,1.07,,2016-03,0.38,,2016-03,AOR,Restated
2015-12,2.715B,2.715B,895.00M,1.82B,970.00M,164.00M,,58.00M,20.00M,,,,,1.192B,628.00M,,,,-16.00M,,612.00M,90.00M,522.00M,,,736.00M,108.00M,628.00M,,2015-12,1.344,1.39,,2015-12,1.38,1.38,,2015-12,0.38,,2015-12,AOR,Restated
2015-09,2.42B,2.42B,796.00M,1.624B,887.00M,155.00M,,54.00M,-150.00M,,,,,1.096B,528.00M,,,,-183.00M,,345.00M,44.00M,301.00M,,,629.00M,101.00M,528.00M,,2015-09,1.148,0.80,,2015-09,0.79,0.79,,2015-09,0.345,,2015-09,AOR,Restated
2015-06,2.432B,2.432B,827.00M,1.605B,861.00M,154.00M,,49.00M,-112.00M,,,,,1.064B,541.00M,,,,-140.00M,,401.00M,9.00M,392.00M,,,635.00M,94.00M,541.00M,,2015-06,1.331,1.04,,2015-06,1.03,1.03,,2015-06,0.345,,2015-06,AOR,Restated
2015-03,2.379B,2.379B,826.00M,1.553B,892.00M,152.00M,,49.00M,-54.00M,,,,,1.093B,460.00M,,,,-83.00M,,377.00M,153.00M,224.00M,,,554.00M,94.00M,460.00M,,2015-03,0.6755,0.59,,2015-03,0.58,0.58,,2015-03,0.345,,2015-03,AOR,Restated
2014-12,2.618B,2.618B,899.00M,1.719B,940.00M,153.00M,,46.00M,-112.00M,,,,,1.139B,580.00M,,,,-119.00M,,461.00M,201.00M,260.00M,,,676.00M,96.00M,580.00M,,2014-12,0.8723,0.68,,2014-12,0.67,0.67,,2014-12,0.345,,2014-12,AOR,Restated
2014-09,2.389B,2.389B,829.00M,1.56B,878.00M,153.00M,,50.00M,-29.00M,,,,,1.081B,479.00M,,,,-54.00M,,425.00M,368.00M,57.00M,,,576.00M,97.00M,479.00M,,2014-09,0.2098,0.16,,2014-09,0.16,0.16,,2014-09,0.305,,2014-09,AOR,Restated
