,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,346.40M,32.10M,-66.80M,,,-34.70M,,,220.70M,220.70M,104.00M,,,6.20M,,68.80M,,,-112.80M,,433.30M,2020-09,-111.30M,1.60M,-109.70M,,,,-0.10M,-109.80M,2020-09,-405.40M,13.90M,-391.50M,,,,0.00,0.00,0.00,,-391.50M,2020-09,780.80M,-68.00M,18.50M,,2020-09,,0.50M,-405.90M,,,AOR,
2020-06,197.20M,7.90M,-62.40M,,,-54.50M,,,237.70M,237.70M,204.50M,,,5.90M,,70.30M,,,463.90M,,1.078B,2020-06,-120.00M,1.40M,-118.60M,,,,-2.90M,-121.50M,2020-06,-4.70M,-841.90M,-846.60M,,,,-1.90M,-1.90M,0.00,,-848.50M,2020-06,666.10M,108.00M,6.70M,,2020-06,,0.00,-4.70M,,,AOR,
2020-03,-115.40M,-0.20M,103.30M,,,103.10M,,,256.50M,256.50M,-43.30M,,,5.90M,,69.70M,,,-195.10M,,-18.10M,2020-03,-225.10M,1.60M,-223.50M,,,,3.50M,-220.00M,2020-03,-501.90M,1.02B,518.10M,,,,-123.40M,-123.40M,4.00M,,398.70M,2020-03,523.40M,160.60M,-17.90M,,2020-03,,1.00M,-502.90M,,,AOR,
2019-12,166.20M,-15.90M,2.70M,,,-23.30M,,,217.60M,217.60M,40.40M,,,1.00M,,62.70M,,,186.70M,,609.10M,2019-12,-136.50M,14.90M,-121.60M,,,,7.30M,-114.30M,2019-12,-7.30M,-266.40M,-273.70M,,,,-123.50M,-123.50M,0.10M,,-393.40M,2019-12,410.20M,101.40M,11.80M,,2019-12,,3.00M,-10.30M,,,AOR,
2019-09,-399.30M,698.30M,28.60M,,,726.90M,,,211.70M,211.70M,90.70M,,,-11.10M,,70.20M,,,-111.40M,,460.20M,2019-09,-146.80M,1.10M,-145.70M,,,,-5.50M,-151.20M,2019-09,-505.10M,250.80M,-254.30M,,,,-123.50M,-123.50M,0.10M,,-377.70M,2019-09,490.20M,-68.70M,-11.30M,,2019-09,,0.00,-505.10M,,,AOR,Restated
2019-06,330.20M,-68.20M,44.80M,,,-23.40M,,,216.80M,216.80M,70.40M,,,7.20M,,72.20M,,,323.80M,,926.50M,2019-06,-112.50M,97.50M,-15.00M,,,,41.80M,26.80M,2019-06,-3.60M,-609.60M,-613.20M,,,,-88.70M,-88.70M,0.80M,,-701.10M,2019-06,234.40M,252.20M,3.60M,,2019-06,,0.00,-3.60M,,,AOR,Restated
2019-03,149.10M,0.50M,-57.20M,,,-56.70M,,,212.90M,212.90M,32.20M,,,11.40M,,75.80M,,,-411.60M,,-98.50M,2019-03,-198.00M,2.40M,-195.60M,,,,1.00M,-194.60M,2019-03,-1.067B,620.50M,-446.70M,,,,-88.70M,-88.70M,0.60M,,-534.80M,2019-03,1.058B,-827.90M,4.40M,,2019-03,,0.00,-1.067B,,,AOR,Restated
2018-12,75.70M,-8.30M,131.90M,,,66.40M,,,213.30M,213.30M,-6.40M,,,8.80M,,66.20M,,,130.40M,,539.90M,2018-12,-160.70M,25.00M,-135.70M,,,,0.10M,-135.60M,2018-12,-9.60M,-20.00M,-29.60M,,,,-88.60M,-88.60M,9.30M,,-85.50M,2018-12,750.10M,318.80M,-11.00M,,2018-12,,,-9.60M,,,AOR,Restated
2018-09,345.60M,0.20M,22.80M,,,23.00M,,,214.60M,214.60M,64.50M,,,8.70M,,78.80M,,,-112.20M,,493.60M,2018-09,-139.90M,3.10M,-136.80M,,,,0.50M,-136.30M,2018-09,-307.80M,-2.70M,-310.50M,,,,-88.60M,-88.60M,0.40M,,-398.70M,2018-09,792.90M,-41.40M,-1.40M,,2018-09,,,-307.80M,,,AOR,Restated
2018-06,430.80M,-0.70M,-45.10M,,,-45.80M,,,215.90M,215.90M,92.20M,,,10.30M,,79.60M,,,208.00M,,982.60M,2018-06,-142.80M,2.80M,-140.00M,,,,-5.10M,-145.10M,2018-06,-1.60M,-144.90M,-146.50M,,,,-88.50M,-88.50M,0.20M,,-234.80M,2018-06,197.90M,602.70M,-7.70M,,2018-06,,,-1.60M,,,AOR,Restated
2018-03,282.50M,0.70M,83.50M,,,84.20M,,,213.70M,213.70M,74.90M,,,14.80M,,83.40M,,,-314.20M,,315.20M,2018-03,-208.30M,1.60M,-206.70M,,,,-45.40M,-252.10M,2018-03,-0.80M,-206.70M,-207.50M,,,,-88.50M,-88.50M,6.10M,,-289.90M,2018-03,418.60M,-226.80M,6.10M,,2018-03,,,-0.80M,,,AOR,Restated
2017-12,744.70M,9.20M,-39.80M,,-20.90M,-51.50M,,,208.50M,208.50M,-543.10M,,,12.10M,,82.80M,,,248.60M,,720.90M,2017-12,-133.60M,3.60M,-130.00M,,,,-10.20M,-140.20M,2017-12,-398.60M,-584.70M,-983.30M,,,,-88.50M,-88.50M,0.40M,-57.20M,-1.129B,2017-12,971.30M,-547.90M,-4.80M,,2017-12,,0.00,-398.60M,,,AOR,Restated
2017-09,293.10M,-5.30M,-43.00M,,-15.50M,-63.80M,,,208.30M,208.30M,147.40M,,,14.60M,,-147.50M,,,6.00M,,326.90M,2017-09,-112.00M,10.80M,-101.20M,,,,5.10M,-96.10M,2017-09,-400.00M,711.20M,311.20M,,,,-88.30M,-88.30M,2.50M,,225.40M,2017-09,502.90M,456.20M,12.20M,,2017-09,,0.00,-400.00M,,,AOR,Restated
2017-06,335.00M,0.10M,20.90M,,-15.10M,5.90M,,,198.90M,198.90M,125.20M,,,16.10M,,54.50M,,,221.50M,,936.80M,2017-06,-174.00M,4.10M,-169.90M,,,,0.10M,-169.80M,2017-06,-700.40M,110.70M,-589.70M,,,,-88.30M,-88.30M,0.80M,3.70M,-673.50M,2017-06,395.00M,93.50M,14.40M,,2017-06,,0.00,-700.40M,,,AOR,Restated
2017-03,215.00M,-4.40M,-62.40M,,-16.30M,-83.10M,,,197.10M,197.10M,65.90M,,,15.50M,,62.20M,,,-459.30M,,-118.30M,2017-03,-180.00M,42.00M,-138.00M,,,,5.90M,-132.10M,2017-03,34.90M,137.10M,172.00M,,,,-88.30M,-88.30M,0.30M,-3.70M,80.30M,2017-03,560.90M,-170.10M,4.20M,,2017-03,,1.536B,-1.501B,,,AOR,Restated
2016-12,1.059B,485.40M,-1.10M,-2.975B,-18.00M,-2.508B,,,184.10M,184.10M,1.397B,,,12.30M,,174.70M,,,240.70M,-2.30M,496.70M,2016-12,-152.90M,19.10M,-133.80M,,-11.96B,,-0.10M,-12.10B,2016-12,2.288B,36.40M,2.324B,0.00,,0.00,-88.30M,-88.30M,3.00M,-41.40M,2.198B,2016-12,9.982B,-9.403B,-17.40M,,2016-12,0.00,2.489B,-200.60M,,,AOR,Restated
2016-09,203.80M,-9.60M,-14.40M,-158.10M,2.40M,-179.70M,,,66.60M,66.60M,19.60M,,,6.10M,,103.40M,,,26.10M,0.00,347.80M,2016-09,-67.30M,10.80M,-56.50M,,-84.50M,,12.70M,-128.30M,2016-09,6.935B,-22.50M,6.912B,-0.30M,,-0.30M,-88.10M,-88.10M,2.80M,-45.20M,6.782B,2016-09,2.990B,7.001B,-9.80M,,2016-09,-0.30M,6.940B,-5.40M,,,AOR,Restated
2016-06,173.90M,30.30M,-1.20M,-184.90M,2.00M,-153.80M,,,70.20M,70.20M,21.20M,,,5.40M,,60.20M,,,79.50M,1.80M,370.70M,2016-06,-50.50M,142.20M,91.70M,,50.80M,,2.40M,144.90M,2016-06,3.20M,-34.80M,-31.60M,-0.50M,,-0.50M,-88.20M,-88.20M,1.20M,-0.80M,-119.90M,2016-06,2.603B,395.70M,-8.30M,,2016-06,-0.50M,10.80M,-7.60M,,,AOR,Restated
2016-03,163.50M,-110.10M,-4.00M,-135.90M,2.00M,-248.00M,,,67.50M,67.50M,16.70M,,,6.10M,,60.40M,,,-161.70M,0.50M,-88.30M,2016-03,-71.10M,2.40M,-68.70M,,-130.30M,,-6.50M,-205.50M,2016-03,10.60M,19.80M,30.40M,2.526B,,2.526B,-88.30M,-88.30M,4.20M,-14.20M,2.458B,2016-03,430.90M,2.165B,7.30M,,2016-03,2.526B,20.90M,-10.30M,,,AOR,Restated
2015-12,69.40M,2.60M,6.70M,-43.60M,-42.10M,-76.40M,,,72.50M,72.50M,17.60M,,,5.50M,,24.80M,,,87.10M,0.60M,236.90M,2015-12,-66.70M,3.00M,-63.70M,,46.00M,,28.40M,10.70M,2015-12,-15.00M,-5.20M,-20.20M,0.00,-50.00M,-50.00M,-75.30M,-75.30M,3.40M,-61.80M,-203.90M,2015-12,393.60M,43.70M,-6.40M,,2015-12,0.00,-9.70M,-5.30M,-50.00M,,AOR,Restated
2015-09,15.20M,275.60M,5.10M,-136.00M,4.10M,148.80M,,,83.00M,83.00M,-27.30M,,,4.80M,7.60M,22.90M,,,-12.40M,-2.90M,280.90M,2015-09,-68.50M,1.30M,-67.20M,,-22.50M,,2.40M,-87.30M,2015-09,3.60M,-75.70M,-72.10M,0.00,-50.00M,-50.00M,-75.80M,-75.80M,2.60M,-7.60M,-202.90M,2015-09,413.80M,-9.30M,-10.90M,,2015-09,0.00,685.10M,-681.50M,-50.00M,,AOR,Restated
2015-06,231.30M,-2.80M,3.50M,-206.00M,4.80M,-200.50M,,,81.40M,81.40M,58.40M,,,4.90M,-1.50M,8.10M,,,89.30M,0.30M,400.70M,2015-06,-66.10M,4.50M,-61.60M,,-2.50M,,-0.80M,-64.90M,2015-06,3.80M,-130.90M,-127.10M,0.00,-50.10M,-50.10M,-76.10M,-76.10M,3.80M,1.50M,-248.00M,2015-06,317.60M,87.80M,8.40M,,2015-06,0.00,11.30M,-7.50M,-50.10M,,AOR,Restated
2015-03,82.60M,-0.70M,1.40M,-130.70M,3.10M,-126.90M,,,77.50M,77.50M,12.80M,,,3.20M,-6.10M,-184.70M,,,-136.40M,-1.90M,-202.60M,2015-03,-73.70M,3.00M,-70.70M,,-113.80M,,-8.70M,-193.20M,2015-03,9.50M,159.10M,168.60M,0.00,,0.00,-76.20M,-76.20M,24.80M,6.10M,123.30M,2015-03,624.60M,-272.50M,-34.50M,,2015-03,0.00,16.60M,-7.10M,,,AOR,Restated
2014-12,94.40M,3.50M,22.40M,-85.30M,,-38.40M,,,80.00M,80.00M,88.00M,,,5.50M,6.60M,105.80M,,,27.90M,-0.90M,229.50M,2014-12,-63.70M,2.80M,-60.90M,,35.00M,,24.40M,-1.50M,2014-12,-8.00M,-225.00M,-233.00M,,0.00,0.00,-68.50M,-68.50M,5.90M,-8.50M,-304.10M,2014-12,722.10M,-76.10M,-21.40M,,2014-12,,-142.60M,361.00M,0.00,,AOR,Restated
