,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2020-10,391.00M,,,,,,214.00M,214.00M,6.00M,,42.00M,,112.00M,-126.00M,-3.314B,,2.481B,-43.00M,,356.00M,-646.00M,119.00M,,2020-10,-194.00M,,-194.00M,0.00,-574.00M,-2.00M,,2020-10,638.00M,638.00M,6.00M,0.00,6.00M,-142.00M,-142.00M,0.00,502.00M,,5.422B,-149.00M,-2.00M,5.271B,2020-10,6.00M,642.00M,-4.00M,0.00,,2020-10,
2020-07,432.00M,,,,,,207.00M,207.00M,-2.00M,,50.00M,,4.00M,-151.00M,-122.00M,,2.159B,-5.00M,,389.00M,2.27B,2.961B,,2020-07,-162.00M,,-162.00M,0.00,-46.00M,4.00M,,2020-07,-1.257B,-1.257B,22.00M,0.00,22.00M,-143.00M,-143.00M,-3.00M,-1.381B,,4.034B,1.376B,12.00M,5.422B,2020-07,22.00M,0.00,-1.257B,0.00,,2020-07,
2020-04,159.00M,,,,,,207.00M,207.00M,15.00M,,15.00M,,6.00M,383.00M,1.136B,,-816.00M,-12.00M,,-266.00M,425.00M,827.00M,,2020-04,-178.00M,,-178.00M,,,-1.00M,,2020-04,1.25B,1.25B,,-62.00M,-62.00M,-141.00M,-141.00M,2.00M,1.049B,,2.355B,1.697B,-18.00M,4.034B,2020-04,,1.25B,,-62.00M,,2020-04,
2020-01,745.00M,,,,,,205.00M,205.00M,50.00M,,34.00M,,5.00M,-95.00M,2.396B,,-1.937B,18.00M,,207.00M,589.00M,1.628B,,2020-01,-157.00M,,-157.00M,0.00,-11.00M,0.00,,2020-01,-4.00M,-4.00M,3.00M,-307.00M,-304.00M,-129.00M,-129.00M,-1.00M,-438.00M,,1.332B,1.022B,1.00M,2.355B,2020-01,3.00M,0.00,-4.00M,-307.00M,,2020-01,
2019-10,293.00M,,,,,,206.00M,206.00M,10.00M,,35.00M,,0.00,-93.00M,-2.358B,,2.197B,27.00M,,-5.00M,-232.00M,312.00M,,2019-10,-201.00M,,-201.00M,-20.00M,322.00M,0.00,,2019-10,-3.00M,-3.00M,18.00M,-368.00M,-350.00M,-131.00M,-131.00M,,-484.00M,,1.404B,-71.00M,-1.00M,1.332B,2019-10,18.00M,0.00,-3.00M,-368.00M,,2019-10,Restated
2019-07,238.00M,,,,,,201.00M,201.00M,-3.00M,,38.00M,,56.00M,-125.00M,-8.00M,,306.00M,-15.00M,,-65.00M,93.00M,623.00M,,2019-07,-192.00M,,-192.00M,-125.00M,-319.00M,0.00,,2019-07,-8.00M,-8.00M,27.00M,-230.00M,-203.00M,-133.00M,-133.00M,-6.00M,-350.00M,,1.767B,-363.00M,0.00,1.404B,2019-07,27.00M,0.00,-8.00M,-230.00M,,2019-07,Restated
2019-04,265.00M,,,,,,200.00M,200.00M,13.00M,,36.00M,,1.00M,182.00M,207.00M,,-519.00M,-14.00M,,-369.00M,-513.00M,2.00M,,2019-04,-193.00M,,-193.00M,,,1.00M,,2019-04,0.00,0.00,,-98.00M,-98.00M,-134.00M,-134.00M,6.00M,-226.00M,,2.184B,-416.00M,-1.00M,1.767B,2019-04,,0.00,,-98.00M,,2019-04,Restated
2019-01,735.00M,,,,,,220.00M,220.00M,-5.00M,,31.00M,,-16.00M,-93.00M,2.756B,,-2.653B,11.00M,,315.00M,336.00M,1.301B,,2019-01,-200.00M,,-200.00M,5.00M,128.00M,1.00M,,2019-01,-11.00M,-11.00M,1.00M,-361.00M,-360.00M,-121.00M,-121.00M,0.00,-492.00M,,1.439B,743.00M,2.00M,2.184B,2019-01,1.00M,0.00,-11.00M,-361.00M,,2019-01,Restated
2018-10,277.00M,,,,,,192.00M,192.00M,10.00M,,29.00M,,-10.00M,1.00M,-3.137B,,2.60B,8.00M,,29.00M,-499.00M,-1.00M,,2018-10,-244.00M,,-244.00M,-792.00M,405.00M,5.00M,,2018-10,486.00M,486.00M,8.00M,-370.00M,-362.00M,-123.00M,-123.00M,-3.00M,-2.00M,,2.068B,-629.00M,0.00,1.439B,2018-10,8.00M,498.00M,-12.00M,-370.00M,,2018-10,Restated
2018-07,244.00M,,,,,,182.00M,182.00M,-4.00M,,31.00M,,19.00M,-69.00M,-56.00M,,699.00M,-40.00M,,-102.00M,432.00M,904.00M,,2018-07,-194.00M,,-194.00M,0.00,320.00M,1.00M,,2018-07,-512.00M,-512.00M,5.00M,-374.00M,-369.00M,-125.00M,-125.00M,-2.00M,-1.008B,,2.049B,23.00M,-4.00M,2.068B,2018-07,5.00M,,-512.00M,-374.00M,,2018-07,Restated
