,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2020-10,11.85B,11.85B,9.058B,2.795B,2.123B,-111.00M,11.00M,-11.00M,2.123B,672.00M,11.00M,-11.00M,-106.00M,-11.00M,555.00M,164.00M,391.00M,,,,391.00M,465.62M,780.00M,214.00M,566.00M,1.50,,,1.787,1.50,1.48,,,1.763,1.48,259.80M,263.70M,0.55,AOR,
2020-07,9.91B,9.91B,7.64B,2.27B,1.702B,0.00,15.00M,-15.00M,1.702B,568.00M,15.00M,-15.00M,8.00M,-15.00M,561.00M,129.00M,432.00M,,,,432.00M,425.83M,783.00M,207.00M,576.00M,1.67,,,1.646,1.67,1.65,,,1.626,1.65,259.50M,262.10M,0.55,AOR,
2020-04,8.562B,8.562B,6.597B,1.965B,1.735B,-1.00M,17.00M,-17.00M,1.735B,230.00M,17.00M,-17.00M,5.00M,-17.00M,218.00M,59.00M,159.00M,,,,159.00M,155.37M,442.00M,207.00M,235.00M,0.61,,,0.5959,0.61,0.61,,,0.5961,0.61,258.30M,260.40M,0.55,AOR,
2020-01,15.20B,15.20B,11.96B,3.235B,2.268B,0.00,14.00M,-14.00M,2.268B,967.00M,14.00M,-14.00M,14.00M,-14.00M,967.00M,222.00M,745.00M,,,,745.00M,734.21M,1.186B,205.00M,981.00M,2.87,,,2.829,2.87,2.84,,,2.799,2.84,261.60M,265.10M,0.50,AOR,
2019-10,9.764B,9.764B,7.403B,2.361B,1.973B,7.00M,16.00M,-16.00M,1.973B,388.00M,16.00M,-16.00M,17.00M,-16.00M,389.00M,96.00M,293.00M,,,,293.00M,280.22M,611.00M,206.00M,405.00M,1.11,,,1.061,1.11,1.10,,,1.052,1.10,263.20M,265.20M,0.50,AOR,Restated
2019-07,9.536B,9.536B,7.253B,2.283B,1.922B,-48.00M,16.00M,-16.00M,1.922B,361.00M,16.00M,-16.00M,-38.00M,-16.00M,307.00M,69.00M,238.00M,,,,238.00M,267.53M,524.00M,201.00M,323.00M,0.89,,,1.001,0.89,0.89,,,0.9996,0.89,267.10M,269.40M,0.50,AOR,Restated
2019-04,9.142B,9.142B,6.973B,2.169B,1.835B,0.00,18.00M,-18.00M,1.835B,334.00M,18.00M,-18.00M,14.00M,-18.00M,330.00M,65.00M,265.00M,,,,265.00M,253.77M,548.00M,200.00M,348.00M,0.99,,,0.9480,0.99,0.98,,,0.9386,0.98,267.60M,271.50M,0.50,AOR,Restated
2019-01,14.80B,14.80B,11.52B,3.283B,2.306B,1.00M,20.00M,-20.00M,2.306B,977.00M,20.00M,-20.00M,14.00M,-20.00M,972.00M,237.00M,735.00M,,,,735.00M,723.66M,1.212B,220.00M,992.00M,2.732,0.00,,2.690,2.73,2.688,0.00,,2.647,2.69,269.80M,274.20M,0.45,AOR,Restated
2018-10,9.59B,9.59B,7.266B,2.324B,2.002B,0.00,15.00M,-15.00M,2.002B,322.00M,15.00M,-15.00M,23.00M,-15.00M,330.00M,53.00M,277.00M,,,,277.00M,257.70M,537.00M,192.00M,345.00M,1.01,,,0.9396,1.01,0.99,,,0.9209,0.99,274.30M,279.30M,0.45,AOR,Restated
2018-07,9.379B,9.379B,7.15B,2.229B,1.877B,-17.00M,19.00M,-19.00M,1.877B,352.00M,19.00M,-19.00M,-4.00M,-19.00M,329.00M,85.00M,244.00M,,,,244.00M,246.97M,530.00M,182.00M,348.00M,0.88,,,0.8907,0.88,0.86,,,0.8705,0.86,279.00M,283.70M,0.45,AOR,Restated
2018-04,9.109B,9.109B,6.984B,2.125B,1.83B,-30.00M,19.00M,-19.00M,1.83B,295.00M,19.00M,-19.00M,-19.00M,-19.00M,257.00M,49.00M,208.00M,,,,208.00M,223.35M,452.00M,176.00M,276.00M,0.74,,,0.7943,0.74,0.72,,,0.7732,0.72,282.60M,288.30M,0.45,AOR,Restated
