,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.505B,1.505B,538.70M,966.60M,585.90M,0.00,63.70M,-63.70M,,585.90M,380.70M,63.70M,-63.70M,0.50M,-63.70M,317.50M,61.70M,255.80M,,,255.80M,255.80M,543.90M,162.70M,381.20M,,2.44,,,,2.44,2.44,,2.41,,,,2.41,2.41,,104.90M,106.00M,0.5625,,AOR,
2020-09,1.366B,1.366B,490.20M,875.90M,508.30M,0.00,62.30M,-62.30M,,508.30M,367.60M,62.30M,-62.30M,-2.20M,-62.30M,303.10M,68.70M,234.40M,,,234.40M,234.40M,495.40M,130.00M,365.40M,,2.24,,,,2.24,2.24,,2.21,,,,2.21,2.21,,104.70M,105.90M,0.5125,,AOR,
2020-06,1.305B,1.305B,461.30M,843.70M,510.10M,0.00,47.50M,-47.50M,,510.10M,333.60M,47.50M,-47.50M,-2.00M,-47.50M,284.10M,64.90M,219.20M,,,219.20M,219.20M,445.10M,113.50M,331.60M,,2.10,,,,2.10,2.10,,2.08,,,,2.08,2.08,,104.50M,105.50M,0.5125,,AOR,
2020-03,1.351B,1.351B,493.90M,856.80M,507.60M,0.00,45.40M,-45.40M,,507.60M,349.20M,45.40M,-45.40M,0.80M,-45.40M,304.60M,64.30M,240.30M,,,240.30M,240.30M,464.60M,114.60M,350.00M,,2.30,,,,2.30,2.30,,2.28,,,,2.28,2.28,,104.30M,105.30M,0.5125,,AOR,
2019-12,1.395B,1.395B,501.90M,892.90M,494.50M,801.10M,49.00M,-49.00M,,494.50M,398.40M,49.00M,-49.00M,798.60M,-49.00M,1.148B,276.90M,871.10M,,,871.10M,263.23M,1.314B,116.90M,1.197B,,8.37,,,,2.536,8.37,,8.28,,,,2.513,8.28,,104.20M,105.40M,0.5125,,AOR,
2019-09,1.354B,1.354B,480.90M,873.60M,488.40M,0.00,48.80M,-48.80M,,488.40M,385.20M,48.80M,-48.80M,1.50M,-48.80M,337.90M,60.40M,277.50M,,,277.50M,277.50M,493.00M,106.30M,386.70M,,2.67,,,,2.67,2.67,,2.64,,,,2.64,2.64,,104.00M,105.20M,0.4625,,AOR,Restated
2019-06,1.330B,1.330B,480.30M,850.00M,481.60M,0.00,45.10M,-45.10M,,481.60M,368.40M,45.10M,-45.10M,-1.00M,-45.10M,322.30M,72.60M,249.70M,,,249.70M,249.70M,465.60M,98.20M,367.40M,,2.40,,,,2.40,2.40,,2.38,,,,2.38,2.38,,103.90M,105.10M,0.4625,,AOR,Restated
2019-03,1.287B,1.287B,476.60M,810.60M,464.20M,119.60M,43.70M,-43.70M,,464.20M,346.40M,43.70M,-43.70M,116.50M,-43.70M,419.20M,49.60M,369.60M,,,369.60M,264.11M,557.50M,94.60M,462.90M,,3.57,,,,2.552,3.57,,3.53,,,,2.522,3.53,,103.60M,104.70M,0.4625,,AOR,Restated
2018-12,1.376B,1.376B,503.20M,873.10M,508.70M,0.00,47.30M,-47.30M,,508.70M,364.40M,47.30M,-47.30M,1.00M,-47.30M,318.10M,61.00M,257.10M,,,257.10M,257.10M,459.50M,94.10M,365.40M,,2.49,,,,2.49,2.49,,2.46,,,,2.46,2.46,,103.20M,104.40M,0.4625,,AOR,Restated
2018-09,1.319B,1.319B,478.70M,840.00M,462.50M,-15.90M,48.40M,-48.40M,,462.50M,377.50M,48.40M,-48.40M,-17.50M,-48.40M,311.60M,64.00M,247.60M,,,247.60M,260.24M,454.70M,94.70M,360.00M,,2.39,,,,2.512,2.39,,2.37,,,,2.491,2.37,,103.40M,104.60M,0.4125,,AOR,Restated
