,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,308.30M,308.30M,863.00M,241.70M,1.127B,,,,,198.40M,,,119.00M,1.752B,,,,,,,140.60M,14.40B,7.207B,21.60B,104.00M,425.80M,22.27B,24.02B,,177.80M,,26.90M,204.70M,457.00M,661.70M,,,502.00M,,502.00M,994.60M,994.60M,,,2.444B,9.064B,9.064B,1.562B,1.562B,473.60M,11.10B,13.54B,,1.10M,8.546B,2.098B,18.00M,-147.00M,10.48B,,AOR,
2020-09,302.10M,302.10M,773.40M,249.90M,1.066B,138.30M,29.50M,85.40M,,214.90M,,,122.80M,1.706B,,,,,,,146.60M,14.16B,7.122B,21.28B,95.10M,423.00M,21.95B,23.65B,,173.10M,,35.10M,208.20M,409.30M,617.50M,,,602.80M,,602.80M,868.10M,868.10M,,,2.340B,9.101B,9.101B,1.564B,1.564B,486.10M,11.15B,13.49B,,1.10M,8.349B,2.070B,18.10M,-241.40M,10.16B,,AOR,
2020-06,1.871B,1.871B,738.80M,225.10M,987.60M,137.40M,29.50M,86.10M,,216.60M,,,104.20M,3.179B,,,,,,,129.60M,10.85B,4.512B,15.36B,92.60M,382.50M,15.96B,19.14B,,185.40M,,320.10M,505.50M,354.80M,860.30M,,602.60M,602.60M,,602.60M,828.30M,828.30M,,,2.499B,5.264B,5.264B,1.070B,1.070B,429.90M,6.764B,9.263B,,1.10M,8.169B,2.013B,18.20M,-284.80M,9.880B,,AOR,
2020-03,999.80M,999.80M,712.20M,225.30M,956.60M,127.10M,31.50M,81.70M,,206.20M,,,110.80M,2.273B,,,,,,,133.40M,10.73B,4.523B,15.26B,95.00M,380.50M,15.86B,18.14B,,180.80M,,268.90M,449.70M,327.00M,776.70M,,,602.40M,,602.40M,827.50M,827.50M,,,2.366B,4.674B,4.674B,1.081B,1.081B,425.10M,6.180B,8.546B,,1.10M,8.003B,1.946B,18.20M,-341.00M,9.591B,,AOR,
2019-12,709.70M,709.70M,791.60M,183.50M,993.60M,125.10M,30.90M,76.00M,,198.60M,,,97.60M,2.000B,0.00,2.20M,84.70M,387.80M,474.70M,-334.80M,139.90M,10.82B,4.668B,15.48B,95.60M,390.80M,16.11B,18.11B,,162.00M,54.30M,215.10M,431.40M,203.70M,635.10M,,602.20M,602.20M,56.80M,659.00M,863.20M,863.20M,,,2.397B,4.673B,4.673B,1.108B,1.108B,438.40M,6.220B,8.617B,,1.10M,7.818B,1.904B,18.30M,-212.80M,9.492B,,AOR,
2019-09,323.00M,323.00M,697.60M,197.80M,930.30M,129.90M,30.80M,77.60M,,205.00M,,,101.50M,1.619B,,,,,,,142.60M,10.75B,4.731B,15.48B,91.10M,488.50M,16.20B,17.82B,,156.80M,,35.40M,192.20M,324.30M,516.50M,,,2.90M,,2.90M,745.70M,745.70M,,31.50M,1.501B,6.195B,6.195B,1.100B,1.100B,437.70M,7.747B,9.248B,,1.10M,7.000B,1.873B,18.30M,-285.10M,8.571B,,AOR,Restated
2019-06,320.80M,320.80M,698.20M,206.60M,939.10M,128.90M,29.00M,78.40M,,203.50M,,,88.90M,1.602B,,,,,,,134.20M,9.658B,3.943B,13.60B,92.10M,478.90M,14.31B,15.91B,,162.20M,,46.80M,209.00M,288.10M,497.10M,,,2.10M,,2.10M,729.10M,729.10M,,28.10M,1.443B,4.719B,4.719B,948.90M,948.90M,425.80M,6.114B,7.557B,,1.10M,6.771B,1.840B,18.40M,-243.20M,8.351B,,AOR,Restated
2019-03,392.50M,392.50M,629.30M,194.40M,842.20M,128.80M,30.70M,79.30M,,207.50M,,,91.50M,1.586B,,,,,,,132.20M,9.365B,3.767B,13.13B,93.00M,470.70M,13.83B,15.41B,,172.60M,,78.70M,251.30M,298.00M,549.30M,,,1.70M,,1.70M,691.10M,691.10M,,38.30M,1.445B,4.487B,4.487B,920.50M,920.50M,416.60M,5.832B,7.277B,,1.10M,6.569B,1.800B,18.40M,-214.60M,8.137B,,AOR,Restated
2018-12,364.40M,364.40M,700.80M,169.40M,891.90M,120.30M,26.20M,74.60M,,190.80M,,,80.00M,1.611B,0.00,2.20M,76.70M,361.80M,440.70M,-312.00M,128.70M,9.347B,3.842B,13.19B,52.20M,269.00M,13.64B,15.25B,,165.30M,48.50M,58.30M,272.10M,173.30M,445.40M,,1.50M,1.50M,0.00,1.50M,714.10M,714.10M,,38.90M,1.448B,4.940B,4.940B,931.10M,931.10M,191.50M,6.063B,7.511B,,1.10M,6.248B,1.752B,18.50M,-243.30M,7.738B,,AOR,Restated
2018-09,363.40M,363.40M,671.70M,176.10M,896.60M,136.70M,30.30M,81.10M,,212.20M,,,83.30M,1.608B,,,,,,,130.20M,9.401B,3.887B,13.29B,27.40M,191.20M,13.64B,15.25B,,163.70M,,45.00M,208.70M,259.70M,468.40M,,,801.60M,,801.60M,613.80M,613.80M,,32.20M,2.119B,4.414B,4.414B,958.20M,958.20M,196.80M,5.571B,7.690B,,1.10M,6.038B,1.734B,18.60M,-199.60M,7.555B,,AOR,Restated
2018-06,421.80M,421.80M,669.30M,180.00M,897.20M,128.40M,29.90M,78.10M,,201.90M,,,81.70M,1.651B,,,,,,,138.60M,9.389B,3.964B,13.35B,29.90M,188.00M,13.71B,15.36B,,165.20M,,28.70M,193.90M,234.40M,428.30M,,,801.70M,,801.70M,620.00M,620.00M,,35.00M,2.066B,4.822B,4.822B,963.70M,963.70M,204.90M,5.992B,8.058B,,1.10M,5.833B,1.692B,18.60M,-204.60M,7.303B,,AOR,Restated
2018-03,366.20M,366.20M,631.20M,157.60M,835.00M,141.00M,31.20M,84.10M,,216.70M,,,84.10M,1.502B,,,,,,,140.90M,8.870B,3.438B,12.31B,31.40M,92.20M,12.57B,14.07B,,171.10M,,67.20M,238.30M,274.20M,512.50M,,,801.30M,,801.30M,584.70M,584.70M,,,2.048B,3.821B,3.821B,829.80M,829.80M,220.60M,4.871B,6.919B,,1.00M,5.648B,1.654B,18.60M,-128.40M,7.156B,,AOR,Restated
2017-12,671.30M,671.30M,641.70M,143.60M,809.70M,133.00M,27.60M,82.40M,,204.90M,,,73.50M,1.759B,0.00,2.50M,90.70M,366.20M,459.40M,-316.90M,142.50M,8.820B,3.475B,12.30B,30.70M,88.30M,12.56B,14.32B,,171.10M,42.90M,26.40M,240.40M,171.20M,411.60M,,,800.90M,,800.90M,618.90M,618.90M,,,2.029B,4.355B,4.355B,829.60M,829.60M,239.20M,5.423B,7.453B,,1.00M,5.465B,1.603B,18.70M,-186.20M,6.864B,,AOR,Restated
2017-09,605.62M,605.62M,603.87M,157.85M,761.73M,131.82M,29.17M,87.56M,,209.31M,,,115.41M,1.692B,,,,,,,141.28M,8.794B,3.503B,12.30B,32.46M,84.24M,12.55B,14.25B,,163.72M,,46.58M,210.29M,261.46M,471.75M,,,401.53M,,401.53M,534.56M,534.56M,,,1.577B,4.933B,4.933B,1.163B,1.163B,114.82M,6.211B,7.788B,,1.043M,5.063B,1.591B,18.75M,-177.28M,6.459B,,AOR,Restated
2017-06,663.34M,663.34M,576.36M,146.94M,723.31M,121.52M,26.99M,89.91M,,199.84M,43.48M,,71.14M,1.701B,,,,,,,142.64M,8.720B,3.539B,12.26B,31.54M,79.17M,12.51B,14.21B,,155.37M,,29.83M,185.20M,238.98M,424.17M,,,401.30M,,401.30M,516.36M,516.36M,,,1.498B,5.241B,5.241B,1.159B,1.159B,114.24M,6.514B,8.013B,,1.041M,4.908B,1.555B,18.80M,-244.81M,6.200B,,AOR,Restated
