,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2020-08,2.460B,199.30M,2.260B,1.045B,1.216B,399.10M,-22.00M,21.40M,100.20M,-100.20M,,399.10M,816.70M,100.20M,-100.20M,-59.30M,-100.20M,657.20M,135.40M,521.80M,-9.70M,,512.10M,532.90M,829.10M,,2020-08,2.68,,2.788,2020-08,2.62,,2.715,2.62,193.36M,218.43M,0.75,AOR,
2020-05,2.132B,168.30M,1.963B,975.10M,988.30M,353.30M,25.00M,-32.00M,100.00M,-100.00M,,353.30M,635.00M,100.00M,-100.00M,-603.20M,-100.00M,-68.20M,104.40M,-172.60M,-5.30M,,-177.90M,262.44M,102.80M,,2020-05,-0.94,,1.343,2020-05,-0.94,,1.343,-0.94,192.90M,192.90M,0.75,AOR,
2020-02,2.076B,172.70M,1.903B,953.10M,949.80M,370.10M,32.70M,-34.60M,99.40M,-99.40M,,370.10M,579.70M,99.40M,-99.40M,8.60M,-99.40M,488.90M,79.90M,409.00M,-10.60M,,398.40M,365.02M,665.90M,,2020-02,2.10,,1.926,2020-02,2.04,,1.866,2.04,191.85M,191.85M,0.75,AOR,
2019-11,2.182B,182.10M,1.999B,1.012B,987.50M,406.30M,390.00M,-314.00M,103.10M,-103.10M,,406.30M,581.20M,103.10M,-103.10M,-770.50M,-103.10M,-292.40M,-658.90M,366.50M,-6.10M,,360.40M,979.29M,-109.50M,,2019-11,1.90,,5.129,2019-11,1.85,,5.026,1.85,191.66M,194.86M,0.75,AOR,
2019-08,2.573B,229.40M,2.344B,1.158B,1.186B,439.40M,27.00M,-29.40M,111.60M,-111.60M,,439.40M,746.50M,111.60M,-111.60M,-1.354B,-111.60M,-719.20M,-202.20M,-517.00M,-8.20M,,-525.20M,99.25M,-525.10M,,2019-08,-2.77,,0.4887,2019-08,-2.77,,0.4887,-2.77,191.63M,191.63M,0.75,AOR,Restated
2019-05,2.282B,185.30M,2.097B,1.068B,1.029B,406.00M,0.00,0.00,114.60M,-114.60M,,406.00M,622.70M,114.60M,-114.60M,-930.60M,-114.60M,-422.50M,-185.40M,-237.10M,-8.30M,,-245.40M,433.94M,-221.30M,,2019-05,-1.30,,2.249,2019-05,-1.30,,2.249,-1.30,191.44M,191.44M,0.75,AOR,Restated
2019-02,1.968B,170.80M,1.797B,903.70M,893.50M,428.20M,0.00,0.00,118.50M,-118.50M,,428.20M,465.30M,118.50M,-118.50M,1.183B,-118.50M,1.530B,280.80M,1.249B,-9.90M,,1.240B,272.20M,1.732B,,2019-02,6.57,,1.498,2019-02,6.37,,3.007,6.37,190.70M,287.65M,0.74,AOR,Restated
2018-11,2.161B,188.00M,1.973B,1.003B,970.00M,413.50M,0.00,-1.70M,72.80M,-72.80M,,413.50M,556.50M,72.80M,-72.80M,-136.30M,-72.80M,347.40M,35.30M,312.10M,-9.00M,,303.10M,451.81M,501.50M,,2018-11,1.62,,2.404,2018-11,1.56,,2.323,1.56,189.68M,194.82M,0.74,AOR,Restated
2018-08,2.526B,226.60M,2.299B,1.131B,1.168B,403.20M,,0.00,88.00M,-88.00M,,403.20M,765.00M,88.00M,-88.00M,688.40M,-88.00M,1.365B,214.10M,1.151B,-1.80M,,1.150B,567.41M,1.538B,,2018-08,6.11,,3.054,2018-08,5.87,,3.215,5.87,190.50M,219.23M,0.74,AOR,Restated
2018-05,2.23B,182.90M,2.047B,998.50M,1.049B,423.20M,,,87.80M,-87.80M,,423.20M,625.40M,87.80M,-87.80M,364.40M,-87.80M,902.00M,155.70M,746.30M,-2.50M,,743.80M,442.44M,1.074B,,2018-05,3.93,,2.355,2018-05,3.77,,2.241,3.77,191.39M,197.06M,0.74,AOR,Restated
2018-02,1.932B,169.50M,1.762B,916.80M,845.20M,333.40M,,-77.90M,86.90M,-86.90M,,333.40M,511.80M,86.90M,-86.90M,159.60M,-86.90M,584.50M,-329.30M,913.80M,-3.30M,,910.50M,819.25M,671.40M,,2018-02,4.84,,4.369,2018-02,4.64,,4.328,4.64,193.59M,292.78M,0.52,AOR,Restated
2017-11,1.982B,179.80M,1.802B,891.60M,910.30M,420.70M,,-10.30M,81.40M,-81.40M,,420.70M,489.60M,81.40M,-81.40M,238.80M,-81.40M,647.00M,150.60M,496.40M,-3.60M,,492.80M,309.64M,893.10M,,2017-11,2.55,,1.612,2017-11,2.45,,1.540,2.45,195.26M,201.18M,0.52,AOR,Restated
2017-08,2.301B,212.70M,2.088B,1.019B,1.069B,351.40M,,-2.10M,81.30M,-81.30M,,351.40M,717.30M,81.30M,-81.30M,-1.90M,-81.30M,634.10M,130.00M,504.10M,-2.50M,,501.60M,503.11M,786.20M,,2017-08,2.59,,2.598,2017-08,2.49,,2.498,2.49,195.42M,201.35M,0.52,AOR,Restated
2017-05,2.108B,179.80M,1.928B,940.20M,988.30M,427.20M,,-6.70M,82.40M,-82.40M,,427.20M,561.10M,82.40M,-82.40M,-6.30M,-82.40M,472.40M,71.40M,401.00M,-2.50M,,398.50M,403.85M,624.90M,,2017-05,2.07,,2.097,2017-05,1.98,,2.007,1.98,194.90M,201.03M,0.52,AOR,Restated
2017-02,1.783B,165.10M,1.618B,840.30M,777.30M,348.30M,,,77.00M,-77.00M,,348.30M,429.00M,77.00M,-77.00M,261.50M,-77.00M,613.50M,158.10M,455.40M,-9.90M,,445.50M,446.17M,752.70M,,2017-02,2.34,,2.343,2017-02,2.26,,2.262,2.26,195.58M,293.36M,0.40,AOR,Restated
2016-11,1.993B,182.20M,1.810B,919.10M,891.40M,357.40M,,,77.60M,-77.60M,,357.40M,534.00M,77.60M,-77.60M,27.50M,-77.60M,483.90M,78.90M,405.00M,0.90M,,405.90M,382.88M,622.90M,,2016-11,2.04,,1.925,2016-11,1.98,,1.868,1.98,200.87M,205.46M,0.40,AOR,Restated
2016-08,2.223B,201.60M,2.021B,1.052B,969.00M,358.10M,0.00,0.00,94.10M,-94.10M,,358.10M,610.90M,94.10M,-94.10M,,-94.10M,516.80M,163.60M,353.20M,5.70M,,358.90M,358.90M,669.00M,,2016-08,1.81,,1.81,2016-08,1.75,,1.75,1.75,200.81M,205.65M,0.40,AOR,Restated
2016-05,2.053B,181.20M,1.872B,990.50M,881.30M,328.60M,0.00,0.00,84.60M,-84.60M,,328.60M,552.70M,84.60M,-84.60M,0.70M,-84.60M,468.80M,149.70M,319.10M,-0.80M,,318.30M,317.82M,609.20M,,2016-05,1.61,,1.608,2016-05,1.55,,1.548,1.55,199.90M,205.37M,0.40,AOR,Restated
2016-02,1.700B,157.30M,1.543B,847.10M,696.10M,285.00M,,0.00,83.50M,-83.50M,,285.00M,411.10M,83.50M,-83.50M,22.60M,-83.50M,350.20M,104.90M,245.30M,-1.90M,,243.40M,227.57M,451.30M,,2016-02,1.23,,1.151,2016-02,1.19,,1.113,1.19,199.36M,205.22M,0.31,AOR,Restated
2015-11,1.812B,171.90M,1.640B,907.00M,733.50M,286.20M,0.00,0.00,75.60M,-75.60M,,286.20M,447.30M,75.60M,-75.60M,27.30M,-75.60M,399.00M,128.00M,271.00M,-0.50M,,270.50M,251.96M,525.90M,,2015-11,1.39,,1.296,2015-11,1.33,,1.239,1.33,197.29M,204.10M,0.31,AOR,Restated
2015-08,1.913B,179.50M,1.733B,957.80M,775.60M,296.20M,1.10M,-1.10M,77.30M,-77.30M,,296.20M,479.40M,77.30M,-77.30M,-0.90M,-77.30M,401.20M,97.10M,304.10M,-1.70M,,302.40M,303.08M,535.20M,,2015-08,1.56,,1.563,2015-08,1.49,,1.493,1.49,195.60M,203.11M,0.31,AOR,Restated
2015-05,1.798B,166.70M,1.631B,894.20M,737.10M,309.80M,,,77.50M,-77.50M,,309.80M,427.30M,77.50M,-77.50M,1.00M,-77.50M,350.80M,110.60M,240.20M,-1.60M,,238.60M,237.92M,483.00M,,2015-05,1.24,,1.236,2015-05,1.18,,1.177,1.18,194.75M,202.86M,0.31,AOR,Restated
2015-02,1.506B,150.20M,1.356B,758.60M,597.60M,243.90M,0.00,0.00,80.30M,-80.30M,,243.90M,353.70M,80.30M,-80.30M,0.40M,-80.30M,273.80M,62.30M,211.50M,3.10M,,214.60M,214.29M,401.50M,,2015-02,1.12,,1.118,2015-02,1.06,,1.058,1.06,193.78M,202.37M,,AOR,Restated
2014-11,1.709B,166.90M,1.542B,902.80M,638.90M,263.30M,0.00,0.00,86.00M,-86.00M,,263.30M,375.60M,86.00M,-86.00M,21.20M,-86.00M,310.80M,88.60M,222.20M,0.00,,222.20M,207.04M,448.40M,,2014-11,1.16,,1.081,2014-11,1.10,,1.025,1.10,192.97M,201.28M,,AOR,Restated
2014-08,1.77B,165.90M,1.604B,932.10M,672.00M,293.30M,4.40M,-4.40M,85.00M,-85.00M,,293.30M,378.70M,85.00M,-85.00M,-5.00M,-85.00M,288.70M,92.90M,195.80M,0.00,,195.80M,199.19M,427.20M,,2014-08,1.03,,1.048,2014-08,0.98,,0.9969,0.98,192.56M,200.80M,,AOR,Restated
2014-05,1.687B,161.10M,1.526B,855.90M,670.10M,277.90M,,,86.40M,-86.40M,,277.90M,392.20M,86.40M,-86.40M,0.50M,-86.40M,306.30M,99.60M,206.70M,0.00,,206.70M,206.36M,442.20M,,2014-05,1.09,,1.088,2014-05,1.03,,1.028,1.03,191.57M,200.36M,,AOR,Restated
2014-02,1.438B,146.80M,1.291B,742.30M,548.90M,219.50M,,0.00,88.50M,-88.50M,,219.50M,329.40M,88.50M,-88.50M,-0.50M,-88.50M,240.40M,83.20M,157.20M,,,157.20M,157.53M,370.90M,,2014-02,0.84,,0.8417,2014-02,0.79,,0.7916,0.79,189.94M,199.62M,,AOR,Restated
2013-11,1.594B,150.20M,1.443B,833.60M,609.70M,245.90M,0.00,0.00,89.60M,-89.60M,,245.90M,363.80M,89.60M,-89.60M,18.00M,-89.60M,292.20M,81.20M,211.00M,,,211.00M,198.00M,423.90M,,2013-11,1.13,,1.061,2013-11,1.07,,1.004,1.07,189.17M,198.08M,,AOR,Restated
2013-08,1.613B,153.50M,1.460B,882.80M,577.00M,244.10M,0.00,-300.90M,90.30M,-90.30M,,244.10M,332.90M,90.30M,-90.30M,1.345B,-90.30M,1.587B,65.40M,1.522B,,,1.522B,1.807B,1.720B,,2013-08,8.18,,9.694,2013-08,7.74,,9.188,7.74,188.30M,196.77M,,AOR,Restated
2013-05,766.20M,92.80M,673.40M,417.30M,256.10M,185.60M,,,54.80M,-54.80M,,185.60M,70.50M,54.80M,-54.80M,66.60M,-54.80M,82.30M,29.40M,52.90M,,,52.90M,10.08M,166.10M,,2013-05,0.29,,0.0588,2013-05,0.27,,0.0503,0.27,185.23M,194.88M,,AOR,Restated
2013-02,788.00M,92.10M,695.90M,434.10M,261.80M,134.40M,9.70M,-9.70M,60.40M,-60.40M,,134.40M,127.40M,60.40M,-60.40M,39.80M,-60.40M,106.80M,25.10M,81.70M,,,81.70M,51.25M,197.10M,,2013-02,0.45,,0.2835,2013-02,0.43,,0.2635,0.43,182.82M,182.82M,,AOR,Restated
2012-11,860.40M,93.50M,766.90M,456.10M,310.80M,152.00M,0.00,0.00,61.40M,-61.40M,,152.00M,158.80M,61.40M,-61.40M,52.50M,-61.40M,149.90M,40.40M,109.50M,,,109.50M,71.18M,240.80M,,2012-11,0.61,,0.3992,2012-11,0.58,,0.3853,0.58,181.79M,196.89M,,AOR,Restated
2012-08,797.70M,99.20M,698.50M,413.40M,285.10M,154.50M,0.00,0.00,54.60M,-54.60M,,154.50M,130.60M,54.60M,-54.60M,70.50M,-54.60M,146.50M,21.90M,124.60M,,,124.60M,64.60M,229.00M,,2012-08,0.71,,0.3736,2012-08,0.67,,0.3451,0.67,178.33M,184.64M,,AOR,Restated
2012-05,725.30M,90.50M,634.80M,384.20M,250.60M,144.00M,2.80M,-3.30M,50.70M,-50.70M,,144.00M,106.60M,50.70M,-50.70M,57.30M,-50.70M,113.20M,41.20M,72.00M,,,72.00M,35.56M,192.00M,,2012-05,0.39,,0.1939,2012-05,0.38,,0.1930,0.38,185.81M,194.88M,,AOR,Restated
2012-02,709.00M,80.90M,628.10M,382.90M,245.20M,139.30M,0.00,-26.50M,47.90M,-47.90M,,139.30M,105.90M,47.90M,-47.90M,22.50M,-47.90M,80.50M,-22.50M,103.00M,,,103.00M,120.22M,151.60M,,2012-02,0.53,,0.6177,2012-02,0.51,,0.5950,0.51,196.43M,202.62M,,AOR,Restated
2011-11,789.00M,88.30M,700.70M,417.80M,282.90M,121.80M,0.00,-0.80M,46.30M,-46.30M,,121.80M,161.10M,46.30M,-46.30M,52.50M,-46.30M,167.30M,62.50M,104.80M,,,104.80M,105.30M,241.90M,,2011-11,0.53,0.00,0.5325,2011-11,0.52,0.00,0.5225,0.52,199.88M,202.93M,,AOR,Restated
2011-08,770.40M,80.20M,690.20M,407.20M,283.00M,138.20M,0.00,0.30M,42.50M,-42.50M,,138.20M,144.80M,42.50M,-42.50M,64.30M,-42.50M,166.60M,3.90M,162.70M,,,162.70M,162.41M,234.50M,,2011-08,0.78,0.00,0.7786,2011-08,0.76,0.00,0.7586,0.76,210.22M,213.64M,,AOR,Restated
2011-05,710.70M,75.40M,635.30M,384.30M,251.00M,138.20M,0.00,-11.10M,44.30M,-44.30M,,138.20M,112.80M,44.30M,-44.30M,51.10M,-44.30M,119.60M,45.10M,74.50M,,,74.50M,81.41M,190.80M,,2011-05,0.36,0.00,0.3928,2011-05,0.35,0.00,0.3822,0.35,210.65M,214.91M,,AOR,Restated
2011-02,872.20M,156.90M,715.30M,461.30M,254.00M,128.70M,,-22.40M,47.40M,-47.40M,,128.70M,125.30M,47.40M,-47.40M,29.10M,-47.40M,107.00M,-172.80M,279.80M,,,279.80M,294.36M,176.20M,,2011-02,1.35,,1.420,2011-02,1.32,,1.389,1.32,208.06M,211.52M,,AOR,Restated
2010-11,1.191B,225.00M,966.40M,614.50M,351.90M,176.10M,,-5.70M,49.10M,-49.10M,,176.10M,175.80M,49.10M,-49.10M,65.70M,-49.10M,192.40M,53.10M,139.30M,,,139.30M,143.43M,276.10M,,2010-11,0.67,0.00,0.6897,2010-11,0.65,0.00,0.6694,0.65,209.95M,213.11M,,AOR,Restated
2010-08,1.057B,194.10M,862.80M,548.60M,314.20M,167.30M,,-13.70M,50.30M,-50.30M,,167.30M,146.90M,50.30M,-50.30M,52.70M,-50.30M,149.30M,58.00M,91.30M,,,91.30M,99.68M,233.30M,,2010-08,0.44,0.00,0.4801,2010-08,0.43,0.00,0.4697,0.43,209.17M,211.15M,,AOR,Restated
2010-05,976.20M,188.70M,787.50M,517.50M,270.00M,168.80M,,-4.90M,48.50M,-48.50M,,168.80M,101.20M,48.50M,-48.50M,49.60M,-48.50M,102.30M,53.20M,49.10M,,,49.10M,52.28M,185.40M,,2010-05,0.23,0.00,0.2447,2010-05,0.22,0.00,0.2346,0.22,216.44M,218.86M,,AOR,Restated
2010-02,44.80M,,708.70M,486.30M,222.40M,148.20M,,-124.30M,,-63.10M,,148.20M,74.20M,,-63.10M,-81.30M,-63.10M,-70.20M,-19.20M,-51.00M,,,-51.00M,39.30M,-33.70M,,2010-02,-0.23,0.00,0.1796,2010-02,-0.23,0.00,0.1762,-0.23,220.47M,222.29M,,AOR,Restated
2009-11,1.226B,237.80M,987.70M,643.60M,344.10M,202.90M,,-5.10M,65.50M,-65.50M,,202.90M,141.20M,65.50M,-65.50M,29.50M,-65.50M,105.20M,61.10M,44.10M,,,44.10M,47.42M,208.00M,,2009-11,0.20,0.00,0.2151,2009-11,0.20,0.00,0.2149,0.20,220.24M,222.20M,,AOR,Restated
