,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-33.62M,,0.00,1.621M,1.621M,65.63M,65.63M,57.22M,-0.082M,5.591M,-23.56M,14.24M,,,,-3.725M,87.04M,-105.63M,,,-0.69M,,-10.96M,-116.37M,397.14M,,397.14M,0.073M,-0.038M,0.035M,,,,,-80.98M,-399.66M,-83.46M,1.001B,-112.80M,888.44M,0.073M,398.73M,-1.582M,-0.038M,,
2020-06,10.86M,,-11.68M,3.872M,-7.81M,62.78M,62.78M,,5.35M,-20.14M,7.269M,4.321M,,,,-8.55M,62.63M,-121.20M,,,-0.781M,,-2.583M,-105.37M,-292.29M,,-292.29M,0.078M,-0.015M,0.063M,,,,,-80.98M,397.75M,24.54M,1.019B,-18.19M,1.001B,0.078M,-289.92M,-2.378M,-0.015M,,
2020-03,56.44M,,,1.164M,1.164M,62.19M,62.19M,,-0.11M,3.012M,8.618M,-12.56M,,,,-0.934M,118.75M,-122.36M,,,-0.136M,,-5.66M,-151.83M,988.48M,,988.48M,0.019M,-3.982M,-3.963M,,,,,-80.90M,-4.72M,898.90M,153.61M,865.81M,1.019B,0.019M,990.00M,-1.524M,-3.982M,,
2019-12,148.97M,,-85.90M,0.71M,-85.19M,61.43M,61.43M,,0.626M,-7.261M,2.583M,-3.424M,,,,-8.217M,117.61M,-129.79M,,,-0.072M,,-7.195M,-89.27M,-1.737M,,-1.737M,3.298M,-0.011M,3.287M,,,,,-80.66M,-2.535M,-81.65M,206.92M,-53.30M,153.61M,3.298M,-0.193M,-1.544M,-0.011M,,
2019-09,67.11M,,-14.29M,0.249M,-14.04M,59.65M,59.65M,0.00,-2.595M,-3.542M,-20.64M,16.08M,,,,-8.096M,102.02M,-109.88M,,,-0.073M,,-7.249M,-113.90M,97.63M,,97.63M,71.27M,-0.173M,71.10M,,,,,-78.02M,-12.18M,78.53M,140.27M,66.65M,206.92M,71.27M,103.03M,-5.397M,-0.173M,,
2019-06,82.67M,,-16.20M,-0.381M,-16.58M,59.06M,59.06M,,-0.092M,-4.08M,6.632M,9.762M,,,,12.31M,137.37M,-92.80M,,,-0.607M,,-3.163M,-9.331M,0.694M,,0.694M,9.034M,-0.028M,9.006M,,,,,-77.67M,-2.011M,-69.98M,82.21M,58.06M,140.27M,9.034M,277.08M,-276.38M,-0.028M,,
2019-03,61.80M,,,1.434M,1.434M,59.62M,59.62M,,2.23M,-1.245M,1.168M,-20.09M,,,,-20.17M,104.92M,-77.44M,,,-0.30M,,-8.209M,-104.04M,-1.718M,,-1.718M,59.43M,-4.414M,55.01M,,,,,-77.30M,-3.001M,-27.00M,108.33M,-26.12M,82.21M,59.43M,20.00M,-21.72M,-4.414M,,
2018-12,56.38M,,-1.502M,0.705M,-0.797M,66.98M,66.98M,,0.896M,5.431M,9.612M,-0.246M,,,13.72M,28.52M,151.97M,-100.08M,,,-0.421M,,-5.199M,-80.47M,-27.98M,,-27.98M,49.29M,-0.031M,49.26M,,,,,-76.88M,-2.36M,-57.97M,94.80M,13.53M,108.33M,49.29M,0.00,-27.98M,-0.031M,,
2018-09,64.18M,,-3.125M,1.44M,-1.685M,60.78M,60.78M,,0.426M,-0.709M,-21.76M,4.182M,,,-3.808M,-22.09M,101.60M,-82.41M,,,37.50M,,-7.636M,-33.08M,-64.23M,,-64.23M,59.14M,-0.15M,58.99M,,,,,-74.71M,-2.737M,-82.69M,108.96M,-14.16M,94.80M,59.14M,-48.00M,-16.23M,-0.15M,,
2018-06,65.53M,,-3.972M,0.728M,-3.244M,58.38M,58.38M,,1.088M,-6.127M,5.989M,4.094M,,,13.22M,17.17M,138.93M,-96.46M,,,0.06M,,-4.425M,-32.52M,-15.43M,,-15.43M,21.16M,-0.024M,21.13M,,,,,-74.68M,-2.176M,-71.15M,73.70M,35.26M,108.96M,21.16M,-14.00M,-1.43M,-0.024M,,
