,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,863.28M,,863.28M,164.88M,39.90M,,204.79M,229.04M,1.297B,144.27M,,144.27M,,144.27M,22.09M,,,,6.414B,7.711B,276.40M,82.69M,19.69M,378.78M,,378.78M,,,,,,378.78M,4.461B,144.97M,4.606B,148.89M,148.89M,,90.22M,159.72M,,4.914B,5.293B,160.76M,-999.66M,3.174B,,160.00M,-7.30M,2.328B
2020-06,,980.04M,,980.04M,167.64M,30.33M,,197.97M,206.29M,1.384B,145.25M,,145.25M,,145.25M,22.88M,,,,6.406B,7.790B,244.48M,81.92M,18.92M,345.32M,,345.32M,,,,,,345.32M,4.462B,145.58M,4.608B,146.37M,146.37M,,96.82M,159.58M,,4.914B,5.259B,160.76M,-889.20M,3.170B,,160.00M,-7.758M,2.434B
2020-03,,994.69M,,994.69M,153.24M,30.33M,,183.58M,216.69M,1.395B,146.23M,,146.23M,,146.23M,25.96M,,,,6.365B,7.760B,245.97M,81.90M,21.94M,349.81M,,349.81M,,,,,,349.81M,4.354B,146.14M,4.501B,150.41M,150.41M,,97.50M,159.53M,,4.810B,5.160B,160.76M,-818.28M,3.167B,,160.00M,-7.265M,2.502B
2019-12,,127.43M,,127.43M,152.57M,30.43M,,183.00M,227.06M,537.49M,146.18M,,146.18M,,146.18M,28.60M,,,,6.257B,6.795B,255.50M,81.68M,21.70M,358.88M,,358.88M,,,,,,358.88M,3.357B,145.69M,3.502B,157.94M,157.94M,,100.79M,139.76M,,3.800B,4.159B,160.76M,-791.12M,3.167B,,160.00M,-0.813M,2.535B
2019-09,,162.54M,,162.54M,143.86M,30.43M,,174.28M,239.48M,576.30M,146.99M,,146.99M,,146.99M,30.02M,,,,6.031B,6.608B,221.78M,81.48M,20.35M,323.61M,,323.61M,,,,,,323.61M,3.277B,146.10M,3.423B,165.54M,165.54M,,103.19M,122.28M,,3.711B,4.034B,160.76M,-857.15M,3.167B,,160.00M,-1.135M,2.470B
2019-06,,105.90M,,105.90M,138.87M,30.43M,,169.30M,203.50M,478.70M,147.87M,,147.87M,,147.87M,30.80M,,,,5.905B,6.384B,177.08M,78.81M,20.59M,276.47M,,276.47M,,,,,,276.47M,3.158B,146.60M,3.304B,157.52M,157.52M,,103.48M,134.71M,,3.597B,3.873B,160.75M,-841.50M,3.089B,,160.00M,-1.024M,2.407B
2019-03,,43.00M,,43.00M,137.78M,30.43M,,168.21M,221.85M,433.06M,148.77M,,148.77M,,148.77M,30.53M,,,,5.918B,6.351B,156.03M,78.55M,19.38M,253.96M,,253.96M,,,,,,253.96M,3.157B,147.13M,3.304B,157.45M,157.45M,,113.40M,134.71M,,3.596B,3.850B,160.75M,-843.95M,3.072B,,160.00M,-0.625M,2.388B
2018-12,,64.09M,,64.09M,142.24M,30.43M,,172.67M,265.70M,502.46M,,,0.00,,0.00,26.86M,,,,5.787B,6.290B,177.92M,78.21M,17.88M,274.00M,,274.00M,,,,,,274.00M,3.158B,71.52M,3.229B,182.90M,182.90M,,121.44M,136.21M,,3.548B,3.822B,160.74M,-818.88M,3.004B,,160.00M,-0.416M,2.346B
2018-09,,41.87M,,41.87M,151.40M,30.43M,,181.83M,292.08M,515.78M,,,,,,27.65M,,,,5.770B,6.286B,184.68M,77.81M,17.70M,280.19M,,280.19M,,,,,,280.19M,3.185B,71.53M,3.257B,173.95M,173.95M,,121.67M,141.45M,,3.572B,3.852B,160.74M,-795.65M,2.947B,,160.00M,0.127M,2.312B
2018-06,,56.12M,,56.12M,149.86M,30.43M,,180.29M,268.75M,505.15M,,,,,,22.61M,,,,5.798B,6.303B,178.66M,75.76M,17.19M,271.61M,,271.61M,,,,,,271.61M,3.249B,71.54M,3.320B,181.60M,181.60M,,122.65M,141.42M,,3.644B,3.915B,160.73M,-780.97M,2.885B,,160.00M,0.412M,2.265B
2018-03,,64.41M,,64.41M,143.15M,30.43M,,173.58M,232.28M,470.26M,,,,,,23.51M,,,,5.823B,6.294B,181.36M,75.67M,17.07M,274.10M,,274.10M,,,,,,274.10M,3.264B,71.55M,3.335B,169.46M,169.46M,,121.48M,141.54M,,3.646B,3.921B,160.73M,-769.31M,2.860B,,160.00M,0.489M,2.252B
2017-12,,15.19M,,15.19M,209.88M,30.43M,,240.31M,237.80M,493.30M,,,,,,23.94M,,,,5.782B,6.276B,196.33M,75.93M,16.67M,288.93M,,288.93M,,,,,,288.93M,3.213B,71.56M,3.285B,169.39M,169.39M,,124.81M,141.16M,,3.595B,3.884B,160.73M,-749.37M,2.855B,,160.00M,0.022M,2.267B
2017-09,,22.85M,,22.85M,200.88M,30.43M,,231.31M,243.29M,497.45M,,,,,,23.92M,,,,5.724B,6.221B,206.44M,73.47M,16.70M,296.60M,,296.60M,,,,,,296.60M,3.192B,71.56M,3.263B,175.46M,175.46M,,124.84M,151.82M,,3.591B,3.887B,160.72M,-724.92M,2.774B,,160.00M,-0.742M,2.209B
