,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-11,1.410B,1.757B,937.16M,819.88M,467.01M,,24.56M,0.218M,-24.34M,,467.01M,352.87M,0.218M,24.56M,-24.34M,,-24.34M,328.53M,43.68M,284.86M,0.00,,284.86M,284.86M,449.56M,,2020-11,2.69,0.00,,,2020-11,2.62,0.00,,,2020-11,105.00M,,2020-11,AOR,
2020-08,1.394B,1.747B,920.37M,826.20M,476.50M,,24.55M,0.064M,-24.49M,,476.50M,349.71M,0.064M,24.55M,-24.49M,,-24.49M,325.22M,25.22M,300.00M,,,300.00M,300.00M,445.95M,,2020-08,2.86,,,,2020-08,2.78,,,,2020-08,104.11M,,2020-08,AOR,
2020-05,1.271B,1.620B,911.76M,707.82M,500.39M,0.00,25.95M,0.196M,-25.76M,,500.39M,207.43M,0.196M,25.95M,-25.76M,,-25.76M,181.68M,37.09M,144.58M,0.00,,144.58M,144.58M,304.19M,,2020-05,1.38,0.00,,,2020-05,1.35,0.00,,,2020-05,103.74M,,2020-05,AOR,
2020-02,1.448B,1.811B,986.25M,824.40M,509.74M,0.00,25.94M,0.347M,-25.60M,,509.74M,314.65M,0.347M,25.94M,-25.60M,,-25.60M,289.06M,54.54M,234.52M,0.00,,234.52M,234.52M,411.16M,,2020-02,2.23,0.00,,,2020-02,2.16,0.00,,,2020-02,104.24M,,2020-02,AOR,
2019-11,1.470B,1.844B,991.36M,852.39M,517.93M,0.00,26.18M,0.283M,-25.89M,,517.93M,334.46M,0.283M,26.18M,-25.89M,,-25.89M,308.57M,62.13M,246.44M,-0.323M,,246.12M,246.44M,429.08M,,2019-11,2.35,0.00,,,2019-11,2.27,0.00,,,2019-11,103.96M,,2019-11,AOR,
2019-08,1.455B,1.811B,962.00M,849.14M,543.00M,,27.32M,0.162M,-27.16M,,543.00M,306.15M,0.162M,27.32M,-27.16M,,-27.16M,278.99M,28.18M,250.81M,,,250.81M,250.81M,398.30M,,2019-08,2.40,,,,2019-08,2.32,,,,2019-08,103.54M,,2019-08,AOR,Restated
2019-05,1.428B,1.794B,970.16M,823.56M,508.24M,-0.914M,25.78M,0.271M,-25.51M,,508.24M,315.32M,0.271M,25.78M,-25.51M,-0.914M,-25.51M,288.90M,62.73M,226.17M,-0.052M,,226.12M,226.89M,408.45M,,2019-05,2.13,0.00,,,2019-05,2.06,0.00,,,2019-05,105.88M,,2019-05,AOR,Restated
2019-02,1.358B,1.682B,927.18M,755.15M,476.10M,-0.799M,26.77M,0.07M,-26.70M,,476.10M,279.05M,0.07M,26.77M,-26.70M,-0.799M,-26.70M,251.56M,50.63M,200.92M,2.411M,,203.33M,201.56M,369.98M,,2019-02,1.89,0.02,,,2019-02,1.83,0.02,,,2019-02,105.08M,,2019-02,AOR,Restated
2018-11,1.391B,1.718B,943.11M,775.16M,491.67M,-7.847M,24.88M,0.391M,-24.49M,,491.67M,283.49M,0.391M,24.88M,-24.49M,61.53M,-24.49M,320.52M,77.53M,242.99M,0.019M,,243.01M,196.36M,433.78M,,2018-11,2.25,0.00,,,2018-11,2.18,0.00,,,2018-11,106.48M,,2018-11,AOR,Restated
2018-08,1.375B,1.698B,923.26M,774.71M,504.63M,-4.85M,24.30M,0.496M,-23.81M,,504.63M,270.08M,0.496M,24.30M,-23.81M,-4.85M,-23.81M,241.42M,28.87M,212.55M,-0.032M,,212.52M,216.82M,352.02M,,2018-08,1.96,0.00,,,2018-08,1.89,0.00,,,2018-08,106.84M,,2018-08,AOR,Restated
2018-05,1.343B,1.670B,917.21M,752.34M,471.81M,-15.03M,24.83M,0.37M,-24.46M,,471.81M,280.53M,0.37M,24.83M,-24.46M,-15.03M,-24.46M,241.04M,51.74M,189.30M,-3.127M,,186.17M,201.10M,340.38M,,2018-05,1.74,-0.03,,,2018-05,1.68,-0.03,,,2018-05,107.74M,,2018-05,AOR,Restated
2018-02,1.285B,1.589B,888.68M,700.46M,490.62M,-9.821M,25.90M,0.384M,-25.52M,,490.62M,209.84M,0.384M,25.90M,-25.52M,-9.821M,-25.52M,174.51M,-121.28M,295.79M,6.306M,,302.10M,302.96M,266.47M,,2018-02,2.73,0.06,,,2018-02,2.66,0.05,,,2018-02,106.56M,,2018-02,AOR,Restated
2017-11,1.308B,1.606B,890.07M,716.37M,468.08M,-13.07M,29.13M,0.291M,-28.84M,,468.08M,248.28M,0.291M,29.13M,-28.84M,-13.07M,-28.84M,206.37M,68.64M,137.74M,-0.628M,,137.11M,146.46M,305.83M,,2017-11,1.27,-0.01,,,2017-11,1.24,-0.01,,,2017-11,106.34M,,2017-11,AOR,Restated
2017-08,1.312B,1.612B,872.15M,739.35M,486.28M,-3.971M,30.32M,0.297M,-30.02M,,486.28M,253.07M,0.297M,30.32M,-30.02M,-3.971M,-30.02M,219.08M,57.97M,161.11M,56.10M,,217.21M,164.03M,317.90M,,2017-08,1.50,0.52,,,2017-08,1.45,0.51,,,2017-08,105.74M,,2017-08,AOR,Restated
2017-05,1.220B,1.530B,851.56M,678.73M,437.67M,-63.75M,45.39M,0.13M,-45.26M,,437.67M,241.05M,0.13M,45.39M,-45.26M,-63.75M,-45.26M,132.05M,49.87M,82.17M,2.061M,,84.24M,121.84M,242.32M,,2017-05,0.76,0.02,,,2017-05,0.75,0.01,,,2017-05,105.33M,,2017-05,AOR,Restated
2017-02,988.18M,1.255B,695.44M,559.92M,358.59M,-9.344M,13.70M,0.011M,-13.68M,,358.59M,201.34M,0.011M,13.70M,-13.68M,-9.344M,-13.68M,178.31M,61.35M,116.95M,1.051M,,118.00M,123.08M,236.67M,,2017-02,1.09,0.01,,,2017-02,1.06,0.01,,,2017-02,105.09M,,2017-02,AOR,Restated
2016-11,1.000B,1.271B,705.86M,565.22M,361.42M,-3.347M,13.27M,0.031M,-13.24M,,361.42M,203.80M,0.031M,13.27M,-13.24M,-3.347M,-13.24M,187.22M,65.27M,121.95M,18.43M,,140.38M,124.13M,244.37M,,2016-11,1.15,0.17,,,2016-11,1.12,0.17,,,2016-11,104.96M,,2016-11,AOR,Restated
2016-08,994.28M,1.267B,690.22M,576.43M,369.70M,-2.787M,14.17M,0.065M,-14.11M,,369.70M,206.72M,0.065M,14.17M,-14.11M,-2.787M,-14.11M,189.83M,53.62M,136.21M,1.883M,,138.09M,138.21M,247.17M,,2016-08,1.27,0.02,,,2016-08,1.24,0.02,,,2016-08,104.48M,,2016-08,AOR,Restated
2016-05,946.85M,1.162B,636.53M,525.19M,335.06M,,15.78M,0.331M,-15.44M,,335.06M,190.13M,0.331M,15.78M,-15.44M,,-15.44M,174.69M,65.01M,109.68M,21.22M,,130.90M,109.68M,233.07M,,2016-05,1.09,0.12,,,2016-05,1.08,0.12,,,2016-05,106.12M,,2016-05,AOR,Restated
2016-02,936.56M,1.216B,691.48M,524.61M,331.66M,0.00,16.16M,0.335M,-15.83M,,331.66M,192.95M,0.335M,16.16M,-15.83M,,-15.83M,177.12M,59.84M,117.28M,0.062M,,117.34M,117.28M,235.06M,,2016-02,1.07,0.00,,,2016-02,1.05,0.00,,,2016-02,107.84M,,2016-02,AOR,Restated
2015-11,937.70M,1.219B,691.68M,527.40M,327.05M,0.00,16.17M,0.111M,-16.06M,,327.05M,200.35M,0.111M,16.17M,-16.06M,,-16.06M,184.29M,68.84M,115.45M,229.65M,,345.10M,115.45M,241.59M,,2015-11,1.05,2.06,,,2015-11,1.03,2.03,,,2015-11,108.30M,,2015-11,AOR,Restated
2015-08,938.41M,1.199B,674.75M,524.14M,338.64M,0.00,16.41M,0.119M,-16.29M,,338.64M,185.51M,0.119M,16.41M,-16.29M,,-16.29M,169.21M,63.02M,106.20M,-6.017M,,100.18M,106.20M,225.39M,,2015-08,0.94,-0.05,,,2015-08,0.93,-0.05,,,2015-08,110.60M,,2015-08,AOR,Restated
2015-05,870.62M,1.035B,577.13M,458.25M,293.30M,0.00,16.40M,0.171M,-16.22M,,293.30M,164.95M,0.171M,16.40M,-16.22M,0.00,-16.22M,148.73M,56.11M,92.62M,12.60M,,105.22M,92.62M,204.16M,,2015-05,0.88,0.03,,,2015-05,0.86,0.03,,,2015-05,113.64M,,2015-05,AOR,Restated
