,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,151.68M,-57.21M,,-57.21M,32.13M,32.13M,,12.11M,0.687M,28.57M,,,,,0.005M,417.70M,557.09M,,-8.041M,-8.041M,,-561.74M,60.92M,-520.85M,,147.66M,,147.66M,,-12.96M,-12.96M,,,,-21.40M,,-21.40M,,-14.32M,98.98M,,2.431B,135.22M,5.40M,2.571B,,,448.95M,-301.29M,-12.96M,,,,AOR,
2020-06,71.26M,-20.33M,,-20.33M,39.00M,39.00M,,14.05M,0.396M,-107.03M,,,,,118.70M,322.91M,427.28M,,-8.369M,-8.369M,,861.70M,9.995M,855.49M,,293.03M,,293.03M,,-96.28M,-96.28M,,,,-21.35M,,-21.35M,3.321M,-3.936M,174.78M,,965.01M,1.458B,8.266M,2.431B,,,294.19M,-1.16M,-96.28M,,,,AOR,
2020-03,-4.418M,136.60M,,136.60M,25.06M,25.06M,,11.68M,0.892M,-97.17M,,,,,-217.38M,-17.25M,152.57M,,-14.64M,-14.64M,,101.12M,-34.29M,30.82M,,4.259M,,4.259M,,-202.62M,-202.62M,,,,-20.07M,,-20.07M,-3.321M,-0.204M,-221.96M,,1.024B,-38.56M,-20.13M,965.01M,,,4.259M,,-202.62M,,,,AOR,
2019-12,119.31M,31.08M,,31.08M,71.38M,71.38M,,10.83M,0.487M,5.186M,,,,,22.18M,115.66M,348.75M,,-58.66M,-58.66M,,-152.56M,-51.82M,-232.92M,,283.02M,,283.02M,,-18.22M,-18.22M,,,,-178.16M,,-178.16M,,-0.641M,86.00M,,812.55M,201.83M,9.331M,1.024B,,,290.97M,-7.951M,-18.22M,,,,AOR,
2019-09,165.21M,-20.50M,,-20.50M,-9.282M,-9.282M,,11.10M,-0.056M,16.90M,,,,,70.10M,245.93M,392.40M,,9.002M,9.002M,,-243.39M,35.57M,-254.57M,,-448.41M,,-448.41M,,0.00,0.00,,,,-111.73M,,-111.73M,,-15.20M,-575.34M,,1.258B,-437.51M,-8.111M,812.55M,,,0.00,-448.41M,0.00,,,,AOR,Restated
2019-06,216.71M,-120.41M,,-120.41M,23.86M,23.86M,,12.51M,0.718M,-67.32M,,,,,13.57M,190.92M,324.32M,,-7.505M,-7.505M,,51.23M,41.11M,20.83M,,0.00,,0.00,,0.00,0.00,,,,-18.30M,,-18.30M,,-4.572M,-22.87M,,937.43M,322.27M,-1.522M,1.258B,,,0.00,0.00,0.00,,,,AOR,Restated
2019-03,180.72M,-80.06M,,-80.06M,27.42M,27.42M,,14.83M,0.892M,-156.45M,,,,,-118.23M,-65.47M,78.33M,,-3.299M,-3.299M,,120.73M,-22.01M,41.79M,,0.00,,0.00,,0.00,0.00,,,,0.00,,0.00,0.00,-0.976M,-0.976M,,817.60M,119.14M,0.681M,937.43M,,,0.00,,0.00,,,,AOR,Restated
2018-12,132.36M,-29.33M,,-29.33M,54.57M,54.57M,,8.063M,3.915M,51.58M,,,,,80.25M,108.11M,277.68M,,-14.28M,-14.28M,0.00,-114.09M,-0.896M,-187.78M,,91.16M,,91.16M,,-17.95M,-17.95M,,,,-158.82M,,-158.82M,,-13.50M,-99.12M,,819.37M,-9.223M,7.459M,817.60M,,,95.66M,-4.501M,-17.95M,,,,AOR,Restated
2018-09,161.92M,-63.34M,,-63.34M,20.17M,20.17M,,8.806M,2.523M,45.48M,,,,,-23.80M,93.08M,223.16M,,-5.878M,-5.878M,8.664M,-237.92M,-41.48M,-310.04M,,-1.933M,,-1.933M,,0.00,0.00,,,,-18.26M,,-18.26M,,-2.475M,-22.67M,,911.20M,-109.54M,17.71M,819.37M,,,-1.933M,0.00,0.00,,,,AOR,Restated
2018-06,180.08M,-82.35M,,-82.35M,27.34M,27.34M,,10.29M,0.702M,-78.34M,,,,,12.74M,3.333M,139.40M,,-15.60M,-15.60M,-6.637M,49.95M,-11.86M,-84.94M,,19.05M,,19.05M,,0.00,0.00,,,,-60.86M,,-60.86M,,-1.219M,-43.03M,,956.60M,11.43M,-56.83M,911.20M,,,19.05M,0.00,0.00,,,,AOR,Restated
