,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-09,591.28M,,591.28M,275.91M,,2.201B,2.477B,186.32M,3.254B,200.43M,103.34M,,103.34M,,11.69B,141.35M,12.70B,16.70B,,126.19M,,,126.19M,126.19M,,,,,,126.19M,1.364B,1.364B,,,146.15M,8.442B,2.356B,34.38M,,12.31B,13.14B,,47.02M,3.074B,901.79M,597.22M,,,,91.48M,3.517B,,AOR,Restated
2007-06,801.99M,,801.99M,62.80M,,2.261B,2.323B,197.22M,3.323B,192.80M,68.07M,,68.07M,,10.59B,171.39M,12.52B,16.63B,,119.02M,,,119.02M,119.02M,,,,,,119.02M,1.364B,1.364B,,,256.84M,8.208B,2.408B,31.92M,,12.24B,13.02B,,47.02M,2.902B,896.58M,307.74M,,16.29M,16.65M,32.94M,3.571B,,AOR,Restated
2007-03,713.49M,,713.49M,253.68M,,2.011B,2.264B,180.49M,3.158B,191.68M,74.88M,,74.88M,,11.52B,124.25M,12.66B,16.54B,,159.31M,,,159.31M,159.31M,,,,,,159.31M,1.364B,1.364B,,,220.31M,8.003B,2.425B,31.04M,,12.01B,12.97B,,47.02M,2.721B,873.34M,217.34M,,9.831M,102.70M,112.53M,3.537B,,AOR,Restated
2006-12,754.25M,,754.25M,312.22M,,2.174B,2.486B,169.96M,3.410B,183.25M,67.96M,,67.96M,64.93M,10.60B,142.63M,11.50B,15.66B,,149.43M,,,149.43M,149.43M,,,,,,149.43M,1.111B,1.111B,,,170.08M,7.784B,2.314B,30.62M,,11.38B,12.29B,,47.02M,2.543B,859.79M,226.01M,,,,111.61M,3.335B,,AOR,Restated
2006-09,658.91M,,658.91M,206.50M,,1.967B,2.174B,180.22M,3.013B,180.61M,65.76M,,65.76M,,10.63B,145.36M,11.68B,15.44B,,92.77M,,,92.77M,92.77M,,,,,,92.77M,1.321B,1.321B,,,236.89M,7.575B,2.373B,27.38M,,11.51B,12.32B,,47.02M,2.352B,843.59M,234.40M,,,,89.02M,3.098B,,AOR,Restated
2006-06,783.40M,,783.40M,158.28M,,2.220B,2.379B,197.79M,3.360B,183.46M,65.76M,,65.76M,,9.759B,193.31M,10.54B,14.69B,,96.69M,,,96.69M,96.69M,,,,,,96.69M,1.320B,1.320B,,,123.74M,7.367B,2.374B,25.19M,,11.18B,11.87B,,47.02M,2.186B,837.54M,236.42M,,-9.131M,-23.90M,-33.03M,2.801B,,AOR,Restated
2006-03,636.85M,,636.85M,78.74M,,2.178B,2.257B,194.95M,3.088B,186.30M,65.76M,,65.76M,,9.873B,167.22M,10.68B,14.52B,,118.39M,,,118.39M,118.39M,,,,,,118.39M,1.319B,1.319B,,,309.06M,7.094B,2.338B,22.02M,,11.06B,11.79B,,47.02M,2.028B,830.04M,193.75M,,,,-2.921M,2.708B,,AOR,Restated
2005-12,672.94M,,672.94M,98.23M,,1.963B,2.061B,178.62M,2.912B,169.47M,67.96M,,67.96M,,9.489B,132.06M,10.29B,13.90B,,87.65M,,,87.65M,87.65M,,,,,,87.65M,1.418B,1.418B,,,198.43M,6.796B,2.189B,21.31M,,10.60B,11.31B,,47.02M,1.874B,821.05M,199.85M,,,,24.90M,2.567B,,AOR,Restated
2005-09,979.27M,,979.27M,170.67M,,2.014B,2.185B,194.64M,3.359B,172.02M,65.76M,,65.76M,,8.950B,140.44M,9.616B,13.67B,,118.38M,,150.42M,268.80M,268.80M,,,,,,268.80M,1.418B,1.418B,,,188.09M,6.550B,2.255B,21.02M,,10.41B,11.23B,,31.35M,1.713B,833.13M,200.61M,,,,48.05M,2.425B,,AOR,Restated
2005-06,707.96M,,707.96M,135.31M,,2.001B,2.136B,210.64M,3.055B,165.80M,65.76M,,65.76M,,8.493B,97.98M,9.135B,12.84B,,105.83M,,116.67M,222.49M,222.49M,,,,,,222.49M,1.175B,1.175B,,,200.10M,6.119B,2.272B,26.60M,,9.767B,10.45B,,31.35M,1.597B,827.77M,204.11M,,,,109.50M,2.361B,,AOR,Restated
2005-03,707.62M,,707.62M,135.54M,,1.938B,2.074B,220.83M,3.002B,163.99M,59.02M,,59.02M,,7.900B,127.26M,8.495B,12.16B,,113.57M,,131.91M,245.48M,245.48M,,,,,,245.48M,1.017B,1.017B,,,156.78M,5.807B,2.241B,46.87M,,9.221B,9.945B,,31.35M,1.469B,823.21M,205.92M,,,,49.72M,2.167B,,AOR,Restated
2004-12,,,,851.02M,,,851.02M,,851.02M,162.94M,,59.02M,59.02M,,,,10.09B,11.45B,,,,,,,,,,,,,1.017B,1.017B,,,,5.450B,2.065B,46.15M,,8.531B,9.295B,,31.35M,1.354B,820.91M,209.11M,,,,,2.110B,,AOR,Restated
2004-09,1.049B,,1.049B,162.94M,,1.882B,2.045B,203.01M,3.297B,156.88M,59.02M,,59.02M,,6.605B,84.08M,7.173B,11.06B,,122.67M,,,122.67M,122.67M,,,,,,122.67M,1.016B,1.016B,,,171.52M,5.225B,2.039B,39.58M,,8.452B,9.044B,,20.90M,1.244B,824.67M,211.02M,,,,97.25M,1.976B,,AOR,Restated
2004-06,1.220B,,1.220B,108.53M,,1.915B,2.024B,203.36M,3.448B,149.39M,59.02M,,59.02M,,5.785B,111.54M,6.270B,10.32B,,130.62M,,,130.62M,130.62M,,,,,,130.62M,208.26M,208.26M,,,158.04M,4.882B,2.015B,36.77M,,7.263B,8.471B,,20.90M,1.153B,822.71M,212.14M,,,,29.19M,1.814B,,AOR,Restated
2004-03,1.075B,,1.075B,195.15M,,1.839B,2.035B,209.57M,3.319B,147.12M,59.02M,,59.02M,,5.768B,41.08M,6.228B,10.07B,,129.05M,,,129.05M,129.05M,,,,,,129.05M,208.25M,208.25M,,,243.84M,4.522B,2.010B,37.49M,,6.984B,8.223B,,20.90M,1.049B,821.41M,215.27M,,,,134.98M,1.811B,,AOR,Restated
2003-12,1.431B,,1.431B,102.26M,,1.653B,1.756B,193.69M,3.381B,143.79M,59.02M,,59.02M,,4.942B,35.81M,5.459B,9.335B,,123.23M,,,123.23M,123.23M,,,,,,123.23M,852.54M,852.54M,,,119.10M,4.245B,1.858B,38.15M,,7.075B,7.614B,,20.90M,939.91M,820.39M,218.62M,,,,119.98M,1.683B,,AOR,Restated
2003-09,1.196B,103.91M,1.300B,163.73M,,1.762B,1.925B,257.13M,3.482B,141.20M,59.02M,,59.02M,,4.751B,34.93M,5.017B,8.875B,,178.56M,,,178.56M,178.56M,,,,,,178.56M,658.93M,658.93M,,,80.03M,3.914B,1.849B,37.44M,,6.501B,7.259B,,20.90M,852.55M,817.96M,224.28M,,,,111.32M,1.578B,,AOR,Restated
2003-06,1.099B,89.38M,1.189B,153.41M,,1.770B,1.924B,238.20M,3.351B,140.03M,59.02M,,59.02M,,4.355B,10.00M,4.617B,8.304B,,190.05M,,,190.05M,190.05M,68.06M,68.06M,68.06M,,,258.11M,431.32M,431.32M,,,77.97M,3.683B,1.725B,21.49M,,5.917B,6.758B,,13.93M,781.90M,824.22M,226.54M,,,,131.72M,1.525B,,AOR,Restated
2003-03,722.88M,87.00M,809.89M,185.68M,,1.748B,1.933B,230.22M,2.973B,136.08M,59.02M,,59.02M,,4.322B,17.28M,4.571B,7.873B,,216.55M,,,216.55M,216.55M,,,,,,216.55M,499.19M,499.19M,,,76.10M,3.429B,1.648B,19.37M,,5.652B,6.456B,,13.93M,691.60M,823.36M,228.93M,,,,97.34M,1.397B,,AOR,Restated
2002-12,,,,,,,,,,,,,,,,,,7.031B,,,,,,,,,,,,,561.24M,561.24M,,,,,,,,561.24M,5.696B,,,,,,,,,,1.335B,,AOR,Restated
2002-09,31.47M,43.94M,75.42M,180.02M,,1.402B,1.582B,161.41M,1.819B,133.77M,59.02M,,59.02M,,3.779B,17.05M,4.370B,6.489B,,188.06M,,,188.06M,188.06M,,,,,,188.06M,362.88M,362.88M,,,31.13M,3.003B,1.287B,16.07M,,4.684B,5.362B,,12.99M,556.30M,654.98M,233.86M,,,,120.42M,1.111B,,AOR,
2002-06,29.25M,45.24M,74.49M,162.89M,,1.369B,1.532B,142.05M,1.749B,124.51M,59.02M,,59.02M,,3.439B,52.80M,4.024B,6.077B,,145.71M,,,145.71M,145.71M,,,,,,145.71M,362.77M,362.77M,,,49.70M,2.895B,1.156B,18.32M,,4.463B,5.046B,,12.99M,520.28M,655.03M,234.42M,,,,58.74M,1.013B,,AOR,
2002-03,3.443M,,3.443M,372.97M,,1.389B,1.762B,153.28M,1.919B,124.07M,59.02M,,59.02M,,2.905B,94.01M,3.614B,5.908B,,151.86M,,,151.86M,151.86M,,,,,,151.86M,362.66M,362.66M,,,40.26M,2.875B,1.077B,25.93M,,4.354B,4.934B,,8.661M,497.25M,659.20M,236.93M,,,,19.78M,947.95M,,AOR,
2001-12,,,,,,,,,,,,,,,,,,5.634B,,,,,,,,,,,,,370.55M,370.55M,,,,,,,,370.55M,4.702B,,,,,,,,,,931.60M,,AOR,Restated
2001-09,3.515M,,3.515M,338.93M,,1.279B,1.618B,100.75M,1.722B,118.50M,66.52M,,66.52M,,2.782B,34.70M,3.467B,5.481B,,194.74M,,,194.74M,194.74M,0.00,0.00,0.00,,,194.74M,370.46M,370.46M,,,119.45M,2.701B,846.29M,28.25M,,4.038B,4.644B,,7.902M,535.65M,456.65M,248.06M,,,,57.39M,809.54M,,AOR,
2001-06,18.31M,,18.31M,303.67M,,1.199B,1.503B,100.15M,1.621B,119.55M,68.16M,,68.16M,,2.673B,46.77M,3.278B,5.197B,,167.82M,,,167.82M,167.82M,0.00,0.00,0.00,,,167.82M,370.36M,370.36M,,,97.65M,2.545B,802.56M,28.94M,,3.815B,4.341B,,7.902M,586.68M,456.27M,249.20M,,,,25.91M,827.56M,,AOR,
2001-03,5.926M,,5.926M,304.76M,,1.185B,1.490B,106.77M,1.602B,119.90M,70.30M,,70.30M,,2.726B,37.20M,3.340B,5.217B,,150.67M,,,150.67M,150.67M,0.00,0.00,0.00,,,150.67M,370.26M,370.26M,,,162.78M,2.539B,773.39M,32.32M,,3.845B,4.351B,,7.902M,580.85M,455.89M,249.94M,,,,38.48M,833.18M,,AOR,
2000-12,0.938M,,0.938M,982.84M,,416.24M,1.399B,99.44M,1.499B,118.28M,71.50M,,71.50M,,2.703B,47.57M,3.242B,5.022B,,132.52M,,,132.52M,132.52M,10.00M,10.00M,10.00M,,,142.52M,370.16M,370.16M,,,169.02M,2.534B,713.24M,31.88M,,3.786B,4.309B,,7.281M,574.34M,334.06M,254.16M,,,,19.37M,680.90M,,AOR,Restated
2000-09,16.01M,,16.01M,193.21M,,1.064B,1.257B,102.60M,1.376B,123.54M,72.71M,,72.71M,,2.703B,80.54M,3.203B,4.885B,,137.12M,,,137.12M,137.12M,10.00M,10.00M,10.00M,,,147.12M,370.07M,370.07M,,,137.22M,2.462B,721.72M,31.61M,198.16M,3.889B,4.233B,,7.281M,559.51M,331.62M,259.38M,,,,-18.25M,620.78M,,AOR,
2000-06,12.87M,,12.87M,186.23M,,1.037B,1.223B,104.35M,1.340B,124.97M,73.69M,,73.69M,,2.607B,83.58M,3.121B,4.768B,,136.06M,,,136.06M,136.06M,0.00,0.00,0.00,,,136.06M,369.98M,369.98M,,,,2.419B,718.05M,31.53M,198.15M,3.705B,4.132B,,7.281M,555.72M,331.64M,253.90M,,,,-36.13M,604.62M,,AOR,
2000-03,17.28M,,17.28M,208.07M,,1.043B,1.252B,88.70M,1.358B,127.82M,75.41M,,75.41M,,2.586B,80.90M,3.196B,4.857B,,149.34M,,,149.34M,149.34M,45.00M,45.00M,45.00M,,,194.34M,369.89M,369.89M,,,,2.399B,714.08M,31.20M,198.14M,3.681B,4.228B,,7.281M,552.42M,331.64M,254.04M,,,,-38.95M,598.35M,,AOR,
1999-12,20.05M,,20.05M,258.45M,,1.001B,1.260B,91.00M,1.371B,128.74M,76.52M,,76.52M,,2.578B,81.98M,3.113B,4.785B,,144.71M,,,144.71M,144.71M,35.00M,35.00M,35.00M,,,179.71M,394.79M,394.79M,,,155.83M,2.361B,689.83M,30.28M,,3.602B,4.163B,,7.281M,551.40M,331.64M,254.04M,,,,-44.50M,591.78M,,AOR,Restated
1999-09,,,,404.90M,,,404.90M,,404.90M,185.30M,,77.50M,77.50M,,,,4.195B,4.818B,,,,,,,35.00M,35.00M,35.00M,,,35.00M,394.70M,394.70M,,,,2.236B,710.80M,229.60M,,3.342B,3.931B,,,595.50M,,,,,,,657.70M,,,
1999-06,,,,419.10M,,,419.10M,,419.10M,130.80M,,78.40M,78.40M,,,,4.157B,4.799B,,,,,,,75.00M,75.00M,75.00M,,,75.00M,394.60M,394.60M,,,,2.175B,709.80M,239.80M,,3.279B,3.879B,,,599.50M,,,,,,,680.20M,,,
1999-03,,,,421.00M,,,421.00M,,421.00M,133.20M,,79.00M,79.00M,,,,4.208B,4.844B,,,,,,,75.00M,75.00M,75.00M,,,75.00M,394.50M,394.50M,,,,2.157B,708.60M,237.80M,,3.260B,3.883B,,,597.20M,,,,,,,723.30M,,,
1998-12,16.12M,,16.12M,229.52M,,890.80M,1.120B,79.53M,1.216B,136.88M,76.64M,,76.64M,,2.932B,0.00,3.561B,4.983B,,130.52M,,,130.52M,130.52M,55.50M,55.50M,55.50M,,,186.02M,394.44M,394.44M,6.877M,6.877M,298.16M,2.127B,664.86M,23.78M,207.99M,3.699B,4.098B,,7.346M,601.91M,429.61M,232.26M,0.065M,,,54.67M,861.28M,,AOR,Restated
1998-09,,,,391.00M,,,391.00M,,391.00M,137.80M,,72.60M,72.60M,,,,4.196B,4.793B,,,,,,,,,,,,,386.40M,386.40M,,,,2.065B,689.50M,232.50M,,3.141B,3.634B,,,608.90M,,,,,,,926.60M,,,
1998-06,,,,388.00M,,,388.00M,,388.00M,135.10M,,72.00M,72.00M,,,,4.272B,4.858B,,,,,,,,,,,,,386.30M,386.30M,,,,2.012B,652.40M,232.00M,,3.050B,3.712B,,,601.80M,,,,,,,914.10M,,,
1998-03,,,,372.70M,,,372.70M,,372.70M,133.50M,,72.40M,72.40M,,,,4.346B,4.909B,,,,,,,20.20M,20.20M,20.20M,,,20.20M,582.50M,582.50M,,,,1.954B,622.30M,23.00M,,3.159B,3.922B,,,587.00M,,,,,,,963.50M,,,
1997-12,,,,331.80M,,,331.80M,,331.80M,126.80M,,73.10M,73.10M,,,,4.030B,4.544B,,,,,,,,,,,,,390.40M,390.40M,,,,,589.40M,232.30M,,979.80M,3.365B,,,569.20M,,,,,,,947.30M,,AOR,
1997-09,,,,435.90M,,,435.90M,,435.90M,126.30M,,72.20M,72.20M,,,,3.823B,4.438B,,,,,,,,,,,,,598.20M,598.20M,,,,1.870B,592.00M,26.80M,,3.060B,3.496B,,,550.00M,,,,,,,915.20M,,,
1997-06,,,,323.90M,,,323.90M,,323.90M,117.50M,,72.90M,72.90M,,,,3.837B,4.333B,,,,,,,,,,,,,390.30M,390.30M,,,,1.84B,577.10M,21.60M,,2.807B,3.426B,,,529.50M,,,,,,,885.00M,,,
1997-03,,,,275.00M,,,275.00M,,275.00M,116.60M,,72.70M,72.70M,,,,3.618B,4.091B,,,,,,,,,,,,,390.20M,390.20M,,,,1.810B,540.60M,15.50M,,2.740B,3.227B,,,513.80M,,,,,,,848.60M,,,
1996-12,19.29M,,19.29M,256.40M,,427.46M,683.86M,70.06M,773.21M,116.30M,73.40M,,73.40M,,2.611B,,3.146B,4.073B,,71.35M,,,71.35M,71.35M,,,,,,71.35M,390.10M,390.10M,4.013M,4.013M,,1.783B,514.21M,12.33M,207.90M,2.899B,3.181B,,4.947M,490.34M,471.49M,118.12M,0.093M,,,31.08M,879.73M,,AOR,
1996-09,,,,525.40M,,,525.40M,,525.40M,,,74.20M,74.20M,,,,3.143B,3.814B,,,,,,,,,,,,,390.00M,390.00M,,,,1.762B,511.80M,10.10M,,2.664B,2.911B,,,470.90M,,,,,,,893.30M,,,
1996-06,,,,670.60M,,,670.60M,,670.60M,,,71.00M,71.00M,,,,2.886B,3.699B,,,,,,,,,,,,,390.00M,390.00M,,,,1.722B,492.90M,10.10M,,2.605B,2.823B,,,452.70M,,,,,,,866.50M,,,
1996-03,,,,248.50M,,,248.50M,,248.50M,,,71.00M,71.00M,,,,3.307B,3.685B,,,,,,,,,,,,,389.90M,389.90M,,,,1.694B,468.60M,9.90M,,2.553B,2.790B,,,437.30M,,,,,,,885.60M,,,
1995-12,10.18M,,10.18M,231.10M,,423.62M,654.72M,77.66M,742.56M,,69.60M,,69.60M,,2.392B,0.00,2.752B,3.619B,,65.80M,,,65.80M,65.80M,,,,,,65.80M,319.29M,319.29M,14.36M,14.36M,,1.660B,450.52M,9.799M,,2.444B,2.679B,,5.00M,424.26M,547.07M,94.96M,0.146M,,,48.45M,929.82M,,AOR,
1995-09,,,,236.70M,,,236.70M,,236.70M,,,55.60M,55.60M,,,,3.514B,3.868B,,,,,,,,,,,,,322.20M,322.20M,,,,2.148B,425.80M,75.10M,,2.896B,3.110B,,,412.30M,,,,,,,682.90M,,,
1995-06,,,,218.40M,,,218.40M,,218.40M,,,54.50M,54.50M,,,,3.408B,3.737B,,,,,,,,,,,,,325.10M,325.10M,,,,2.108B,389.20M,70.60M,,2.822B,2.996B,,,402.30M,,,,,,,669.60M,,,
1995-03,,,,205.40M,,,205.40M,,205.40M,,,54.90M,54.90M,,,,3.330B,3.636B,,,,,,,,,,,,,328.10M,328.10M,,,,2.079B,361.50M,65.80M,,2.769B,2.940B,,,391.70M,,,,,,,630.80M,,,
1994-12,,,,191.40M,,,191.40M,,191.40M,,,55.30M,55.30M,,,,3.291B,3.582B,,,,,,,,,,,,,331.00M,331.00M,,,,2.071B,350.30M,60.70M,,2.752B,2.924B,,,382.90M,,,,,,,597.70M,,,
1994-09,,,,183.70M,,,183.70M,,183.70M,,,55.80M,55.80M,,,,3.271B,3.552B,,,,,,,,,,,,,330.90M,330.90M,,,,2.081B,345.00M,61.90M,,2.756B,2.885B,,,375.90M,,,,,,,605.00M,,,
1994-06,,,,141.40M,,,141.40M,,141.40M,,,56.20M,56.20M,,,,2.132B,2.354B,,,,,,,,,,,,,254.90M,254.90M,,,,1.094B,279.80M,,,1.628B,1.721B,,,374.40M,,,,,,,633.80M,,,
1994-03,,,,123.90M,,,123.90M,,123.90M,,,45.70M,45.70M,,,,2.110B,2.307B,,,,,,,,,,,,,254.90M,254.90M,,,,1.067B,255.50M,,,1.578B,1.665B,,,368.00M,,,,,,,642.00M,,,
1993-12,,,,107.30M,,,107.30M,,107.30M,,,46.00M,46.00M,,,,1.975B,2.156B,,,,,,,,,,,,,254.80M,254.80M,,,,1.041B,240.10M,,,1.536B,1.630B,,,365.70M,,,,,,,526.30M,,,
1993-09,,,,106.70M,,,106.70M,,106.70M,34.10M,,46.40M,46.40M,,,,1.937B,2.114B,,,,,,,,,,,,,254.80M,254.80M,,,,1.008B,239.00M,,,1.502B,1.606B,,,354.50M,,,,,,,508.30M,,,
1993-06,,,,113.40M,,,113.40M,,113.40M,34.30M,,46.70M,46.70M,,,,1.877B,2.066B,,,,,,,,,,,,,254.80M,254.80M,,,,1.009B,232.60M,,,1.497B,1.570B,,,343.50M,,,,,,,496.00M,,,
1993-03,,,,152.10M,,,152.10M,,152.10M,33.00M,,47.50M,47.50M,,,,1.841B,2.061B,,,,,,,,,,,,,254.70M,254.70M,,,,,216.90M,,,471.60M,1.572B,,,332.80M,,,,,,,489.00M,,,
1992-12,,,,94.00M,,,94.00M,,94.00M,31.00M,,47.80M,47.80M,,,,1.548B,1.712B,,,,,,,,,,,,,205.00M,205.00M,,,,,160.80M,,,365.80M,1.238B,,,321.30M,,,,,,,474.40M,,,
1992-09,,,,97.10M,,,97.10M,,97.10M,30.80M,,49.00M,49.00M,,,,1.545B,1.710B,,,,,,,,,,,,,205.00M,205.00M,,,,,165.90M,,,370.90M,1.249B,,,307.60M,,,,,,,461.50M,,,
1992-06,,,,97.90M,,,97.90M,,97.90M,29.40M,,48.50M,48.50M,,,,1.541B,1.680B,,,,,,,,,,,,,204.90M,204.90M,,,,,160.70M,,,365.60M,1.230B,,,299.30M,,,,,,,449.70M,,,
1992-03,,,,96.50M,,,96.50M,,96.50M,29.00M,,48.90M,48.90M,,,,1.509B,1.646B,,,,,,,,,,,,,204.90M,204.90M,,,,,157.80M,,,362.70M,1.211B,,,288.30M,,,,,,,435.00M,,,
1991-12,,,,88.90M,,,88.90M,,88.90M,28.70M,,49.50M,49.50M,,,,1.397B,1.526B,,,,,,,,,,,,,106.10M,106.10M,,,,,159.10M,,,265.20M,1.104B,,,275.30M,,,,,,,421.70M,,,
1991-09,,,,102.70M,,,102.70M,,102.70M,26.60M,,49.90M,49.90M,,,,1.385B,1.529B,,,,,,,,,,,,,106.10M,106.10M,,,,,166.30M,,,272.40M,1.124B,,,265.70M,,,,,,,404.50M,,,
1991-06,,,,102.40M,,,102.40M,,102.40M,26.50M,,50.20M,50.20M,,,,1.327B,1.470B,,,,,,,,,,,,,106.00M,106.00M,,,,,158.80M,,,264.80M,1.084B,,,254.00M,,,,,,,385.20M,,,
1991-03,,,,93.40M,,,93.40M,,93.40M,26.70M,,50.90M,50.90M,,,,1.331B,1.463B,,,,,,,,,,,,,96.10M,96.10M,,,,,151.70M,,,247.80M,1.088B,,,243.60M,,,,,,,374.70M,,,
1990-12,,,,90.00M,,,90.00M,,90.00M,26.90M,,50.70M,50.70M,,,,1.279B,1.408B,,,,,,,,,,,,,96.10M,96.10M,,,,,155.60M,,,251.70M,1.058B,,,234.50M,,,,,,,350.10M,,,
1990-09,,,,99.50M,,,99.50M,,99.50M,26.40M,,50.10M,50.10M,,,,1.220B,1.361B,,,,,,,,,,,,,96.00M,96.00M,,,,,162.20M,,,258.20M,1.032B,,,228.00M,,,,,,,328.90M,,,
1990-06,,,,95.70M,,,95.70M,,95.70M,24.50M,,50.50M,50.50M,,,,1.253B,1.389B,,,,,,,,,,,,,96.00M,96.00M,,,,,156.70M,,,252.70M,1.045B,,,227.90M,,,,,,,344.10M,,,
1990-03,,,,88.30M,,,88.30M,,88.30M,22.80M,,50.80M,50.80M,,,,1.247B,1.374B,,,,,,,,,,,,,96.00M,96.00M,,,,,155.90M,,,251.90M,1.042B,,,216.50M,,,,,,,332.40M,,,
1989-12,,,,90.40M,,,90.40M,,90.40M,22.10M,,47.30M,47.30M,,,,1.225B,1.356B,,,,,,,,,,,,,96.00M,96.00M,,,,611.20M,160.50M,,,867.70M,1.026B,,,203.60M,,,,,,,329.80M,,,
1989-09,,,,91.70M,,,91.70M,,91.70M,20.80M,,45.90M,45.90M,,,,1.190B,1.324B,,,,,,,,,,,,,99.70M,99.70M,,,,581.30M,167.00M,,,848.00M,995.80M,,,190.30M,,,,,,,328.00M,,,
1989-06,,,,87.20M,,,87.20M,,87.20M,20.40M,,46.30M,46.30M,,,,1.188B,1.318B,,,,,,,,,,,,,99.70M,99.70M,,,,562.60M,163.60M,,,825.90M,1.002B,,,179.40M,,,,,,,315.80M,,,
1988-12,,,,,,,,,,,,,,,,,,1.232B,,,,,,,,,,,,,99.70M,99.70M,,,,,,,,99.70M,929.10M,,,152.50M,,,,,,,302.50M,,,
1987-12,,,,,,,,,,,,,,,,,,1.065B,,,,,,,,,,,,,79.60M,79.60M,,,,,,,,79.60M,793.40M,,,97.70M,,,,,,,271.50M,,,
1986-12,,,,,,,,,,,,,,,,,,873.90M,,,,,,,,,,,,,79.50M,79.50M,,,,,,,,79.50M,647.80M,,,42.00M,,,,,,,226.10M,,,
1985-12,,,,,,,,,,,,,,,,,,500.00M,,,,,,,,,,,,,82.80M,82.80M,,,,,,,,82.80M,423.00M,,,5.80M,,,,,,,77.00M,,,
1984-12,,,,,,,,,,,,,,,,,,304.50M,,,,,,,,,,,,,39.80M,39.80M,,,,,,,,39.80M,276.40M,,,-1.60M,,,,,,,28.10M,,,
