,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,774.00M,614.02M,1.388B,3.559B,74.23M,297.21M,3.856B,473.77M,5.718B,399.92M,173.42M,,173.42M,74.23M,14.98B,,16.05B,24.34B,,228.54M,116.61M,,345.15M,345.15M,,,,,,345.15M,2.488B,2.488B,,,44.94M,10.05B,3.410B,40.11M,,15.99B,18.87B,,47.02M,6.880B,1.041B,2.691B,,,,153.76M,5.431B,,AOR,Restated
2017-06,788.35M,612.81M,1.401B,3.514B,96.06M,164.70M,3.678B,482.26M,5.562B,424.98M,144.91M,,144.91M,96.06M,14.76B,,15.86B,23.99B,,221.63M,94.89M,,316.52M,316.52M,,,,,,316.52M,2.487B,2.487B,,,62.86M,9.823B,3.426B,39.43M,,15.80B,18.67B,,47.02M,6.735B,1.058B,2.687B,,,,133.30M,5.287B,,AOR,Restated
2017-03,608.39M,611.38M,1.220B,3.407B,103.65M,29.13M,3.436B,451.89M,5.107B,356.91M,144.51M,,144.51M,103.65M,14.79B,,15.89B,23.55B,,218.04M,169.96M,,388.00M,388.00M,,,,,,388.00M,2.487B,2.487B,,,51.35M,9.722B,3.403B,38.94M,,15.66B,18.33B,,47.02M,6.704B,1.048B,2.688B,,,,69.49M,5.180B,,AOR,Restated
2016-12,795.28M,669.20M,1.464B,3.446B,106.80M,484.59M,3.945B,413.14M,5.823B,349.43M,144.51M,,144.51M,106.80M,14.16B,,15.16B,23.36B,,213.13M,0.00,,213.13M,213.13M,,,,,,213.13M,2.488B,2.488B,134.36M,134.36M,51.18M,9.590B,3.283B,33.93M,,15.55B,18.28B,,47.02M,6.596B,1.037B,2.689B,,,,55.57M,5.047B,,AOR,Restated
2016-09,873.06M,158.98M,1.032B,3.435B,114.00M,185.55M,3.621B,429.85M,5.082B,348.17M,134.15M,,134.15M,114.00M,14.38B,,15.38B,23.35B,,261.62M,96.88M,,358.51M,358.51M,,,,,,358.51M,2.490B,2.490B,,,60.96M,9.547B,3.409B,36.06M,,15.51B,18.38B,,47.02M,6.520B,1.027B,2.658B,,,,-9.808M,4.926B,,AOR,Restated
2016-06,948.71M,286.65M,1.235B,3.446B,142.86M,349.22M,3.795B,450.20M,5.481B,346.02M,154.33M,,154.33M,142.86M,13.74B,,14.91B,23.03B,,246.49M,40.16M,,286.65M,286.65M,,,,,,286.65M,2.536B,2.536B,,,120.66M,9.442B,3.417B,36.55M,,15.52B,18.09B,,47.02M,6.376B,1.022B,2.599B,,,,57.28M,4.903B,,AOR,Restated
2016-03,837.52M,141.70M,979.21M,3.308B,149.39M,373.83M,3.682B,429.06M,5.090B,346.47M,153.75M,,153.75M,149.39M,13.27B,,14.44B,22.23B,,256.84M,31.29M,,288.13M,288.13M,,,,,,288.13M,2.261B,2.261B,,,35.96M,9.372B,3.315B,36.84M,,14.98B,17.44B,,47.02M,6.283B,1.014B,2.600B,,,,8.124M,4.751B,,AOR,Restated
2015-12,763.63M,150.87M,914.50M,3.202B,273.10M,383.12M,3.641B,394.39M,4.950B,348.22M,153.29M,,153.29M,273.10M,12.97B,,14.19B,21.73B,,224.75M,,,224.75M,224.75M,,,,,,224.75M,2.185B,2.185B,6.811M,6.811M,37.04M,9.245B,3.137B,32.96M,,14.61B,17.10B,,47.02M,6.178B,1.005B,2.564B,,,,-66.70M,4.600B,,AOR,Restated
2015-09,879.93M,177.88M,1.058B,3.280B,286.27M,401.94M,3.684B,400.39M,5.142B,336.82M,153.28M,,153.28M,286.27M,12.90B,,14.11B,21.74B,,230.01M,,,230.01M,230.01M,,,,,,230.01M,2.179B,2.179B,,,33.36M,9.226B,3.198B,33.37M,,14.64B,17.12B,,47.02M,6.083B,989.55M,2.565B,,,,28.11M,4.583B,,AOR,Restated
2015-06,756.37M,153.51M,909.88M,3.300B,259.41M,41.58M,3.371B,415.67M,4.696B,332.02M,150.68M,,150.68M,259.41M,13.38B,,14.55B,21.69B,,225.21M,,,225.21M,225.21M,,,,,,225.21M,2.184B,2.184B,,,155.48M,9.186B,3.190B,34.14M,,14.72B,17.15B,,47.02M,5.945B,1.004B,2.580B,,,,86.06M,4.502B,,AOR,Restated
