,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,558.89M,1.466B,,1.466B,1.582B,,1.582B,,,129.62M,3.410B,,,,1.431B,,1.431B,-510.10M,921.19M,7.927M,,7.927M,3.13M,16.40M,948.65M,4.359B,888.76M,33.10M,,921.86M,236.83M,1.159B,,70.76M,70.76M,267.27M,267.27M,,,1.497B,,357.37M,357.37M,,,2.444M,,357.37M,1.854B,1.692M,2.490B,145.92M,,,-135.28M,2.502B
2020-06,576.74M,1.180B,,1.180B,1.460B,,1.460B,,,69.56M,2.858B,,,,1.417B,,1.417B,-494.77M,922.28M,7.927M,,7.927M,5.30M,16.40M,951.91M,3.810B,755.97M,32.29M,,788.26M,257.92M,1.046B,,69.74M,69.74M,172.15M,172.15M,,,1.288B,,360.51M,360.51M,,,2.48M,,360.51M,1.649B,1.668M,2.298B,12.22M,,,-153.16M,2.159B
2020-03,440.12M,1.112B,,1.112B,1.269B,,1.269B,,,94.06M,2.619B,,,,1.339B,,1.339B,-481.49M,857.34M,7.927M,,7.927M,9.68M,16.21M,891.15M,3.510B,700.94M,21.86M,,722.81M,201.76M,924.56M,,63.75M,63.75M,170.87M,170.87M,,,1.159B,,313.64M,313.64M,,,2.339M,,313.64M,1.473B,1.662M,2.202B,0.682M,,,-169.75M,2.035B
2019-12,417.46M,1.230B,,1.230B,1.315B,,1.315B,,,92.56M,2.770B,145.17M,478.36M,353.92M,390.04M,0.794M,1.368B,-478.91M,889.38M,7.927M,,7.927M,8.034M,16.62M,921.96M,3.692B,735.70M,23.63M,,759.32M,189.45M,948.77M,,65.37M,65.37M,154.18M,154.18M,,,1.168B,,326.35M,326.35M,,,2.191M,,326.35M,1.495B,1.696M,2.321B,3.203M,,,-131.19M,2.195B
2019-09,398.24M,1.216B,,1.216B,1.319B,,1.319B,,,103.52M,2.769B,,,,1.336B,,1.336B,-468.06M,868.38M,7.927M,,7.927M,44.35M,16.58M,937.24M,3.706B,744.00M,17.27M,,761.28M,207.75M,969.03M,,61.84M,61.84M,152.72M,152.72M,,,1.184B,,313.58M,313.58M,,,1.902M,,313.58M,1.497B,1.702M,2.301B,23.30M,,,-118.77M,2.207B
2019-06,513.33M,1.083B,,1.083B,1.382B,,1.382B,,,103.09M,2.711B,,,,1.343B,,1.343B,-465.98M,876.66M,7.927M,,7.927M,33.62M,17.33M,935.53M,3.647B,811.14M,19.89M,,831.04M,217.46M,1.048B,,61.27M,61.27M,169.06M,169.06M,,,1.279B,,315.78M,315.78M,,,1.421M,,315.78M,1.595B,1.701M,2.141B,12.43M,,,-104.10M,2.051B
2019-03,460.58M,1.189B,,1.189B,1.354B,,1.354B,,,54.30M,2.729B,,,,1.308B,,1.308B,-457.51M,849.99M,7.927M,,7.927M,37.78M,18.22M,913.92M,3.643B,768.66M,23.50M,,792.17M,220.08M,1.012B,,58.64M,58.64M,157.04M,157.04M,,,1.228B,,289.55M,289.55M,,,1.164M,,289.55M,1.517B,1.716M,2.223B,3.978M,,,-103.99M,2.124B
2018-12,427.31M,923.74M,,923.74M,1.582B,,1.582B,,,70.04M,2.735B,144.52M,473.66M,330.32M,,2.582M,951.08M,-446.98M,504.10M,7.927M,,7.927M,40.46M,27.25M,579.74M,3.315B,902.26M,18.42M,,920.68M,215.81M,1.136B,,0.00,0.00,190.34M,190.34M,,,1.327B,,0.00,0.00,,,0.882M,,0.00,1.327B,1.716M,2.089B,1.896M,,,-105.48M,1.987B
2018-09,444.65M,990.61M,,990.61M,1.529B,,1.529B,,,59.25M,2.746B,,,,951.76M,,951.76M,-441.43M,510.33M,7.927M,,7.927M,43.29M,26.78M,588.33M,3.335B,934.51M,19.14M,,953.65M,228.78M,1.182B,,,,195.04M,195.04M,,,1.377B,,,,,,1.483M,,0.00,1.377B,1.726M,2.053B,1.832M,,,-101.10M,1.956B
2018-06,527.10M,1.021B,,1.021B,1.338B,,1.338B,,,69.44M,2.564B,,,,950.71M,,950.71M,-435.16M,515.55M,7.927M,,7.927M,16.78M,28.44M,568.69M,3.133B,832.01M,19.24M,,851.26M,227.15M,1.078B,,,,161.87M,161.87M,,,1.240B,,,,,,2.807M,,0.00,1.240B,1.736M,1.977B,1.607M,,,-90.71M,1.890B
