,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.465B,2.465B,2.162B,302.43M,2.945M,,2.945M,,,,,1.504M,1.504M,47.54M,50.49M,251.94M,1.504M,,1.504M,0.98M,1.504M,254.43M,62.71M,191.72M,-0.412M,191.31M,191.31M,267.80M,15.85M,251.94M,1.14,,1.14,1.14,1.12,,1.12,1.12,168.31M,170.74M,0.0
2020-06,2.581B,2.581B,2.282B,299.00M,3.113M,,3.113M,,,,,2.559M,2.559M,48.26M,51.37M,247.63M,2.559M,,2.559M,0.797M,2.559M,250.98M,66.79M,184.19M,-0.319M,183.87M,183.87M,261.74M,14.11M,247.63M,1.1,,1.1,1.1,1.09,,1.09,1.09,166.77M,169.29M,0.52
2020-03,1.902B,1.902B,1.684B,217.91M,8.243M,,8.243M,,,,,4.807M,4.807M,50.61M,58.86M,159.06M,4.807M,,4.807M,3.384M,4.807M,167.25M,44.46M,122.78M,-0.438M,122.34M,122.34M,171.72M,12.66M,159.06M,0.73,,0.73,0.73,0.71,,0.71,0.71,168.74M,171.45M,0.0
2019-12,2.045B,2.045B,1.806B,239.31M,11.15M,,11.15M,,,,,4.68M,4.68M,47.82M,58.97M,180.34M,4.68M,,4.68M,0.477M,4.68M,185.50M,47.75M,137.75M,-0.422M,137.33M,137.33M,192.83M,12.49M,180.34M,0.81,,0.81,0.81,0.79,,0.79,0.79,170.34M,173.45M,0.5
2019-09,2.075B,2.075B,1.811B,263.65M,10.13M,,10.13M,,,,,5.501M,5.501M,46.97M,57.10M,206.55M,5.501M,,5.501M,1.895M,5.501M,213.95M,53.32M,160.63M,-0.406M,160.22M,160.22M,218.94M,12.39M,206.55M,0.94,,0.94,0.94,0.92,,0.92,0.92,170.42M,173.48M,0.0
2019-06,2.036B,2.036B,1.784B,251.77M,11.64M,,11.64M,,,,,6.516M,6.516M,47.93M,59.57M,192.20M,6.516M,,6.516M,2.262M,6.516M,200.98M,47.45M,153.53M,-0.381M,153.15M,153.15M,204.88M,12.68M,192.20M,0.9,,0.9,0.9,0.88,,0.88,0.88,171.00M,174.47M,0.5
2019-03,2.020B,2.020B,1.778B,242.29M,11.08M,,11.08M,,,,,6.106M,6.106M,43.61M,54.69M,187.60M,6.106M,,6.106M,1.665M,6.106M,195.37M,55.26M,140.11M,-0.412M,139.70M,139.70M,200.99M,13.39M,187.60M,0.81,,0.81,0.81,0.8,,0.8,0.8,171.82M,175.39M,0.0
2018-12,2.236B,2.236B,1.959B,277.02M,12.96M,,12.96M,,,,,4.982M,4.982M,47.06M,60.02M,217.01M,4.982M,,4.982M,0.256M,4.982M,222.24M,42.67M,179.58M,-0.367M,179.21M,179.21M,230.19M,13.19M,217.01M,1.04,,1.04,1.04,1.02,,1.02,1.02,172.51M,175.99M,0.45
2018-09,2.091B,2.091B,1.833B,258.20M,10.63M,,10.63M,,,,,4.704M,4.704M,44.41M,55.05M,203.15M,4.704M,,4.704M,0.566M,4.704M,208.42M,45.36M,163.07M,-0.375M,162.69M,162.69M,216.49M,13.34M,203.15M,0.94,,0.94,0.94,0.92,,0.92,0.92,173.39M,177.17M,0.0
2018-06,1.958B,1.958B,1.718B,239.95M,10.79M,,10.79M,,,,,5.153M,5.153M,45.58M,56.37M,183.58M,5.153M,,5.153M,1.167M,5.153M,189.90M,48.96M,140.95M,-0.341M,140.60M,140.60M,197.16M,13.58M,183.58M,0.8,,0.8,0.8,0.79,,0.79,0.79,174.75M,178.60M,0.45
