,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,191.72M,,,,15.85M,15.85M,-1.276M,12.30M,,2.919M,-106.06M,52.98M,,,-7.221M,-60.31M,161.60M,-9.178M,,-9.178M,,1.174M,-8.004M,,,,121.43M,0.00,121.43M,0.00,0.00,0.00,121.43M,1.180B,275.02M,10.03M,1.466B,121.43M,,,0.00,106.43M,
2020-06,184.19M,,,,14.11M,14.11M,9.287M,21.64M,,0.118M,-185.06M,126.91M,,,13.13M,-45.01M,186.72M,-22.11M,,-22.11M,,-0.068M,-22.18M,,,,29.19M,-30.98M,-1.798M,-86.82M,-86.82M,-9.17M,-97.78M,1.112B,66.76M,1.726M,1.180B,29.19M,,,-30.98M,38.50M,
2020-03,122.78M,,,,12.66M,12.66M,-5.139M,11.16M,,0.433M,16.68M,11.40M,,,-6.797M,21.29M,165.00M,-6.127M,,-6.127M,,-0.143M,-6.27M,,,,23.40M,-283.24M,-259.84M,,,-1.396M,-261.24M,1.230B,-102.51M,-16.01M,1.112B,23.40M,,,-283.24M,35.30M,
2019-12,137.75M,,,,12.49M,12.49M,4.499M,12.18M,,0.129M,19.74M,-25.98M,,,4.88M,-1.352M,165.25M,-9.079M,,-8.50M,,-1.097M,-9.597M,,,,28.06M,-92.14M,-64.08M,-85.37M,-85.37M,0.00,-149.45M,1.216B,6.197M,8.324M,1.230B,28.06M,,,-92.14M,25.91M,
2019-09,160.63M,,,,12.39M,12.39M,-5.822M,12.16M,,0.652M,43.88M,-59.49M,,,-3.654M,-19.26M,161.50M,-15.52M,,-15.52M,,0.232M,-15.29M,,,,60.71M,-62.00M,-1.286M,0.00,0.00,0.00,-1.286M,1.083B,144.92M,-11.60M,1.216B,60.71M,,,-62.00M,61.20M,
2019-06,153.53M,,,,12.68M,12.68M,3.697M,23.82M,,-0.029M,-28.19M,-9.706M,,,-1.683M,-39.58M,155.71M,-12.99M,,-12.99M,,1.038M,-11.95M,,,,32.29M,-190.59M,-158.30M,-85.18M,-85.18M,-6.674M,-250.16M,1.189B,-106.40M,-0.377M,1.083B,32.29M,,,-190.59M,97.72M,
2019-03,140.11M,,,,13.39M,13.39M,2.108M,13.38M,,0.189M,230.48M,-105.29M,,,-2.999M,122.19M,289.48M,-9.435M,,-9.435M,,0.255M,-9.18M,,,,27.19M,-44.33M,-17.14M,,,,-17.14M,923.74M,263.16M,2.535M,1.189B,27.19M,,,-44.33M,37.25M,
2018-12,179.58M,,,,13.19M,13.19M,5.491M,12.98M,,-0.123M,-58.65M,-52.26M,-0.862M,,1.136M,-110.63M,102.05M,-9.832M,,-9.617M,,-0.254M,-9.871M,,,,13.17M,-92.14M,-78.97M,-77.66M,-77.66M,-1.271M,-157.90M,990.61M,-65.72M,-1.153M,923.74M,13.17M,,,-92.14M,55.81M,
2018-09,163.07M,,,,13.34M,13.34M,-23.61M,13.90M,,0.666M,-210.09M,124.92M,0.93M,,1.633M,-82.61M,86.72M,-11.73M,,-11.73M,,1.109M,-10.62M,,,,47.81M,-147.83M,-100.02M,0.00,0.00,-1.246M,-101.27M,1.021B,-25.17M,-5.071M,990.61M,47.81M,,,-147.83M,59.31M,
2018-06,140.95M,,,,13.58M,13.58M,3.235M,18.00M,,0.056M,-46.88M,20.02M,-1.202M,,0.275M,-27.79M,148.56M,-12.11M,,-12.11M,,-1.564M,-13.68M,,,,95.36M,-235.57M,-140.21M,-79.18M,-79.18M,-3.215M,-222.60M,1.133B,-87.72M,-24.32M,1.021B,95.36M,,,-235.57M,85.61M,
