,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-12,81.60M,81.60M,295.80M,,295.80M,25.80M,,21.80M,425.00M,0.00,89.50M,476.90M,,566.40M,-306.90M,259.50M,1.835B,860.20M,2.695B,72.40M,3.099B,3.524B,,31.10M,31.10M,142.90M,174.00M,,222.10M,,222.10M,69.90M,69.90M,80.90M,546.90M,1.165B,1.165B,277.10M,277.10M,62.80M,,72.70M,1.578B,2.125B,,235.60M,2.03B,1.041B,1.679B,,,-170.50M,1.399B,,,Restated
2007-09,87.00M,87.00M,302.70M,,302.70M,31.00M,,23.70M,444.40M,0.00,84.00M,168.30M,277.00M,529.30M,-290.30M,239.00M,1.791B,876.10M,2.667B,130.10M,3.036B,3.481B,,21.80M,21.80M,122.60M,144.40M,,168.20M,,168.20M,67.50M,67.50M,91.20M,471.30M,1.241B,1.241B,263.90M,263.90M,,,127.10M,1.632B,2.103B,,235.10M,1.970B,996.60M,1.638B,-68.70M,-117.10M,-185.80M,1.378B,,,
2007-06,264.20M,264.20M,296.20M,,296.20M,35.50M,,29.90M,625.80M,0.00,37.50M,159.30M,263.90M,460.70M,-273.00M,187.70M,1.778B,896.50M,2.675B,125.20M,2.988B,3.614B,,33.90M,33.90M,103.60M,137.50M,,427.20M,,427.20M,72.40M,72.40M,79.50M,716.60M,778.60M,778.60M,267.10M,267.10M,,,124.20M,1.170B,1.886B,,234.70M,1.907B,985.80M,1.196B,-85.50M,-118.70M,-204.20M,1.727B,,,
2007-03,69.60M,69.60M,252.20M,,252.20M,31.80M,,19.00M,372.60M,0.00,29.60M,137.70M,250.80M,418.10M,-255.70M,162.40M,847.20M,333.50M,1.181B,116.20M,1.459B,1.832B,,21.40M,21.40M,84.10M,105.50M,,307.00M,,307.00M,67.40M,67.40M,86.50M,566.40M,148.90M,148.90M,67.60M,67.60M,,,121.40M,337.90M,904.30M,,233.10M,1.842B,625.20M,1.491B,-107.10M,-174.80M,-281.90M,927.60M,,,
2006-12,67.80M,67.80M,244.80M,,244.80M,21.50M,,11.10M,345.20M,0.00,29.70M,132.20M,243.80M,405.70M,-243.80M,161.90M,842.00M,337.40M,1.179B,104.10M,1.445B,1.791B,,23.50M,23.50M,103.90M,127.40M,,330.00M,,330.00M,62.70M,62.70M,62.00M,582.10M,173.90M,173.90M,70.80M,70.80M,,,125.70M,370.40M,952.50M,,232.90M,1.779B,609.20M,1.550B,-113.20M,-119.00M,-232.20M,838.10M,,,
2006-09,55.70M,55.70M,248.50M,,248.50M,24.90M,,12.90M,342.00M,0.00,29.20M,133.60M,232.80M,395.60M,-239.00M,156.60M,808.50M,338.00M,1.146B,249.00M,1.552B,1.894B,,21.30M,21.30M,90.80M,112.10M,,91.70M,,91.70M,62.30M,62.30M,54.90M,321.00M,416.90M,416.90M,135.30M,135.30M,,,102.80M,655.00M,976.00M,,232.70M,1.721B,599.90M,1.440B,-116.60M,-79.10M,-195.70M,918.10M,,,
2006-06,48.20M,48.20M,239.00M,,239.00M,24.90M,,10.40M,322.50M,0.00,29.20M,131.40M,225.30M,385.90M,-227.60M,158.30M,804.80M,345.50M,1.150B,252.60M,1.561B,1.884B,,16.80M,16.80M,97.50M,114.30M,,95.60M,,95.60M,63.90M,63.90M,38.80M,312.60M,433.80M,433.80M,129.80M,129.80M,,,114.80M,678.40M,991.00M,,232.40M,1.647B,587.50M,1.374B,,,-200.00M,892.70M,,,
2006-03,56.40M,56.40M,226.90M,,226.90M,25.50M,,10.00M,318.80M,0.00,28.80M,127.50M,167.40M,323.70M,-187.50M,136.20M,894.20M,255.30M,1.150B,274.50M,1.560B,1.879B,,21.90M,21.90M,70.20M,92.10M,,92.40M,,92.40M,58.40M,58.40M,69.10M,312.00M,468.80M,468.80M,127.40M,127.40M,,,113.40M,709.60M,1.022B,,232.00M,1.583B,574.60M,1.321B,,,-210.70M,857.40M,,,
2005-12,37.50M,37.50M,216.00M,,216.00M,17.90M,,9.00M,280.40M,0.00,29.10M,124.50M,205.90M,359.50M,-202.70M,156.80M,791.20M,358.40M,1.150B,244.70M,1.551B,1.832B,,5.90M,5.90M,94.70M,100.60M,,92.30M,,92.30M,49.20M,49.20M,52.40M,294.50M,463.80M,463.80M,126.10M,126.10M,,,126.80M,716.70M,1.011B,,231.50M,1.525B,559.00M,1.275B,,,-220.70M,820.30M,,,
2005-09,41.50M,41.50M,224.00M,,224.00M,,14.30M,24.90M,304.70M,0.00,29.50M,284.20M,,313.70M,-175.70M,138.00M,,1.165B,1.165B,105.60M,1.408B,1.713B,,5.10M,5.10M,,5.10M,,88.80M,,88.80M,,,202.40M,296.30M,518.80M,518.80M,78.90M,78.90M,,,121.30M,719.00M,1.015B,,230.90M,1.468B,539.20M,1.223B,,,-317.10M,697.70M,,,
2005-06,44.70M,44.70M,215.60M,,215.60M,,11.30M,37.00M,308.60M,0.00,30.90M,287.50M,,318.40M,-181.60M,136.80M,,1.119B,1.119B,106.50M,1.363B,1.671B,,6.50M,6.50M,,6.50M,,263.90M,,263.90M,,,186.50M,456.90M,398.70M,398.70M,63.50M,63.50M,,,130.20M,592.40M,1.049B,,229.80M,1.411B,508.40M,1.194B,,,-332.50M,622.00M,,,
2005-03,52.90M,52.90M,214.10M,,214.10M,,17.80M,46.50M,331.30M,0.00,30.10M,303.20M,,333.30M,-196.20M,137.10M,,1.101B,1.101B,101.20M,1.339B,1.671B,,7.00M,7.00M,,7.00M,,317.70M,,317.70M,,,195.00M,519.70M,398.70M,398.70M,58.80M,58.80M,,,127.70M,585.20M,1.105B,,228.50M,1.353B,482.20M,1.158B,,,-340.00M,565.70M,,,
2004-12,52.10M,52.10M,195.10M,,195.10M,,13.20M,39.20M,299.60M,0.00,30.20M,297.90M,,328.10M,-189.80M,138.30M,,1.029B,1.029B,90.50M,1.258B,1.557B,,9.70M,9.70M,,9.70M,,255.70M,,255.70M,,,191.50M,456.90M,398.50M,398.50M,38.60M,38.60M,,,139.60M,576.70M,1.034B,,227.50M,1.299B,466.90M,1.133B,,,-336.20M,523.60M,,,
2004-09,22.70M,22.70M,199.70M,7.70M,207.40M,,9.40M,35.00M,274.50M,0.00,30.00M,122.10M,,152.10M,-107.10M,45.00M,,717.10M,717.10M,475.00M,1.237B,1.512B,,7.40M,7.40M,27.80M,35.20M,,268.40M,,268.40M,,,170.40M,474.00M,412.40M,412.40M,51.40M,51.40M,,,112.50M,576.30M,1.050B,,226.80M,1.245B,449.20M,1.098B,,,-361.60M,461.30M,,,
2004-06,24.90M,24.90M,192.80M,13.00M,205.80M,,16.00M,41.00M,287.70M,0.00,29.90M,121.10M,,151.00M,-108.70M,42.30M,,719.10M,719.10M,477.90M,1.239B,1.527B,,13.00M,13.00M,22.90M,35.90M,,67.80M,,67.80M,,,154.30M,258.00M,658.10M,658.10M,63.30M,63.30M,,,122.30M,843.70M,1.102B,,225.60M,1.196B,438.50M,1.060B,,,-374.40M,425.30M,,,
2004-03,37.00M,37.00M,191.30M,17.10M,208.40M,,13.50M,49.00M,307.90M,0.00,30.60M,121.50M,,152.10M,-107.60M,44.50M,,725.10M,725.10M,513.10M,1.283B,1.591B,,9.20M,9.20M,17.60M,26.80M,,165.10M,,165.10M,,,166.00M,357.90M,660.10M,660.10M,51.60M,51.60M,,,123.40M,835.10M,1.193B,,225.10M,1.127B,432.90M,1.026B,,,-361.60M,397.60M,,,
2003-12,39.30M,39.30M,175.40M,13.30M,188.70M,,15.50M,42.40M,285.90M,0.00,29.50M,300.40M,,329.90M,-183.30M,146.60M,,1.020B,1.020B,100.30M,1.267B,1.553B,,13.40M,13.40M,34.40M,47.80M,,160.50M,,160.50M,,,146.50M,354.80M,663.00M,663.00M,44.30M,44.30M,,,119.70M,827.00M,1.182B,,225.50M,1.079B,432.50M,995.50M,,,-370.00M,371.50M,,,
2003-09,33.50M,33.50M,191.40M,9.40M,200.80M,,19.60M,39.40M,293.30M,0.00,31.10M,121.40M,,152.50M,-104.60M,47.90M,,702.50M,702.50M,549.70M,1.300B,1.593B,,10.80M,10.80M,,10.80M,,27.10M,,27.10M,,,183.30M,221.20M,841.50M,841.50M,38.30M,38.30M,,,145.70M,1.026B,1.247B,,225.20M,1.054B,422.30M,965.00M,,,-389.60M,346.70M,,,
2003-06,30.80M,30.80M,198.80M,14.60M,213.40M,,21.40M,38.20M,303.80M,0.00,31.30M,115.30M,,146.60M,-98.10M,48.50M,,703.00M,703.00M,555.20M,1.307B,1.610B,,12.50M,12.50M,24.00M,36.50M,,23.70M,,23.70M,,,158.10M,218.30M,891.90M,891.90M,31.70M,31.70M,,,142.80M,1.066B,1.285B,,224.80M,1.005B,416.50M,929.50M,,,-391.40M,325.80M,,,
2003-03,25.80M,25.80M,195.30M,17.10M,212.40M,,20.50M,33.10M,291.80M,0.00,29.90M,108.40M,,138.30M,-88.60M,49.70M,,666.10M,666.10M,548.00M,1.264B,1.556B,,14.20M,14.20M,18.30M,32.50M,,243.00M,,243.00M,,,160.60M,436.10M,693.80M,693.80M,29.70M,29.70M,,,141.10M,864.60M,1.301B,,225.10M,966.30M,413.00M,919.10M,,,-430.40M,254.90M,,,
2002-12,30.50M,30.50M,179.80M,20.80M,200.60M,,20.90M,33.60M,285.60M,0.00,29.30M,115.90M,,145.20M,-94.60M,50.60M,,650.50M,650.50M,520.20M,1.221B,1.507B,,16.50M,16.50M,31.00M,47.50M,,233.90M,,233.90M,,,146.50M,427.90M,690.60M,690.60M,25.90M,25.90M,,,141.50M,858.00M,1.286B,,225.10M,925.40M,412.00M,899.70M,,,-441.80M,221.00M,,,
2002-09,30.10M,30.10M,204.40M,10.20M,214.60M,,25.20M,41.50M,311.40M,,,,,157.70M,-112.00M,45.70M,,611.50M,611.50M,560.00M,1.217B,1.529B,,10.30M,10.30M,20.30M,30.60M,,244.40M,,244.40M,,,160.50M,435.50M,650.60M,650.60M,91.70M,91.70M,,,86.40M,828.70M,1.264B,,225.10M,878.30M,403.70M,898.70M,,,-344.00M,264.40M,,,
2002-06,28.20M,28.20M,186.20M,50.10M,236.30M,,25.60M,42.40M,332.50M,,,,,157.30M,-112.00M,45.30M,555.20M,,555.20M,519.00M,1.120B,1.452B,,10.90M,10.90M,19.40M,30.30M,,256.40M,,256.40M,,,146.20M,432.90M,547.40M,547.40M,92.10M,92.10M,,,96.30M,735.80M,1.169B,,225.10M,842.20M,402.90M,876.00M,,,-310.90M,283.30M,,,
2002-03,29.60M,29.60M,191.00M,64.70M,255.70M,,26.10M,25.80M,337.20M,,,,,161.80M,-112.00M,49.80M,,522.50M,522.50M,505.40M,1.078B,1.415B,,10.10M,10.10M,11.60M,21.70M,,54.40M,,54.40M,,,161.50M,237.60M,699.40M,699.40M,91.30M,91.30M,,,110.20M,900.90M,1.138B,,225.00M,797.60M,399.40M,850.40M,,,-295.20M,276.40M,,,
2001-12,33.20M,33.20M,197.00M,69.20M,266.20M,,26.40M,32.20M,358.00M,0.00,32.30M,134.90M,,167.20M,-112.00M,55.20M,,516.50M,516.50M,492.90M,1.065B,1.423B,,13.20M,13.20M,26.50M,39.70M,,62.00M,,62.00M,,,174.20M,275.90M,693.60M,693.60M,88.60M,88.60M,,,121.00M,903.20M,1.179B,,223.00M,758.80M,376.70M,828.00M,,,-287.00M,243.50M,,,
2001-09,26.68M,26.68M,214.66M,69.92M,284.59M,,16.85M,36.26M,364.38M,,,,,178.25M,-121.10M,57.14M,522.13M,,522.13M,505.76M,1.085B,1.449B,,15.81M,15.81M,20.11M,35.93M,,59.08M,,59.08M,,,160.48M,255.50M,715.93M,715.93M,77.07M,77.07M,,,137.24M,930.23M,1.186B,,222.42M,755.53M,365.46M,792.73M,,,-287.00M,263.68M,,,
2001-06,35.34M,35.34M,227.54M,70.60M,298.13M,,24.74M,31.72M,389.93M,0.00,31.35M,148.86M,,180.21M,-121.10M,59.11M,,536.63M,536.63M,1.036B,1.631B,2.021B,,20.40M,20.40M,,20.40M,,103.37M,,103.37M,,,200.55M,324.33M,981.56M,981.56M,85.07M,85.07M,,,147.41M,1.214B,1.538B,,221.59M,953.55M,358.50M,778.43M,,,-272.37M,482.85M,,,
2001-03,50.16M,50.16M,313.81M,150.77M,464.58M,,23.17M,43.68M,581.59M,0.00,41.69M,234.58M,,276.26M,-182.05M,94.21M,,690.06M,690.06M,662.78M,1.447B,2.029B,,36.44M,36.44M,,36.44M,,60.23M,,60.23M,,,304.40M,401.06M,979.06M,979.06M,91.95M,91.95M,,,168.09M,1.239B,1.640B,,220.50M,937.34M,342.03M,778.90M,,,-332.47M,388.49M,,,
2000-12,59.62M,59.62M,225.97M,66.16M,292.13M,,18.41M,33.58M,403.74M,0.00,30.97M,150.54M,,181.52M,-115.51M,66.00M,,556.99M,556.99M,923.63M,1.547B,1.950B,,16.80M,16.80M,,16.80M,,54.20M,,54.20M,,,196.11M,267.11M,993.43M,993.43M,80.08M,80.08M,,,168.88M,1.242B,1.509B,,219.99M,902.48M,336.53M,778.96M,,,-239.17M,440.87M,,,
2000-09,123.81M,123.81M,,,408.62M,,,93.26M,625.69M,,,,,309.75M,-201.97M,107.78M,,761.26M,761.26M,568.78M,1.438B,2.064B,,121.53M,121.53M,,121.53M,,73.42M,,73.42M,,,229.05M,424.01M,1.145B,1.145B,79.81M,79.81M,,,107.94M,1.333B,1.757B,,218.82M,847.25M,314.63M,786.97M,,,-286.99M,306.74M,,,
2000-06,111.74M,111.74M,,,421.80M,,,94.21M,627.75M,,,,,304.70M,-194.40M,110.30M,,766.90M,766.90M,573.49M,1.451B,2.078B,,154.42M,154.42M,,154.42M,,76.58M,,76.58M,,,236.29M,467.29M,1.158B,1.158B,78.44M,78.44M,,,109.16M,1.346B,1.813B,,218.32M,796.03M,310.22M,786.97M,,,-272.28M,265.32M,,,
2000-03,108.54M,108.54M,,,299.60M,,,173.72M,581.87M,,,,,295.37M,-189.31M,106.06M,,625.24M,625.24M,523.52M,1.255B,1.837B,,177.30M,177.30M,,177.30M,,78.20M,,78.20M,,,234.51M,490.01M,913.34M,913.34M,76.07M,76.07M,,,106.56M,1.096B,1.586B,,218.23M,756.01M,308.57M,787.30M,,,-244.81M,250.71M,,,
1999-12,136.60M,136.60M,,,390.68M,,,82.16M,609.43M,,,,,297.45M,-181.96M,115.49M,,612.55M,612.55M,502.31M,1.230B,1.840B,,177.43M,177.43M,,177.43M,,79.87M,,79.87M,,,247.50M,504.80M,933.71M,933.71M,73.13M,73.13M,,,112.52M,1.119B,1.624B,,217.82M,726.83M,304.53M,816.21M,,,-217.34M,215.62M,,,
1999-09,137.10M,137.10M,,,329.00M,,,72.60M,538.70M,,,,,276.80M,-168.20M,108.60M,,605.70M,605.70M,459.40M,1.174B,1.712B,,138.00M,138.00M,,138.00M,,43.60M,,43.60M,,,217.30M,398.90M,939.00M,939.00M,57.70M,57.70M,,,118.80M,1.116B,1.514B,,217.80M,678.10M,301.80M,771.70M,,,-227.90M,198.00M,,,
1999-06,152.30M,152.30M,,,331.80M,,,78.20M,562.30M,,,,,274.70M,-160.80M,113.90M,,610.40M,610.40M,451.10M,1.175B,1.738B,,132.30M,132.30M,,132.30M,,41.10M,,41.10M,,,226.30M,399.70M,941.60M,941.60M,53.20M,53.20M,,,118.50M,1.113B,1.513B,,,632.90M,,,,,,224.70M,,,
1999-03,117.50M,117.50M,,,349.80M,,,76.70M,544.00M,,,,,270.00M,-155.00M,115.00M,,620.70M,620.70M,453.00M,1.189B,1.733B,,123.60M,123.60M,,123.60M,,44.60M,,44.60M,,,237.30M,405.50M,938.90M,938.90M,52.00M,52.00M,,,114.40M,1.105B,1.511B,,,593.80M,,,,,,221.90M,,,
1998-12,90.60M,90.60M,,,353.10M,,,76.70M,520.40M,,,,,270.30M,-151.00M,119.30M,,719.70M,719.70M,469.40M,1.308B,1.829B,,107.30M,107.30M,,107.30M,,47.40M,,47.40M,,,264.50M,419.20M,869.50M,869.50M,50.10M,50.10M,,,123.50M,1.043B,1.462B,,,562.90M,,,,,,366.50M,,,
1998-09,85.90M,85.90M,,,330.50M,,,101.80M,518.20M,,,,,267.60M,-146.20M,121.40M,,741.40M,741.40M,449.70M,1.312B,1.831B,,106.00M,106.00M,,106.00M,,50.40M,,50.40M,,,264.80M,421.20M,849.00M,849.00M,,,,,161.80M,1.011B,1.432B,,,531.60M,,,,,,398.70M,,,
1998-06,141.70M,141.70M,,,317.10M,,,92.30M,551.10M,,,,,244.50M,-134.90M,109.60M,,437.80M,437.80M,327.60M,875.00M,1.426B,,121.30M,121.30M,,121.30M,,10.80M,,10.80M,,,219.70M,351.80M,556.00M,556.00M,,,,,157.00M,713.00M,1.065B,,,491.00M,,,,,,361.30M,,,
1998-03,76.10M,76.10M,,,274.70M,,,83.70M,434.50M,,,,,228.00M,-129.90M,98.10M,,405.70M,405.70M,304.60M,808.40M,1.243B,,91.80M,91.80M,,91.80M,,5.80M,,5.80M,,,237.40M,335.00M,428.20M,428.20M,,,,,153.50M,581.70M,916.70M,,,453.30M,,,,,,326.20M,,,
1997-12,52.30M,52.30M,,,270.70M,,,77.90M,400.90M,,,,,219.40M,-124.70M,94.70M,,365.40M,365.40M,316.10M,776.20M,1.177B,,94.70M,94.70M,,94.70M,,13.00M,,13.00M,,,219.90M,327.60M,339.30M,339.30M,,,,,160.80M,500.10M,827.70M,,,415.10M,,,,,,349.40M,,,
1997-09,58.10M,58.10M,,,263.50M,,,69.90M,391.50M,,,,,216.30M,-122.80M,93.50M,,333.60M,333.60M,299.70M,726.80M,1.118B,,108.10M,108.10M,,108.10M,,21.40M,,21.40M,,,196.50M,326.00M,273.50M,273.50M,,,,,159.10M,432.60M,758.60M,,,394.40M,,,,,,359.70M,,,
1997-06,61.90M,61.90M,,,238.40M,,,75.50M,375.80M,,,,,212.50M,-118.50M,94.00M,,336.60M,336.60M,509.50M,940.10M,1.316B,,77.00M,77.00M,,77.00M,,6.60M,,6.60M,,,229.00M,312.60M,382.80M,382.80M,,,,,155.70M,538.50M,851.10M,,,471.80M,,,,,,464.80M,,,
1997-03,48.40M,48.40M,,,305.90M,,,91.10M,445.40M,,,,,298.10M,-161.90M,136.20M,,471.30M,471.30M,315.10M,922.60M,1.368B,,86.70M,86.70M,,86.70M,,76.30M,,76.30M,,,221.90M,384.90M,331.80M,331.80M,,,,,195.30M,527.10M,912.00M,,,425.80M,,,,,,456.00M,,,
1996-12,48.20M,48.20M,,,227.50M,,,69.40M,345.10M,,,,,210.10M,-123.20M,86.90M,,313.80M,313.80M,461.70M,862.40M,1.208B,,71.80M,71.80M,,71.80M,,59.60M,,59.60M,,,198.30M,329.70M,304.90M,304.90M,,,,,147.90M,452.80M,782.50M,,,396.30M,,,,,,425.00M,,,
1996-09,57.60M,57.60M,,,281.70M,,,74.50M,413.80M,,,,,293.30M,-173.20M,120.10M,,420.00M,420.00M,300.00M,840.10M,1.254B,,92.30M,92.30M,,92.30M,,59.60M,,59.60M,,,187.50M,339.40M,360.20M,360.20M,,,,,190.90M,551.10M,890.50M,,,356.40M,,,,,,363.40M,,,
1996-06,53.60M,53.60M,,,274.60M,,,66.00M,394.20M,,,,,262.70M,-163.60M,99.10M,,360.40M,360.40M,246.00M,705.50M,1.100B,,73.50M,73.50M,,73.50M,,45.00M,,45.00M,,,169.30M,287.80M,266.50M,266.50M,,,,,193.10M,459.60M,747.40M,,,322.60M,,,,,,352.30M,,,
1996-03,44.80M,44.80M,,,257.80M,,,71.60M,374.20M,,,,,249.90M,-157.20M,92.70M,,358.50M,358.50M,253.10M,704.30M,1.078B,,70.30M,70.30M,,70.30M,,31.80M,,31.80M,,,179.40M,281.50M,250.60M,250.60M,,,,,189.40M,440.00M,721.50M,,,294.00M,,,,,,357.00M,,,
1995-12,26.10M,26.10M,,,258.30M,,,82.30M,366.70M,,,,,236.70M,-148.90M,87.80M,,353.60M,353.60M,245.60M,687.00M,1.054B,,62.20M,62.20M,,62.20M,,20.40M,,20.40M,,,168.00M,250.60M,302.70M,302.70M,,,,,147.00M,449.70M,700.30M,,,270.00M,,,,,,353.40M,,,
1995-09,75.50M,75.50M,,,249.20M,,,59.60M,384.30M,,,,,232.20M,-146.60M,85.60M,,355.40M,355.40M,253.60M,694.60M,1.079B,,58.70M,58.70M,,58.70M,,85.00M,,85.00M,,,153.10M,296.80M,258.30M,258.30M,,,,,142.80M,401.10M,697.90M,,,242.00M,,,,,,381.00M,,,
1995-06,64.50M,64.50M,,,246.40M,,,60.20M,371.10M,,,,,222.10M,-137.30M,84.80M,,333.10M,333.10M,244.70M,662.60M,1.034B,,59.50M,59.50M,,59.50M,,48.60M,,48.60M,,,129.60M,237.70M,243.20M,243.20M,,,,,141.80M,385.00M,622.70M,,,216.50M,,,,,,411.00M,,,
1995-03,96.20M,96.20M,,,236.10M,,,56.90M,389.20M,,,,,217.90M,-132.70M,85.20M,,337.00M,337.00M,241.20M,663.40M,1.053B,,59.80M,59.80M,,59.80M,,96.50M,,96.50M,,,148.80M,305.10M,211.50M,211.50M,,,,,144.00M,355.50M,660.60M,,,193.00M,,,,,,392.00M,,,
1994-12,79.40M,79.40M,,,242.60M,,,53.90M,375.90M,,,,,217.00M,-132.80M,84.20M,,331.40M,331.40M,229.70M,645.30M,1.021B,,53.60M,53.60M,,53.60M,,63.70M,,63.70M,,,182.70M,300.00M,212.00M,212.00M,,,,,147.30M,359.30M,659.30M,,,175.90M,,,,,,361.90M,,,
1994-09,98.50M,98.50M,,,215.90M,,,29.30M,343.70M,,,,,198.60M,-126.00M,72.60M,,196.50M,196.50M,207.00M,476.10M,819.80M,,42.60M,42.60M,,42.60M,,22.40M,,22.40M,,,125.90M,190.90M,207.50M,207.50M,6.70M,6.70M,,,115.00M,329.20M,520.10M,,,151.90M,,,,,,299.70M,,,
1994-06,96.60M,96.60M,,,199.90M,,,36.60M,333.10M,,,,,192.90M,-120.10M,72.80M,,153.00M,153.00M,184.40M,410.20M,743.30M,,49.80M,49.80M,,49.80M,,1.00M,,1.00M,,,112.10M,162.90M,207.20M,207.20M,6.10M,6.10M,,,112.70M,326.00M,488.90M,,,132.90M,,,,,,254.40M,,,
1994-03,87.80M,87.80M,,,193.30M,,,33.40M,314.50M,,,,,188.90M,-117.00M,71.90M,,128.40M,128.40M,180.30M,380.60M,695.10M,,33.40M,33.40M,,33.40M,,0.70M,,0.70M,,,121.00M,155.10M,200.40M,200.40M,6.10M,6.10M,,,111.60M,318.10M,473.20M,,,116.10M,,,,,,221.90M,,,
1993-12,85.60M,85.60M,,,191.80M,,,25.50M,302.90M,,,,,254.40M,-126.50M,127.90M,,121.70M,121.70M,178.70M,428.30M,731.20M,,38.70M,38.70M,,38.70M,,1.60M,,1.60M,,,113.50M,153.80M,200.10M,200.10M,6.50M,6.50M,,,116.80M,323.40M,477.20M,,,102.70M,,,,,,254.00M,,,
1993-09,86.20M,86.20M,,,176.70M,,,22.10M,285.00M,,,,,261.30M,-132.00M,129.30M,,119.50M,119.50M,170.70M,419.50M,704.50M,,33.70M,33.70M,,33.70M,,11.80M,,11.80M,,,103.60M,149.10M,282.60M,282.60M,,,,,30.70M,313.30M,462.40M,,,84.50M,,,,,,242.10M,,,
1993-06,72.80M,72.80M,,,165.30M,,,32.70M,270.80M,,,,,279.90M,-126.50M,153.40M,,109.90M,109.90M,169.70M,433.00M,703.80M,,33.40M,33.40M,,33.40M,,1.30M,,1.30M,,,83.90M,118.60M,281.90M,281.90M,12.80M,12.80M,,,30.40M,325.10M,443.70M,,,101.50M,,,,,,260.10M,,,
1993-03,78.10M,78.10M,,,161.00M,,,25.30M,264.40M,,,,,279.60M,-125.70M,153.90M,,111.00M,111.00M,171.00M,435.90M,700.30M,,34.80M,34.80M,,34.80M,,1.30M,,1.30M,,,88.70M,124.80M,200.60M,200.60M,13.80M,13.80M,,,112.40M,326.80M,451.60M,,,88.80M,,,,,,248.70M,,,
1992-12,84.00M,84.00M,,,164.60M,,,30.40M,279.00M,,,,,269.10M,-122.30M,146.80M,,111.50M,111.50M,171.60M,429.90M,708.90M,,32.20M,32.20M,,32.20M,,1.20M,,1.20M,,,95.40M,128.80M,191.70M,191.70M,14.30M,14.30M,,,116.10M,322.10M,450.90M,,,81.20M,,,,,,258.00M,,,
1992-09,75.10M,75.10M,,,160.60M,,,35.70M,271.40M,,,,,272.20M,-129.10M,143.10M,,104.10M,104.10M,154.40M,401.60M,673.00M,,28.70M,28.70M,,28.70M,,1.40M,,1.40M,,,88.30M,118.40M,46.80M,46.80M,20.60M,20.60M,,,114.20M,181.60M,300.00M,,,65.90M,,,,,,373.00M,,,
1992-06,73.30M,73.30M,,,160.50M,,,49.10M,282.90M,,,,,269.50M,-133.90M,135.60M,,105.50M,105.50M,158.10M,399.20M,682.10M,,31.80M,31.80M,,31.80M,,16.10M,,16.10M,,,89.50M,137.40M,42.20M,42.20M,21.80M,21.80M,,,115.50M,179.50M,316.90M,,,54.40M,,,,,,365.20M,,,
1992-03,67.40M,67.40M,,,165.60M,,,41.60M,274.60M,,,,,265.90M,-126.90M,139.00M,,106.20M,106.20M,159.40M,404.60M,679.20M,,27.20M,27.20M,,27.20M,,16.00M,,16.00M,,,90.00M,133.20M,56.10M,56.10M,20.10M,20.10M,,,117.00M,193.20M,326.40M,,,43.60M,,,,,,352.80M,,,
1991-12,105.10M,105.10M,,,172.80M,,,26.00M,303.90M,,,,,263.10M,-120.00M,143.10M,,106.70M,106.70M,162.40M,412.20M,716.10M,,27.50M,27.50M,,27.50M,,43.40M,,43.40M,,,82.00M,152.90M,77.10M,77.10M,19.70M,19.70M,,,116.10M,212.90M,365.80M,,,38.70M,,,,,,350.30M,,,
1991-09,80.20M,80.20M,,,167.00M,,,26.90M,274.10M,,,,,268.10M,-127.00M,141.10M,,107.80M,107.80M,175.00M,423.90M,698.00M,,27.60M,27.60M,,27.60M,,15.90M,,15.90M,,,92.30M,135.80M,77.10M,77.10M,56.80M,56.80M,,,33.30M,167.20M,303.00M,,,85.20M,,,,,,395.00M,,,
1991-06,60.00M,60.00M,,,171.80M,,,30.70M,262.50M,,,,,265.30M,-119.50M,145.80M,,108.30M,108.30M,170.70M,424.80M,687.30M,,28.80M,28.80M,,28.80M,,0.90M,,0.90M,,,88.00M,117.70M,92.10M,92.10M,55.50M,55.50M,,,37.40M,185.00M,302.70M,,,77.30M,,,,,,384.60M,,,
