,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-08,31.00M,31.00M,1.549B,-1.518B,,,265.00M,,0.00,310.00M,3.00M,-307.00M,,816.00M,-2.334B,3.00M,310.00M,-307.00M,-221.00M,-307.00M,-2.861B,-2.00M,-2.859B,,,-2.00B,551.00M,-2.551B,,2020-08,-3.69,-3.69,,2020-08,-3.69,-3.69,,2020-08,0.00,,2020-08,AOR,
2020-05,740.00M,740.00M,2.484B,-1.744B,,,492.00M,,-1.364B,182.00M,6.00M,-176.00M,,1.069B,-2.813B,6.00M,182.00M,-176.00M,-1.396B,-176.00M,-4.385B,-11.00M,-4.374B,,,-3.626B,577.00M,-4.203B,,2020-05,-4.183,-6.07,,2020-05,-6.07,-6.07,,2020-05,0.00,,2020-05,AOR,
2020-02,4.79B,4.79B,3.523B,1.267B,,,678.00M,,-731.00M,55.00M,5.00M,-50.00M,,1.248B,19.00M,5.00M,55.00M,-50.00M,-738.00M,-50.00M,-770.00M,11.00M,-781.00M,,,-145.00M,570.00M,-715.00M,,2020-02,-0.3598,-1.14,,2020-02,-1.14,-1.14,,2020-02,0.50,,2020-02,AOR,
2019-11,4.781B,4.781B,3.076B,1.705B,,,667.00M,,0.00,49.00M,7.00M,-42.00M,,1.22B,485.00M,7.00M,49.00M,-42.00M,-5.00M,-42.00M,436.00M,15.00M,421.00M,,,1.038B,553.00M,485.00M,,2019-11,0.62,0.62,,2019-11,0.61,0.61,,2019-11,0.50,,2019-11,AOR,
2019-08,6.533B,6.533B,3.532B,3.001B,,,563.00M,,0.00,52.00M,8.00M,-44.00M,,1.111B,1.89B,8.00M,52.00M,-44.00M,-19.00M,-44.00M,1.827B,47.00M,1.78B,,,2.427B,548.00M,1.879B,,2019-08,2.58,2.58,,2019-08,2.58,2.58,,2019-08,0.50,,2019-08,AOR,Restated
2019-05,4.837B,4.837B,3.159B,1.678B,,,621.00M,,0.00,54.00M,5.00M,-49.00M,,1.163B,515.00M,5.00M,54.00M,-49.00M,-7.00M,-49.00M,459.00M,8.00M,451.00M,,,1.056B,543.00M,513.00M,,2019-05,0.65,0.65,,2019-05,0.65,0.65,,2019-05,0.50,,2019-05,AOR,Restated
2019-02,4.673B,4.673B,3.142B,1.531B,,,629.00M,,0.00,51.00M,4.00M,-47.00M,,1.145B,386.00M,4.00M,51.00M,-47.00M,-2.00M,-47.00M,338.00M,2.00M,336.00M,,,905.00M,516.00M,389.00M,,2019-02,0.48,0.48,,2019-02,0.48,0.48,,2019-02,0.50,,2019-02,AOR,Restated
2018-11,4.456B,4.456B,2.741B,1.715B,,,656.00M,,,47.00M,4.00M,-43.00M,,1.163B,552.00M,4.00M,47.00M,-43.00M,-1.00M,-43.00M,508.00M,14.00M,494.00M,,,1.062B,507.00M,555.00M,,2018-11,0.7128,0.71,,2018-11,0.71,0.71,,2018-11,0.50,,2018-11,AOR,Restated
2018-08,5.836B,5.836B,2.958B,2.878B,,,573.00M,,,49.00M,5.00M,-44.00M,,1.084B,1.794B,5.00M,49.00M,-44.00M,-5.00M,-44.00M,1.744B,37.00M,1.707B,,,2.304B,510.00M,1.793B,,2018-08,2.414,2.42,,2018-08,2.41,2.41,,2018-08,0.50,,2018-08,AOR,Restated
2018-05,4.357B,4.357B,2.681B,1.676B,,,605.00M,,,49.00M,3.00M,-46.00M,,1.117B,559.00M,3.00M,49.00M,-46.00M,51.00M,-46.00M,564.00M,3.00M,561.00M,,,1.125B,512.00M,613.00M,,2018-05,0.7329,0.79,,2018-05,0.78,0.78,,2018-05,0.50,,2018-05,AOR,Restated
