,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-02,391.00M,,-16.00M,-16.00M,,488.00M,488.00M,,,18.00M,22.00M,-30.00M,1.00M,98.00M,19.00M,,,73.00M,161.00M,1.064B,,-574.00M,,-574.00M,,-21.00M,7.00M,-588.00M,,2018-02,611.00M,117.00M,,-218.00M,-218.00M,-323.00M,-323.00M,,-4.00M,-428.00M,,2018-02,48.00M,12.00M,482.00M,,,469.00M,-963.00M,-218.00M,,,2018-02,Restated
2017-11,546.00M,,-54.00M,-54.00M,,478.00M,478.00M,0.00,,15.00M,-1.00M,7.00M,-31.00M,-12.00M,122.00M,,,-46.00M,40.00M,1.024B,,-648.00M,0.00,-648.00M,,-46.00M,-9.00M,-703.00M,,2017-11,306.00M,91.00M,,-247.00M,-247.00M,-290.00M,-290.00M,,-2.00M,-448.00M,,2017-11,-126.00M,0.00,422.00M,,,0.00,-215.00M,-247.00M,,,2017-11,Restated
2017-08,1.33B,,-8.00M,-8.00M,,472.00M,472.00M,392.00M,,14.00M,16.00M,7.00M,1.00M,27.00M,-63.00M,,,-739.00M,-767.00M,1.449B,,-437.00M,0.00,-437.00M,,-58.00M,10.00M,-485.00M,,2017-08,-517.00M,-622.00M,,-153.00M,-153.00M,-290.00M,-290.00M,,-4.00M,-1.069B,,2017-08,-105.00M,-3.00M,489.00M,,,0.00,-105.00M,-153.00M,,,2017-08,Restated
2017-05,378.00M,,54.00M,54.00M,,457.00M,457.00M,,,14.00M,16.00M,-6.00M,16.00M,-18.00M,9.00M,,,997.00M,998.00M,1.917B,,-1.447B,,-1.447B,,-47.00M,34.00M,-1.46B,,2017-05,471.00M,32.00M,,-83.00M,-83.00M,-253.00M,-253.00M,,-16.00M,-320.00M,,2017-05,137.00M,23.00M,597.00M,,,367.00M,-806.00M,-83.00M,,,2017-05,Restated
2017-02,352.00M,,-27.00M,-27.00M,,439.00M,439.00M,,,20.00M,20.00M,-2.00M,-35.00M,-10.00M,-47.00M,,,222.00M,128.00M,932.00M,,-412.00M,,-412.00M,,-52.00M,-10.00M,-474.00M,,2017-02,-289.00M,-290.00M,,-69.00M,-69.00M,-254.00M,-254.00M,,-2.00M,-615.00M,,2017-02,-157.00M,-9.00M,437.00M,,,100.00M,-101.00M,-69.00M,,,2017-02,Restated
2016-11,608.00M,,-55.00M,-55.00M,,435.00M,435.00M,0.00,,15.00M,25.00M,13.00M,-14.00M,21.00M,21.00M,,,-45.00M,-4.00M,1.024B,,-646.00M,7.00M,-639.00M,,-82.00M,20.00M,-701.00M,,2016-11,146.00M,337.00M,0.00,-230.00M,-230.00M,-256.00M,-256.00M,,-16.00M,-165.00M,,2016-11,158.00M,-17.00M,603.00M,,0.00,498.00M,-307.00M,-230.00M,,,2016-11,Restated
2016-08,1.424B,,37.00M,37.00M,,442.00M,442.00M,0.00,,12.00M,24.00M,5.00M,-1.00M,-14.00M,52.00M,,,-552.00M,-510.00M,1.429B,,-450.00M,0.00,-450.00M,,-14.00M,15.00M,-449.00M,,2016-08,-78.00M,-70.00M,0.00,-709.00M,-709.00M,-262.00M,-262.00M,,-4.00M,-1.045B,,2016-08,-65.00M,8.00M,462.00M,,0.00,110.00M,-102.00M,-709.00M,,,2016-08,Restated
2016-05,605.00M,,-171.00M,-171.00M,,438.00M,438.00M,,,12.00M,13.00M,-10.00M,20.00M,4.00M,43.00M,,,929.00M,986.00M,1.883B,,-1.636B,19.00M,-1.617B,,-50.00M,-47.00M,-1.714B,,2016-05,144.00M,282.00M,0.00,-485.00M,-485.00M,-227.00M,-227.00M,,-4.00M,-434.00M,,2016-05,-265.00M,6.00M,519.00M,,0.00,379.00M,-241.00M,-485.00M,,,2016-05,Restated
2016-02,142.00M,,236.00M,236.00M,,423.00M,423.00M,,,16.00M,9.00M,-30.00M,-4.00M,,-7.00M,,,13.00M,-28.00M,798.00M,,-330.00M,,-330.00M,,-145.00M,16.00M,-459.00M,,2016-02,235.00M,162.00M,40.00M,-916.00M,-876.00M,-232.00M,-232.00M,,-1.00M,-947.00M,,2016-02,-608.00M,-9.00M,778.00M,,40.00M,555.00M,-628.00M,-916.00M,,,2016-02,Restated
2015-11,270.00M,,198.00M,198.00M,,420.00M,420.00M,,,17.00M,13.00M,-67.00M,-30.00M,,59.00M,,,-33.00M,60.00M,978.00M,,-590.00M,-25.00M,-615.00M,,-58.00M,0.00,-673.00M,,2015-11,-8.00M,1.095B,97.00M,-367.00M,-270.00M,-232.00M,-232.00M,,-26.00M,567.00M,,2015-11,872.00M,-16.00M,1.395B,,97.00M,1.569B,-466.00M,-367.00M,,,2015-11,Restated
2015-08,1.216B,,197.00M,197.00M,,399.00M,399.00M,,,13.00M,7.00M,95.00M,24.00M,,-62.00M,,,-608.00M,-551.00M,1.281B,,-323.00M,0.00,-323.00M,,-55.00M,0.00,-378.00M,,2015-08,-268.00M,-456.00M,167.00M,-166.00M,1.00M,-196.00M,-196.00M,,3.00M,-648.00M,,2015-08,255.00M,-14.00M,539.00M,,167.00M,0.00,-188.00M,-166.00M,,,2015-08,Restated
2015-05,222.00M,,12.00M,12.00M,,406.00M,406.00M,,,14.00M,8.00M,-23.00M,4.00M,,33.00M,,,839.00M,853.00M,1.515B,,-439.00M,25.00M,-414.00M,,-49.00M,10.00M,-453.00M,,2015-05,-567.00M,-815.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-3.00M,-1.012B,,2015-05,50.00M,-32.00M,298.00M,,0.00,0.00,-248.00M,0.00,,,2015-05,Restated
2015-02,49.00M,,169.00M,169.00M,,401.00M,401.00M,,,11.00M,4.00M,-1.00M,7.00M,,6.00M,,,125.00M,137.00M,771.00M,,-942.00M,,-942.00M,,-57.00M,25.00M,-974.00M,,2015-02,210.00M,346.00M,,,,-194.00M,-194.00M,,-1.00M,151.00M,,2015-02,-52.00M,1.00M,280.00M,,,472.00M,-336.00M,,,,2015-02,Restated
2014-11,-103.00M,17.00M,281.00M,298.00M,,408.00M,408.00M,,,15.00M,11.00M,-380.00M,-14.00M,,31.00M,,,-51.00M,8.00M,637.00M,,-906.00M,0.00,-906.00M,,-4.00M,20.00M,-890.00M,,2014-11,522.00M,366.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-12.00M,160.00M,,2014-11,-93.00M,-12.00M,331.00M,,0.00,797.00M,-953.00M,0.00,,,2014-11,Restated
2014-08,1.241B,0.00,-16.00M,-16.00M,,414.00M,414.00M,,,11.00M,15.00M,134.00M,24.00M,,-9.00M,,,-694.00M,-545.00M,1.12B,,-348.00M,0.00,-348.00M,,1.00M,-2.00M,-349.00M,,2014-08,-353.00M,-465.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-10.00M,-669.00M,,2014-08,102.00M,-9.00M,436.00M,,0.00,0.00,-112.00M,0.00,,,2014-08,Restated
2014-05,98.00M,-15.00M,-10.00M,-25.00M,,410.00M,410.00M,,,13.00M,4.00M,61.00M,0.00,,75.00M,,,560.00M,696.00M,1.196B,,-976.00M,42.00M,-934.00M,,0.00,15.00M,-919.00M,,2014-05,104.00M,-156.00M,,,,-194.00M,-194.00M,,-7.00M,-357.00M,,2014-05,-80.00M,2.00M,343.00M,,,829.00M,-1.089B,,,,2014-05,Restated
2014-02,-20.00M,,16.00M,16.00M,,405.00M,405.00M,,,13.00M,5.00M,260.00M,-9.00M,,-88.00M,,,-105.00M,58.00M,477.00M,,-353.00M,,-353.00M,,1.00M,3.00M,-349.00M,,2014-02,344.00M,32.00M,,,,-194.00M,-194.00M,,,-162.00M,,2014-02,-34.00M,-7.00M,421.00M,,,0.00,-312.00M,,,,2014-02,Restated
2013-11,43.00M,0.00,-31.00M,-31.00M,,404.00M,404.00M,-27.00M,,10.00M,36.00M,191.00M,20.00M,,29.00M,,,-200.00M,40.00M,475.00M,,-337.00M,0.00,-337.00M,,,88.00M,-249.00M,,2013-11,-138.00M,-558.00M,0.00,0.00,0.00,-194.00M,-194.00M,,1.00M,-751.00M,,2013-11,-525.00M,6.00M,462.00M,,0.00,850.00M,-1.27B,0.00,,,2013-11,Restated
2013-08,934.00M,176.00M,-64.00M,112.00M,,406.00M,406.00M,27.00M,,8.00M,-2.00M,35.00M,-4.00M,,-32.00M,,,-681.00M,-682.00M,803.00M,,-365.00M,0.00,-365.00M,,,-69.00M,-434.00M,,2013-08,183.00M,71.00M,0.00,0.00,0.00,-193.00M,-193.00M,,9.00M,-113.00M,,2013-08,256.00M,14.00M,981.00M,,0.00,0.00,-112.00M,0.00,,,2013-08,Restated
2013-05,41.00M,-13.00M,31.00M,18.00M,,391.00M,391.00M,,,6.00M,9.00M,128.00M,0.00,,59.00M,,,505.00M,692.00M,1.157B,,-1.206B,0.00,-1.206B,,,0.00,-1.206B,,2013-05,-108.00M,511.00M,0.00,-25.00M,-25.00M,-195.00M,-195.00M,,-4.00M,287.00M,,2013-05,238.00M,-3.00M,711.00M,,0.00,837.00M,-218.00M,-25.00M,,,2013-05,Restated
2013-02,37.00M,,28.00M,28.00M,,389.00M,389.00M,,,18.00M,19.00M,-58.00M,5.00M,,23.00M,,,-62.00M,-92.00M,399.00M,,-241.00M,70.00M,-171.00M,,,4.00M,-167.00M,,2013-02,67.00M,455.00M,35.00M,-113.00M,-78.00M,-582.00M,-582.00M,,2.00M,-203.00M,,2013-02,29.00M,-18.00M,476.00M,,35.00M,1.00B,-612.00M,-113.00M,,,2013-02,Restated
2012-11,93.00M,13.00M,7.00M,20.00M,,392.00M,392.00M,0.00,,9.00M,10.00M,153.00M,-23.00M,,-20.00M,,,-111.00M,-1.00M,523.00M,,-168.00M,0.00,-168.00M,,,-4.00M,-172.00M,,2012-11,46.00M,-253.00M,0.00,-21.00M,-21.00M,-195.00M,-195.00M,,16.00M,-453.00M,,2012-11,-102.00M,-1.00M,465.00M,,0.00,0.00,-299.00M,-21.00M,,,2012-11,Restated
2012-08,1.33B,36.00M,-124.00M,-88.00M,,383.00M,383.00M,0.00,,8.00M,-32.00M,9.00M,14.00M,,27.00M,,,-633.00M,-583.00M,1.018B,,-167.00M,0.00,-167.00M,,,23.00M,-144.00M,,2012-08,-532.00M,-958.00M,0.00,-69.00M,-69.00M,-196.00M,-196.00M,,3.00M,-1.22B,,2012-08,-346.00M,14.00M,568.00M,,0.00,0.00,-426.00M,-69.00M,,,2012-08,Restated
2012-05,14.00M,,145.00M,145.00M,,376.00M,376.00M,0.00,,8.00M,-7.00M,-13.00M,-3.00M,,31.00M,,,585.00M,600.00M,1.136B,,-1.73B,0.00,-1.73B,,,522.00M,-1.208B,,2012-05,5.00M,736.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-9.00M,533.00M,,2012-05,461.00M,-32.00M,900.00M,,0.00,946.00M,-215.00M,0.00,,,2012-05,Restated
2012-02,-139.00M,,-21.00M,-21.00M,,376.00M,376.00M,173.00M,,14.00M,41.00M,-16.00M,-4.00M,,-62.00M,,,-40.00M,-122.00M,322.00M,,-267.00M,46.00M,-221.00M,,,-27.00M,-248.00M,,2012-02,257.00M,145.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-1.00M,-50.00M,,2012-02,24.00M,-3.00M,471.00M,,0.00,0.00,-112.00M,0.00,,,2012-02,Restated
2011-11,,,,,,385.00M,385.00M,0.00,,7.00M,-1.716B,93.00M,-18.00M,-39.00M,118.00M,,-269.00M,,135.00M,750.00M,,-261.00M,,-261.00M,,,25.00M,-236.00M,,2011-11,-615.00M,-130.00M,,-166.00M,-166.00M,,-197.00M,,8.00M,-485.00M,,2011-11,29.00M,-9.00M,450.00M,,,714.00M,-229.00M,-166.00M,,,2011-11,Restated
2011-08,,,,,,390.00M,390.00M,0.00,0.00,10.00M,1.369B,3.00M,-1.00M,7.00M,-25.00M,,-538.00M,,-554.00M,1.215B,,-813.00M,,-813.00M,,,28.00M,-785.00M,,2011-08,636.00M,-65.00M,,-288.00M,-288.00M,,-197.00M,,1.00M,-549.00M,,2011-08,-119.00M,-8.00M,430.00M,,,0.00,-701.00M,-288.00M,,,2011-08,Restated
2011-05,,,,,,380.00M,380.00M,0.00,,12.00M,214.00M,-50.00M,-16.00M,36.00M,62.00M,,751.00M,,783.00M,1.389B,,-1.45B,,-1.45B,,,-17.00M,-1.467B,,2011-05,-408.00M,397.00M,,,,,-198.00M,,-28.00M,171.00M,,2011-05,93.00M,-1.00M,557.00M,,,1.053B,-185.00M,,,,2011-05,Restated
2011-02,,,,,,367.00M,367.00M,0.00,,17.00M,154.00M,-71.00M,-19.00M,-4.00M,-88.00M,,56.00M,,-126.00M,412.00M,,-172.00M,,-172.00M,,,14.00M,-158.00M,,2011-02,-63.00M,-198.00M,,,,,-79.00M,,47.00M,-230.00M,,2011-02,24.00M,12.00M,465.00M,,,-63.00M,-135.00M,,,,2011-02,Restated
2010-11,1.978B,,,,,367.00M,367.00M,,,10.00M,-1.724B,150.00M,-25.00M,41.00M,-134.00M,,-281.00M,352.00M,103.00M,734.00M,,-741.00M,,-741.00M,,,-24.00M,-765.00M,,2010-11,-480.00M,35.00M,11.00M,-10.00M,1.00M,,-79.00M,,-34.00M,-77.00M,,2010-11,-108.00M,10.00M,429.00M,,11.00M,179.00M,-770.00M,-10.00M,,,2010-11,Restated
2010-08,,,,,,355.00M,355.00M,,,10.00M,1.306B,64.00M,11.00M,-44.00M,72.00M,,-484.00M,,-381.00M,1.29B,,-670.00M,,-670.00M,,,28.00M,-642.00M,,2010-08,404.00M,-705.00M,217.00M,-209.00M,8.00M,,-79.00M,,24.00M,-752.00M,,2010-08,-104.00M,37.00M,527.00M,,217.00M,300.00M,-303.00M,-209.00M,,,2010-08,Restated
2010-05,-175.00M,,,,,349.00M,349.00M,,,8.00M,434.00M,-66.00M,14.00M,8.00M,42.00M,,760.00M,24.00M,782.00M,1.398B,,-999.00M,,-999.00M,,,21.00M,-978.00M,,2010-05,-107.00M,-492.00M,255.00M,-246.00M,9.00M,,-79.00M,,11.00M,-551.00M,,2010-05,-131.00M,-28.00M,594.00M,,255.00M,258.00M,-643.00M,-246.00M,,,2010-05,Restated
2010-02,175.00M,,,,,345.00M,345.00M,,,15.00M,-31.00M,-56.00M,-12.00M,-5.00M,-16.00M,,5.00M,-24.00M,-108.00M,396.00M,,-1.169B,,-1.169B,,,53.00M,-1.116B,,2010-02,809.00M,970.00M,62.00M,-59.00M,3.00M,,0.00,,3.00M,976.00M,,2010-02,256.00M,-41.00M,753.00M,,62.00M,637.00M,-476.00M,-59.00M,,,2010-02,Restated
2009-11,193.00M,,,,,345.00M,345.00M,,,9.00M,16.00M,122.00M,-7.00M,57.00M,-62.00M,,55.00M,,149.00M,712.00M,,-978.00M,,-978.00M,,,48.00M,-930.00M,,2009-11,-70.00M,-216.00M,143.00M,-136.00M,7.00M,,0.00,,-120.00M,-216.00M,,2009-11,-434.00M,-4.00M,538.00M,,143.00M,829.00M,-757.00M,-136.00M,,,2009-11,Restated
2009-08,1.073B,,,,,336.00M,336.00M,,,9.00M,17.00M,-53.00M,0.00,-28.00M,160.00M,,-325.00M,,-246.00M,1.189B,,-446.00M,,-446.00M,,,-46.00M,-492.00M,,2009-08,37.00M,-201.00M,43.00M,-43.00M,0.00,,0.00,,-10.00M,-211.00M,,2009-08,486.00M,5.00M,976.00M,,43.00M,589.00M,-790.00M,-43.00M,,,2009-08,Restated
2009-05,264.00M,,,,,317.00M,317.00M,,,13.00M,13.00M,6.00M,9.00M,-34.00M,63.00M,,485.00M,,529.00M,1.136B,,-1.65B,,-1.65B,,,1.00M,-1.649B,,2009-05,-140.00M,388.00M,0.00,0.00,0.00,,0.00,,-34.00M,354.00M,,2009-05,-159.00M,37.00M,485.00M,,0.00,1.315B,-927.00M,0.00,,,2009-05,Restated
2009-02,260.00M,,,,,311.00M,311.00M,,,19.00M,-9.00M,6.00M,8.00M,12.00M,-87.00M,,-215.00M,,-276.00M,305.00M,,-306.00M,,-306.00M,,,-7.00M,-313.00M,,2009-02,-115.00M,184.00M,10.00M,-9.00M,1.00M,,-314.00M,,109.00M,-20.00M,,2009-02,-28.00M,-15.00M,607.00M,,10.00M,732.00M,-548.00M,-9.00M,,,2009-02,Restated
2008-11,365.00M,,,,,313.00M,313.00M,,,9.00M,-19.00M,174.00M,33.00M,10.00M,-143.00M,,-191.00M,-39.00M,-156.00M,512.00M,,-630.00M,,-630.00M,,,89.00M,-541.00M,,2008-11,208.00M,269.00M,,-98.00M,-83.00M,,-316.00M,,73.00M,-57.00M,,2008-11,-86.00M,-56.00M,650.00M,,,1.01B,-879.00M,-98.00M,,,2008-11,Restated
2008-08,1.333B,,,,,323.00M,323.00M,,,11.00M,-16.00M,-128.00M,-25.00M,38.00M,148.00M,,-620.00M,,-587.00M,1.064B,,-1.13B,,-1.13B,,,-6.00M,-1.136B,,2008-08,-78.00M,288.00M,,84.00M,84.00M,,-315.00M,,-91.00M,-34.00M,,2008-08,-106.00M,-90.00M,792.00M,,,564.00M,-276.00M,84.00M,,,2008-08,Restated
2008-05,390.00M,,,,,312.00M,312.00M,,,11.00M,-1.00M,-115.00M,-17.00M,-19.00M,76.00M,,811.00M,-6.00M,730.00M,1.442B,,-1.335B,,-1.335B,,,18.00M,-1.317B,,2008-05,-62.00M,188.00M,,0.00,0.00,,-314.00M,,-2.00M,-128.00M,,2008-05,-3.00M,25.00M,988.00M,,,2.135B,-1.947B,0.00,,,2008-05,Restated
2008-02,236.00M,,,,,301.00M,301.00M,,,19.00M,5.00M,-1.00M,1.00M,-47.00M,-147.00M,,,6.00M,-188.00M,373.00M,,-258.00M,,-258.00M,,,-3.00M,-261.00M,,2008-02,70.00M,297.00M,,-84.00M,-84.00M,,-316.00M,,7.00M,-96.00M,,2008-02,16.00M,7.00M,966.00M,,,1.72B,-1.423B,-84.00M,,,2008-02,
2007-11,358.00M,,,,,1.912B,1.912B,,,13.00M,-1.608B,6.00M,-25.00M,-28.00M,238.00M,,,-439.00M,182.00M,857.00M,,-936.00M,,-936.00M,-339.00M,300.00M,77.00M,-898.00M,,2007-11,-200.00M,23.00M,,-219.00M,-219.00M,,-277.00M,-44.00M,49.00M,-468.00M,,2007-11,-509.00M,40.00M,943.00M,,,2.153B,-2.13B,-219.00M,,,2007-11,Restated
2007-08,1.377B,,,,,-1.343B,-1.343B,,,19.00M,1.627B,5.00M,-13.00M,-7.00M,-33.00M,,,-511.00M,-559.00M,1.121B,,-246.00M,,-246.00M,-138.00M,-127.00M,-83.00M,-594.00M,,2007-08,-758.00M,-601.00M,,-107.00M,-107.00M,,-278.00M,4.00M,0.00,-982.00M,,2007-08,-455.00M,8.00M,1.412B,,,-99.00M,-502.00M,-107.00M,,,2007-08,Restated
2007-05,390.00M,,,,,272.00M,272.00M,,,32.00M,-13.00M,-123.00M,-17.00M,-2.00M,84.00M,,,871.00M,813.00M,1.494B,,-1.493B,,-1.493B,138.00M,-110.00M,1.00M,-1.464B,,2007-05,795.00M,1.448B,-29.00M,0.00,-29.00M,,-218.00M,40.00M,-4.00M,1.237B,,2007-05,1.267B,11.00M,1.859B,,-29.00M,1.326B,-45.00M,0.00,,,2007-05,Restated
2007-02,283.00M,,,,,260.00M,260.00M,,,,20.00M,-7.00M,-2.00M,-19.00M,-17.00M,,,79.00M,34.00M,597.00M,,-637.00M,,-637.00M,,-83.00M,-70.00M,-790.00M,,2007-02,-167.00M,-202.00M,29.00M,0.00,29.00M,,-217.00M,,-1.00M,-391.00M,,2007-02,-584.00M,2.00M,581.00M,,29.00M,360.00M,-395.00M,0.00,,,2007-02,Restated
2006-11,416.00M,,,,,261.00M,261.00M,,,,-212.00M,92.00M,16.00M,29.00M,-21.00M,,,224.00M,340.00M,805.00M,,-298.00M,,-298.00M,,0.00,48.00M,-250.00M,,2006-11,-130.00M,252.00M,24.00M,-48.00M,-24.00M,,-198.00M,,-3.00M,27.00M,,2006-11,582.00M,-13.00M,1.163B,,24.00M,1.889B,-1.507B,-48.00M,,,2006-11,Restated
2006-08,1.232B,,,,,255.00M,255.00M,,,,-614.00M,-12.00M,1.00M,-15.00M,96.00M,,,,70.00M,943.00M,,-699.00M,,-699.00M,,-8.00M,-2.00M,-709.00M,,2006-08,360.00M,289.00M,6.00M,-320.00M,-314.00M,,-201.00M,,5.00M,-221.00M,,2006-08,13.00M,11.00M,594.00M,,6.00M,0.00,-71.00M,-320.00M,,,2006-08,Restated
2006-05,380.00M,,,,,240.00M,240.00M,,,,877.00M,37.00M,-6.00M,-32.00M,-52.00M,,,-172.00M,-225.00M,1.272B,,-726.00M,,-726.00M,,-2.00M,10.00M,-718.00M,,2006-05,323.00M,286.00M,5.00M,-473.00M,-468.00M,,-202.00M,,0.00,-384.00M,,2006-05,170.00M,5.00M,570.00M,,5.00M,352.00M,-389.00M,-473.00M,,,2006-05,Restated
