,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,101.30M,0.00,-0.40M,12.20M,11.80M,12.30M,6.90M,19.20M,19.20M,-3.90M,,5.10M,,-25.10M,1.00M,-11.40M,,-35.20M,11.10M,-29.10M,13.40M,-50.20M,-0.10M,73.30M,,-17.80M,0.00,0.00,-29.50M,,0.00,-47.30M,,33.80M,,33.80M,,-35.00M,-2.10M,-31.70M,-31.70M,-21.10M,,-21.10M,,82.60M,4.90M,-5.40M,82.10M,,,,33.80M,-35.00M,,AOR,
2020-09,110.80M,0.00,-0.70M,0.00,-0.70M,11.60M,6.90M,18.50M,18.50M,-4.90M,0.00,4.80M,,4.80M,44.20M,0.00,,17.50M,1.10M,16.20M,26.80M,105.80M,0.00,234.30M,,-13.90M,0.00,0.00,0.00,,2.20M,-11.70M,,-208.20M,,-208.20M,,0.00,0.00,-31.70M,-31.70M,13.80M,,-226.10M,,90.60M,-3.50M,-4.50M,82.60M,,,0.00,-208.20M,0.00,,AOR,
2020-06,73.80M,0.10M,-0.80M,0.00,-0.70M,11.20M,7.00M,18.20M,18.20M,-0.60M,0.00,4.20M,,4.20M,270.20M,2.40M,,-14.30M,-1.10M,67.20M,9.60M,334.00M,-0.50M,428.40M,,-11.80M,0.00,0.00,-21.30M,,,-33.10M,,-438.00M,,-438.00M,,0.00,0.00,-31.60M,-31.60M,2.10M,,-467.50M,,169.30M,-72.20M,-6.50M,90.60M,,,-420.90M,-17.10M,0.00,,AOR,
2020-03,72.70M,,0.50M,,0.50M,11.60M,7.60M,19.20M,19.20M,14.00M,,6.20M,,6.20M,-167.10M,-20.10M,,-49.90M,-13.40M,-22.30M,-2.20M,-275.00M,0.00,-162.40M,,-18.70M,0.10M,0.10M,-7.20M,,,-25.80M,,420.90M,,420.90M,,-115.20M,-115.20M,-32.10M,-32.10M,5.20M,,278.80M,,82.50M,90.60M,-3.80M,169.30M,,,420.90M,,-115.20M,,AOR,
2019-12,102.90M,1.10M,-0.50M,24.80M,25.40M,11.90M,7.60M,19.50M,19.50M,-0.70M,3.00M,6.10M,,-54.40M,-100.30M,9.60M,,65.20M,-7.90M,-21.70M,-1.10M,-56.20M,9.20M,88.30M,,-13.90M,0.20M,0.20M,11.30M,,0.00,-2.40M,,-89.70M,,-89.70M,,0.00,0.00,-30.30M,-30.30M,5.70M,-0.60M,-114.90M,,113.20M,-29.00M,-1.70M,82.50M,,,160.30M,-250.00M,0.00,,AOR,
2019-09,91.30M,0.10M,-0.50M,0.00,-0.40M,12.00M,7.60M,19.60M,19.60M,-8.10M,0.00,4.60M,,4.60M,50.60M,0.90M,,-5.70M,8.30M,-7.20M,13.00M,59.90M,1.10M,168.00M,,-14.80M,0.00,0.00,0.00,,0.00,-14.80M,,-93.20M,,-93.20M,,0.00,0.00,-30.40M,-30.40M,-0.40M,-0.60M,-124.60M,,80.50M,28.60M,4.10M,113.20M,,,58.30M,-151.50M,0.00,,AOR,Restated
2019-06,115.10M,0.10M,-1.90M,-22.90M,-24.70M,12.40M,8.30M,20.70M,20.70M,-7.90M,2.90M,5.30M,,8.20M,186.20M,25.30M,,-4.90M,3.70M,36.80M,-2.20M,244.90M,-3.30M,353.00M,,-13.00M,0.10M,0.10M,2.70M,,0.00,-10.20M,,-151.20M,,-151.20M,,-150.00M,-150.00M,-31.00M,-31.00M,1.30M,-5.70M,-336.60M,,78.90M,6.20M,-4.60M,80.50M,,,-151.20M,,-150.00M,,AOR,Restated
2019-03,52.40M,-3.50M,-0.60M,,-4.10M,12.00M,8.20M,20.20M,20.20M,-1.70M,15.30M,5.40M,,20.70M,-154.00M,-22.20M,,-118.20M,-22.50M,-8.30M,-19.40M,-344.60M,0.80M,-256.30M,,-16.80M,0.30M,0.30M,-286.50M,,-1.50M,-304.50M,,584.10M,,584.10M,,0.00,0.00,-31.00M,-31.00M,5.90M,,559.00M,,74.30M,-1.80M,6.40M,78.90M,,,584.10M,,0.00,,AOR,Restated
2018-12,67.20M,0.90M,-1.30M,11.00M,10.60M,12.80M,7.90M,20.70M,20.70M,0.00,6.00M,4.50M,,18.10M,-88.80M,-3.80M,,118.40M,42.20M,-31.00M,-5.20M,31.80M,-4.40M,154.50M,,-14.00M,0.20M,0.60M,0.00,,,-13.80M,,-6.30M,,-6.30M,,-100.00M,-100.00M,-30.50M,-30.50M,-2.70M,0.00,-139.50M,,64.70M,1.20M,8.40M,74.30M,,,-6.30M,0.00,-100.00M,,AOR,Restated
2018-09,110.10M,0.20M,-1.30M,2.20M,1.10M,12.00M,8.60M,20.60M,20.60M,-14.20M,0.00,5.10M,,-18.90M,20.80M,-20.90M,,-14.20M,-0.20M,24.20M,7.90M,17.60M,-8.70M,112.70M,,-13.40M,,0.10M,0.00,,,-13.40M,,15.80M,,15.80M,,-100.00M,-100.00M,-30.80M,-30.80M,9.70M,-2.00M,-107.30M,,78.70M,-8.00M,-6.00M,64.70M,,,15.80M,0.00,-100.00M,,AOR,Restated
