,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,253.10M,253.10M,1.306B,134.40M,1.440B,610.10M,196.70M,511.50M,1.318B,102.70M,81.20M,21.30M,3.216B,0.00,238.30M,481.80M,1.125B,,130.30M,1.976B,-789.50M,1.186B,4.965B,1.837B,6.801B,156.50M,,102.10M,204.20M,8.450B,11.67B,,593.90M,199.20M,,793.10M,55.60M,848.70M,2.90M,,2.90M,203.90M,203.90M,338.70M,1.687B,2.737B,,2.737B,498.00M,,498.00M,374.50M,,116.90M,377.10M,4.037B,5.724B,,113.50M,1.498B,5.064B,721.10M,,,,-129.00M,5.826B,,AOR,Restated
2013-03,215.00M,215.00M,1.404B,138.00M,1.542B,616.00M,190.00M,521.00M,1.327B,100.00M,79.00M,27.00M,3.29B,0.00,247.00M,474.00M,1.087B,,131.00M,1.939B,-717.00M,1.222B,4.867B,1.859B,6.726B,157.00M,,100.00M,226.00M,8.431B,11.72B,,580.00M,47.00M,,627.00M,53.00M,680.00M,6.00M,,6.00M,199.00M,199.00M,334.00M,1.483B,2.592B,,2.592B,481.00M,,481.00M,370.00M,,115.00M,402.00M,3.895B,5.378B,,113.00M,1.344B,5.264B,406.00M,,,,-87.00M,6.228B,,AOR,Restated
2012-12,261.30M,261.30M,1.275B,124.40M,1.399B,615.10M,207.60M,511.20M,1.334B,89.00M,82.60M,38.50M,3.204B,0.00,248.60M,474.40M,1.073B,,102.90M,1.899B,-710.70M,1.188B,5.111B,1.927B,7.038B,131.00M,,68.70M,252.60M,8.678B,11.88B,,567.00M,95.00M,,662.00M,54.30M,716.30M,3.10M,,3.10M,188.30M,188.30M,440.70M,1.645B,2.454B,,2.454B,421.90M,,421.90M,378.80M,,116.40M,444.60M,3.750B,5.395B,,113.50M,1.292B,5.292B,315.50M,,,,-11.60M,6.371B,,AOR,Restated
2012-09,642.57M,642.57M,1.353B,,1.320B,599.26M,221.15M,559.56M,1.380B,266.81M,131.53M,,3.740B,0.00,159.12M,549.39M,994.35M,,133.05M,1.836B,-679.57M,1.156B,4.767B,1.955B,6.721B,,,,354.53M,8.232B,11.97B,,602.71M,143.00M,0.00,745.71M,218.14M,963.85M,501.39M,,501.39M,,,347.89M,2.132B,1.495B,,1.495B,539.45M,,539.45M,411.14M,,218.19M,279.14M,2.774B,4.906B,,113.45M,1.676B,,119.40M,,,,5.178B,6.848B,,AOR,Restated
2012-06,60.60M,60.60M,605.10M,,572.14M,227.78M,50.86M,181.40M,460.04M,124.34M,58.90M,,1.276B,0.00,40.52M,251.98M,713.82M,,34.70M,1.041B,-659.95M,381.06M,2.255B,570.50M,2.826B,,,,103.54M,3.310B,4.586B,,288.26M,,32.23M,320.49M,90.80M,411.30M,1.415M,,1.415M,,,150.44M,661.72M,1.234B,,1.234B,190.17M,,190.17M,277.24M,,116.08M,92.18M,1.807B,2.468B,,16.53M,1.668B,509.56M,,,,,-192.10M,2.002B,,AOR,Restated
2012-03,55.44M,55.44M,,,680.26M,223.71M,50.89M,200.80M,475.40M,115.70M,62.40M,,1.389B,,,,,,,,,393.34M,2.297B,594.93M,2.892B,,,,103.56M,3.389B,4.778B,,293.40M,,25.15M,318.55M,74.41M,392.96M,20.40M,,20.40M,,,150.14M,659.32M,1.395B,,1.395B,194.47M,,194.47M,282.47M,,116.31M,89.86M,1.975B,2.635B,,16.51M,1.618B,502.86M,,,,,-110.06M,2.027B,,AOR,Restated
2011-12,50.08M,50.08M,569.20M,54.70M,623.90M,219.49M,47.71M,182.67M,449.86M,42.83M,60.90M,10.26M,1.238B,0.00,41.11M,244.25M,692.93M,,40.25M,1.019B,-631.01M,387.52M,2.274B,592.28M,2.866B,,,0.00,94.75M,3.348B,4.586B,,294.86M,0.00,,294.86M,29.36M,324.21M,4.862M,,4.862M,27.88M,27.88M,166.47M,641.84M,1.304B,,1.304B,188.96M,0.00,188.96M,280.39M,,114.06M,97.04M,1.897B,2.539B,,47.53M,1.466B,457.75M,0.00,,,,-37.73M,1.933B,,AOR,Restated
2011-09,52.66M,52.66M,,,556.69M,236.16M,49.39M,174.36M,459.92M,147.57M,61.41M,,1.278B,,,,,,,,,394.92M,2.517B,619.26M,3.136B,,,,73.32M,3.604B,4.882B,,281.45M,,26.28M,307.73M,89.15M,396.88M,30.90M,,30.90M,,,163.55M,717.60M,1.317B,,1.317B,228.74M,,228.74M,217.15M,,115.42M,79.49M,1.867B,2.584B,,16.43M,1.733B,481.03M,,,,,-48.04M,2.183B,,AOR,Restated
2011-06,68.97M,68.97M,595.41M,,595.41M,246.41M,49.52M,188.87M,484.80M,124.63M,60.83M,,1.335B,,,,,,,,,410.55M,2.573B,654.91M,3.228B,,,,78.79M,3.718B,5.052B,,315.40M,,21.50M,336.90M,98.56M,435.46M,22.74M,,22.74M,,,144.37M,711.40M,1.384B,,1.384B,235.42M,,235.42M,244.98M,,117.50M,85.66M,1.974B,2.685B,,16.46M,1.702B,488.87M,,,,,41.90M,2.249B,,AOR,Restated
2011-03,57.13M,57.13M,,,625.86M,217.86M,45.55M,148.36M,411.77M,57.95M,56.37M,,1.209B,,,,,,,,,338.61M,2.097B,461.24M,2.559B,,,,56.33M,2.954B,4.163B,,256.49M,,20.49M,276.98M,81.70M,358.68M,6.106M,,6.106M,,,97.53M,546.36M,802.32M,,802.32M,175.88M,,175.88M,246.05M,,115.28M,86.08M,1.334B,1.880B,,16.40M,1.655B,476.93M,,,,,18.52M,2.167B,,AOR,Restated
2010-12,46.06M,46.06M,553.25M,,516.90M,223.48M,37.75M,144.13M,405.36M,44.63M,56.35M,,1.069B,0.00,36.48M,212.17M,598.55M,,33.84M,881.05M,-551.61M,329.44M,2.066B,453.57M,2.520B,,,,55.19M,2.904B,3.974B,,262.36M,,5.964M,268.32M,75.85M,344.18M,4.951M,,4.951M,,,80.94M,546.80M,702.52M,,702.52M,169.20M,,169.20M,240.18M,,111.88M,86.30M,1.222B,1.769B,,16.40M,1.625B,474.49M,,,,,-22.34M,2.093B,,AOR,Restated
2010-09,57.00M,57.00M,490.22M,,490.22M,222.96M,42.78M,144.33M,410.07M,48.56M,50.99M,,1.057B,,,,,,,,,327.60M,2.071B,461.38M,2.532B,,,,56.03M,2.916B,3.973B,,266.42M,,22.20M,288.62M,79.85M,368.47M,4.217M,,4.217M,,,90.29M,572.54M,673.26M,,673.26M,147.77M,,147.77M,247.97M,,115.99M,93.68M,1.187B,1.759B,,16.49M,1.597B,489.03M,,,,,-4.955M,2.098B,,AOR,Restated
2010-06,38.58M,38.58M,,,475.68M,211.25M,39.53M,138.64M,389.43M,42.88M,49.06M,,995.62M,,,,,,,,,318.12M,2.033B,451.81M,2.485B,,,,54.08M,2.857B,3.853B,,248.68M,,23.25M,271.93M,172.82M,444.75M,2.483M,,2.483M,,,78.50M,525.73M,734.47M,,734.47M,164.80M,,164.80M,242.96M,,111.31M,92.93M,1.235B,1.761B,,16.45M,1.561B,480.12M,,,,,-77.01M,1.981B,,AOR,Restated
2010-03,46.78M,46.78M,,,550.83M,198.74M,39.98M,124.94M,363.67M,43.58M,49.66M,,1.055B,,,,,,,,,330.20M,2.068B,472.40M,2.540B,,,,56.22M,2.927B,3.981B,,229.50M,,8.571M,238.07M,148.90M,386.97M,3.782M,,3.782M,,,86.76M,477.52M,862.35M,,862.35M,171.50M,,171.50M,262.36M,,113.56M,95.40M,1.392B,1.869B,,16.44M,1.519B,475.14M,,,,,-11.80M,1.999B,,AOR,Restated
2009-12,33.40M,33.40M,482.17M,,455.09M,200.93M,38.34M,121.36M,360.63M,47.58M,49.61M,,946.30M,0.00,36.64M,213.45M,586.76M,,28.41M,865.26M,-531.57M,333.69M,2.089B,486.41M,2.575B,,,,56.14M,2.965B,3.911B,,207.66M,,5.659M,213.32M,61.84M,275.16M,2.286M,,2.286M,,,85.63M,446.28M,803.35M,,803.35M,146.63M,,146.63M,266.74M,,114.25M,95.06M,1.339B,1.785B,,16.44M,1.502B,472.81M,,,,,20.60M,2.012B,,AOR,Restated
2009-09,50.21M,50.21M,,,423.12M,188.74M,42.38M,135.30M,366.42M,48.45M,53.00M,,941.20M,,,,,,,,,339.41M,2.127B,506.84M,2.634B,,,,67.72M,3.041B,3.982B,,199.00M,,24.30M,223.30M,148.28M,371.59M,0.114M,,0.114M,,,95.37M,467.07M,814.86M,,814.86M,181.78M,,181.78M,296.49M,,118.32M,102.92M,1.396B,1.863B,,16.39M,1.491B,462.07M,,,,,31.70M,2.001B,,AOR,Restated
2009-06,38.12M,38.12M,,,462.11M,196.22M,45.01M,121.51M,362.74M,50.11M,51.46M,,964.54M,,,,,,,,,340.88M,2.106B,504.67M,2.611B,,,,61.12M,3.013B,3.977B,,212.97M,,14.67M,227.64M,143.63M,371.27M,6.265M,,6.265M,,,84.49M,462.03M,883.28M,,883.28M,177.07M,,177.07M,303.44M,,113.23M,96.02M,1.460B,1.922B,,16.39M,1.471B,458.26M,,,,,-3.892M,1.942B,,AOR,Restated
2009-03,34.71M,34.71M,,,505.20M,206.35M,50.09M,136.76M,393.20M,47.85M,51.27M,,1.032B,,,,,,,,,337.90M,2.093B,504.92M,2.598B,,,,56.96M,2.993B,4.025B,,196.77M,,4.312M,201.08M,143.95M,345.03M,8.034M,,8.034M,,,98.92M,451.98M,991.81M,,991.81M,173.64M,,173.64M,304.74M,,121.89M,97.26M,1.567B,2.019B,,16.38M,1.457B,454.74M,,,,,-44.84M,1.884B,,AOR,Restated
2008-12,39.34M,39.34M,461.08M,,461.08M,212.79M,53.24M,151.25M,417.29M,63.11M,51.35M,,1.032B,0.00,32.95M,204.76M,580.63M,,24.38M,842.71M,-498.83M,343.88M,2.102B,515.51M,2.617B,,,,59.79M,3.021B,4.053B,,217.90M,,5.451M,223.35M,169.56M,392.90M,0.624M,,0.624M,,,104.98M,498.50M,953.47M,,953.47M,146.56M,,146.56M,304.86M,,121.39M,129.75M,1.535B,2.033B,,16.38M,1.458B,451.24M,,,,,-26.62M,1.899B,,,Restated
2008-09,93.54M,93.54M,517.24M,,517.24M,216.18M,50.86M,163.34M,430.39M,53.50M,50.06M,,1.145B,,,,,,,831.20M,-467.85M,363.35M,2.134B,539.13M,2.673B,,,,69.87M,3.106B,4.251B,,225.93M,,,225.93M,78.92M,304.85M,3.913M,,3.913M,,,225.19M,533.95M,1.035B,,1.035B,184.51M,,184.51M,,,120.23M,321.29M,1.541B,2.075B,,16.44M,1.470B,456.14M,,,,,113.58M,2.056B,,,Restated
2008-06,74.62M,74.62M,558.93M,,558.93M,216.00M,52.66M,168.76M,437.42M,46.21M,51.96M,,1.169B,,,,,,,847.32M,-467.85M,379.47M,2.158B,558.45M,2.717B,,,,78.73M,3.175B,4.344B,,238.66M,,,238.66M,84.22M,322.87M,4.659M,,4.659M,,,255.92M,583.45M,1.024B,,1.024B,189.21M,,189.21M,,,122.96M,327.00M,1.540B,2.124B,,16.48M,1.446B,465.14M,,,,,170.11M,2.097B,,,Restated
2008-03,62.28M,62.28M,616.70M,,616.70M,204.23M,56.29M,155.54M,416.06M,43.24M,54.28M,,1.193B,,,,,,,836.14M,-467.85M,368.29M,2.030B,497.80M,2.528B,,,,81.45M,2.978B,4.170B,,235.80M,,,235.80M,75.18M,310.98M,12.21M,,12.21M,,,252.03M,575.23M,1.119B,,1.119B,166.56M,,166.56M,,,,335.28M,1.621B,2.196B,,16.52M,1.324B,468.93M,,,,,165.17M,1.974B,,,Restated
2007-12,70.80M,70.80M,461.41M,,461.41M,194.09M,50.78M,134.14M,379.02M,35.80M,50.51M,40.49M,1.038B,0.00,35.04M,210.41M,548.04M,,30.17M,823.66M,-461.97M,361.69M,1.999B,487.03M,2.486B,,,,114.76M,2.963B,4.001B,,227.79M,,,227.79M,85.51M,313.29M,18.66M,,18.66M,,,228.36M,560.32M,1.042B,,1.042B,166.92M,,166.92M,,,,320.58M,1.529B,2.090B,,16.54M,1.296B,476.24M,,,117.42M,4.449M,121.87M,1.911B,,,
2007-09,56.56M,56.56M,479.92M,,479.92M,199.88M,53.20M,161.23M,414.30M,48.51M,53.06M,,1.052B,,,,,,,797.65M,-439.51M,358.14M,2.006B,492.88M,2.499B,,,,77.08M,2.935B,3.987B,,208.50M,,,208.50M,84.83M,293.34M,9.899M,,9.899M,,,238.86M,542.10M,1.103B,,1.103B,136.89M,,136.89M,,,,376.71M,1.617B,2.159B,,16.58M,1.263B,478.40M,,,,,70.58M,1.828B,,,
2007-06,52.02M,52.02M,533.14M,,533.14M,198.65M,55.13M,162.22M,416.01M,42.45M,52.64M,,1.096B,,,,,,,793.83M,-439.51M,354.32M,1.941B,503.82M,2.445B,,,,77.82M,2.877B,3.973B,,219.15M,,,219.15M,91.05M,310.20M,14.82M,,14.82M,,,219.90M,544.93M,1.174B,,1.174B,112.62M,,112.62M,,,,367.88M,1.654B,2.199B,,16.66M,1.220B,493.11M,,,,,44.96M,1.774B,,,
2007-03,64.23M,64.23M,532.79M,,532.79M,193.05M,56.98M,163.15M,413.18M,41.91M,52.20M,,1.104B,,,,,,,790.72M,-439.51M,351.21M,1.830B,384.93M,2.215B,,,,69.50M,2.636B,3.740B,,208.71M,,,208.71M,74.06M,282.77M,24.26M,,24.26M,,,198.59M,505.62M,1.056B,,1.056B,111.11M,,111.11M,,,,361.24M,1.529B,2.034B,,16.63M,1.172B,484.38M,,,,,32.39M,1.706B,,,
2006-12,54.82M,54.82M,422.13M,,422.13M,186.51M,55.14M,157.21M,398.86M,31.24M,50.58M,,957.63M,0.00,28.99M,181.34M,521.24M,,38.31M,769.88M,-439.51M,330.37M,1.719B,287.01M,2.006B,,,,71.20M,2.407B,3.365B,,206.29M,,,206.29M,83.51M,289.80M,22.19M,,22.19M,,,209.30M,521.28M,721.87M,,721.87M,109.78M,,109.78M,,,,342.04M,1.174B,1.695B,,16.63M,1.148B,488.54M,,,,,16.70M,1.670B,,,
2006-09,45.15M,45.15M,454.26M,,454.26M,176.01M,54.85M,166.78M,397.64M,28.74M,46.04M,,971.82M,,,,,,,698.63M,-386.33M,312.30M,1.732B,261.26M,1.994B,,,,77.39M,2.383B,3.355B,,191.21M,,,191.21M,179.43M,370.64M,6.912M,,6.912M,,,95.12M,472.67M,788.07M,,788.07M,124.39M,,124.39M,,,,329.24M,1.242B,1.714B,,16.68M,1.123B,486.99M,,,,,13.68M,1.641B,,,
2006-06,48.33M,48.33M,502.98M,,502.98M,173.43M,50.76M,156.03M,380.22M,27.66M,45.92M,,1.005B,,,,,,,698.48M,-386.33M,312.15M,1.729B,263.60M,1.993B,,,,80.17M,2.385B,3.390B,,224.24M,,,224.24M,77.07M,301.31M,11.84M,,11.84M,,,189.54M,502.69M,801.90M,,801.90M,125.42M,,125.42M,,,,318.04M,1.245B,1.748B,,16.85M,1.103B,512.36M,,,,,10.18M,1.642B,,,
2006-03,50.24M,50.24M,520.97M,,520.97M,162.27M,49.59M,163.76M,375.62M,28.92M,44.43M,,1.020B,,,,,,,700.50M,-386.33M,314.16M,1.724B,262.83M,1.987B,,,,67.56M,2.369B,3.389B,,206.53M,,,206.53M,65.59M,272.12M,4.246M,,4.246M,,,197.15M,473.51M,888.02M,,888.02M,123.66M,,123.66M,,,,308.80M,1.320B,1.794B,,16.94M,1.048B,524.90M,,,,,4.474M,1.595B,,,
2005-12,48.50M,48.50M,423.85M,,423.85M,146.39M,49.42M,153.50M,349.31M,24.39M,48.97M,,895.02M,0.00,24.43M,168.78M,483.64M,,21.33M,698.17M,-386.33M,311.84M,1.718B,266.53M,1.985B,,,,62.15M,2.359B,3.254B,,207.32M,,,207.32M,88.92M,296.24M,4.137M,,4.137M,,,224.29M,524.67M,748.48M,,748.48M,125.78M,,125.78M,,,,299.21M,1.173B,1.698B,,16.87M,1.021B,518.75M,,,,,-0.986M,1.556B,,,
2005-09,49.35M,49.35M,428.49M,,428.49M,135.51M,44.82M,164.35M,344.68M,28.24M,64.79M,,915.55M,,,,,,,670.72M,-354.23M,316.49M,,1.881B,1.881B,,,,61.74M,2.260B,3.175B,,183.38M,,,183.38M,84.65M,268.02M,4.003M,,4.003M,,,249.22M,521.25M,685.35M,,685.35M,138.19M,,138.19M,,,,284.77M,1.108B,1.630B,,16.98M,1.004B,528.33M,,,,,-4.187M,1.546B,,,
2005-06,41.85M,41.85M,457.88M,,457.88M,128.80M,37.53M,173.13M,339.46M,27.73M,49.08M,,916.00M,,,,,,,678.70M,-354.23M,324.48M,,1.868B,1.868B,,,,60.54M,2.253B,3.169B,,195.70M,,,195.70M,82.12M,277.82M,6.469M,,6.469M,,,225.53M,509.82M,727.63M,,727.63M,143.38M,,143.38M,,,,278.75M,1.150B,1.660B,,16.97M,970.24M,527.67M,,,,,-4.958M,1.510B,,,
2005-03,43.84M,43.84M,475.60M,,475.60M,124.28M,37.33M,178.29M,339.91M,27.84M,49.91M,,937.10M,,,,,,,689.29M,-354.23M,335.06M,,1.876B,1.876B,,,,81.01M,2.292B,3.229B,,185.14M,,,185.14M,70.65M,255.79M,17.42M,,17.42M,,,207.10M,480.31M,848.01M,,848.01M,145.29M,,145.29M,,,,283.83M,1.277B,1.757B,,16.93M,918.94M,529.70M,,,,,5.906M,1.471B,,,
2004-12,31.50M,31.50M,396.46M,,396.46M,126.82M,34.99M,161.87M,323.68M,24.43M,49.07M,,825.14M,0.00,34.23M,167.99M,464.97M,,23.34M,690.53M,-354.23M,336.30M,,1.879B,1.879B,,,,80.61M,2.295B,3.121B,,195.29M,,,195.29M,84.14M,279.43M,11.96M,,11.96M,,,235.49M,526.88M,724.15M,,724.15M,142.87M,,142.87M,,,,278.88M,1.146B,1.673B,,16.83M,889.06M,517.37M,,,,,24.53M,1.448B,,,
2004-09,78.79M,78.79M,397.10M,,397.10M,112.13M,34.35M,168.94M,315.41M,30.97M,45.30M,394.94M,1.263B,,,,,,,816.45M,-480.47M,335.98M,,1.879B,1.879B,,,,648.91M,2.864B,4.127B,,184.74M,,,184.74M,35.20M,219.94M,859.86M,,859.86M,,,484.69M,1.564B,737.72M,,737.72M,140.66M,,140.66M,,,2.672M,291.24M,1.170B,2.734B,,16.77M,872.50M,500.89M,,,,,-0.138M,1.390B,,,
2004-06,58.25M,58.25M,459.71M,,459.71M,103.40M,38.88M,231.07M,373.35M,33.27M,50.13M,,974.70M,,,,,,,826.38M,-480.47M,345.91M,,1.511B,1.511B,,,,99.15M,1.956B,2.931B,,253.45M,,,253.45M,41.28M,294.72M,6.92M,,6.92M,,,241.10M,542.75M,747.32M,,747.32M,78.57M,,78.57M,,,,217.55M,1.043B,1.586B,,16.73M,835.64M,500.92M,,,,,-8.51M,1.345B,,,
2004-03,63.25M,63.25M,496.55M,,496.55M,84.04M,34.12M,191.57M,309.73M,30.95M,49.75M,,950.22M,,,,,,,813.40M,-480.47M,332.93M,,1.481B,1.481B,,,,125.47M,1.939B,2.889B,,213.16M,,,213.16M,39.48M,252.64M,4.884M,,4.884M,,,219.29M,476.82M,829.14M,,829.14M,78.58M,,78.58M,,,,204.71M,1.112B,1.589B,,8.347M,790.72M,508.96M,,,,,-8.075M,1.300B,,,
2003-12,47.99M,47.99M,251.48M,,251.48M,54.96M,17.33M,94.57M,166.86M,18.85M,30.87M,313.40M,829.45M,0.00,14.82M,132.77M,397.74M,,15.41M,560.75M,-327.64M,233.11M,,1.096B,1.096B,,,,622.45M,1.951B,2.781B,,93.04M,,,93.04M,38.53M,131.57M,73.63M,,73.63M,,,292.25M,497.45M,732.86M,,732.86M,60.64M,,60.64M,,,,228.25M,1.022B,1.519B,,8.25M,760.97M,492.62M,,,,,-0.357M,1.261B,,,
2003-09,50.38M,50.38M,420.27M,,420.27M,78.78M,33.62M,195.74M,308.15M,21.52M,57.42M,2.379M,860.12M,,,,,,,772.48M,-432.35M,340.13M,,1.251B,1.251B,,,,136.62M,1.727B,2.587B,,180.15M,,,180.15M,36.70M,216.85M,104.12M,,104.12M,,,223.94M,544.91M,558.61M,,558.61M,46.11M,,46.11M,,,,241.55M,846.27M,1.391B,,8.235M,740.11M,488.63M,,,,,-40.67M,1.196B,,,
2003-06,45.46M,45.46M,442.37M,,442.37M,84.65M,41.99M,206.73M,333.37M,20.70M,57.52M,2.166M,901.59M,,,,,,,775.13M,-432.35M,342.78M,,1.246B,1.246B,,,,137.34M,1.726B,2.628B,,214.21M,,,214.21M,,214.21M,58.84M,,58.84M,,,242.08M,515.13M,669.69M,,669.69M,33.74M,,33.74M,,,,237.41M,940.84M,1.456B,,8.232M,712.11M,488.85M,,,,,-37.64M,1.172B,,,
2003-03,44.60M,44.60M,438.64M,,438.64M,84.67M,44.42M,180.88M,309.97M,19.39M,55.16M,1.917M,869.68M,,,,,,,777.08M,-432.35M,344.73M,,1.234B,1.234B,,,,129.86M,1.709B,2.578B,,182.36M,,,182.36M,38.20M,220.56M,58.04M,,58.04M,,,194.67M,473.26M,719.77M,,719.77M,32.74M,,32.74M,,,,226.43M,978.94M,1.452B,,8.229M,678.58M,488.39M,,,,,-49.22M,1.126B,,,
2002-12,39.65M,39.65M,403.79M,,403.79M,83.67M,39.84M,169.69M,293.20M,17.13M,55.23M,1.799M,810.81M,0.00,16.97M,161.52M,568.00M,,37.18M,783.66M,-432.35M,351.32M,,1.218B,1.218B,,,,133.98M,1.704B,2.514B,,171.71M,,,171.71M,121.82M,293.53M,61.17M,,61.17M,,,121.50M,476.20M,673.91M,,673.91M,31.73M,,31.73M,,,,226.89M,932.53M,1.409B,,8.204M,660.11M,482.70M,,,,,-45.28M,1.106B,,,
2002-09,39.59M,39.59M,415.02M,,415.02M,85.41M,35.58M,170.32M,291.31M,20.74M,66.53M,1.771M,834.95M,,,,,,,685.61M,-379.51M,306.10M,,1.098B,1.098B,,,,115.70M,1.520B,2.355B,,188.87M,,,188.87M,37.63M,226.50M,7.284M,,7.284M,,,236.36M,470.15M,559.22M,,559.22M,35.39M,,35.39M,,,,189.87M,784.48M,1.255B,,8.207M,641.38M,482.15M,,,,,-31.45M,1.100B,,,
2002-06,29.29M,29.29M,450.70M,,450.70M,88.51M,38.37M,178.78M,305.66M,21.19M,67.09M,2.399M,876.33M,,,,,,,694.16M,-379.51M,314.66M,,1.099B,1.099B,,,,110.89M,1.525B,2.401B,,206.16M,,,206.16M,39.68M,245.84M,6.089M,,6.089M,,,210.56M,462.48M,638.55M,,638.55M,35.14M,,35.14M,,,,186.51M,860.21M,1.323B,,8.206M,613.33M,482.06M,,,,,-25.46M,1.078B,,,
2002-03,20.95M,20.95M,447.48M,,447.48M,91.85M,36.97M,166.57M,295.39M,19.34M,67.87M,3.613M,854.64M,,,,,,,698.26M,-379.51M,318.76M,1.085B,,1.085B,,,,116.83M,1.521B,2.376B,,197.41M,,,197.41M,37.82M,235.23M,5.972M,,5.972M,,,202.94M,444.15M,689.14M,,689.14M,34.04M,,34.04M,,,,180.89M,904.06M,1.348B,,8.201M,579.21M,481.69M,,,,,-41.62M,1.027B,,,
2001-12,39.84M,39.84M,398.58M,,398.58M,94.40M,38.76M,167.76M,300.92M,20.98M,69.95M,5.325M,835.60M,0.00,16.69M,152.87M,518.14M,,21.30M,709.01M,-379.51M,329.50M,1.088B,,1.088B,,,,118.89M,1.537B,2.372B,,179.15M,,,179.15M,37.59M,216.74M,8.729M,,8.729M,,,202.96M,428.43M,714.98M,,714.98M,34.13M,,34.13M,,,,179.66M,928.76M,1.357B,,8.193M,566.63M,478.54M,,,,,-38.36M,1.015B,,,
2001-09,32.82M,32.82M,460.73M,,460.73M,103.10M,42.76M,197.27M,343.13M,28.55M,73.68M,106.68M,1.046B,,,,,,,676.84M,-336.65M,340.19M,,1.112B,1.112B,,,,93.81M,1.546B,2.592B,,207.72M,,,207.72M,40.22M,247.94M,66.26M,,66.26M,,,217.04M,531.25M,781.88M,,781.88M,41.96M,,41.96M,,,,169.69M,993.53M,1.525B,,8.174M,616.38M,475.77M,,,,,-33.53M,1.067B,,,
2001-06,27.69M,27.69M,475.81M,,475.81M,107.10M,42.54M,195.46M,345.10M,23.74M,72.58M,109.06M,1.054B,,,,,,,677.69M,-336.65M,341.04M,,1.114B,1.114B,,,,91.28M,1.546B,2.600B,,230.29M,,,230.29M,41.44M,271.73M,103.29M,,103.29M,,,203.29M,578.31M,780.89M,,780.89M,36.93M,,36.93M,,,,162.41M,980.23M,1.559B,,8.178M,600.54M,476.88M,,,,,-43.72M,1.042B,,,
2001-03,33.00M,33.00M,508.34M,,508.34M,114.54M,47.48M,221.16M,383.19M,,73.25M,127.93M,1.126B,,,,,,,683.47M,-336.65M,346.82M,,1.132B,1.132B,,,,66.37M,1.545B,2.671B,,224.29M,,,224.29M,,224.29M,194.68M,,194.68M,,,243.98M,662.96M,782.17M,,782.17M,36.70M,,36.70M,,,,165.72M,984.59M,1.648B,,8.17M,580.32M,475.52M,,,,,-40.57M,1.023B,,,
2000-12,34.94M,34.94M,468.08M,,468.08M,,,,392.50M,,,196.28M,1.092B,,,,,,,689.63M,-336.65M,352.98M,,1.141B,1.141B,,,,58.14M,1.552B,2.644B,,250.09M,,,250.09M,,250.09M,132.14M,,132.14M,,,266.56M,648.79M,781.83M,,781.83M,37.13M,,37.13M,,,,165.68M,984.64M,1.633B,,8.119M,568.08M,468.42M,,,,,-34.04M,1.011B,,,
2000-09,56.57M,56.57M,,,594.20M,,,,475.60M,,,88.95M,1.215B,,,,,,,734.10M,-353.82M,380.28M,,1.164B,1.164B,,,,67.67M,1.612B,2.828B,,268.88M,,,268.88M,,268.88M,220.93M,,220.93M,,,285.47M,775.28M,828.02M,,828.02M,8.166M,,8.166M,,,,181.89M,1.018B,1.793B,,8.088M,603.67M,462.02M,,,,,-39.51M,1.034B,,,
2000-06,56.13M,56.13M,,,617.05M,,,,484.50M,,,78.60M,1.236B,,,,,,,738.55M,-352.96M,385.59M,,1.159B,1.159B,,,,67.52M,1.612B,2.848B,,281.60M,,,281.60M,,281.60M,217.31M,,217.31M,,,276.21M,775.12M,839.13M,,839.13M,9.138M,,9.138M,,,,180.52M,1.029B,1.804B,,8.089M,599.25M,462.45M,,,,,-25.80M,1.044B,,,
