,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-08,356.00M,,-85.00M,-85.00M,480.00M,480.00M,59.00M,15.00M,36.00M,,161.00M,22.00M,290.00M,,756.00M,-90.00M,,86.00M,1.064B,2.086B,-412.00M,167.00M,-245.00M,-373.00M,,-19.00M,-637.00M,-512.00M,-357.00M,-869.00M,,-215.00M,-215.00M,-487.00M,-487.00M,15.00M,-93.00M,-1.649B,943.00M,-199.00M,2.00M,746.00M,,4.031B,-4.543B,-215.00M
2020-05,-1.725B,,-250.00M,-250.00M,478.00M,478.00M,-57.00M,2.001B,34.00M,,266.00M,465.00M,15.00M,,-333.00M,3.00M,,17.00M,167.00M,914.00M,-257.00M,224.00M,-33.00M,-59.00M,,49.00M,-43.00M,-930.00M,851.00M,-79.00M,,-461.00M,-461.00M,-403.00M,-403.00M,12.00M,18.00M,-913.00M,988.00M,-43.00M,-2.00M,943.00M,,6.476B,-7.406B,-461.00M
2020-02,951.00M,,-43.00M,-43.00M,492.00M,492.00M,17.00M,,39.00M,,9.00M,-208.00M,857.00M,,-632.00M,61.00M,,-120.00M,-42.00M,1.423B,-318.00M,186.00M,-132.00M,-106.00M,,23.00M,-215.00M,25.00M,-263.00M,-238.00M,,-440.00M,-440.00M,-447.00M,-447.00M,14.00M,-108.00M,-1.219B,1.00B,-10.00M,-2.00M,988.00M,,4.788B,-4.371B,-440.00M
2019-11,842.00M,,-4.00M,-4.00M,477.00M,477.00M,-62.00M,,28.00M,,28.00M,-116.00M,-1.099B,,971.00M,-5.00M,,1.00M,-248.00M,1.061B,-387.00M,147.00M,-240.00M,-180.00M,,18.00M,-402.00M,370.00M,-392.00M,-22.00M,,-473.00M,-473.00M,-410.00M,-410.00M,14.00M,25.00M,-866.00M,1.207B,-208.00M,1.00M,1.00B,,5.072B,-5.094B,-473.00M
2019-08,687.00M,,-63.00M,-63.00M,526.00M,526.00M,-9.00M,0.00,32.00M,,259.00M,-59.00M,495.00M,,526.00M,-32.00M,,17.00M,947.00M,2.379B,-456.00M,3.00M,-453.00M,-274.00M,,-11.00M,-738.00M,-987.00M,237.00M,-750.00M,,-434.00M,-434.00M,-399.00M,-399.00M,18.00M,91.00M,-1.474B,1.038B,166.00M,3.00M,1.207B,,2.142B,-3.129B,-434.00M
2019-05,1.037B,,21.00M,21.00M,522.00M,522.00M,-52.00M,0.00,24.00M,,-113.00M,434.00M,203.00M,,30.00M,-19.00M,,-67.00M,581.00M,2.02B,-453.00M,0.00,-453.00M,-120.00M,,50.00M,-523.00M,-338.00M,-37.00M,-375.00M,,-613.00M,-613.00M,-403.00M,-403.00M,18.00M,-85.00M,-1.458B,1.009B,41.00M,-12.00M,1.038B,,3.877B,-4.215B,-613.00M
2019-02,1.138B,,-91.00M,-91.00M,500.00M,500.00M,137.00M,,36.00M,,57.00M,-649.00M,867.00M,,-1.232B,22.00M,,-50.00M,-1.042B,735.00M,-323.00M,0.00,-323.00M,-147.00M,,59.00M,-411.00M,2.757B,-731.00M,2.026B,,-2.201B,-2.201B,-419.00M,-419.00M,37.00M,52.00M,-505.00M,1.183B,-180.00M,6.00M,1.009B,,4.262B,-2.572B,-2.201B
2018-11,1.10B,,-54.00M,-54.00M,490.00M,490.00M,24.00M,,27.00M,,99.00M,-515.00M,-1.424B,,850.00M,-83.00M,,-54.00M,-1.226B,460.00M,-470.00M,0.00,-470.00M,-200.00M,,35.00M,-635.00M,540.00M,1.067B,1.607B,,-912.00M,-912.00M,-422.00M,-422.00M,101.00M,16.00M,390.00M,975.00M,214.00M,-6.00M,1.183B,,2.152B,-545.00M,-912.00M
2018-08,1.514B,,-397.00M,-397.00M,470.00M,470.00M,60.00M,,39.00M,,29.00M,371.00M,101.00M,,849.00M,-18.00M,,-201.00M,1.102B,2.817B,-384.00M,,-384.00M,-573.00M,,567.00M,-390.00M,-526.00M,-10.00M,-536.00M,,-2.703B,-2.703B,-448.00M,-448.00M,56.00M,119.00M,-3.512B,2.074B,-1.083B,-16.00M,975.00M,,857.00M,-1.383B,-2.703B
2018-05,1.346B,,-67.00M,-67.00M,442.00M,442.00M,92.00M,,28.00M,,180.00M,-125.00M,544.00M,,-206.00M,62.00M,,-58.00M,217.00M,2.238B,-317.00M,,-317.00M,-845.00M,,207.00M,-955.00M,-274.00M,-240.00M,-514.00M,,0.00,0.00,-476.00M,-476.00M,35.00M,-212.00M,-1.167B,1.988B,115.00M,-29.00M,2.074B,,1.954B,-2.228B,0.00
