,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,471.70M,,,-10.80M,-11.90M,323.70M,323.70M,47.60M,,9.80M,41.20M,-74.20M,-9.90M,,24.20M,,,-47.50M,-107.40M,,774.70M,,-664.20M,,-664.20M,-20.00M,696.50M,5.90M,18.20M,,-1.10M,4.50M,3.40M,,,,-296.20M,-296.20M,1.60M,-15.90M,-307.10M,,5.253B,485.80M,49.20M,5.788B,,,,-1.10M,,,,AOR,
2020-09,486.80M,,,-50.90M,-59.80M,310.50M,310.50M,5.00M,,14.10M,31.30M,257.00M,20.10M,,152.80M,,,33.70M,463.60M,,1.252B,,-463.80M,,-463.80M,-183.30M,1.411B,7.00M,770.90M,,-403.10M,-6.90M,-410.00M,,,,-296.00M,-296.00M,10.90M,-25.70M,-720.80M,,3.921B,1.302B,30.00M,5.253B,,,0.10M,-403.20M,,,,AOR,
2020-06,446.50M,0.00,,-9.40M,-5.80M,290.60M,290.60M,105.00M,,12.50M,75.60M,-16.80M,-8.80M,,-72.90M,,,-51.20M,-149.70M,,774.70M,,-1.115B,,-1.115B,-1.70M,-2.516B,7.30M,-3.624B,,4.896B,-14.70M,4.881B,,,,-295.90M,-295.90M,3.00M,-44.80M,4.543B,,2.220B,1.694B,7.80M,3.921B,,,4.896B,33.30M,,,,AOR,
2020-03,492.10M,0.00,,-75.40M,-114.80M,294.70M,294.70M,30.60M,,13.00M,46.80M,-114.90M,-8.10M,,3.60M,,,-71.50M,-190.90M,,571.50M,,-482.90M,,-482.90M,-15.60M,0.00,52.80M,-445.70M,,-0.60M,-22.90M,-23.50M,,,,-256.00M,-256.00M,14.70M,-2.70M,-267.50M,,2.406B,-141.70M,-44.30M,2.220B,,,,-33.90M,,,,AOR,
2019-12,475.60M,,,-26.20M,-27.30M,289.20M,289.20M,24.40M,,13.90M,54.30M,2.30M,-8.40M,,-115.40M,,,-41.60M,-163.10M,,667.00M,,-447.70M,,-447.70M,-7.10M,177.00M,17.10M,-260.70M,,-2.80M,-10.40M,-13.20M,,,,-255.70M,-255.70M,5.50M,-6.90M,-270.30M,,2.249B,136.00M,21.40M,2.406B,,,,-2.80M,,,,AOR,Restated
2019-09,503.20M,0.00,,-18.90M,-25.60M,293.60M,293.60M,19.80M,,10.20M,4.20M,79.70M,10.50M,,53.00M,,,17.90M,161.10M,,966.50M,,-482.10M,,-482.10M,-16.20M,-166.80M,-12.80M,-677.90M,,-423.20M,-33.80M,-457.00M,,,,-255.60M,-255.60M,4.80M,-1.90M,-709.70M,,2.697B,-421.10M,-27.00M,2.249B,,,0.00,-423.20M,,,,AOR,Restated
2019-06,488.00M,0.00,,-29.70M,-44.90M,269.10M,269.10M,13.50M,,9.80M,26.90M,-63.10M,0.70M,,30.70M,,,-13.10M,-44.80M,,717.60M,,-544.10M,,-544.10M,-15.00M,2.60M,3.10M,-553.40M,,-2.70M,44.30M,41.60M,,,,-255.30M,-255.30M,17.90M,-5.20M,-201.00M,,2.736B,-36.80M,-2.30M,2.697B,,,0.00,3.90M,,,,AOR,Restated
2019-03,421.30M,0.00,,-28.20M,-29.80M,262.10M,262.10M,28.50M,,11.90M,6.60M,57.50M,-3.80M,,-70.10M,,,-53.60M,-70.00M,,630.60M,,-560.10M,,-560.10M,-107.70M,9.90M,2.30M,-655.60M,,-0.10M,31.40M,31.30M,,,,-241.60M,-241.60M,40.70M,-0.40M,-170.00M,,2.923B,-195.00M,7.60M,2.736B,,,,-6.70M,,,,AOR,Restated
2018-12,347.50M,29.00M,,1.00M,29.30M,258.00M,258.00M,45.20M,,9.30M,37.50M,-63.30M,-10.40M,,-55.40M,,,57.50M,-71.60M,,655.20M,,-403.40M,,-403.40M,0.00,172.70M,4.20M,-226.50M,,-2.60M,-38.00M,-40.60M,,,,-241.50M,-241.50M,4.70M,-12.40M,-289.80M,,2.791B,138.90M,-6.90M,2.923B,,,,-2.60M,,,,AOR,Restated
2018-09,452.90M,0.00,,-25.00M,-26.70M,257.20M,257.20M,-38.20M,,8.40M,178.50M,50.50M,-80.20M,,-112.80M,,,1.40M,-141.10M,0.00,691.00M,,-410.30M,,-410.30M,-25.20M,-177.50M,3.20M,-609.80M,,-0.50M,-32.40M,-32.90M,,,,-241.20M,-241.20M,18.00M,-5.90M,-262.00M,,2.986B,-180.80M,-14.40M,2.791B,,,0.00,-0.50M,,,,AOR,Restated
