,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,4.532B,4.532B,3.005B,1.527B,,,516.65M,154.06M,45.02M,0.00,,8.425M,8.425M,,715.73M,811.25M,8.425M,,8.425M,-13.20M,8.425M,806.47M,273.51M,532.96M,,504.60M,512.77M,1.010B,199.08M,811.25M,0.96,,,0.9756,0.96,0.86,,,,2020-09,525.53M,583.96M,,2020-09,AOR,
2020-06,3.187B,3.187B,2.185B,1.002B,,212.12M,212.12M,,,0.00,11.49M,5.578M,-5.916M,,364.25M,637.65M,5.578M,11.49M,-5.916M,0.016M,-5.916M,631.75M,151.34M,480.41M,,452.34M,452.32M,795.37M,152.12M,643.24M,0.86,,,0.8600,0.86,0.78,,,,2020-06,524.29M,582.62M,,2020-06,AOR,
2020-03,3.217B,3.217B,2.331B,886.29M,,218.97M,218.97M,,,-356.42M,15.61M,14.22M,-1.39M,,385.79M,500.50M,14.22M,15.61M,-1.39M,-354.83M,-1.39M,144.28M,45.01M,99.27M,,73.10M,318.27M,326.71M,166.82M,159.89M,0.14,,,0.6087,0.14,0.13,,,,2020-03,523.15M,581.38M,,2020-03,AOR,
2019-12,3.241B,3.241B,3.003B,238.09M,,,-458.41M,,,0.00,6.089M,11.27M,5.181M,,-284.86M,522.95M,11.27M,6.089M,5.181M,1.40M,5.181M,529.53M,115.99M,413.55M,,389.40M,389.90M,709.18M,173.56M,535.62M,0.78,,,0.7810,0.78,0.69,,,,2019-12,503.42M,561.73M,,2019-12,AOR,
2019-09,3.168B,3.168B,2.097B,1.071B,,,447.96M,152.65M,1.531M,-0.044M,6.027M,32.30M,26.27M,,602.14M,468.89M,32.30M,6.027M,26.27M,-1.796M,26.27M,493.37M,116.21M,377.16M,,353.30M,352.31M,653.58M,154.18M,499.40M,0.74,,,0.7379,0.74,0.66,,,,2019-09,477.50M,535.75M,,2019-09,AOR,Restated
2019-06,3.211B,3.211B,2.428B,783.19M,,202.76M,202.76M,,,0.00,5.65M,18.48M,12.83M,,352.46M,430.73M,18.48M,5.65M,12.83M,2.832M,12.83M,446.39M,105.82M,340.57M,,317.04M,316.40M,601.74M,149.70M,452.04M,0.68,,,0.6786,0.68,0.60,,,,2019-06,469.66M,527.98M,,2019-06,AOR,Restated
2019-03,3.187B,3.187B,2.379B,808.35M,,198.91M,198.91M,,,-0.439M,5.921M,15.17M,9.246M,,352.05M,456.30M,15.17M,5.921M,9.246M,9.088M,9.246M,474.63M,113.34M,361.30M,,339.76M,337.77M,633.69M,153.14M,480.56M,0.73,,,0.7257,0.73,0.65,,,,2019-03,467.95M,526.22M,,2019-03,AOR,Restated
2018-12,3.307B,3.307B,2.457B,849.72M,,195.90M,195.90M,,,-0.545M,3.771M,14.30M,10.53M,,366.96M,482.75M,14.30M,3.771M,10.53M,-0.296M,10.53M,492.98M,135.70M,357.29M,,337.08M,337.98M,667.82M,171.06M,496.75M,0.7304,,,0.7324,0.7304,0.6592,,,,2018-12,462.22M,519.84M,,2018-12,AOR,Restated
2018-09,3.395B,3.395B,2.488B,907.29M,,169.30M,169.30M,,,7.004M,5.413M,10.52M,5.112M,,344.58M,562.70M,10.52M,5.413M,5.112M,25.47M,5.112M,593.29M,140.69M,452.60M,,431.73M,408.40M,773.99M,175.28M,598.70M,0.9164,,,0.8667,0.9164,0.8168,,,,2018-09,469.42M,528.07M,,2018-09,AOR,Restated
2018-06,3.461B,3.461B,2.525B,935.99M,,190.62M,190.62M,,,-2.537M,2.865M,10.62M,7.754M,,363.33M,572.66M,10.62M,2.865M,7.754M,21.43M,7.754M,601.85M,141.56M,460.29M,,438.72M,423.95M,777.41M,172.70M,604.71M,0.9363,,,0.9048,0.9363,0.8267,,,,2018-06,469.27M,527.93M,,2018-06,AOR,Restated
