,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,385.32M,36.72M,,36.72M,,,192.97M,192.97M,92.06M,,,9.06M,-32.43M,,,,,,,67.84M,,,2018-03,-364.52M,-70.52M,,,304.31M,3.613M,-56.60M,2018-03,-66.93M,-66.93M,,,,,7.991M,-0.159M,-59.10M,,2018-03,635.86M,,2.116B,,,,-66.93M,,,,,AOR,Restated
2017-12,1.401B,-55.53M,,-55.53M,,,191.94M,191.94M,-1.044B,,,9.322M,-17.86M,,,,,,-67.80M,-78.28M,,,2017-12,-292.14M,-107.69M,0.00,,-184.95M,2.71M,-474.38M,2017-12,-184.15M,-184.15M,,,,,4.403M,-1.645M,-181.39M,,2017-12,-103.35M,,1.480B,,,0.00,-184.15M,,-33.18M,-1.565B,,AOR,Restated
2017-09,315.26M,-39.71M,,-39.71M,,,209.32M,209.32M,210.87M,,,8.756M,-23.74M,,,,,,-231.59M,53.22M,,,2017-09,-428.34M,-111.72M,0.00,,-195.60M,12.44M,-611.50M,2017-09,-912.32M,-912.32M,,,,,7.393M,-0.349M,-905.28M,,2017-09,-782.80M,,1.583B,,,0.00,-912.32M,,33.18M,1.565B,,AOR,Restated
2017-06,58.76M,-2.487M,,-2.487M,,,211.67M,211.67M,197.54M,,,5.089M,34.96M,,,,,,50.79M,50.79M,,,2017-06,-4.978B,-97.49M,-4.711B,,1.16M,-3.335M,-4.981B,2017-06,-10.92M,-10.92M,,,,,10.40M,0.00,-0.52M,,2017-06,-4.425B,,2.366B,,,0.00,-10.92M,,,,,AOR,Restated
2017-03,390.08M,-2.272M,,-2.272M,,,204.63M,204.63M,150.01M,,,6.774M,6.752M,,,,,,180.80M,180.80M,,,2017-03,-397.50M,-114.90M,,,-71.09M,13.56M,-455.03M,2017-03,990.84M,990.84M,,,,,6.374M,-13.26M,983.96M,,2017-03,1.466B,,6.791B,,,1.00B,-9.162M,,,,,AOR,Restated
2016-12,367.80M,-3.022M,,-3.022M,,,230.05M,230.05M,217.50M,,,2.507M,0.184M,,,,,,-150.56M,-152.24M,,,2016-12,-305.01M,-144.38M,0.00,,172.35M,2.752M,-129.91M,2016-12,-11.09M,-11.09M,,,,,6.439M,11.92M,7.27M,,2016-12,540.15M,,5.325B,,,0.00,-11.09M,,,,,AOR,Restated
2016-09,332.98M,-3.058M,,-3.058M,,,224.00M,224.00M,104.28M,,,6.785M,33.17M,,,,,,-98.34M,-98.34M,,,2016-09,-1.809B,-149.91M,-1.50B,,-75.97M,3.697M,-1.881B,2016-09,2.988B,2.988B,,,,,380.34M,-652.99M,2.716B,,2016-09,1.435B,,4.785B,,,3.00B,-11.57M,,,,,AOR,Restated
2016-06,438.06M,-46.03M,,-46.03M,,,239.58M,239.58M,106.30M,,,-0.732M,43.42M,,,,,,-116.99M,-116.99M,,,2016-06,-338.28M,-158.57M,,,350.96M,-4.581M,8.099M,2016-06,1.989B,1.989B,,,,,4.387M,-25.29M,1.969B,,2016-06,2.640B,,3.350B,,,2.00B,-10.51M,,,,,AOR,Restated
2016-03,411.94M,-66.98M,,-66.98M,,,227.57M,227.57M,78.73M,,,4.477M,9.002M,,,,,,263.30M,263.30M,,,2016-03,-386.56M,-161.20M,,,638.48M,13.63M,265.55M,2016-03,-1.510B,-1.510B,,,,,3.056M,-30.42M,-1.538B,,2016-03,-344.13M,,709.86M,,,,-1.510B,,,,,AOR,Restated
2015-12,-46.16M,4.188M,,4.188M,,,202.06M,202.06M,71.26M,,,1.485M,-18.27M,,,,,,-580.49M,-111.23M,,,2015-12,-189.20M,-129.51M,105.18M,,-201.28M,-14.51M,-405.00M,2015-12,-13.38M,-13.38M,0.00,,0.00,,12.58M,-14.34M,-15.13M,,2015-12,-191.05M,,1.054B,,0.00,,-13.38M,,,,,AOR,Restated
2015-09,202.61M,-28.71M,,-28.71M,,,252.20M,252.20M,84.76M,,,2.891M,102.79M,,,,,,164.35M,164.35M,,,2015-09,-258.56M,-195.63M,0.00,,28.07M,3.632M,-226.86M,2015-09,-8.417M,-8.417M,0.00,,0.00,,3.284M,1.242M,-3.891M,,2015-09,550.13M,,1.244B,,0.00,,-8.417M,,,,,AOR,Restated
2015-06,332.33M,-135.70M,,-135.70M,,,262.89M,262.89M,59.95M,,,7.114M,18.31M,,,,,,12.68M,12.68M,,,2015-06,-660.49M,-197.74M,0.00,,-8.83M,-3.32M,-272.64M,2015-06,-657.94M,-657.94M,0.00,,0.00,,11.66M,5.711M,-640.57M,,2015-06,-355.65M,,694.25M,,0.00,,-657.94M,,,,,AOR,Restated
2015-03,353.25M,-127.02M,,-127.02M,,,246.21M,246.21M,12.48M,,,7.709M,20.75M,,,,,,378.22M,378.22M,,,2015-03,-8.950B,-212.11M,-8.676B,,1.789B,3.282M,-7.158B,2015-03,-7.116M,-7.116M,204.20M,,204.20M,,6.345M,7.967M,211.40M,,2015-03,-6.055B,,1.050B,,204.20M,,-7.116M,,,,,AOR,Restated
2014-12,407.92M,15.02M,,15.02M,,,286.93M,286.93M,66.48M,,,9.195M,-8.714M,,,,,,-140.30M,-185.39M,30.01M,,2014-12,-1.618B,-84.40M,-1.32B,,2.151B,87.66M,599.79M,2014-12,1.092B,1.092B,20.70M,,20.70M,,13.58M,6.573M,1.133B,,2014-12,2.354B,,7.104B,,20.70M,,-908.15M,,,,,AOR,Restated
2014-09,143.04M,52.40M,,52.40M,,,269.89M,269.89M,9.932M,,,4.314M,92.71M,,,,,,63.24M,63.24M,0.00,,2014-09,-316.85M,-316.85M,0.00,,387.52M,2.301M,72.98M,2014-09,-106.68M,-106.68M,,,,,7.656M,13.73M,-85.30M,,2014-09,623.20M,,4.751B,,,,-106.68M,,,,,AOR,Restated
2014-06,207.13M,-8.427M,,-8.427M,,,271.90M,271.90M,33.03M,,,10.78M,9.649M,,,,,,-56.81M,-56.81M,0.00,,2014-06,-407.27M,-299.76M,-107.51M,,-38.69M,4.716M,-441.24M,2014-06,-109.09M,-109.09M,0.00,,0.00,,23.68M,18.07M,-67.34M,,2014-06,-41.33M,,4.127B,,0.00,,-109.09M,,,,,AOR,Restated
2014-03,170.82M,1.521M,,1.521M,,,249.22M,249.22M,25.09M,,,9.863M,39.71M,,,,,,187.69M,187.69M,-30.01M,,2014-03,-1.537B,-300.84M,-1.236B,,284.43M,36.83M,-1.195B,2014-03,-7.724M,-7.724M,0.00,,0.00,,6.014M,1.915M,0.205M,,2014-03,-540.50M,,4.169B,,0.00,,-7.724M,,,,,AOR,Restated
2013-12,290.25M,-180.08M,,-180.08M,,,266.18M,266.18M,131.08M,0.00,,4.433M,18.63M,,,,,,17.60M,109.42M,0.232M,,2013-12,-670.51M,-205.45M,-328.13M,,342.56M,46.27M,-278.19M,2013-12,-459.92M,-459.92M,,,,,9.914M,3.881M,-446.37M,,2013-12,-84.41M,0.143M,4.709B,,,0.00,-459.92M,,,,,AOR,Restated
2013-09,343.32M,-99.64M,,-99.64M,,,253.04M,253.04M,45.18M,0.00,,10.65M,-50.81M,,,,,,-102.30M,-102.30M,1.611M,,2013-09,-318.57M,-318.57M,0.00,,559.67M,74.88M,315.48M,2013-09,-57.57M,-57.57M,,,,,29.53M,11.22M,-16.86M,,2013-09,699.67M,-0.038M,4.793B,,,0.00,-57.57M,,,,,AOR,Restated
2013-06,-8.72M,-96.68M,,-96.68M,,,304.64M,304.64M,-96.64M,437.58M,,3.888M,37.39M,,,,,,-19.99M,-19.99M,-16.66M,,2013-06,-281.62M,-281.62M,0.00,,-1.297B,-132.00M,-1.694B,2013-06,2.288B,2.288B,,,,,26.18M,-2.21M,2.312B,,2013-06,1.163B,-0.177M,4.094B,,,7.497B,-5.209B,,,,,AOR,Restated
2013-03,212.23M,-11.26M,,-11.26M,,,230.17M,230.17M,46.57M,,,10.76M,60.78M,,,,,,159.13M,159.13M,-21.92M,,2013-03,-310.93M,-310.93M,0.00,,-1.049B,1.268M,-1.365B,2013-03,-8.479M,-8.479M,,,,,10.89M,0.388M,2.748M,,2013-03,-675.53M,0.228M,2.931B,,,,-8.479M,,,,,AOR,Restated
2012-12,240.53M,-1.111M,,-1.111M,,,221.26M,221.26M,-25.86M,0.00,,2.37M,-7.661M,,,,,,-601.42M,-459.86M,,,2012-12,-263.41M,-263.41M,,0.00,-250.82M,1.304M,-528.06M,2012-12,1.493B,1.493B,,,,,33.45M,-2.83M,1.069B,,2012-12,518.56M,-0.06M,3.606B,,,1.50B,-7.491M,,-270.04M,-457.58M,,AOR,Restated
2012-09,-163.33M,-69.56M,,-69.56M,,,235.40M,235.40M,326.40M,0.00,,6.758M,37.23M,,,,,,313.08M,313.08M,,,2012-09,-261.74M,-261.74M,,0.00,-899.06M,-40.89M,-1.202B,2012-09,990.35M,990.35M,,,,,11.55M,4.685M,1.007B,,2012-09,490.87M,1.074M,3.088B,,,1.00B,-9.65M,,26.18M,150.14M,,AOR,Restated
2012-06,225.60M,8.424M,,8.424M,,,299.12M,299.12M,65.09M,0.00,,7.017M,-21.59M,,,,,,-94.14M,-94.14M,,,2012-06,-251.26M,-251.26M,,0.00,-914.05M,-14.92M,-1.180B,2012-06,1.890B,1.890B,,,,,44.10M,-4.839M,1.929B,,2012-06,1.238B,-1.036M,2.596B,,,1.90B,-10.49M,,230.07M,193.22M,,AOR,Restated
2012-03,360.13M,-110.06M,,-110.06M,,,208.70M,208.70M,3.597M,,,23.18M,0.259M,,,,,,372.75M,372.75M,,,2012-03,-168.93M,-168.93M,,-76.96M,139.13M,-2.484M,-109.24M,2012-03,-8.458M,-8.458M,,,,,5.751M,1.045M,-1.662M,,2012-03,747.65M,1.909M,1.359B,,,,-8.458M,,13.79M,114.23M,,AOR,Restated
2011-12,319.23M,,,,,,216.31M,216.31M,16.96M,,14.09M,5.618M,-319.47M,,,,,,606.97M,383.27M,,,2011-12,-166.25M,-166.25M,,-1.464B,1.108B,1.213B,779.16M,2011-12,-920.67M,-920.67M,,,,,13.07M,1.903M,-1.798B,,2011-12,-436.61M,0.205M,609.11M,,,0.00,-920.67M,,-30.78M,-351.51M,,AOR,Restated
2011-09,318.98M,,,,,,229.15M,229.15M,185.66M,,-21.87M,6.70M,10.94M,,,,,,3.255M,3.255M,,,2011-09,-191.17M,-191.17M,,57.61M,11.52M,-1.326B,-1.448B,2011-09,-93.96M,-93.96M,,,,,3.027M,0.366M,-90.57M,,2011-09,-806.21M,-3.52M,1.046B,,,0.00,-93.96M,,30.78M,351.51M,,AOR,Restated
2011-06,334.84M,,,,,,237.05M,237.05M,183.39M,,19.39M,3.718M,-0.291M,,,,,,-364.04M,-364.04M,,,2011-06,-169.79M,-169.79M,,-1.226B,-318.53M,5.264M,-1.709B,2011-06,1.991B,1.991B,,,,,20.30M,-23.56M,1.988B,,2011-06,692.52M,-0.796M,1.855B,,,2.00B,-9.102M,,-7.44M,-114.75M,,AOR,Restated
2011-03,549.33M,,,,,,229.70M,229.70M,221.80M,,-11.62M,15.18M,3.826M,,,,,,-163.91M,-163.91M,,,2011-03,-232.95M,-232.95M,,-85.12M,1.503M,-0.291M,-316.86M,2011-03,-8.498M,-8.498M,,,,,3.596M,0.322M,-4.58M,,2011-03,522.85M,0.00,1.164B,,,,-8.498M,,7.44M,114.75M,,AOR,Restated
2010-12,251.86M,,,,,,237.00M,237.00M,96.93M,,25.90M,3.061M,-121.35M,,,,,,52.90M,146.18M,,,2010-12,-280.94M,-280.94M,,0.00,-392.37M,-2.444M,-675.76M,2010-12,-4.931M,-4.931M,,-0.396M,-0.396M,,1.537M,0.00,-3.79M,,2010-12,-73.68M,0.00,640.67M,,,0.00,-4.931M,-0.396M,-511.55M,-355.00M,,AOR,Restated
2010-09,244.98M,,,,,,242.86M,242.86M,64.57M,,-22.19M,3.116M,3.54M,,,,,,-118.78M,-118.78M,,,2010-09,-295.00M,-295.00M,,0.00,383.21M,-0.156M,88.05M,2010-09,-9.199M,-9.199M,,-92.19M,-92.19M,,1.147M,0.016M,-100.22M,,2010-09,405.91M,0.00,714.36M,,,0.00,-9.199M,-92.19M,279.49M,117.02M,,AOR,Restated
2010-06,487.90M,,,,,,264.45M,264.45M,70.82M,,0.826M,2.894M,-225.82M,,,,,,67.67M,-211.22M,,,2010-06,-216.91M,-216.91M,,0.00,38.28M,-0.118M,-178.74M,2010-06,-5.701M,-5.701M,,0.00,0.00,,3.127M,,-2.574M,,2010-06,208.53M,0.00,308.45M,,,0.00,-5.701M,0.00,196.19M,118.62M,,AOR,Restated
2010-03,,,,,,,239.66M,239.66M,-30.92M,,-4.527M,6.316M,236.59M,,,,,,,278.89M,,,2010-03,-320.37M,-320.37M,,,-287.68M,-103.02M,-711.07M,2010-03,-7.079M,-7.079M,,-14.50M,-14.50M,,0.709M,,-20.87M,,2010-03,-5.927M,,99.92M,,,,-7.079M,-14.50M,35.87M,119.36M,,AOR,Restated
2009-12,178.81M,-26.71M,0.00,-39.38M,,,243.04M,243.04M,-24.50M,,,3.67M,4.388M,,,,,,-253.92M,-63.21M,,,2009-12,-312.87M,-312.87M,,,477.62M,-0.258M,164.49M,2009-12,374.27M,374.27M,,0.00,0.00,,2.85M,,-517.03M,,2009-12,-49.73M,,105.84M,,,400.00M,-25.73M,0.00,-250.58M,-238.70M,,AOR,Restated
2009-09,80.49M,0.831M,0.00,-1.027M,,,228.40M,228.40M,-0.688M,,,1.282M,1.705M,,,,,,600.83M,335.73M,,,2009-09,-257.58M,-257.58M,,,-1.310B,0.446M,-1.567B,2009-09,963.15M,963.15M,,0.00,0.00,,0.694M,,963.85M,,2009-09,42.71M,,155.57M,,,1.00B,-36.85M,0.00,4.60M,61.08M,,AOR,Restated
2009-06,63.42M,40.53M,1.789M,95.02M,,,245.30M,245.30M,5.114M,,,4.066M,0.635M,,,,,,,-68.93M,,,2009-06,-214.56M,-214.56M,,,-274.68M,-0.529M,-489.76M,2009-06,-6.721M,-6.721M,,0.00,0.00,,0.782M,,-5.939M,,2009-06,-151.08M,,112.86M,,,,-6.721M,0.00,245.98M,177.61M,,AOR,Restated
2009-03,312.68M,-0.844M,2.36M,1.516M,,,223.29M,223.29M,24.70M,,,3.209M,1.777M,,,,,,,334.03M,,,2009-03,-252.17M,-252.17M,,,-461.08M,,-713.26M,2009-03,-5.093M,-5.093M,,-18.59M,-18.59M,,1.092M,,-22.60M,,2009-03,165.36M,,263.94M,,,,-5.093M,-18.59M,,,,AOR,Restated
2008-12,216.58M,48.70M,-0.365M,-82.27M,,,233.97M,233.97M,240.68M,,,3.659M,1.45M,,,,,,-27.32M,-251.12M,,,2008-12,-285.62M,-285.62M,0.00,,23.76M,-0.25M,-262.12M,2008-12,-974.49M,-974.49M,-19.90M,-0.827M,-20.73M,0.00,,0.00,-974.21M,,2008-12,-873.37M,,98.57M,,-19.90M,0.00,-974.49M,-0.827M,-361.74M,-240.44M,,,Restated
2008-09,91.90M,105.44M,0.815M,68.28M,,,245.65M,245.65M,136.43M,,,3.889M,2.471M,,,,,,,-65.11M,,,2008-09,-315.92M,-315.92M,0.00,,663.50M,1.895M,349.47M,2008-09,-530.43M,-530.43M,1.425M,-81.91M,-80.48M,,,0.00,-610.92M,,2008-09,222.06M,,971.94M,,1.425M,0.00,-530.43M,-81.91M,110.46M,59.65M,,,Restated
2008-06,335.88M,15.23M,1.069M,87.61M,,,248.25M,248.25M,0.687M,,,7.801M,-0.152M,,,,,,-350.56M,-243.92M,,,2008-06,-973.44M,-261.57M,-711.87M,,-421.72M,115.30M,-1.280B,2008-06,739.95M,741.93M,17.55M,0.00,17.55M,690.87M,,-585.15M,865.20M,,2008-06,21.48M,,749.88M,,17.55M,750.00M,-10.05M,0.00,251.28M,180.78M,,,Restated
2008-03,258.58M,,,6.147M,,,272.37M,272.37M,14.52M,,,,3.559M,,,,,,350.56M,350.56M,,,2008-03,-266.77M,-266.77M,,,-20.29M,-117.90M,-404.96M,2008-03,,-1.979M,0.93M,,0.93M,-690.87M,,,-691.92M,,2008-03,-191.14M,,989.68M,,0.93M,,,,,,,,
2007-12,175.04M,,,34.22M,,,321.21M,321.21M,105.18M,,,,6.461M,,,,,,14.85M,77.96M,,,2007-12,-317.03M,-317.03M,,,-750.86M,-100.52M,-1.168B,2007-12,,-11.89M,26.59M,,26.59M,,,8.611M,23.32M,,2007-12,-425.02M,,1.181B,,26.59M,,,,,,,,
2007-09,199.68M,,,4.044M,,,344.15M,344.15M,109.87M,,,,5.297M,,,,,,44.15M,44.15M,,,2007-09,-329.94M,-329.94M,,,155.80M,5.603M,-168.53M,2007-09,,-11.59M,1.512M,,1.512M,,,0.387M,-9.691M,,2007-09,528.96M,,1.606B,,1.512M,,,,,,,,
2007-06,224.20M,,,23.02M,-320.12M,-4.865M,339.07M,339.07M,108.96M,,,,5.725M,,,,,,-15.97M,-15.97M,,,2007-06,-466.77M,-466.77M,,,-161.21M,41.73M,-586.25M,2007-06,,-10.90M,20.54M,,20.54M,,,3.29M,12.94M,,2007-06,111.68M,,1.077B,,20.54M,,,,,,,,
2007-03,157.14M,,,-2.265M,320.12M,4.865M,324.98M,324.98M,74.92M,,,,5.533M,,,,,,-55.85M,-55.85M,,,2007-03,-330.78M,-330.78M,,,-89.76M,-39.26M,-459.80M,2007-03,,-1.009B,6.025M,,6.025M,,,0.73M,-1.003B,,2007-03,-957.91M,,965.20M,,6.025M,,,,,,,,
2006-12,152.60M,,,9.359M,1.114B,10.02M,306.40M,306.40M,60.99M,,,,0.042M,,,,,,-202.02M,43.81M,,,2006-12,-407.72M,-407.72M,,,-7.038M,7.706M,-407.06M,2006-12,,-9.964M,14.10M,0.00,14.10M,,,-2.471M,1.665M,,2006-12,167.82M,,1.923B,,14.10M,,,0.00,,,,,
2006-09,139.62M,,,-7.884M,,,296.45M,296.45M,43.30M,,,,9.837M,,,,,,75.48M,75.48M,,,2006-09,-376.88M,-376.88M,,,-287.88M,2.482M,-662.28M,2006-09,,-9.101M,5.162M,0.00,5.162M,,,1.123M,-2.816M,,2006-09,-108.30M,,1.755B,,5.162M,,,0.00,,,,,
2006-06,168.78M,,,12.40M,-243.99M,-4.359M,273.11M,273.11M,77.54M,,,,4.507M,,,,,,-17.22M,-17.22M,,,2006-06,-313.27M,-313.27M,,,-188.53M,-28.97M,-530.77M,2006-06,,-9.558M,3.364M,0.00,3.364M,,,1.694M,-4.50M,,2006-06,-16.15M,,1.864B,,3.364M,,,0.00,,,,,
2006-03,147.28M,,,-67.00M,243.99M,4.359M,248.35M,248.35M,70.51M,,,,3.259M,,,,,,227.72M,227.72M,,,2006-03,-298.45M,-298.45M,,,-88.77M,-6.631M,-393.85M,2006-03,,1.046B,1.331M,-11.68M,-10.35M,,,-7.50M,1.028B,,2006-03,1.264B,,1.880B,,1.331M,,,-11.68M,,,,,
2005-12,132.62M,,,2.870B,224.80M,1.567M,226.37M,226.37M,29.58M,,,,-2.895B,,,,,,-158.53M,37.81M,,,2005-12,-528.90M,-528.90M,,,-32.65M,-23.67M,-585.22M,2005-12,,-4.494M,0.855M,-210.05M,-209.19M,,,,-213.69M,,2005-12,-396.85M,,615.67M,,0.855M,,,-210.05M,,,,,
2005-09,208.86M,,,141.18M,213.62M,1.568M,215.19M,215.19M,2.852M,,,,-135.01M,,,,,,71.52M,71.52M,,,2005-09,-340.69M,-340.69M,,,-9.061M,-27.99M,-377.74M,2005-09,,-12.29M,4.414M,-21.94M,-17.53M,,,,-29.82M,,2005-09,97.04M,,1.013B,,4.414M,,,-21.94M,,,,,
2005-06,855.53M,,,-44.55M,190.38M,1.597M,191.98M,191.98M,-583.14M,,,,1.012M,,,,,,-30.57M,-30.57M,,,2005-06,-319.64M,-319.64M,,,-109.39M,210.66M,-218.36M,2005-06,,-16.53M,2.978M,-88.64M,-85.66M,,,,-102.19M,,2005-06,69.70M,,915.48M,,2.978M,,,-88.64M,,,,,
2005-03,317.52M,,,-139.66M,169.08M,1.569M,170.65M,170.65M,11.08M,,,,,,,,,,117.58M,117.58M,,,2005-03,-317.17M,-317.17M,,,27.14M,11.00M,-279.02M,2005-03,,-16.84M,1.792M,-41.88M,-40.09M,,,,-56.93M,,2005-03,141.22M,,845.78M,,1.792M,,,-41.88M,,,,,
2004-12,70.08M,,,-19.30M,144.39M,5.669M,150.06M,150.06M,-1.537M,,,,-5.604M,,,,,,-193.70M,53.16M,,,2004-12,-341.75M,-341.75M,,238.61M,196.49M,-135.97M,-42.61M,2004-12,,-0.73M,8.154M,0.00,8.154M,,,,-451.38M,,2004-12,-247.14M,,704.56M,,8.154M,,,0.00,,,,,
2004-09,102.26M,,,-4.202M,133.97M,1.834M,135.81M,135.81M,3.077M,,,,-1.561M,,,,,,47.94M,47.94M,,,2004-09,-316.82M,-316.82M,,-2.00M,378.93M,2.131M,62.24M,2004-09,,21.66M,2.254M,-106.63M,-104.38M,,,,-82.72M,,2004-09,262.84M,,951.70M,,2.254M,,,-106.63M,,,,,
2004-06,85.32M,,,34.30M,123.93M,1.927M,125.86M,125.86M,-3.713M,,,,7.165M,,,,,,-74.59M,-74.59M,,,2004-06,-205.78M,-205.78M,,-236.61M,543.07M,64.90M,165.58M,2004-06,,-9.058M,4.44M,-683.67M,-679.23M,,,,-688.29M,,2004-06,-348.36M,,688.86M,,4.44M,,,-683.67M,,,,,
2004-03,-42.89M,,,-1.516M,100.60M,12.83M,113.44M,113.44M,7.535M,,,,,,,,,,220.35M,220.35M,,,2004-03,-116.24M,-116.24M,,,1.034B,-24.50M,893.08M,2004-03,,-1.426B,1.744M,-19.31M,-17.56M,,,,-1.444B,,2004-03,-253.64M,,1.037B,,1.744M,,,-19.31M,,,,,
