,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-06,1.197B,1.197B,1.398B,-201.00M,,95.00M,95.00M,2.00M,82.00M,-82.00M,52.00M,147.00M,-348.00M,82.00M,-82.00M,5.00M,-82.00M,-425.00M,-8.00M,-417.00M,,,-32.00M,11.00M,-449.00M,-450.96M,398.00M,741.00M,-343.00M,-1.46,,,-1.466,-1.46,-1.46,,,-1.466,-1.46,314.40M,314.40M,0.25
2017-03,1.258B,1.258B,1.326B,-68.00M,,95.00M,95.00M,0.00,84.00M,-84.00M,58.00M,153.00M,-221.00M,84.00M,-84.00M,-4.00M,-84.00M,-309.00M,-13.00M,-296.00M,,,-28.00M,12.00M,-324.00M,-324.00M,512.00M,737.00M,-225.00M,-1.07,,,-1.07,-1.07,-1.07,,,-1.07,-1.07,313.90M,313.90M,0.25
2016-12,1.388B,1.388B,1.734B,-346.00M,,104.00M,104.00M,-139.00M,84.00M,-84.00M,1.033B,1.137B,-1.483B,84.00M,-84.00M,-142.00M,-84.00M,-1.709B,3.189B,-4.898B,,,6.00M,11.00M,-4.892B,-4.809B,-857.00M,768.00M,-1.625B,-15.49,0.0,,-15.22,-15.49,-15.65,0.0,,-15.38,-15.65,313.46M,313.50M,0.25
2016-09,1.177B,1.177B,1.481B,-304.00M,,106.00M,106.00M,-80.00M,84.00M,-84.00M,78.00M,184.00M,-488.00M,84.00M,-84.00M,-61.00M,-84.00M,-633.00M,-316.00M,-317.00M,,,-22.00M,12.00M,-339.00M,-291.00M,262.00M,811.00M,-549.00M,-1.12,,,-0.9667,-1.12,-1.12,,,-0.9667,-1.12,313.20M,313.20M,0.25
2016-06,1.224B,1.224B,1.557B,-333.00M,,106.00M,106.00M,,85.00M,-85.00M,199.00M,305.00M,-638.00M,85.00M,-85.00M,45.00M,-85.00M,-678.00M,-305.00M,-373.00M,,,-19.00M,12.00M,-392.00M,-392.00M,204.00M,797.00M,-593.00M,-1.29,,,-1.29,-1.29,-1.29,,,-1.29,-1.29,313.20M,313.20M,0.25
2016-03,973.00M,973.00M,1.512B,-539.00M,,98.00M,98.00M,,85.00M,-85.00M,132.00M,230.00M,-769.00M,85.00M,-85.00M,20.00M,-85.00M,-834.00M,-346.00M,-488.00M,,,-21.00M,6.00M,-509.00M,-509.00M,119.00M,868.00M,-749.00M,-1.72,,,-1.72,-1.72,-1.72,,,-1.72,-1.72,299.80M,299.80M,0.25
2015-12,1.474B,1.474B,1.835B,-361.00M,,140.00M,140.00M,-1.18B,86.00M,-86.00M,378.00M,518.00M,-879.00M,86.00M,-86.00M,-1.318B,-86.00M,-2.283B,-492.00M,-1.791B,-8.00M,,-22.00M,,-1.821B,-887.30M,-1.214B,983.00M,-2.197B,-6.337999999999999,-0.028,,-3.0669999999999997,-6.3660000000000005,-6.402,-0.0282,,-3.1310000000000002,-6.43,283.00M,283.00M,0.25
2015-09,1.671B,1.671B,1.881B,-210.00M,,119.00M,119.00M,0.00,84.00M,-84.00M,144.00M,263.00M,-473.00M,84.00M,-84.00M,18.00M,-84.00M,-539.00M,-300.00M,-239.00M,-13.00M,,-27.00M,,-279.00M,-266.00M,533.00M,988.00M,-455.00M,-0.94,-0.04,,-0.94,-0.98,-0.94,-0.04,,-0.94,-0.98,283.50M,283.50M,0.25
2015-06,1.953B,1.953B,1.932B,21.00M,,151.00M,151.00M,-385.00M,86.00M,-86.00M,90.00M,241.00M,-220.00M,86.00M,-86.00M,-403.00M,-86.00M,-709.00M,-156.00M,-553.00M,-14.00M,,0.00,,-567.00M,-252.71M,405.00M,1.028B,-623.00M,-1.94,-0.05,,-0.8838,-1.99,-1.94,-0.05,,-0.8838,-1.99,284.30M,284.30M,0.25
2015-03,1.538B,1.538B,1.776B,-238.00M,,147.00M,147.00M,,85.00M,-85.00M,269.00M,416.00M,-654.00M,85.00M,-85.00M,12.00M,-85.00M,-727.00M,-351.00M,-376.00M,-13.00M,,0.00,,-389.00M,-376.00M,314.00M,956.00M,-642.00M,-1.32,-0.05,,-1.32,-1.37,-1.32,-0.05,,-1.32,-1.37,283.50M,283.50M,0.25
2014-12,2.557B,2.557B,1.935B,622.00M,,164.00M,164.00M,3.00M,82.00M,-82.00M,171.00M,335.00M,287.00M,82.00M,-82.00M,-29.00M,-82.00M,176.00M,181.00M,-5.00M,-2.00M,,-1.00M,,-8.00M,-7.95M,1.133B,875.00M,258.00M,-0.021,-0.007,,-0.0277,-0.028,-0.021,-0.01,,-0.0277,-0.03,289.00M,292.70M,0.25
2014-09,2.678B,2.678B,1.841B,837.00M,,139.00M,139.00M,31.00M,75.00M,-75.00M,90.00M,229.00M,608.00M,75.00M,-75.00M,58.00M,-75.00M,591.00M,232.00M,359.00M,671.00M,,-22.00M,,1.008B,318.17M,1.504B,838.00M,666.00M,1.19,2.16,,1.127,3.35,1.18,2.13,,1.1179999999999999,3.31,300.70M,305.00M,0.25
2014-06,2.829B,2.829B,1.829B,1.00B,,143.00M,143.00M,779.00M,85.00M,-85.00M,460.00M,603.00M,397.00M,85.00M,-85.00M,754.00M,-85.00M,1.066B,92.00M,974.00M,-44.00M,,1.00M,,931.00M,263.23M,1.936B,785.00M,1.151B,3.15,-0.14,,0.8517,3.01,3.1,-0.14,,0.8339,2.96,309.70M,314.10M,0.25
2014-03,2.673B,2.673B,1.647B,1.026B,,142.00M,142.00M,,81.00M,-81.00M,119.00M,261.00M,765.00M,81.00M,-81.00M,-81.00M,-81.00M,603.00M,239.00M,364.00M,57.00M,,-35.00M,,386.00M,329.00M,1.41B,726.00M,684.00M,1.14,0.07,,1.14,1.21,1.13,0.07,,1.13,1.2,318.10M,322.60M,0.25
2013-12,2.648B,2.648B,1.781B,867.00M,,204.00M,117.00M,91.00M,97.00M,-97.00M,458.00M,575.00M,292.00M,97.00M,-97.00M,96.00M,-97.00M,291.00M,-627.00M,918.00M,997.00M,,10.00M,,1.925B,868.85M,1.101B,713.00M,388.00M,2.653,3.265,,2.4730000000000003,5.917000000000001,2.582,3.177,,2.404,5.76,328.50M,333.70M,0.25
2013-09,2.72B,2.72B,1.615B,1.105B,27.00M,152.00M,179.00M,-5.00M,86.00M,-86.00M,154.00M,333.00M,772.00M,86.00M,-86.00M,-6.00M,-86.00M,680.00M,324.00M,356.00M,62.00M,,2.00M,,420.00M,361.25M,1.447B,681.00M,766.00M,1.06,0.18,,1.07,1.24,1.05,0.18,,1.0590000000000002,1.23,339.00M,343.30M,0.25
2013-06,3.069B,3.069B,1.642B,1.427B,28.00M,168.00M,196.00M,1.111B,117.00M,-117.00M,200.00M,396.00M,1.031B,117.00M,-117.00M,1.093B,-117.00M,2.007B,407.00M,1.60B,16.00M,,-185.00M,,1.431B,529.30M,2.728B,604.00M,2.124B,4.16,0.05,,1.556,4.21,4.11,0.05,,1.535,4.16,340.10M,344.00M,0.1
2013-03,6.106B,6.106B,4.458B,1.648B,225.00M,158.00M,383.00M,688.00M,106.00M,-106.00M,219.00M,602.00M,1.046B,106.00M,-106.00M,654.00M,-106.00M,1.594B,451.00M,1.143B,130.00M,,3.00M,,1.276B,652.66M,2.389B,689.00M,1.70B,3.38,0.38,,1.926,3.76,3.34,0.38,,1.9,3.72,339.20M,342.60M,0.1
2012-12,2.953B,2.953B,1.792B,1.161B,,166.00M,166.00M,-143.00M,106.00M,-106.00M,362.00M,528.00M,633.00M,106.00M,-106.00M,-109.00M,-106.00M,418.00M,199.00M,219.00M,157.00M,,-2.00M,,374.00M,309.95M,1.254B,730.00M,524.00M,1.6569999999999998,0.46,,1.932,1.6569999999999998,1.6569999999999998,0.46,,1.93,1.6569999999999998,338.70M,340.30M,0.1
2012-09,3.072B,3.072B,1.799B,1.273B,,134.00M,134.00M,168.00M,104.00M,-104.00M,259.00M,393.00M,880.00M,104.00M,-104.00M,214.00M,-104.00M,990.00M,480.00M,510.00M,82.00M,,-35.00M,,557.00M,365.80M,1.822B,728.00M,1.094B,1.49,0.16,,1.167,1.65,1.48,0.16,,1.159,1.64,338.60M,340.00M,0.1
2012-06,3.324B,3.324B,1.755B,1.569B,,144.00M,144.00M,-59.00M,105.00M,-105.00M,196.00M,340.00M,1.229B,105.00M,-105.00M,-62.00M,-105.00M,1.062B,522.00M,540.00M,-5.00M,,14.00M,,549.00M,592.35M,1.913B,746.00M,1.167B,1.58,0.04,,1.693,1.62,1.58,0.03,,1.693,1.61,338.50M,340.40M,0.1
2012-03,2.896B,2.896B,1.605B,1.291B,,132.00M,132.00M,36.00M,104.00M,-104.00M,253.00M,385.00M,906.00M,104.00M,-104.00M,65.00M,-104.00M,867.00M,328.00M,539.00M,21.00M,,-15.00M,,545.00M,501.62M,1.633B,662.00M,971.00M,1.58,0.03,,1.514,1.61,1.57,0.03,,1.504,1.6,338.00M,340.30M,0.1
2011-12,-7.282B,-7.282B,-6.548B,-734.00M,18.00M,98.00M,116.00M,132.00M,93.00M,-93.00M,299.00M,-1.317B,583.00M,93.00M,-93.00M,-909.00M,-93.00M,-419.00M,-140.00M,-279.00M,,,3.00M,,-131.00M,-363.89M,315.00M,641.00M,-326.00M,-0.83,0.43,,-1.09,-0.4,-0.83,0.43,,-1.088,-0.4,337.50M,340.20M,0.1
2011-09,8.665B,8.665B,6.79B,1.875B,266.00M,177.00M,443.00M,-297.00M,94.00M,-94.00M,242.00M,1.271B,604.00M,94.00M,-94.00M,-297.00M,-94.00M,213.00M,-54.00M,267.00M,,,31.00M,,298.00M,491.05M,893.00M,586.00M,307.00M,0.89,0.0,,1.462,0.89,0.88,0.0,,1.4469999999999998,0.88,337.40M,340.20M,0.1
2011-06,9.853B,9.853B,7.44B,2.413B,247.00M,174.00M,421.00M,2.00M,97.00M,-97.00M,299.00M,1.308B,1.105B,97.00M,-97.00M,-47.00M,-97.00M,961.00M,392.00M,569.00M,,,38.00M,,607.00M,605.70M,1.646B,588.00M,1.058B,1.8,0.0,,1.796,1.8,1.78,0.0,,1.776,1.78,337.20M,340.40M,0.1
2011-03,10.22B,10.22B,7.571B,2.644B,283.00M,164.00M,447.00M,348.00M,99.00M,-99.00M,355.00M,1.36B,1.284B,99.00M,-99.00M,300.00M,-99.00M,1.485B,511.00M,974.00M,,,-45.00M,,929.00M,700.75M,2.142B,558.00M,1.584B,2.77,0.0,,2.09,2.77,2.74,0.0,,2.0669999999999997,2.74,335.80M,339.20M,0.1
2010-12,9.007B,9.007B,9.07B,-63.00M,291.00M,197.00M,488.00M,-34.00M,100.00M,-100.00M,359.00M,-837.00M,774.00M,100.00M,-100.00M,-317.00M,-100.00M,357.00M,274.00M,83.00M,,,-25.00M,,58.00M,80.10M,1.09B,633.00M,457.00M,0.16,,,0.2275,0.16,0.16,,,0.2267,0.16,327.50M,331.30M,0.1
2010-09,7.864B,7.864B,5.805B,2.059B,232.00M,151.00M,383.00M,640.00M,94.00M,-94.00M,264.00M,1.231B,828.00M,94.00M,-94.00M,557.00M,-94.00M,1.291B,200.00M,1.091B,,,63.00M,,1.154B,613.15M,1.969B,584.00M,1.385B,3.54,0.0,,1.8769999999999998,3.54,3.52,0.0,,1.869,3.52,325.20M,327.60M,0.1
2010-06,7.732B,7.732B,5.756B,1.976B,245.00M,159.00M,404.00M,24.00M,83.00M,-83.00M,252.00M,1.214B,762.00M,83.00M,-83.00M,18.00M,-83.00M,697.00M,301.00M,396.00M,,,-21.00M,,375.00M,359.40M,1.338B,558.00M,780.00M,1.15,0.0,,1.102,1.15,1.15,0.0,,1.102,1.15,325.30M,327.50M,0.1
2010-03,9.259B,9.259B,7.017B,2.242B,253.00M,155.00M,408.00M,46.00M,84.00M,-84.00M,203.00M,1.153B,1.089B,84.00M,-84.00M,-39.00M,-84.00M,966.00M,398.00M,568.00M,,,-30.00M,,538.00M,508.10M,1.592B,542.00M,1.05B,1.66,0.0,,1.568,1.66,1.65,0.0,,1.5590000000000002,1.65,324.80M,327.00M,0.1
2009-12,8.678B,8.678B,6.497B,2.181B,266.00M,203.00M,469.00M,109.00M,91.00M,-91.00M,206.00M,1.259B,922.00M,91.00M,-91.00M,-120.00M,-91.00M,711.00M,341.00M,370.00M,,,-12.00M,,358.00M,287.15M,1.386B,584.00M,802.00M,1.1,0.0,,0.8773,1.1,1.1,0.0,,0.8817,1.1,318.20M,324.51M,0.1
2009-09,7.27B,7.27B,5.529B,1.741B,240.00M,148.00M,388.00M,114.00M,97.00M,-97.00M,210.00M,1.224B,517.00M,97.00M,-97.00M,114.00M,-97.00M,534.00M,182.00M,352.00M,,,-11.00M,,341.00M,265.85M,1.257B,572.00M,631.00M,1.05,0.0,,0.8195,1.05,1.05,0.0,,0.8195,1.05,326.00M,326.00M,0.1
2009-06,6.751B,6.751B,5.149B,1.602B,245.00M,136.00M,381.00M,4.00M,95.00M,-95.00M,355.00M,1.294B,308.00M,95.00M,-95.00M,4.00M,-95.00M,217.00M,115.00M,102.00M,,,-2.00M,,100.00M,97.40M,870.00M,558.00M,312.00M,0.31,0.0,,0.302,0.31,0.31,0.0,,0.302,0.31,323.98M,325.78M,0.1
2009-03,6.915B,6.915B,5.591B,1.324B,257.00M,160.00M,417.00M,-2.00M,77.00M,-77.00M,241.00M,1.144B,180.00M,77.00M,-77.00M,-43.00M,-77.00M,60.00M,77.00M,-17.00M,,,-42.00M,,-59.00M,-57.70M,623.00M,486.00M,137.00M,-0.18,0.0,,-0.176,-0.18,-0.18,0.0,,-0.176,-0.18,323.00M,323.40M,0.1
2008-12,7.38B,7.38B,5.812B,1.568B,259.00M,194.00M,453.00M,-183.00M,67.00M,-67.00M,313.00M,1.334B,234.00M,67.00M,-67.00M,-162.00M,-67.00M,5.00M,85.00M,-80.00M,,,6.00M,,-74.00M,44.95M,640.00M,568.00M,72.00M,-0.25,0.0,,0.1187,-0.25,-0.25,0.0,,0.1148,-0.25,322.60M,326.10M,0.1
2008-09,11.40B,11.40B,8.667B,2.729B,266.00M,170.00M,436.00M,-62.00M,68.00M,-68.00M,219.00M,1.152B,1.577B,68.00M,-68.00M,-10.00M,-68.00M,1.499B,725.00M,774.00M,,,1.00M,,775.00M,815.30M,2.064B,497.00M,1.567B,2.4,0.0,,2.525,2.4,2.37,0.0,,2.4930000000000003,2.37,322.40M,327.40M,0.1
2008-06,11.71B,11.71B,8.831B,2.88B,267.00M,156.00M,423.00M,37.00M,65.00M,-65.00M,205.00M,1.11B,1.77B,65.00M,-65.00M,18.00M,-65.00M,1.723B,812.00M,911.00M,,,-11.00M,,900.00M,875.95M,2.27B,482.00M,1.788B,2.81,0.0,,2.735,2.81,2.76,0.0,,2.6860000000000004,2.76,321.00M,326.20M,0.1
2008-03,10.65B,10.65B,8.129B,2.518B,233.00M,152.00M,385.00M,63.00M,67.00M,-67.00M,197.00M,1.034B,1.484B,67.00M,-67.00M,53.00M,-67.00M,1.47B,718.00M,752.00M,,,7.00M,,759.00M,718.05M,1.989B,452.00M,1.537B,2.39,0.0,,2.261,2.39,2.34,0.0,,2.214,2.34,317.50M,323.80M,0.1
2007-12,9.456B,9.456B,7.20B,2.256B,,,612.00M,24.00M,,,,1.142B,1.114B,,,44.00M,,1.087B,577.00M,510.00M,,,,,510.00M,494.40M,1.644B,530.00M,1.114B,1.62,0.0,,1.567,1.62,1.59,0.0,,1.541,1.59,295.00M,321.40M,0.1
2007-09,7.451B,7.451B,5.892B,1.559B,,,371.00M,34.00M,,,,736.00M,823.00M,,,53.00M,,817.00M,422.00M,395.00M,,,,,395.00M,372.90M,1.188B,365.00M,823.00M,1.26,0.0,,1.1909999999999998,1.26,1.23,0.0,,1.161,1.23,319.90M,319.90M,0.1
2007-06,7.421B,7.421B,5.694B,1.727B,,,383.00M,44.00M,,,,737.00M,990.00M,,,125.00M,,1.053B,496.00M,557.00M,,,,,557.00M,528.40M,1.344B,354.00M,990.00M,1.78,0.0,,1.69,1.78,1.75,0.0,,1.66,1.75,318.60M,318.60M,0.1
2007-03,7.319B,7.319B,5.883B,1.436B,,,353.00M,-1.00M,,,-327.00M,353.00M,1.083B,,,55.00M,,747.00M,377.00M,370.00M,,,,,370.00M,370.65M,1.41B,327.00M,1.083B,1.19,0.0,,1.192,1.19,1.17,0.0,,1.172,1.17,317.30M,317.30M,0.1
2006-12,7.155B,7.155B,4.915B,2.24B,,,371.00M,22.00M,,,,1.398B,842.00M,,,51.00M,,849.00M,483.00M,359.00M,,,,8.00M,359.00M,345.80M,1.846B,353.00M,1.493B,1.21,0.0,,1.168,1.21,1.13,0.0,,1.088,1.13,315.02M,316.30M,0.1
2006-09,7.035B,7.035B,5.475B,1.56B,,,345.00M,25.00M,,,,668.00M,892.00M,,,92.00M,,936.00M,639.00M,296.00M,,,,12.00M,296.00M,281.00M,1.215B,323.00M,892.00M,1.03,0.0,,0.9825,1.03,0.94,0.0,,0.8925,0.94,316.00M,316.00M,0.1
2006-06,6.718B,6.919B,5.36B,1.559B,,,134.00M,99.00M,,,,417.00M,1.142B,,,201.00M,,1.098B,532.00M,566.00M,,,,12.00M,566.00M,506.60M,1.425B,282.00M,1.142B,2.01,0.0,,1.8219999999999998,2.01,1.79,0.0,,1.6019999999999999,1.79,315.50M,315.50M,0.3917
2006-03,7.159B,7.159B,5.635B,1.524B,,,337.00M,304.00M,,,,603.00M,921.00M,,,307.00M,,1.171B,472.00M,699.00M,,,,12.00M,699.00M,516.60M,1.187B,266.00M,921.00M,2.5,0.0,,1.921,2.5,2.22,0.0,,1.641,2.22,314.80M,314.80M,0.1
2005-12,7.059B,7.059B,5.652B,1.407B,238.00M,103.00M,341.00M,21.00M,55.00M,-55.00M,142.00M,741.00M,666.00M,55.00M,-55.00M,82.00M,-55.00M,693.00M,257.00M,436.00M,,,,12.00M,436.00M,422.79M,1.006B,258.00M,748.00M,1.55,0.0,,1.5019999999999998,1.55,1.393,0.0,,1.351,1.393,274.05M,314.30M,0.1
2005-09,5.769B,5.769B,4.68B,1.089B,202.00M,83.00M,285.00M,36.00M,54.00M,-54.00M,122.00M,658.00M,431.00M,54.00M,-54.00M,187.00M,-54.00M,564.00M,292.00M,272.00M,0.00,,,12.00M,272.00M,250.40M,870.00M,252.00M,618.00M,0.95,0.0,,0.871,0.95,0.8667,0.0,,0.7977,0.8667,273.58M,313.23M,0.1
2005-06,4.963B,4.963B,3.863B,1.10B,205.00M,86.00M,291.00M,11.00M,54.00M,-54.00M,125.00M,677.00M,423.00M,54.00M,-54.00M,119.00M,-54.00M,488.00M,189.00M,299.00M,,,,12.00M,299.00M,292.26M,803.00M,261.00M,542.00M,1.06,0.0,,1.035,1.06,0.96,0.0,,0.9383,0.96,272.13M,311.17M,0.1
2005-03,4.957B,4.957B,3.853B,1.104B,197.00M,85.00M,282.00M,63.00M,61.00M,-61.00M,164.00M,700.00M,404.00M,61.00M,-61.00M,113.00M,-61.00M,456.00M,237.00M,219.00M,,,,12.00M,219.00M,181.20M,771.00M,254.00M,517.00M,0.7633,0.0,,0.6239,0.7633,0.7067,0.0,,0.5846,0.7067,271.18M,309.73M,0.1
2004-12,4.613B,4.613B,3.56B,1.053B,200.00M,89.00M,289.00M,63.00M,62.00M,-62.00M,131.00M,695.00M,358.00M,62.00M,-62.00M,84.00M,-62.00M,380.00M,151.00M,229.00M,0.00,,,12.00M,229.00M,191.03M,717.00M,275.00M,442.00M,0.8,0.0,,0.6596,0.8,0.7467,-0.0033,,0.6238,0.7433,270.44M,308.90M,0.1
2004-09,3.83B,3.83B,2.944B,886.00M,186.00M,81.00M,267.00M,25.00M,62.00M,-62.00M,116.00M,613.00M,273.00M,62.00M,-62.00M,100.00M,-62.00M,311.00M,133.00M,178.00M,0.00,,,12.00M,178.00M,163.00M,603.00M,230.00M,373.00M,0.6167,0.0,,0.561,0.6167,0.58,0.0,,0.5312,0.58,269.44M,307.20M,0.1
2004-06,3.803B,3.803B,2.815B,988.00M,174.00M,96.00M,270.00M,36.00M,60.00M,-60.00M,110.00M,619.00M,369.00M,60.00M,-60.00M,133.00M,-60.00M,442.00M,161.00M,281.00M,7.00M,,,12.00M,288.00M,258.11M,741.00M,239.00M,502.00M,1.01,0.0267,,0.9244,1.037,0.9233,0.0233,,0.8481,0.9467,267.45M,304.23M,0.1
2004-03,4.488B,4.562B,3.601B,961.00M,,,253.00M,23.00M,,,,479.00M,482.00M,,,74.00M,,425.00M,144.00M,281.00M,,,,12.00M,281.00M,265.79M,708.00M,226.00M,482.00M,1.01,0.0,,0.96,1.01,0.9233,0.0,,0.8733,0.9233,304.20M,304.20M,0.1
2003-12,3.628B,3.439B,2.334B,1.105B,,,289.00M,-29.00M,,,,1.104B,1.00M,,,-20.00M,,101.00M,32.00M,69.00M,0.00,,,,69.00M,95.81M,424.00M,254.00M,170.00M,0.24,-0.0033,,0.3158,0.2367,0.2333,-0.0133,,0.3033,0.22,261.52M,283.17M,0.1
