,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-03,150.00M,,150.00M,688.00M,,954.00M,237.00M,,,,636.00M,2.046B,319.00M,,,46.59B,-9.423B,37.17B,,4.441B,,,411.00M,49.69B,51.74B,,844.00M,,86.00M,930.00M,,930.00M,,1.276B,1.276B,,1.276B,272.00M,272.00M,,1.938B,4.416B,2.585B,11.66B,,11.66B,8.523B,,10.57B,1.358B,989.00M,2.191B,,7.00M,33.08B,37.50B,,2.51B,9.59B,,,,,-49.00M,12.05B,,AOR,Restated
2016-12,96.00M,,96.00M,714.00M,,1.085B,239.00M,103.00M,,,527.00M,2.123B,283.00M,2.79B,,46.09B,-9.089B,37.00B,,4.325B,,,416.00M,49.20B,51.32B,,1.342B,,50.00M,1.392B,,1.392B,,2.288B,2.288B,,2.288B,269.00M,269.00M,,1.963B,5.912B,2.59B,10.18B,,10.18B,8.327B,,10.43B,1.354B,941.00M,2.191B,,5.00M,31.22B,37.13B,,2.505B,9.544B,,,,,-53.00M,12.00B,,AOR,Restated
2016-09,84.00M,,84.00M,999.00M,,1.569B,310.00M,,,,582.00M,2.605B,263.00M,,,45.08B,-8.849B,36.23B,,4.452B,67.00M,,358.00M,48.95B,51.56B,,1.18B,,130.00M,1.31B,,1.31B,,1.638B,1.638B,,1.638B,264.00M,264.00M,,2.13B,5.342B,2.592B,10.41B,,10.41B,8.177B,,10.34B,1.776B,1.07B,2.191B,,,32.21B,37.55B,,2.503B,9.362B,,,,,-51.00M,11.81B,,AOR,Restated
2016-06,111.00M,,111.00M,801.00M,,1.483B,308.00M,,,,692.00M,2.659B,240.00M,,,44.40B,-8.623B,35.78B,,4.547B,69.00M,,353.00M,48.54B,51.20B,,1.166B,,74.00M,1.24B,,1.24B,,1.496B,1.496B,,1.496B,257.00M,257.00M,,2.156B,5.149B,2.59B,10.84B,,10.84B,7.892B,,9.973B,1.774B,1.101B,2.191B,,,32.30B,37.45B,,2.499B,9.111B,,,,,-53.00M,11.56B,,AOR,Restated
2016-03,137.00M,,137.00M,649.00M,,1.161B,268.00M,,,,796.00M,2.427B,229.00M,,,44.30B,-8.839B,35.46B,,4.498B,78.00M,,364.00M,48.03B,50.46B,,938.00M,,139.00M,1.077B,,1.077B,,658.00M,658.00M,,658.00M,253.00M,253.00M,,2.245B,4.233B,2.597B,11.24B,,11.24B,7.699B,,9.924B,1.771B,1.136B,2.192B,,4.00M,32.60B,36.83B,,2.491B,9.002B,,,,,-54.00M,11.44B,,AOR,Restated
2015-12,161.00M,,161.00M,771.00M,,1.336B,267.00M,,,,811.00M,2.654B,225.00M,3.218B,,43.72B,-8.633B,35.08B,,4.534B,84.00M,,360.00M,47.58B,50.23B,,1.31B,,72.00M,1.382B,,1.382B,,990.00M,990.00M,,990.00M,242.00M,242.00M,,2.313B,4.927B,2.764B,10.88B,,10.88B,7.48B,,9.726B,1.759B,1.10B,2.02B,,6.00M,31.91B,36.84B,,2.484B,8.94B,,,,,-56.00M,11.37B,,AOR,Restated
2015-09,134.00M,,134.00M,1.211B,,2.236B,270.00M,,,152.00M,919.00M,3.792B,221.00M,,,42.69B,-8.488B,34.20B,,4.596B,188.00M,,371.00M,47.48B,51.27B,,1.33B,,80.00M,1.41B,,1.41B,,1.449B,1.449B,,1.449B,235.00M,235.00M,,2.145B,5.239B,2.822B,10.96B,,10.96B,7.698B,,10.01B,2.175B,1.167B,2.02B,,11.00M,32.41B,37.65B,,2.475B,9.18B,,,,,-55.00M,11.60B,,AOR,Restated
2015-06,139.00M,,139.00M,768.00M,,1.621B,276.00M,,,288.00M,1.503B,3.906B,211.00M,,,41.95B,-8.22B,33.73B,,5.046B,194.00M,,358.00M,47.33B,51.24B,,1.294B,,36.00M,1.33B,,1.33B,,1.619B,1.619B,,1.619B,234.00M,234.00M,,1.653B,4.836B,2.825B,11.26B,,11.26B,7.599B,,9.819B,2.176B,1.155B,2.022B,,3.00M,33.06B,37.89B,,2.472B,8.909B,,,,,-56.00M,11.32B,,AOR,Restated
2015-03,115.00M,,115.00M,752.00M,,1.388B,290.00M,,,359.00M,1.534B,3.78B,199.00M,,,41.82B,-8.448B,33.37B,,5.113B,212.00M,,364.00M,46.80B,50.58B,,1.203B,,118.00M,1.321B,,1.321B,,1.44B,1.44B,,1.44B,228.00M,228.00M,,1.582B,4.571B,2.824B,11.13B,,11.13B,7.415B,,9.694B,2.176B,1.107B,2.022B,,3.00M,32.91B,37.48B,,2.46B,8.675B,,,,,-59.00M,11.08B,,AOR,Restated
2014-12,132.00M,,132.00M,790.00M,,1.422B,281.00M,,,,1.63B,3.567B,198.00M,3.339B,,41.19B,-8.208B,32.98B,,5.006B,219.00M,,349.00M,46.17B,49.73B,,1.58B,,81.00M,1.661B,,1.661B,,1.795B,1.795B,,1.795B,221.00M,221.00M,,1.802B,5.479B,2.821B,10.23B,,10.23B,6.861B,,9.116B,2.155B,1.052B,2.022B,,6.00M,31.27B,36.75B,,2.445B,8.573B,,,,,-58.00M,10.96B,,AOR,Restated
