,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-03,1.298B,0.00,1.298B,782.00M,,1.192B,586.00M,533.00M,10.00M,,602.00M,4.336B,,,,39.14B,-8.428B,30.71B,,4.395B,355.00M,,1.912B,41.82B,46.16B,,1.059B,,54.00M,1.113B,221.00M,1.334B,,387.00M,387.00M,,387.00M,211.00M,211.00M,,1.761B,3.693B,2.576B,12.52B,,12.52B,6.028B,112.00M,8.17B,2.282B,476.00M,1.033B,,,30.76B,34.45B,,0.00,8.413B,2.34B,,,,-77.00M,10.68B,,AOR,Restated
2010-12,1.389B,0.00,1.389B,1.016B,,1.373B,568.00M,390.00M,2.00M,,567.00M,4.422B,5.122B,4.327B,177.00M,38.37B,-8.184B,30.18B,,4.262B,437.00M,,1.878B,41.11B,45.53B,,1.362B,,52.00M,1.414B,205.00M,1.619B,,163.00M,163.00M,,163.00M,217.00M,217.00M,,1.953B,3.952B,2.561B,12.37B,,12.37B,5.747B,112.00M,7.90B,2.26B,468.00M,911.00M,,,30.08B,34.04B,,0.00,8.328B,2.331B,,,,-76.00M,10.58B,,AOR,Restated
2010-09,2.009B,4.00M,2.013B,1.075B,,1.687B,547.00M,,106.00M,,688.00M,5.041B,26.82B,3.02B,,29.84B,-6.097B,23.74B,,9.444B,266.00M,,7.074B,40.52B,45.57B,,1.228B,,163.00M,1.391B,200.00M,1.591B,,,141.00M,,141.00M,,,,2.155B,3.887B,,12.12B,,12.12B,4.999B,,4.999B,2.143B,1.33B,5.00M,,9.544B,30.13B,34.02B,,907.00M,8.283B,2.325B,907.00M,,,26.00M,11.54B,,AOR,Restated
2010-06,868.00M,231.00M,1.099B,880.00M,,1.422B,556.00M,,136.00M,0.00,644.00M,3.857B,33.25B,2.682B,,35.93B,-7.777B,28.16B,,3.849B,276.00M,,6.917B,39.20B,43.06B,,1.027B,,131.00M,1.158B,210.00M,1.368B,,,537.00M,,537.00M,,114.00M,114.00M,1.594B,3.613B,,11.11B,,11.11B,4.737B,,4.737B,2.119B,1.211B,6.00M,,9.167B,28.35B,31.96B,,907.00M,7.879B,2.315B,907.00M,,,-12.00M,11.09B,,AOR,Restated
2010-03,1.418B,334.00M,1.752B,843.00M,,1.203B,522.00M,,195.00M,0.00,595.00M,4.267B,32.25B,2.79B,,35.04B,-7.733B,27.31B,,4.035B,223.00M,,6.521B,38.09B,42.36B,,977.00M,,,977.00M,405.00M,1.382B,,,323.00M,,323.00M,,155.00M,155.00M,1.397B,3.257B,,11.02B,,11.02B,4.622B,,4.622B,2.09B,931.00M,7.00M,,9.449B,28.12B,31.37B,,907.00M,7.642B,2.311B,907.00M,,,116.00M,10.98B,,AOR,Restated
2009-12,1.673B,0.00,1.673B,1.07B,,1.364B,533.00M,33.00M,69.00M,,401.00M,4.43B,5.603B,3.32B,156.00M,35.26B,-8.152B,27.11B,,3.607B,268.00M,,1.887B,37.01B,41.44B,,1.347B,,186.00M,1.533B,196.00M,1.729B,,462.00M,462.00M,,462.00M,238.00M,238.00M,,1.358B,3.787B,3.241B,10.44B,,10.44B,4.436B,119.00M,7.055B,2.061B,529.00M,1.165B,,,26.65B,30.44B,,0.00,7.50B,2.304B,,,,37.00M,9.841B,,AOR,Restated
2009-09,2.411B,5.00M,2.416B,1.158B,,1.741B,549.00M,,370.00M,28.00M,664.00M,5.768B,23.94B,2.688B,,26.63B,-5.757B,20.88B,,8.238B,344.00M,,7.546B,37.00B,42.77B,,966.00M,,,966.00M,478.00M,1.444B,,,1.187B,,1.187B,,,,2.328B,4.959B,,10.45B,,10.45B,4.612B,,4.612B,6.179B,674.00M,275.00M,,4.895B,26.81B,31.77B,,907.00M,7.401B,2.294B,907.00M,,,128.00M,10.73B,,AOR,Restated
2009-06,2.701B,382.00M,3.083B,946.00M,,1.451B,545.00M,,321.00M,0.00,523.00M,5.923B,25.20B,2.308B,,27.50B,-7.734B,19.77B,,3.145B,632.00M,,12.41B,35.96B,41.88B,,833.00M,,212.00M,1.045B,219.00M,1.264B,,,636.00M,,636.00M,,132.00M,132.00M,2.048B,4.08B,,11.28B,,11.28B,4.467B,,4.467B,2.952B,556.00M,275.00M,,7.778B,27.03B,31.11B,,907.00M,7.101B,2.285B,907.00M,,,204.00M,10.50B,,AOR,Restated
2009-03,3.543B,353.00M,3.896B,921.00M,,1.256B,549.00M,,149.00M,0.00,925.00M,6.775B,29.76B,2.649B,,32.41B,-7.694B,24.72B,,5.04B,,,7.898B,37.65B,44.43B,,757.00M,,675.00M,1.432B,224.00M,1.656B,,,2.017B,,2.017B,,11.00M,11.00M,2.156B,5.84B,,11.20B,,11.20B,5.909B,,5.909B,2.899B,777.00M,277.00M,,6.854B,27.64B,33.48B,,907.00M,7.219B,2.278B,907.00M,,,271.00M,10.68B,,AOR,Restated
2008-12,3.916B,7.00M,3.923B,1.045B,,1.334B,553.00M,,3.00M,104.00M,1.109B,7.353B,5.672B,2.998B,132.00M,31.93B,-7.589B,24.34B,,5.309B,244.00M,,1.952B,37.26B,44.62B,,1.031B,,590.00M,1.621B,187.00M,1.808B,224.00M,2.317B,2.541B,,2.541B,228.00M,228.00M,,2.12B,6.697B,3.042B,10.95B,,10.95B,5.826B,137.00M,7.10B,2.86B,776.00M,1.192B,,,27.21B,33.91B,,0.00,7.078B,2.272B,,,,167.00M,9.517B,,,Restated
2008-09,3.464B,,3.464B,1.339B,,1.857B,514.00M,,,,1.248B,7.083B,29.05B,1.97B,,31.02B,-7.475B,23.54B,,,,,11.04B,34.58B,41.67B,,939.00M,,,939.00M,3.207B,4.146B,,,1.981B,,1.981B,,,,,6.127B,,10.52B,,10.52B,5.706B,,185.00M,,,319.00M,,,10.71B,31.16B,,907.00M,6.964B,2.263B,907.00M,-5.00M,59.00M,54.00M,10.19B,,,
2008-06,1.07B,,1.07B,1.176B,,1.704B,489.00M,,,,1.418B,4.681B,21.35B,2.048B,,23.40B,-5.344B,18.05B,,,,,16.27B,34.32B,39.00B,,1.066B,,,1.066B,3.231B,4.297B,,,977.00M,,977.00M,,,,,5.274B,,9.292B,,9.292B,5.257B,,110.00M,,,314.00M,,,9.402B,29.32B,,907.00M,6.629B,2.253B,907.00M,,,-415.00M,9.374B,,,Restated
2008-03,1.545B,,1.545B,1.038B,,1.38B,431.00M,,,,1.062B,4.418B,27.96B,1.82B,,29.78B,-7.128B,22.65B,,,,,10.88B,33.53B,37.95B,,807.00M,,,807.00M,3.021B,3.828B,,,564.00M,,564.00M,,,,,4.392B,,9.325B,,9.325B,5.313B,,112.00M,,,282.00M,,,9.437B,28.28B,,907.00M,6.486B,2.238B,907.00M,,,-242.00M,9.389B,,,Restated
2007-12,1.441B,,1.441B,1.033B,,1.403B,432.00M,,,,968.00M,4.244B,27.56B,1.693B,,29.25B,-6.939B,22.31B,,,,,10.97B,33.28B,37.52B,,979.00M,,,979.00M,2.759B,3.738B,,,518.00M,,518.00M,,,,,4.256B,,9.016B,,9.016B,5.31B,,114.00M,,,295.00M,,,9.13B,27.87B,,915.00M,6.311B,2.225B,915.00M,-1.00M,-91.00M,-92.00M,9.359B,,,
2007-09,1.518B,,1.518B,1.282B,,1.788B,426.00M,,,,1.431B,5.163B,26.81B,1.584B,,28.39B,-6.756B,21.63B,,,,,11.02B,32.66B,37.82B,,850.00M,,,850.00M,3.532B,4.382B,,,236.00M,,236.00M,,,,,4.618B,,9.056B,,9.056B,5.408B,,117.00M,,,309.00M,,,9.173B,28.21B,,915.00M,6.306B,2.116B,915.00M,,,-33.00M,9.304B,,,
2007-06,1.271B,,1.271B,1.05B,,1.53B,415.00M,,,,1.775B,4.991B,26.01B,1.684B,,27.69B,-6.615B,21.08B,,,,,10.91B,31.99B,36.98B,,853.00M,,,853.00M,2.921B,3.774B,,,505.00M,,505.00M,,,,,4.279B,,9.091B,,9.091B,5.428B,,119.00M,,,292.00M,,,9.21B,27.74B,,915.00M,5.947B,2.106B,915.00M,-1.00M,-17.00M,-18.00M,8.95B,,,
2007-03,1.701B,,1.701B,944.00M,,1.24B,395.00M,,,,1.941B,5.277B,25.68B,1.578B,,27.26B,-6.615B,20.65B,,,,,10.71B,31.36B,36.64B,,662.00M,,,662.00M,3.042B,3.704B,,,492.00M,,492.00M,,,,,4.196B,,9.091B,,9.091B,5.39B,,121.00M,,,261.00M,,,9.212B,27.46B,,915.00M,5.994B,2.082B,915.00M,-1.00M,-77.00M,-78.00M,8.915B,,,
2006-12,1.854B,,1.854B,1.014B,,1.317B,392.00M,,,,1.919B,5.482B,25.23B,1.486B,,26.72B,-6.448B,20.27B,,,,,10.51B,30.78B,36.26B,,926.00M,,,926.00M,2.889B,3.815B,,,488.00M,,488.00M,,,,,4.303B,,9.101B,,9.101B,5.419B,,122.00M,,,271.00M,,,9.223B,27.37B,,915.00M,5.551B,2.08B,915.00M,1.00M,77.00M,78.00M,8.624B,,,
2006-09,2.268B,,2.268B,1.387B,,1.813B,401.00M,,,,1.881B,6.363B,24.61B,1.331B,,25.94B,-6.286B,19.65B,,,,,10.28B,29.93B,36.29B,,819.00M,,,819.00M,3.599B,4.418B,,,598.00M,,598.00M,,,,,5.016B,,8.983B,,8.983B,5.495B,,125.00M,,,304.00M,,,9.108B,27.53B,,915.00M,5.38B,2.058B,915.00M,,,100.00M,8.453B,,,
2006-06,1.858B,,1.858B,1.104B,,1.594B,426.00M,,,,1.747B,5.625B,18.47B,1.256B,,19.72B,-4.60B,15.12B,,,,,14.40B,29.53B,35.15B,,820.00M,,,820.00M,2.659B,3.479B,,,886.00M,,886.00M,,,,,4.365B,,9.232B,,9.232B,5.465B,,127.00M,,,304.00M,,,9.359B,26.85B,,915.00M,5.022B,2.042B,915.00M,,,20.00M,7.999B,,,
2006-03,1.897B,,1.897B,889.00M,,1.163B,392.00M,,,,1.983B,5.435B,18.52B,1.09B,,19.62B,-4.868B,14.75B,,,,,14.47B,29.22B,34.65B,,734.00M,,,734.00M,2.57B,3.304B,,,761.00M,,761.00M,,,,,4.065B,,9.045B,,9.045B,5.406B,,128.00M,,,298.00M,,,9.173B,26.54B,,916.00M,4.945B,2.023B,916.00M,,,-69.00M,7.815B,,,
2005-12,1.893B,,1.893B,1.22B,,1.511B,341.00M,,,,2.214B,5.959B,18.28B,956.00M,,19.23B,-4.763B,14.47B,,,,,14.36B,28.83B,34.79B,,961.00M,,,961.00M,2.996B,3.957B,,,1.002B,,1.002B,,,,,4.959B,,8.833B,,8.833B,5.386B,,130.00M,,,301.00M,,,8.963B,27.16B,,719.00M,4.798B,2.043B,719.00M,,,-226.00M,7.334B,,,
2005-09,2.575B,,2.575B,1.265B,,1.694B,331.00M,,,,2.795B,7.395B,21.79B,931.00M,,22.72B,-4.667B,18.05B,,,,1.076B,8.986B,28.11B,35.51B,,835.00M,,,835.00M,4.272B,5.107B,,,994.00M,,994.00M,,,,,6.101B,,8.953B,,8.953B,5.169B,,133.00M,,,314.00M,,,9.086B,28.10B,,729.00M,4.665B,2.004B,729.00M,,,-303.00M,7.095B,,,
2005-06,2.289B,,2.289B,931.00M,,1.45B,335.00M,,,,1.474B,5.548B,17.56B,871.00M,,18.43B,-4.629B,13.80B,,,,927.00M,13.26B,27.99B,33.54B,,717.00M,,,717.00M,3.019B,3.736B,,,884.00M,,884.00M,,,,,4.62B,,8.872B,,8.872B,5.365B,,135.00M,,,308.00M,,,9.007B,26.48B,,529.00M,4.296B,1.993B,529.00M,,,-68.00M,6.75B,,,
2005-03,2.363B,,2.363B,851.00M,,1.15B,319.00M,,,,1.686B,5.518B,17.35B,860.00M,,18.21B,-4.603B,13.61B,,,,921.00M,13.41B,27.94B,33.46B,,641.00M,,,641.00M,2.843B,3.484B,,,1.016B,,1.016B,,,,,4.50B,,9.366B,,9.366B,5.44B,,137.00M,,,301.00M,,,9.503B,26.93B,,129.00M,4.194B,1.985B,129.00M,,,-79.00M,6.229B,,,
2004-12,2.688B,,2.688B,846.00M,,1.166B,304.00M,,,,1.291B,5.449B,21.11B,789.00M,,21.90B,-4.506B,17.40B,,,,875.00M,9.548B,27.82B,33.27B,,749.00M,,,749.00M,2.15B,2.899B,,,1.138B,,1.138B,,,,,4.037B,,9.678B,,9.678B,5.371B,,138.00M,,,313.00M,,,9.816B,26.78B,,129.00M,4.078B,1.975B,129.00M,,,-4.00M,6.178B,,,
2004-09,2.434B,,2.434B,1.272B,,1.782B,312.00M,,,,608.00M,5.136B,16.92B,737.00M,,17.65B,-4.588B,13.06B,,,,999.00M,14.54B,28.60B,33.74B,,1.164B,,,1.164B,2.243B,3.407B,,,994.00M,,994.00M,,,,,4.401B,,11.13B,,11.13B,5.125B,,141.00M,,,355.00M,,,11.27B,27.61B,,129.00M,3.792B,1.985B,129.00M,,,-129.00M,5.777B,,,
2004-06,2.605B,,2.605B,1.221B,,1.776B,363.00M,,,,1.078B,5.822B,16.69B,734.00M,,17.42B,-4.507B,12.91B,854.00M,,,965.00M,15.68B,30.41B,36.23B,,1.23B,,,1.23B,2.508B,3.738B,,,1.327B,,1.327B,,,,,5.065B,,14.23B,,14.23B,6.123B,,144.00M,,,856.00M,,,14.37B,30.26B,,129.00M,3.054B,1.98B,129.00M,,,-47.00M,5.116B,,,
2004-03,2.749B,,2.749B,1.128B,,1.524B,340.00M,,,,704.00M,5.317B,16.50B,680.00M,,17.18B,-4.398B,12.78B,888.00M,,,956.00M,15.88B,30.50B,35.82B,,1.037B,,,1.037B,2.575B,3.612B,,,2.064B,,2.064B,,,,,5.676B,,12.67B,,12.67B,6.207B,,147.00M,,,857.00M,,,12.82B,29.42B,,129.00M,3.497B,1.973B,129.00M,,,-55.00M,5.544B,,,
2003-12,1.988B,,1.988B,846.00M,,1.119B,305.00M,,,,1.138B,4.55B,16.39B,601.00M,,16.99B,-4.386B,12.60B,,,,753.00M,20.36B,33.72B,38.27B,,548.00M,,,548.00M,2.839B,3.387B,,,2.331B,,2.331B,,,,,5.718B,,9.22B,,9.22B,5.483B,,149.00M,,,517.00M,,,9.369B,32.24B,,129.00M,3.466B,1.97B,129.00M,,,-53.00M,5.512B,,,
2003-09,3.246B,,3.246B,1.27B,,1.817B,331.00M,,,,513.00M,5.907B,16.09B,589.00M,,16.68B,-6.148B,10.54B,788.00M,,,925.00M,17.47B,29.72B,35.62B,,1.044B,,,1.044B,3.542B,4.586B,,,2.347B,,2.347B,,,,,6.933B,,11.37B,,11.37B,5.92B,,161.00M,,,480.00M,1.24B,,12.77B,29.80B,,129.00M,3.335B,1.982B,129.00M,,,-104.00M,5.342B,,,
2003-06,2.432B,,2.432B,1.223B,,1.817B,342.00M,,,,540.00M,5.131B,16.13B,582.00M,,16.72B,-6.395B,10.32B,776.00M,,,1.027B,17.94B,30.06B,35.19B,,1.056B,,,1.056B,3.176B,4.232B,,,1.80B,,1.80B,,,,,6.032B,,12.36B,,12.36B,5.923B,,163.00M,,,459.00M,,,12.52B,28.76B,,1.368B,2.791B,1.979B,1.368B,-170.00M,,-170.00M,5.968B,,,
2003-03,2.333B,,2.333B,1.114B,,1.528B,330.00M,,,,915.00M,5.106B,15.94B,589.00M,,16.53B,-6.237B,10.29B,736.00M,,,946.00M,18.11B,30.08B,35.18B,,969.00M,,,969.00M,3.13B,4.099B,,,2.037B,,2.037B,,,,,6.136B,,12.27B,,12.27B,6.002B,,165.00M,,,439.00M,,,12.44B,28.87B,,1.36B,2.768B,1.974B,1.36B,-230.00M,,-230.00M,5.872B,,,
2002-12,2.468B,,2.468B,1.111B,,1.548B,343.00M,,,,1.30B,5.659B,15.70B,529.00M,,16.23B,-4.057B,12.18B,661.00M,,,914.00M,14.20B,27.95B,33.61B,,786.00M,,,786.00M,2.979B,3.765B,,,2.839B,,2.839B,,,,,6.604B,,11.58B,,11.58B,6.266B,,167.00M,,,425.00M,,,11.74B,27.39B,,1.358B,2.711B,1.973B,1.358B,,,-247.00M,5.795B,,,
2002-09,2.548B,,2.548B,1.429B,,2.011B,330.00M,,,,506.00M,5.395B,15.75B,653.00M,,16.40B,-8.244B,8.158B,659.00M,,,1.066B,18.60B,28.48B,33.87B,,1.02B,,,1.02B,2.987B,4.007B,,,1.236B,,1.236B,,,,,5.243B,,13.54B,,13.54B,6.112B,,169.00M,,,397.00M,1.344B,,15.05B,29.06B,,0.00,2.735B,1.978B,,,,-296.00M,4.417B,,,
2002-06,1.593B,,1.593B,1.263B,,1.816B,349.00M,,,,997.00M,4.755B,15.65B,650.00M,,16.30B,-8.319B,7.982B,684.00M,,,1.346B,19.53B,29.54B,34.30B,,1.066B,,,1.066B,2.829B,3.895B,,,1.563B,,1.563B,,,,,5.458B,,13.64B,,13.64B,6.492B,,170.00M,,,407.00M,,,13.81B,28.41B,,1.348B,2.383B,1.972B,1.348B,,,-219.00M,5.484B,,,
2002-03,1.823B,,1.823B,1.141B,,1.552B,342.00M,,,,1.384B,5.101B,15.55B,584.00M,,16.14B,-8.167B,7.969B,649.00M,,,1.224B,18.77B,28.62B,33.72B,,958.00M,,,958.00M,2.838B,3.796B,,,1.866B,,1.866B,,,,,5.662B,,13.75B,,13.75B,6.383B,,171.00M,,,361.00M,,,13.92B,28.60B,,1.34B,1.718B,1.97B,1.34B,-270.00M,,-270.00M,4.758B,,,
2001-12,3.991B,,3.991B,1.259B,,1.71B,327.00M,,,,1.472B,7.50B,15.43B,556.00M,,15.98B,-7.969B,8.013B,633.00M,,,1.341B,19.29B,29.27B,36.77B,,3.414B,,,3.414B,2.394B,5.808B,,,4.049B,,4.049B,,,,,9.857B,,12.67B,,12.67B,6.539B,,172.00M,,,345.00M,,,12.85B,31.82B,,1.333B,1.634B,1.966B,1.333B,-328.00M,,-328.00M,4.605B,,,
2001-09,4.094B,,4.094B,1.667B,,2.235B,467.00M,,,,1.76B,8.556B,15.31B,592.00M,,15.90B,-7.852B,8.047B,,,,1.854B,18.60B,28.51B,37.06B,,3.566B,,,3.566B,3.254B,6.82B,,,7.149B,,7.149B,,,,,13.97B,,12.26B,,12.26B,5.284B,,174.00M,,,357.00M,,,12.44B,34.29B,,1.323B,-533.00M,1.964B,1.323B,,,-336.00M,2.418B,,,
2001-06,3.229B,,3.229B,1.426B,,1.903B,482.00M,,,,1.741B,7.355B,15.20B,623.00M,,15.82B,-7.914B,7.904B,,,,1.755B,20.38B,30.04B,37.40B,,3.46B,,,3.46B,2.868B,6.328B,,,8.697B,,8.697B,,,,,15.02B,,10.72B,,10.72B,5.621B,,177.00M,,,344.00M,,,10.89B,34.20B,,1.405B,-120.00M,1.96B,1.405B,-390.00M,,-390.00M,2.855B,,,
2001-03,2.934B,,2.934B,1.07B,,1.463B,428.00M,,,,1.714B,6.539B,15.13B,635.00M,,15.76B,-7.794B,7.971B,,,,1.578B,20.18B,29.72B,36.26B,,3.069B,13.00M,,3.082B,3.293B,6.375B,,,6.854B,,6.854B,,,,,13.23B,,11.79B,,11.79B,5.358B,,174.00M,,,17.00M,,,11.97B,33.32B,,1.495B,-18.00M,1.961B,1.495B,-508.00M,,-508.00M,2.93B,,,
2000-12,1.973B,,1.973B,1.099B,,1.476B,430.00M,,,,1.787B,5.666B,15.02B,636.00M,,15.65B,-7.834B,7.819B,,,,3.889B,17.73B,29.43B,35.10B,,1.228B,12.00M,,1.24B,3.38B,4.62B,,,6.18B,,6.18B,,,,,10.80B,,12.15B,,12.15B,5.511B,,183.00M,,,18.00M,,,12.33B,31.15B,,1.51B,599.00M,1.96B,1.51B,-139.00M,,-139.00M,3.93B,,,
2000-09,1.076B,,1.076B,1.805B,,1.805B,452.83M,,,,1.074B,4.407B,14.76B,674.91M,,15.44B,-7.759B,7.678B,,,,8.040B,17.79B,33.51B,37.92B,,957.66M,103.86M,,1.062B,4.237B,5.298B,,,4.337B,,4.337B,,,,,9.635B,,12.49B,,12.49B,6.621B,,194.04M,,,18.46M,,,12.68B,31.41B,,3.573B,3.149B,,1.613B,-230.36M,,-230.36M,6.492B,,,
2000-06,864.16M,,864.16M,1.561B,,1.561B,495.83M,,,,623.04M,3.544B,14.55B,684.22M,,15.23B,-7.702B,7.533B,,,,6.634B,19.22B,33.38B,36.93B,,658.00M,98.12M,,756.12M,4.722B,5.478B,,,3.122B,,3.122B,,,,,8.600B,,12.89B,,12.89B,6.221B,,203.60M,,,11.59M,,,13.09B,30.57B,,3.599B,2.881B,,1.639B,-136.37M,1.852M,-134.52M,6.345B,,,
2000-03,917.47M,,917.47M,1.337B,,1.337B,494.50M,,,,222.94M,2.972B,14.41B,664.61M,,15.08B,-7.705B,7.371B,,,,6.736B,19.38B,33.49B,36.46B,,506.08M,108.66M,,614.74M,2.960B,3.574B,,,3.754B,,3.754B,,,,,7.329B,,13.57B,,13.57B,5.947B,,214.38M,,,10.35M,,,13.78B,29.78B,,3.685B,3.001B,,1.649B,-36.63M,24.36M,-12.27M,6.674B,,,
1999-12,508.00M,,508.00M,1.378B,,1.378B,440.00M,,,,344.00M,2.67B,14.29B,563.00M,,14.85B,-7.52B,7.332B,,,,1.242B,24.98B,33.56B,36.23B,,625.00M,101.00M,,726.00M,2.601B,3.327B,,,3.515B,,3.515B,,,,,6.842B,,13.39B,,13.39B,5.982B,,225.00M,,,9.00M,,,13.62B,29.35B,,1.66B,3.079B,2.09B,1.66B,10.00M,31.00M,41.00M,6.871B,,,
1999-09,1.219B,,1.219B,1.604B,,1.604B,362.00M,,,,451.60M,3.636B,13.98B,703.70M,,14.69B,-7.265B,7.42B,,,,3.004B,18.08B,28.51B,32.14B,,727.40M,100.20M,,827.60M,2.788B,3.616B,,,2.566B,,2.566B,,,,0.20M,6.182B,,11.26B,,11.26B,5.770B,,237.70M,,,12.40M,,,11.50B,25.61B,,3.384B,3.078B,,1.293B,35.30M,26.60M,61.90M,6.523B,,,
1999-06,937.90M,,937.90M,1.353B,,1.353B,240.00M,,,,1.240B,3.771B,13.84B,654.50M,,14.50B,-7.176B,7.323B,,,,3.144B,13.72B,24.19B,27.96B,,413.50M,94.40M,,507.90M,2.388B,2.896B,,,2.514B,,2.514B,,,,-0.10M,5.41B,,9.624B,,9.624B,4.900B,,248.60M,,,18.80M,,,9.873B,22.20B,,2.826B,2.916B,,736.60M,-12.00M,10.60M,-1.40M,5.741B,,,
1999-03,610.60M,,610.60M,1.282B,,1.282B,213.90M,,,,1.160B,3.267B,13.76B,629.20M,,14.39B,-7.129B,7.259B,,,,3.206B,13.04B,23.50B,26.77B,,393.30M,94.30M,,487.60M,2.320B,2.808B,,,3.488B,,3.488B,,,,,6.296B,,7.823B,,7.823B,4.881B,,259.60M,,,14.90M,,,8.083B,21.20B,,2.624B,2.883B,,534.50M,17.10M,27.30M,44.40M,5.551B,,,
1998-12,584.00M,,584.00M,1.316B,,1.316B,167.00M,,,,700.00M,2.767B,13.63B,517.00M,,14.15B,-6.897B,7.254B,,,,5.556B,9.121B,21.93B,24.70B,,490.00M,92.00M,,582.00M,2.219B,2.801B,,,1.485B,,1.485B,,,,,4.286B,,8.008B,,8.008B,4.862B,,271.00M,,,16.00M,,,8.279B,19.05B,,2.644B,2.906B,,535.00M,30.00M,54.00M,84.00M,5.634B,,,
1998-09,1.196B,,1.196B,1.407B,,1.407B,172.00M,,,,886.50M,3.662B,13.46B,582.60M,,14.04B,-6.765B,7.280B,,,,2.713B,11.36B,21.35B,25.02B,,685.90M,91.90M,,777.80M,2.489B,3.266B,,,1.218B,,1.218B,,,,-0.10M,4.484B,,8.290B,,8.290B,4.68B,,327.70M,,,15.00M,,,8.618B,19.37B,,2.657B,2.883B,,534.50M,38.10M,50.80M,88.90M,5.628B,,,
1998-06,1.656B,,1.656B,1.163B,,1.163B,167.70M,,,,417.60M,3.405B,13.61B,567.20M,,14.18B,-6.863B,7.313B,,,,2.772B,11.09B,21.18B,24.58B,,443.60M,92.90M,,536.50M,2.272B,2.808B,,,930.90M,,930.90M,,,,,3.739B,,8.678B,,8.678B,4.653B,,333.90M,,,13.90M,,,9.012B,18.98B,,2.672B,2.813B,,535.50M,31.20M,75.40M,106.60M,5.591B,,,
1998-03,1.361B,,1.361B,898.70M,,898.70M,184.80M,,,,572.70M,3.017B,20.85B,584.20M,,21.43B,-10.93B,10.50B,,,,2.760B,8.619B,21.88B,24.89B,,429.60M,100.00M,,529.60M,1.926B,2.456B,,,1.141B,,1.141B,,,,-0.10M,3.597B,,8.868B,,8.868B,4.449B,,343.80M,,,12.00M,,,9.212B,18.94B,,2.812B,3.017B,,608.80M,38.80M,74.00M,112.80M,5.942B,,,
1997-12,1.907B,,1.907B,1.077B,,1.077B,191.00M,,,,422.00M,3.597B,20.89B,593.00M,,21.48B,-10.54B,10.94B,,,,2.635B,7.93B,21.50B,25.10B,,441.00M,95.00M,,536.00M,1.994B,2.53B,,,1.198B,,1.198B,,,,,3.728B,,8.871B,,8.871B,4.436B,,351.00M,,,9.00M,,,9.222B,18.96B,,2.87B,3.176B,,609.00M,30.00M,60.00M,90.00M,6.136B,,,
1997-09,585.00M,,585.00M,1.322B,,1.322B,205.80M,,,,452.90M,2.566B,20.76B,533.50M,,21.29B,-10.10B,11.20B,,,,2.671B,7.978B,21.84B,24.41B,,503.50M,101.10M,,604.60M,2.148B,2.753B,,,1.801B,,1.801B,,,,,4.554B,,7.049B,,7.049B,4.467B,,356.20M,,,7.40M,,,7.406B,18.03B,,2.937B,3.352B,,608.80M,27.20M,56.00M,83.20M,6.372B,,,
1997-06,895.70M,,895.70M,1.098B,,1.098B,215.00M,,,,224.10M,2.433B,20.66B,529.00M,,21.19B,-9.933B,11.26B,,,,2.720B,8.042B,22.02B,24.45B,,413.10M,101.80M,,514.90M,1.901B,2.416B,,,1.292B,,1.292B,,,,0.10M,3.709B,,7.654B,,7.654B,4.501B,,361.60M,,,7.00M,,,8.015B,17.86B,,3.025B,3.467B,,608.80M,44.30M,47.80M,92.10M,6.585B,,,
1997-03,733.40M,,733.40M,945.90M,,945.90M,212.10M,,,,234.50M,2.126B,20.72B,525.30M,,21.25B,-9.687B,11.56B,,,,2.700B,7.559B,21.82B,23.95B,,372.40M,106.10M,,478.50M,1.891B,2.370B,,,943.20M,,943.20M,,,,0.10M,3.313B,,7.247B,,7.247B,4.572B,,367.00M,,,692.70M,,,7.614B,16.34B,,3.20B,3.639B,,708.80M,37.00M,40.60M,77.60M,6.917B,,,
