,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,4.644B,4.644B,3.065B,1.579B,1.382B,1.382B,,91.00M,114.00M,222.00M,2.00M,-220.00M,,1.986B,-407.00M,2.00M,222.00M,-220.00M,110.00M,-220.00M,-517.00M,-275.00M,-242.00M,,,,46.00M,-242.00M,-308.43M,212.00M,507.00M,-295.00M,,-0.76,,,-0.9357,-0.76,,-0.76,,,-0.9357,-0.76,,378.00M,378.00M,0.6375,,AOR,
2020-06,2.987B,2.987B,1.83B,1.157B,83.00M,83.00M,,71.00M,103.00M,229.00M,7.00M,-222.00M,,675.00M,482.00M,7.00M,229.00M,-222.00M,92.00M,-222.00M,352.00M,4.00M,348.00M,,,,30.00M,348.00M,277.81M,1.085B,504.00M,581.00M,,0.85,,,0.6628,0.85,,0.85,,,0.6633,0.85,,375.00M,376.00M,0.6375,,AOR,
2020-03,2.79B,2.79B,1.809B,981.00M,84.00M,84.00M,,31.00M,111.00M,225.00M,9.00M,-216.00M,,679.00M,302.00M,9.00M,225.00M,-216.00M,43.00M,-216.00M,129.00M,-84.00M,213.00M,,,,30.00M,213.00M,190.37M,855.00M,501.00M,354.00M,,0.50,,,0.4377,0.50,,0.50,,,0.4378,0.50,,363.00M,364.00M,0.6375,,AOR,
2019-12,2.97B,2.97B,1.758B,1.212B,340.00M,340.00M,,20.00M,97.00M,222.00M,8.00M,-214.00M,0.00,907.00M,305.00M,8.00M,222.00M,-214.00M,16.00M,-214.00M,107.00M,-66.00M,173.00M,,,,30.00M,173.00M,158.40M,816.00M,487.00M,329.00M,,0.40,0.00,,0.3596,0.40,,0.40,0.00,,0.3597,0.40,,361.00M,362.00M,0.6375,,AOR,
2019-09,3.741B,3.741B,2.482B,1.259B,67.00M,67.00M,,35.00M,99.00M,214.00M,13.00M,-201.00M,-2.00M,623.00M,636.00M,13.00M,214.00M,-201.00M,45.00M,-201.00M,480.00M,-22.00M,502.00M,,,,31.00M,502.00M,476.45M,1.173B,479.00M,694.00M,,1.36,,,1.286,1.36,,1.35,,,1.277,1.35,,347.00M,349.00M,0.6125,,AOR,Restated
2019-06,2.812B,2.812B,1.73B,1.082B,0.00,0.00,,-129.00M,93.00M,211.00M,7.00M,-204.00M,-2.00M,412.00M,670.00M,7.00M,211.00M,-204.00M,-122.00M,-204.00M,344.00M,-78.00M,422.00M,,,,30.00M,422.00M,516.17M,894.00M,339.00M,555.00M,,1.20,,,1.489,1.20,,1.20,,,1.488,1.20,,326.00M,327.00M,0.6125,,AOR,Restated
2019-03,2.824B,2.824B,1.887B,937.00M,0.00,0.00,,26.00M,110.00M,194.00M,9.00M,-185.00M,-5.00M,585.00M,352.00M,9.00M,194.00M,-185.00M,29.00M,-185.00M,196.00M,-112.00M,308.00M,,,,30.00M,308.00M,289.02M,888.00M,498.00M,390.00M,,0.85,,,0.7918,0.85,,0.85,,,0.7920,0.85,,326.00M,327.00M,0.6125,,AOR,Restated
2018-12,3.009B,3.009B,1.791B,1.218B,,,,16.00M,94.00M,196.00M,9.00M,-187.00M,-2.00M,3.241B,-2.023B,9.00M,196.00M,-187.00M,-6.00M,-187.00M,-2.216B,-782.00M,-1.434B,,,0.00,30.00M,-1.40B,-1.444B,-1.54B,301.00M,-2.02B,,-4.49,0.10,,-4.522,-4.39,,-4.49,0.10,,-4.522,-4.39,,326.00M,326.00M,0.6125,,AOR,Restated
2018-09,4.269B,4.269B,2.98B,1.289B,,,,59.00M,97.00M,188.00M,6.00M,-182.00M,-2.00M,561.00M,728.00M,6.00M,188.00M,-182.00M,81.00M,-182.00M,627.00M,83.00M,544.00M,,,0.00,31.00M,544.00M,492.79M,1.38B,565.00M,815.00M,,1.57,,,1.413,1.57,,1.57,,,1.413,1.57,,326.00M,327.00M,0.605,,AOR,Restated
2018-06,2.815B,2.815B,1.831B,984.00M,,,5.00M,23.00M,97.00M,180.00M,5.00M,-175.00M,-1.00M,559.00M,425.00M,5.00M,180.00M,-175.00M,39.00M,-175.00M,289.00M,-9.00M,298.00M,,,8.00M,30.00M,306.00M,289.21M,1.064B,595.00M,469.00M,,0.85,0.00,,0.7985,0.85,,0.84,0.00,,0.7887,0.84,,326.00M,327.00M,0.605,,AOR,Restated
