,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.936B,4.936B,4.102B,833.80M,131.70M,64.70M,163.80M,,3.10M,,13.00M,13.00M,363.30M,470.50M,13.00M,,13.00M,6.40M,13.00M,489.90M,104.40M,385.50M,,385.50M,380.46M,736.70M,266.20M,470.50M,1.11,,1.095,1.11,1.11,,1.0959999999999999,1.11,346.80M,347.60M,0.32
2020-06,3.062B,3.062B,2.555B,507.10M,120.20M,66.50M,157.40M,,7.50M,,19.50M,19.50M,351.60M,155.50M,19.50M,,19.50M,9.00M,19.50M,184.00M,36.30M,147.70M,,147.70M,140.47M,396.80M,241.30M,155.50M,0.43,,0.4091,0.43,0.43,,0.4092,0.43,346.40M,346.80M,0.32
2020-03,5.162B,5.162B,4.312B,849.20M,164.00M,71.00M,162.90M,,17.00M,,13.10M,13.10M,414.90M,434.30M,13.10M,,13.10M,14.80M,13.10M,462.20M,102.80M,359.40M,,359.40M,347.89M,706.30M,272.00M,434.30M,1.04,,1.0070000000000001,1.04,1.03,,0.9968,1.03,346.90M,347.30M,0.32
2019-12,6.117B,6.117B,5.634B,483.20M,183.20M,83.60M,,,3.60M,,10.30M,10.30M,-174.20M,657.40M,10.30M,,10.30M,20.10M,10.30M,687.80M,156.50M,531.30M,,531.30M,515.77M,942.30M,284.90M,657.40M,1.53,,1.485,1.53,1.53,,1.485,1.53,346.90M,347.20M,0.32
2019-09,6.367B,6.367B,5.206B,1.161B,172.60M,82.20M,155.70M,,5.60M,,11.60M,11.60M,416.10M,744.90M,11.60M,,11.60M,21.10M,11.60M,777.60M,169.70M,607.90M,,607.90M,591.40M,1.017B,272.10M,744.90M,1.75,,1.702,1.75,1.75,,1.702,1.75,346.60M,347.20M,0.32
2019-06,6.628B,6.628B,5.440B,1.188B,173.30M,82.50M,145.50M,,4.00M,,9.80M,9.80M,405.30M,782.80M,9.80M,,9.80M,21.80M,9.80M,814.40M,194.70M,619.70M,,619.70M,603.11M,1.044B,261.20M,782.80M,1.79,,1.742,1.79,1.78,,1.732,1.78,347.00M,347.70M,0.32
2019-03,6.488B,6.488B,5.304B,1.183B,169.40M,78.30M,143.40M,,2.20M,,10.30M,10.30M,393.30M,789.80M,10.30M,,10.30M,19.30M,10.30M,819.40M,190.40M,629.00M,,629.00M,614.18M,1.049B,259.10M,789.80M,1.81,,1.767,1.81,1.81,,1.767,1.81,347.20M,347.80M,0.32
2018-12,6.280B,6.280B,5.762B,518.10M,166.20M,80.50M,,,1.70M,,18.30M,18.30M,-196.10M,714.20M,18.30M,,18.30M,19.90M,18.30M,752.40M,174.30M,578.10M,,578.10M,562.81M,973.90M,259.70M,714.20M,1.66,,1.6159999999999999,1.66,1.65,,1.6059999999999999,1.65,349.20M,349.70M,0.28
2018-09,5.757B,5.757B,4.737B,1.020B,153.50M,72.90M,144.20M,,4.30M,,7.40M,7.40M,374.90M,645.00M,7.40M,,7.40M,16.40M,7.40M,668.80M,123.50M,545.30M,,545.30M,531.93M,897.60M,252.60M,645.00M,1.55,,1.5119999999999998,1.55,1.55,,1.5119999999999998,1.55,350.70M,351.50M,0.28
2018-06,5.805B,5.805B,4.730B,1.076B,156.80M,76.70M,149.00M,,4.60M,,16.40M,16.40M,387.10M,688.60M,16.40M,,16.40M,14.60M,16.40M,719.60M,160.00M,559.60M,,559.60M,548.24M,956.90M,268.30M,688.60M,1.59,,1.558,1.59,1.59,,1.558,1.59,351.70M,352.50M,0.28
