,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.344B,1.194B,4.539B,12.69B,,,12.69B,685.50M,627.60M,1.124B,,541.50M,18.89B,,,,3.435B,3.138B,,6.573B,,6.573B,,,,1.767B,8.340B,27.23B,3.994B,,,3.994B,,3.994B,,,,2.616B,2.616B,,,,6.610B,7.776B,7.776B,791.30M,487.90M,1.279B,,1.384B,10.44B,17.05B,347.00M,10.95B,114.40M,41.60M,,,-1.189B,10.18B
2020-06,3.128B,1.147B,4.275B,12.38B,,,12.38B,685.00M,638.70M,1.136B,,492.10M,18.29B,,,,3.424B,3.025B,,6.448B,,6.448B,,,,1.673B,8.121B,26.41B,3.625B,,,3.625B,,3.625B,,,,2.980B,2.980B,,,,6.605B,7.417B,7.417B,774.90M,506.00M,1.281B,,1.327B,10.02B,16.63B,346.50M,10.68B,82.70M,41.60M,,,-1.290B,9.777B
2020-03,3.323B,1.097B,4.420B,12.98B,,,12.98B,790.90M,665.90M,1.270B,,529.90M,19.20B,,,,3.508B,2.925B,,6.433B,,6.433B,,,,1.665B,8.098B,27.29B,3.803B,,,3.803B,,3.803B,,,,3.912B,3.912B,,,,7.716B,7.226B,7.226B,780.10M,542.90M,1.323B,,1.393B,9.942B,17.66B,346.40M,10.64B,74.20M,41.50M,,,-1.384B,9.637B
2019-12,4.175B,1.162B,5.337B,13.39B,,,13.39B,754.90M,584.60M,1.153B,,388.00M,20.27B,0.0,271.80M,1.382B,9.054B,,741.70M,11.45B,-4.918B,6.532B,,,,1.559B,8.091B,28.36B,1.745B,796.50M,,2.541B,1.236B,3.777B,,3.797B,,3.797B,3.797B,,,843.00M,8.417B,7.426B,7.426B,790.20M,587.30M,1.378B,,1.435B,10.24B,18.66B,346.30M,10.40B,61.40M,,,,-1.100B,9.706B
2019-09,3.670B,1.108B,4.777B,13.40B,,,13.40B,848.70M,629.70M,1.293B,,387.30M,19.86B,,,,4.900B,2.691B,,7.591B,-1.359B,6.232B,,,,1.678B,7.910B,27.77B,4.177B,,,4.177B,,4.177B,,,,4.14B,4.14B,,,,8.317B,6.716B,6.716B,753.70M,646.00M,1.400B,,1.372B,9.488B,17.80B,347.40M,10.80B,116.80M,110.20M,,,-1.19B,9.963B
2019-06,3.219B,1.117B,4.337B,13.32B,,,13.32B,874.60M,646.70M,1.337B,,403.70M,19.39B,,,,5.022B,2.624B,,7.647B,-1.393B,6.254B,,,,1.521B,7.776B,27.17B,4.074B,,,4.074B,,4.074B,,,,3.90B,3.90B,,,,7.974B,6.732B,6.732B,737.60M,753.00M,1.491B,,1.336B,9.559B,17.53B,347.20M,10.30B,105.10M,56.50M,,,-1.062B,9.635B
2019-03,2.843B,1.082B,3.924B,13.09B,,,13.09B,814.60M,641.80M,1.273B,,401.70M,18.69B,,,,5.000B,2.522B,,7.522B,-1.419B,6.103B,,,,1.364B,7.467B,26.16B,4.078B,0.00,,4.078B,,4.078B,,,,3.425B,3.425B,,,,7.502B,6.772B,6.772B,692.00M,813.20M,1.505B,,1.272B,9.549B,17.05B,347.00M,9.793B,94.30M,33.40M,,,-1.096B,9.106B
2018-12,3.436B,1.020B,4.456B,12.16B,,,12.16B,803.30M,563.20M,1.185B,,364.70M,18.16B,0.0,265.40M,1.329B,8.931B,,308.80M,10.83B,-4.712B,6.122B,,,,1.199B,7.322B,25.48B,1.828B,695.10M,,2.523B,993.00M,3.516B,,3.257B,,3.257B,3.257B,,,729.80M,7.503B,6.694B,6.694B,704.90M,842.40M,1.547B,,1.146B,9.387B,16.89B,346.60M,9.275B,69.40M,,,,-1.098B,8.593B
2018-09,2.914B,1.000B,3.914B,12.19B,,,12.19B,834.20M,637.60M,1.292B,,376.80M,17.77B,,,,3.545B,2.444B,,5.989B,,5.989B,,,,1.344B,7.333B,25.10B,3.764B,,,3.764B,,3.764B,,,,3.002B,3.002B,,,,6.766B,6.585B,6.585B,695.60M,832.40M,1.528B,,1.053B,9.166B,15.93B,352.20M,9.718B,148.60M,153.20M,,,-895.00M,9.171B
2018-06,2.507B,1.033B,3.540B,11.73B,,,11.73B,846.00M,590.60M,1.258B,,492.90M,17.02B,,,,3.492B,2.397B,,5.890B,,5.890B,,,,1.242B,7.132B,24.16B,3.613B,,,3.613B,,3.613B,,,,3.131B,3.131B,,,,6.744B,6.077B,6.077B,682.10M,758.20M,1.440B,,1.115B,8.633B,15.38B,352.20M,9.271B,143.80M,94.20M,,,-893.70M,8.779B
2018-03,2.504B,1.046B,3.551B,11.57B,,,11.57B,641.10M,602.50M,1.068B,,396.60M,16.59B,,,,3.520B,2.455B,,5.974B,,5.974B,,,,1.219B,7.194B,23.78B,3.530B,,,3.530B,,3.530B,,,,3.234B,3.234B,,,,6.764B,5.896B,5.896B,730.00M,686.80M,1.417B,,1.138B,8.450B,15.21B,352.10M,8.810B,140.10M,16.70M,,,-718.30M,8.567B
2017-12,2.365B,1.367B,3.732B,10.82B,,,10.82B,586.20M,515.70M,928.40M,,404.40M,15.89B,0.0,263.30M,1.315B,9.464B,,253.80M,11.30B,-4.690B,6.606B,,,,944.20M,7.551B,23.44B,1.621B,422.10M,,2.043B,760.40M,2.803B,,2.724B,,2.724B,2.724B,,,654.40M,6.182B,6.156B,6.156B,773.70M,1.339B,2.113B,,939.80M,9.208B,15.39B,351.80M,8.369B,123.20M,,,,-793.60M,8.050B
2017-09,2.313B,1.216B,3.529B,10.87B,,,10.87B,581.60M,574.10M,983.00M,,252.40M,15.64B,,,,4.085B,2.389B,,6.474B,,6.474B,,,,993.00M,7.467B,23.10B,3.234B,,,3.234B,,3.234B,,,,2.865B,2.865B,,,,6.099B,5.967B,5.967B,977.80M,1.319B,2.297B,,805.30M,9.069B,15.17B,351.50M,8.291B,109.60M,,,,-816.20M,7.936B
2017-06,1.880B,1.245B,3.124B,10.51B,,,10.51B,539.30M,518.00M,885.30M,,269.90M,14.79B,,,,3.99B,2.326B,,6.316B,,6.316B,,,,948.20M,7.264B,22.05B,3.016B,,,3.016B,,3.016B,,,,2.889B,2.889B,,,,5.905B,5.655B,5.655B,949.30M,1.272B,2.222B,,770.70M,8.648B,14.55B,351.30M,7.976B,98.50M,,,,-925.20M,7.500B
2017-03,1.764B,1.206B,2.971B,10.12B,,,10.12B,476.90M,465.70M,772.20M,,223.90M,14.08B,,,,3.719B,2.270B,,5.990B,,5.990B,,,,966.50M,6.956B,21.04B,2.777B,,,2.777B,,2.777B,,,,2.516B,2.516B,,,,5.293B,5.849B,5.849B,933.10M,1.136B,2.070B,,748.00M,8.667B,13.96B,351.30M,7.691B,95.10M,,,,-1.058B,7.079B
2016-12,1.916B,1.141B,3.057B,9.700B,,,9.700B,444.70M,452.30M,727.80M,,225.60M,13.71B,0.0,221.20M,1.134B,8.208B,,352.80M,9.916B,-4.018B,5.898B,,,,1.032B,6.929B,20.64B,1.334B,210.40M,,1.544B,539.10M,2.083B,,2.242B,,2.242B,2.242B,,,556.40M,4.882B,6.233B,6.233B,934.90M,1.073B,2.008B,,739.10M,8.979B,13.86B,350.70M,7.485B,70.10M,,,,-1.128B,6.778B
2016-09,1.788B,1.079B,2.867B,10.10B,,,10.10B,508.60M,488.50M,824.10M,,218.30M,14.01B,,,,3.669B,2.251B,,5.920B,,5.920B,,,,1.036B,6.956B,20.97B,2.671B,,,2.671B,,2.671B,,,,2.516B,2.516B,,,,5.187B,6.014B,6.014B,931.60M,1.121B,2.052B,,737.40M,8.804B,13.99B,351.70M,7.517B,92.80M,56.30M,,,-926.70M,6.978B
2016-06,2.065B,1.426B,3.491B,10.12B,,,10.12B,495.00M,505.50M,824.90M,,245.70M,14.69B,,,,3.542B,2.210B,,5.753B,,5.753B,,,,987.50M,6.740B,21.43B,2.714B,,,2.714B,,2.714B,,,,2.426B,2.426B,,,835.90M,5.976B,6.018B,6.018B,906.80M,1.100B,2.006B,,716.60M,8.741B,14.72B,351.60M,7.255B,86.70M,56.30M,,,-927.10M,6.710B
2016-03,1.847B,1.466B,3.313B,10.35B,,,10.35B,491.10M,513.90M,829.10M,,266.30M,14.75B,,,,3.50B,2.208B,,5.708B,,5.708B,,,,894.50M,6.602B,21.36B,2.713B,,,2.713B,,2.713B,,,,2.755B,2.755B,,,967.30M,6.435B,5.823B,5.823B,907.10M,1.102B,2.009B,,747.70M,8.579B,15.01B,351.50M,6.858B,79.50M,56.30M,,,-889.20M,6.343B
2015-12,2.016B,1.448B,3.464B,10.18B,,,10.18B,528.90M,443.60M,796.50M,,245.70M,14.69B,0.0,222.10M,1.062B,7.855B,,248.40M,9.387B,-3.838B,5.549B,,,,871.10M,6.420B,21.11B,1.287B,492.60M,,1.779B,514.30M,2.294B,,2.620B,,2.620B,2.620B,,,627.70M,5.542B,5.971B,5.971B,889.10M,1.047B,1.936B,,720.20M,8.628B,14.17B,351.30M,7.537B,69.30M,,,,-1.017B,6.940B
2015-09,2.126B,1.399B,3.525B,10.43B,,,10.43B,554.30M,513.40M,893.10M,,355.60M,15.20B,,,,3.350B,2.141B,,5.490B,,5.490B,,,,830.10M,6.320B,21.52B,2.853B,,,2.853B,,2.853B,,,,2.536B,2.536B,,,,5.390B,6.144B,6.144B,912.60M,1.006B,1.919B,,723.60M,8.786B,14.18B,355.00M,7.879B,146.60M,78.60M,,,-958.20M,7.344B
