,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2010-09,1.309B,297.70M,1.607B,,16.00M,749.30M,1.286B,1.406B,7.60M,3.449B,53.70M,0.00,,5.126B,,,,,,,,77.70M,-17.20M,60.50M,15.90M,,15.90M,,253.80M,,482.70M,812.90M,5.939B,,2010-09,186.70M,,186.70M,957.20M,1.144B,,,,,,1.144B,2.172B,,2.172B,,,,,2.172B,3.316B,,2010-09,1.895B,95.70M,0.30M,2.613B,,2010-09,AOR,Restated
2010-06,1.392B,298.20M,1.691B,,32.60M,567.70M,1.417B,1.573B,7.60M,3.565B,58.80M,,316.10M,5.663B,,,,,,,,,,61.30M,15.90M,,15.90M,,,,471.00M,548.20M,6.211B,,2010-06,257.30M,,257.30M,950.10M,1.207B,,,,,,1.207B,2.367B,,2.367B,,,,,2.367B,3.575B,,2010-06,1.888B,95.70M,0.10M,2.627B,,2010-06,AOR,Restated
2010-03,1.640B,198.70M,1.838B,,29.40M,564.90M,1.637B,1.555B,7.10M,3.764B,50.30M,,,5.682B,,,,,,,,,,57.10M,15.90M,,15.90M,,237.10M,,467.70M,777.80M,6.459B,,2010-03,286.50M,,286.50M,949.40M,1.236B,,,,,,1.236B,2.630B,,2.630B,,,,,2.630B,3.865B,,2010-03,1.884B,95.70M,-0.20M,2.584B,,2010-03,AOR,Restated
2009-12,1.936B,,1.936B,,,572.70M,1.381B,1.622B,9.50M,3.585B,53.10M,,,5.574B,,,,,,,,,,55.70M,15.90M,,15.90M,,164.70M,,881.70M,1.118B,6.692B,,2009-12,229.60M,,229.60M,957.10M,1.187B,,,,,,1.187B,2.91B,,2.91B,,,,6.20M,2.916B,4.103B,,2009-12,1.88B,95.70M,,2.581B,,2009-12,AOR,Restated
2009-09,1.957B,,1.957B,,293.10M,562.50M,1.445B,1.641B,14.30M,3.663B,55.20M,0.00,,5.969B,,,,,,,,83.50M,-25.70M,57.80M,15.90M,,15.90M,,220.80M,,493.50M,788.00M,6.757B,,2009-09,278.90M,,278.90M,932.00M,1.211B,,,,,,1.211B,3.277B,,3.277B,,,,,3.277B,4.488B,,2009-09,1.734B,95.70M,,2.260B,,2009-09,AOR,Restated
2009-06,2.002B,,2.002B,,124.90M,567.00M,1.408B,1.876B,22.70M,3.873B,62.00M,165.40M,,6.228B,,,,,,,,,,62.50M,15.90M,,15.90M,,222.70M,,250.50M,551.60M,6.780B,,2009-06,217.40M,,217.40M,685.90M,903.30M,,,,,,903.30M,3.358B,,3.358B,,,,,3.358B,4.261B,,2009-06,1.729B,95.70M,,2.498B,,2009-06,AOR,Restated
2009-03,1.515B,,1.515B,,54.50M,599.80M,1.473B,2.067B,28.20M,4.168B,,,,5.738B,,,,,,,,,,66.60M,15.90M,,15.90M,201.10M,187.60M,,55.30M,740.00M,6.478B,,2009-03,194.10M,,194.10M,709.50M,903.60M,,,44.40M,44.40M,,948.00M,2.868B,,2.868B,,,,,2.868B,3.816B,,2009-03,1.724B,95.70M,,2.647B,,2009-03,AOR,Restated
2008-12,1.913B,,1.913B,,,,1.529B,2.274B,622.80M,4.426B,,,,6.339B,,,,,,,,212.00M,-141.30M,70.70M,15.90M,,15.90M,,,,535.60M,835.70M,7.175B,,2008-12,182.60M,,182.60M,738.80M,921.40M,,3.405B,3.405B,3.405B,55.90M,4.383B,,,,,,,,0.00,4.383B,,2008-12,1.719B,95.70M,,2.763B,,2008-12,,Restated
2008-09,1.387B,,1.387B,,,531.70M,1.682B,2.410B,60.30M,4.683B,,,,6.070B,,,,,,,,222.40M,-156.50M,65.90M,15.90M,,15.90M,,,,1.344B,1.639B,7.710B,,2008-09,281.50M,,281.50M,814.90M,1.096B,,3.748B,3.748B,3.748B,,4.845B,,,,,,,,0.00,4.845B,,2008-09,1.716B,95.70M,,2.834B,,2008-09,,Restated
2008-06,851.20M,,851.20M,,,735.40M,2.064B,3.505B,91.90M,6.397B,,,,7.248B,,,,,,,,220.20M,-141.30M,78.90M,95.30M,,95.30M,,,,523.70M,1.217B,8.464B,,2008-06,302.40M,,302.40M,803.70M,1.106B,,3.582B,3.582B,3.582B,,4.688B,,,,,,,86.50M,86.50M,4.774B,,2008-06,1.716B,95.70M,,3.658B,,2008-06,,Restated
2008-03,560.90M,,560.90M,,,721.50M,2.200B,4.050B,94.00M,7.065B,,,,7.626B,,,,,,,,230.20M,-141.30M,88.90M,95.30M,,95.30M,,,,599.20M,1.329B,8.955B,,2008-03,309.60M,,309.60M,793.70M,1.103B,,3.745B,3.745B,3.745B,,4.848B,,,,,,,,0.00,4.848B,,2008-03,1.708B,95.70M,,4.073B,,2008-03,,Restated
2007-12,129.10M,,129.10M,,,886.80M,2.937B,4.674B,88.60M,8.586B,,,,8.715B,,,,,,,,241.20M,-141.30M,99.90M,95.30M,,95.30M,,,,550.40M,1.686B,10.40B,,2007-12,374.70M,,374.70M,849.90M,1.225B,,105.90M,105.90M,105.90M,,1.330B,3.618B,,3.618B,,,,,3.618B,4.949B,,2007-12,1.697B,95.70M,,5.414B,,2007-12,,
2007-09,269.60M,,269.60M,,,540.10M,3.347B,5.335B,121.90M,9.344B,,,,9.613B,,,,,,,,251.50M,-141.30M,110.20M,95.30M,,95.30M,,,,873.90M,1.943B,11.56B,,2007-09,590.90M,,590.90M,933.30M,1.524B,,387.80M,387.80M,387.80M,,1.912B,3.989B,,3.989B,,,,,3.989B,5.901B,,2007-09,1.693B,95.70M,,5.587B,,2007-09,,Restated
2007-06,60.80M,,60.80M,,,359.40M,4.208B,5.870B,150.90M,10.59B,,,,10.65B,,,,,,,,259.20M,-141.30M,117.90M,153.30M,,153.30M,,,,838.80M,1.846B,12.49B,,2007-06,832.40M,,832.40M,982.00M,1.814B,,1.284B,1.284B,1.284B,,3.098B,3.633B,,3.633B,,,,,3.633B,6.731B,,2007-06,1.687B,95.70M,,5.678B,,2007-06,,
2007-03,218.60M,,218.60M,568.60M,568.60M,204.30M,4.183B,6.725B,96.90M,11.21B,,,,12.00B,,,,,,,,266.40M,-141.30M,125.10M,578.90M,,578.90M,,,,810.10M,1.514B,13.51B,,2007-03,806.70M,,806.70M,960.50M,1.767B,,508.10M,508.10M,508.10M,,2.275B,4.592B,,4.592B,,,,,4.592B,6.868B,,2007-03,1.678B,95.70M,,6.540B,,2007-03,,
2006-12,139.80M,,139.80M,,,198.70M,4.161B,6.878B,104.60M,11.34B,,,,11.48B,,,,,,,,268.70M,-141.30M,127.40M,578.90M,,578.90M,,,,1.48B,2.186B,13.67B,,2006-12,833.50M,,833.50M,1.051B,1.884B,,504.00M,504.00M,504.00M,,2.388B,4.645B,,4.645B,,,,,4.645B,7.033B,,2006-12,1.668B,95.70M,,6.525B,,2006-12,,
2006-09,587.60M,,587.60M,,,182.90M,4.323B,6.737B,100.40M,11.34B,248.30M,,,12.18B,,,,,,,,272.70M,-141.30M,131.40M,578.90M,,578.90M,,,,1.931B,2.642B,14.82B,,2006-09,1.041B,,1.041B,1.143B,2.184B,,1.192B,1.192B,1.192B,,3.376B,4.887B,,4.887B,,,,,4.887B,8.263B,,2006-09,1.658B,95.70M,,6.453B,,2006-09,,
2006-06,160.10M,,160.10M,,,102.30M,5.299B,6.462B,142.40M,12.01B,,,,12.17B,,,,,,,,272.00M,-141.30M,130.70M,578.90M,,578.90M,,,,1.685B,2.394B,14.56B,,2006-06,981.80M,,981.80M,1.004B,1.986B,,,,,,1.986B,6.214B,,6.214B,,,,,6.214B,8.20B,,2006-06,1.650B,95.70M,,6.214B,,2006-06,,
2006-03,278.20M,,278.20M,,,130.70M,6.124B,4.422B,175.80M,10.85B,,,,11.13B,,,,,,,,256.50M,-141.30M,115.20M,578.90M,,578.90M,,,,1.686B,2.380B,13.51B,,2006-03,839.90M,,839.90M,1.025B,1.865B,,,,,,1.865B,5.524B,,5.524B,,,,,5.524B,7.389B,,2006-03,1.642B,95.70M,,5.944B,,2006-03,,
2005-12,225.20M,,225.20M,,,60.90M,6.274B,3.565B,173.90M,10.07B,,,,10.30B,,,,,,,,254.20M,-141.30M,112.90M,,578.90M,578.90M,,,,1.822B,2.514B,12.81B,,2005-12,785.80M,,785.80M,1.124B,1.910B,,,,,,1.910B,5.115B,,5.115B,,,,,5.115B,7.024B,,2005-12,1.632B,95.70M,,5.613B,,2005-12,,
2005-09,1.150B,,1.150B,,,6.20M,5.174B,3.106B,200.40M,8.487B,,,,9.637B,,,,,,,,248.50M,-141.30M,107.20M,,578.90M,578.90M,,,,2.192B,2.878B,12.51B,,2005-09,844.70M,,844.70M,1.197B,2.042B,,,,,,2.042B,4.910B,,4.910B,,,,,4.910B,6.951B,,2005-09,1.625B,58.90M,,5.360B,,2005-09,,
2005-06,171.80M,,171.80M,,,6.30M,4.486B,3.945B,185.20M,8.622B,,,,8.794B,,,,,,,,215.90M,-118.10M,97.80M,,578.90M,578.90M,,,,1.574B,2.250B,11.04B,,2005-06,739.40M,,739.40M,929.30M,1.669B,,,,,,1.669B,4.363B,,4.363B,,,,,4.363B,6.032B,,2005-06,1.620B,58.90M,,4.820B,,2005-06,,
2005-03,572.80M,,572.80M,,,6.30M,3.584B,4.121B,214.70M,7.927B,,,,8.500B,,,,,,,,212.10M,-118.10M,94.00M,,578.90M,578.90M,,,,1.368B,2.041B,10.54B,,2005-03,731.60M,,731.60M,775.20M,1.507B,,,,,10.40M,1.517B,4.341B,,4.341B,,,,,4.341B,5.858B,,2005-03,1.613B,58.90M,,4.469B,,2005-03,,
2004-12,357.00M,,357.00M,,,6.30M,4.111B,3.142B,234.20M,7.493B,,,,7.850B,,,,,,,,210.30M,-118.10M,92.20M,,578.90M,578.90M,,,,1.177B,1.848B,9.699B,,2004-12,419.30M,,419.30M,917.50M,1.337B,,,,,37.30M,1.374B,3.927B,,3.927B,,,,,3.927B,5.301B,,2004-12,1.607B,58.90M,,4.190B,,2004-12,,
2004-09,518.00M,,518.00M,,,6.20M,3.529B,2.878B,153.70M,6.567B,,,,7.085B,,,,,,,,210.00M,-118.10M,91.90M,,578.90M,578.90M,,,,1.229B,1.900B,8.985B,,2004-09,602.00M,,602.00M,756.90M,1.359B,,,,,,1.359B,3.499B,,3.499B,,,,,3.499B,4.858B,,2004-09,1.600B,58.90M,,3.961B,,2004-09,,
2004-06,240.09M,,240.09M,,,61.18M,3.186B,3.136B,,6.383B,,,,6.623B,,,,,,,,179.07M,-90.20M,88.87M,578.90M,,578.90M,,,,911.35M,1.579B,8.202B,,2004-06,1.190B,,1.190B,,1.190B,,,,,,1.190B,3.319B,,3.319B,,,,,3.319B,4.509B,,2004-06,1.596B,58.86M,-0.539M,3.625B,,2004-06,,
2004-03,218.69M,,218.69M,,,30.94M,3.034B,2.770B,,5.836B,,,,6.054B,,,,,,,,176.58M,-90.20M,86.38M,578.90M,,578.90M,,,,924.12M,1.589B,7.644B,,2004-03,1.058B,,1.058B,,1.058B,,,,,,1.058B,3.148B,,3.148B,,,,,3.148B,4.205B,,2004-03,1.594B,58.86M,-1.079M,3.390B,,2004-03,,
2003-12,164.16M,,164.16M,,,126.99M,2.905B,2.557B,,5.590B,,,,5.754B,,,,,,,,173.10M,-90.20M,82.90M,578.90M,,578.90M,,,,753.42M,1.415B,7.169B,,2003-12,1.077B,,1.077B,,1.077B,,,,,,1.077B,2.734B,,2.734B,,,,,2.734B,3.812B,,2003-12,1.586B,58.86M,-1.62M,3.212B,,2003-12,,
2003-09,582.90M,,582.90M,,,111.54M,2.506B,2.465B,,5.082B,,,,5.665B,,,,,,,,171.88M,-90.20M,81.68M,578.90M,,578.90M,,,,953.60M,1.614B,7.279B,,2003-09,1.149B,,1.149B,,1.149B,,,,,,1.149B,2.963B,,2.963B,,,,,2.963B,4.112B,,2003-09,1.582B,58.86M,-2.163M,3.031B,,2003-09,,
2003-06,296.24M,,296.24M,,,,2.651B,,2.346B,4.997B,,,,5.294B,,,,147.50M,,,,147.50M,-71.81M,75.69M,581.23M,,581.23M,,,,965.60M,1.623B,6.916B,,2003-06,930.28M,,930.28M,,930.28M,,,,,,930.28M,3.081B,,3.081B,,,,,3.081B,4.011B,,2003-06,1.577B,29.52M,-2.707M,2.835B,,2003-06,,
2003-03,187.48M,,187.48M,,,,2.322B,2.408B,6.801M,4.736B,,,,4.924B,,,,,,,,148.85M,-71.81M,77.04M,581.23M,,581.23M,,,,817.03M,1.475B,6.399B,,2003-03,818.00M,,818.00M,,818.00M,,,,,,818.00M,3.089B,,3.089B,,,,,3.089B,3.907B,,2003-03,1.354B,29.52M,-3.273M,2.466B,,2003-03,,
2002-12,194.70M,,194.70M,,,,2.392B,2.178B,10.74M,4.580B,,,,4.775B,,,,,,,,115.34M,-38.28M,77.06M,578.99M,,578.99M,,,,827.35M,1.483B,6.259B,,2002-12,828.00M,,828.00M,,828.00M,,,,,,828.00M,3.038B,,3.038B,,,,,3.038B,3.866B,,2002-12,1.350B,,-3.847M,2.374B,,2002-12,,
2002-09,104.34M,,104.34M,,,10.30M,2.298B,2.035B,,4.343B,,,,4.447B,,,,,,,,143.71M,-71.81M,71.90M,579.23M,,579.23M,,,,918.99M,1.570B,6.018B,,2002-09,848.39M,,848.39M,,848.39M,,,,,,848.39M,2.878B,,2.878B,,,,,2.878B,3.727B,,2002-09,1.350B,,-4.453M,2.270B,,2002-09,,
2002-06,55.93M,,55.93M,,,,,2.070B,2.312B,4.382B,,,,4.438B,,,,,,,,111.62M,-38.28M,73.34M,586.39M,,586.39M,,,,653.42M,1.313B,5.751B,,2002-06,636.07M,,636.07M,,636.07M,,,,,,636.07M,2.955B,,2.955B,,,,,2.955B,3.591B,,2002-06,1.349B,,-6.963M,2.139B,,2002-06,,
2002-03,189.73M,,189.73M,,,,,,,4.201B,,,,4.391B,,,,,,,,106.82M,-38.28M,68.54M,564.00M,,564.00M,,,,573.25M,1.206B,5.597B,,2002-03,639.68M,,639.68M,,639.68M,,,,,,639.68M,2.896B,,2.896B,,,,,2.896B,3.536B,,2002-03,1.346B,,-7.46M,2.039B,,2002-03,,
2001-12,22.08M,,22.08M,,,2.824M,1.488B,1.489B,,2.980B,,,,3.002B,,,,,,,,93.38M,-38.28M,55.09M,,136.76M,136.76M,,,,466.79M,658.65M,3.661B,,2001-12,473.47M,,473.47M,,473.47M,,1.855B,1.855B,1.855B,,2.328B,,,,,,,,0.00,2.328B,,2001-12,708.35M,,,1.323B,,2001-12,,
2001-09,239.28M,,239.28M,,,2.824M,1.377B,1.424B,,2.804B,,,,3.044B,,,,,,,,107.13M,-54.04M,53.10M,,136.22M,136.22M,,,,419.21M,608.53M,3.652B,,2001-09,508.75M,,508.75M,,508.75M,,,,,,508.75M,1.884B,,1.884B,,,,,1.884B,2.393B,,2001-09,704.84M,,,1.250B,,2001-09,,
2001-06,60.44M,,60.44M,,,,,1.472B,1.243B,2.716B,,,,2.776B,,,,,,,,87.41M,-38.28M,49.12M,119.85M,,119.85M,,,,389.88M,558.86M,3.335B,,2001-06,405.73M,,405.73M,,405.73M,,,,,,405.73M,1.781B,,1.781B,,,,,1.781B,2.187B,,2001-06,677.25M,,,1.140B,,2001-06,,
2001-03,126.15M,,126.15M,,,,,1.321B,1.212B,2.533B,,,,2.659B,,,,,,,,79.13M,-38.28M,40.85M,113.26M,,113.26M,,,,313.67M,467.78M,3.127B,,2001-03,354.73M,,354.73M,,354.73M,,,,,,354.73M,1.692B,,1.692B,,,,,1.692B,2.046B,,2001-03,674.78M,,,1.072B,,2001-03,,
2000-12,79.13M,,79.13M,,,,,,,2.391B,,,,2.471B,,,,,,,,76.39M,-38.28M,38.10M,,115.31M,115.31M,,,,260.79M,414.20M,2.885B,,2000-12,371.37M,,371.37M,,371.37M,,,,,,371.37M,1.485B,,1.485B,,,,,1.485B,1.856B,,2000-12,540.59M,36.95M,,1.020B,,2000-12,,
2000-09,72.52M,,72.52M,,,,,,,2.191B,,,,2.264B,,,,,,,,77.24M,-38.28M,38.96M,,115.97M,115.97M,,,,276.10M,431.02M,2.695B,,2000-09,375.35M,,375.35M,,375.35M,,,,,,375.35M,1.344B,,1.344B,,,,,1.344B,1.720B,,2000-09,537.14M,36.95M,,969.56M,,2000-09,,
2000-06,79.14M,,79.14M,,,,,,,2.182B,,,,2.262B,,,,,,,,46.99M,-5.00M,41.99M,,111.38M,111.38M,,,,252.92M,406.29M,2.668B,,2000-06,365.98M,,365.98M,,365.98M,,,,,,365.98M,1.389B,,1.389B,,,,,1.389B,1.755B,,2000-06,420.86M,36.95M,,907.88M,,2000-06,,
2000-03,85.40M,,85.40M,,,,,,,2.152B,,,,2.237B,,,,,,,,67.76M,-27.42M,40.34M,,113.12M,113.12M,,,,234.58M,388.04M,2.625B,,2000-03,344.82M,,344.82M,,344.82M,,,,,,344.82M,1.414B,,1.414B,,,,,1.414B,1.758B,,2000-03,420.64M,36.95M,,862.08M,,2000-03,,
1999-12,49.30M,,49.30M,,,,,,,1.990B,,,,2.039B,,,,,,,,43.30M,-5.00M,38.30M,,110.40M,110.40M,,,,231.00M,379.70M,2.419B,,1999-12,344.30M,,344.30M,,344.30M,,,,,,344.30M,1.236B,,1.236B,,,,0.10M,1.236B,1.580B,,1999-12,420.10M,27.80M,,833.70M,,1999-12,,
1999-09,128.60M,,128.60M,,,,,,,1.866B,,,,1.995B,,,,,,,,42.00M,-5.00M,37.00M,,112.50M,112.50M,,,,217.61M,367.11M,2.362B,,1999-09,368.80M,,368.80M,,368.80M,,,,,,368.80M,1.191B,,1.191B,,,,0.008M,1.191B,1.559B,,1999-09,419.30M,22.40M,,797.60M,,1999-09,,
1999-06,75.00M,,75.00M,,,,,,,1.813B,,,,1.888B,,,,,,,,,,37.20M,,111.60M,111.60M,,,,202.20M,351.00M,2.239B,,1999-06,329.50M,,329.50M,,329.50M,,,,,,329.50M,1.138B,,1.138B,,,,,1.138B,1.467B,,1999-06,,,,768.10M,,1999-06,,
1999-03,54.70M,,54.70M,,,,,,,1.706B,,,,1.761B,,,,,,,,40.80M,-5.00M,35.80M,,113.30M,113.30M,,,,192.50M,341.60M,2.103B,,1999-03,301.50M,,301.50M,,301.50M,,,,,,301.50M,1.067B,,1.067B,,,,2.00M,1.069B,1.371B,,1999-03,,,,728.60M,,1999-03,,
1998-12,93.80M,,93.80M,,,,,,,1.467B,,,,1.561B,,,,,,,,34.80M,-5.00M,29.80M,,62.00M,62.00M,,,,142.90M,234.70M,1.796B,,1998-12,256.80M,,256.80M,,256.80M,,,,,,256.80M,893.30M,,893.30M,,,,1.10M,894.40M,1.151B,,1998-12,,,,641.10M,,1998-12,,
1998-09,76.80M,,76.80M,,,,,,,1.358B,,,,1.435B,,,,,,,,30.50M,-5.00M,25.50M,,56.80M,56.80M,,,,150.70M,233.00M,1.668B,,1998-09,260.40M,,260.40M,,260.40M,,,,,,260.40M,854.50M,,854.50M,,,,0.10M,854.60M,1.115B,,1998-09,301.50M,,,549.40M,,1998-09,,
1998-06,112.90M,,112.90M,,,,,,,1.291B,,,-0.20M,1.404B,,,,,,,,29.30M,-5.00M,24.30M,,57.50M,57.50M,,,,136.10M,217.90M,1.622B,,1998-06,214.30M,,214.30M,,214.30M,,,,,,214.30M,900.90M,,900.90M,,,,10.50M,911.40M,1.126B,,1998-06,,,,492.60M,,1998-06,,
