,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2015-03,1.858B,,1.858B,1.663B,,1.663B,,,,,579.00M,5.806B,,10.11B,88.72B,-57.26B,31.46B,6.328B,878.00M,7.206B,,875.00M,39.54B,45.34B,1.335B,,1.054B,2.389B,,2.389B,,948.00M,500.00M,1.448B,,1.448B,,638.00M,638.00M,1.085B,5.56B,1.373B,10.30B,,10.30B,4.167B,4.167B,5.022B,,922.00M,16.76B,22.32B,41.00M,12.93B,4.542B,,,481.00M,18.00B
2014-12,1.48B,,1.48B,1.959B,,2.481B,,,,,544.00M,6.498B,,9.695B,88.18B,-51.89B,36.30B,6.303B,533.00M,6.836B,,1.007B,44.14B,50.64B,1.40B,,1.193B,2.593B,,2.593B,,932.00M,500.00M,1.432B,,1.432B,,730.00M,730.00M,1.18B,5.935B,1.339B,9.83B,,9.83B,6.244B,6.244B,4.802B,,948.00M,18.36B,24.30B,41.00M,16.63B,4.088B,,,779.00M,21.54B
2014-09,3.408B,,3.408B,2.009B,,2.009B,,,,,556.00M,5.973B,,9.204B,86.58B,-51.41B,35.17B,8.31B,,8.31B,,1.387B,44.87B,50.84B,1.344B,651.00M,1.455B,3.45B,,3.45B,,,1.898B,1.898B,,1.898B,,,,646.00M,5.994B,1.348B,10.16B,,10.16B,5.642B,5.642B,4.592B,,926.00M,18.08B,24.07B,41.00M,17.14B,4.004B,,,993.00M,22.18B
2014-06,1.706B,,1.706B,2.301B,,2.301B,,,,,385.00M,4.392B,,8.956B,88.18B,-51.18B,37.00B,8.408B,,8.408B,,1.316B,46.72B,51.12B,1.529B,,1.581B,3.11B,,3.11B,,456.00M,19.00M,475.00M,,475.00M,,,,1.094B,4.679B,1.541B,11.88B,,11.88B,5.927B,5.927B,4.585B,,1.029B,20.38B,25.06B,41.00M,16.22B,3.943B,,,1.27B,21.47B
2014-03,2.027B,,2.027B,2.58B,,2.58B,,,,,413.00M,5.02B,,8.801B,92.02B,-54.59B,37.43B,9.155B,,9.155B,,1.161B,47.74B,52.76B,1.581B,,1.529B,3.11B,,3.11B,,1.60B,2.189B,3.789B,,3.789B,,,,681.00M,7.58B,2.218B,11.74B,,11.74B,5.249B,5.249B,4.552B,,933.00M,20.14B,27.72B,41.00M,15.64B,3.836B,,,973.00M,20.49B
2013-12,6.066B,,6.066B,1.52B,,1.609B,,,,,255.00M,8.005B,,6.195B,82.98B,-54.53B,28.45B,5.858B,,5.858B,,567.00M,34.87B,42.88B,1.229B,,786.00M,2.015B,,2.015B,,1.317B,2.749B,4.066B,,4.066B,,19.00M,19.00M,555.00M,6.655B,2.14B,7.956B,,7.956B,4.793B,4.793B,0.00,,834.00M,15.72B,22.38B,41.00M,15.41B,3.78B,,,1.268B,20.50B
2013-09,4.32B,0.00,4.32B,1.52B,,1.52B,,,,,475.00M,6.315B,,6.05B,82.38B,-54.42B,27.96B,5.954B,,5.954B,,615.00M,34.53B,40.85B,1.269B,,807.00M,2.076B,,2.076B,,,,2.112B,,2.112B,,,,594.00M,4.782B,2.161B,7.956B,,7.956B,4.505B,4.505B,,,830.00M,15.45B,20.23B,41.00M,15.29B,3.777B,,,1.502B,20.61B
2013-06,3.363B,869.00M,4.232B,1.538B,,1.538B,,,,,587.00M,6.357B,,5.839B,80.28B,-53.35B,26.92B,5.917B,,5.917B,,821.00M,33.66B,40.02B,1.197B,,830.00M,2.027B,,2.027B,,,,2.194B,,2.194B,,,,644.00M,4.865B,2.121B,7.956B,,7.956B,4.196B,4.196B,,,816.00M,15.09B,19.95B,41.00M,14.95B,3.747B,,,1.326B,20.07B
2013-03,5.275B,1.226B,6.501B,1.369B,,1.369B,,,,,533.00M,8.403B,,5.792B,79.65B,-53.27B,26.38B,6.017B,,6.017B,,780.00M,33.18B,41.58B,1.409B,,753.00M,2.162B,,2.162B,,,,4.197B,,4.197B,,,,441.00M,6.80B,2.092B,7.955B,,7.955B,4.154B,4.154B,,,873.00M,15.07B,21.87B,41.00M,14.36B,3.717B,,,1.592B,19.71B
2012-12,4.637B,2.343B,6.98B,1.245B,,1.245B,,,,,746.00M,8.971B,,5.63B,78.35B,-51.03B,27.32B,6.079B,,6.079B,,960.00M,34.36B,43.33B,1.451B,,750.00M,2.201B,,2.201B,,,,3.189B,,3.189B,,,,613.00M,6.003B,1.996B,8.455B,,8.455B,4.693B,4.693B,,,901.00M,16.04B,22.05B,41.00M,15.78B,3.688B,,,1.771B,21.28B
