,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2009-12,646.00M,,646.00M,1.208B,,1.208B,,,,,481.00M,2.992B,,4.045B,60.48B,-41.71B,18.77B,5.93B,,5.93B,,1.997B,26.69B,29.69B,1.137B,,,1.623B,,1.623B,,,,1.432B,,1.432B,,,,747.00M,3.802B,1.418B,5.847B,,5.847B,1.899B,1.899B,,,937.00M,10.31B,14.12B,45.00M,7.613B,6.527B,0.00,,1.385B,15.57B
2009-09,905.00M,131.00M,1.036B,1.142B,,1.189B,,,,,384.00M,2.609B,,,65.81B,-46.94B,18.87B,5.929B,,5.929B,,731.00M,25.53B,28.14B,1.113B,,,1.481B,,1.481B,108.00M,,,1.545B,,1.545B,,,,309.00M,3.443B,1.511B,5.848B,,5.848B,1.709B,1.709B,,,977.00M,10.04B,13.49B,44.00M,7.017B,6.41B,,,1.182B,14.65B
2009-06,648.00M,226.00M,874.00M,1.318B,,1.345B,,,,,358.00M,2.577B,,,63.38B,-45.30B,18.09B,5.71B,,5.71B,,683.00M,24.48B,27.06B,1.074B,,,1.451B,358.00M,1.809B,175.00M,,,1.508B,,1.508B,,,,,3.492B,1.411B,5.849B,,5.849B,1.587B,1.587B,,,1.036B,9.883B,13.38B,44.00M,6.589B,6.363B,,,686.00M,13.68B
2009-03,397.00M,,397.00M,1.221B,,1.327B,,,,,652.00M,2.376B,,,56.78B,-39.57B,17.22B,5.509B,,5.509B,,622.00M,23.35B,25.72B,1.261B,,,1.261B,370.00M,1.631B,,,,1.073B,,1.073B,,373.00M,,157.00M,3.234B,,5.851B,,5.851B,1.364B,1.364B,,,2.332B,9.547B,12.78B,44.00M,6.347B,6.31B,,,241.00M,12.94B
2008-12,195.00M,282.00M,477.00M,1.30B,,1.30B,,,,,907.00M,2.684B,,,53.39B,-31.36B,22.03B,5.511B,,5.511B,1.128B,554.00M,29.22B,31.91B,1.612B,,490.00M,2.102B,,2.102B,,,180.00M,180.00M,138.00M,318.00M,,,,715.00M,3.135B,,5.661B,1.249B,6.91B,3.614B,3.614B,,,1.189B,11.71B,14.85B,44.00M,10.38B,6.257B,,,383.00M,17.06B
2008-09,1.193B,1.00M,1.194B,1.71B,,1.71B,,,,,515.00M,3.419B,,,53.75B,-22.30B,31.45B,5.966B,,5.966B,,1.82B,39.24B,42.66B,1.559B,,,1.559B,410.00M,1.969B,,,,,,,775.00M,775.00M,,315.00M,3.059B,,4.837B,,4.837B,7.179B,7.179B,,,2.29B,14.31B,17.36B,44.00M,17.26B,6.219B,,,1.762B,25.29B
2008-06,1.837B,1.00M,1.838B,2.46B,,2.46B,,,,775.00M,360.00M,5.433B,,,51.95B,-21.77B,30.18B,6.081B,,6.081B,,2.082B,38.35B,43.78B,1.525B,,,1.525B,473.00M,1.998B,,,,2.125B,,2.125B,,,,1.909B,6.032B,,4.829B,,4.829B,7.044B,7.044B,,,2.442B,14.32B,20.35B,44.00M,14.72B,6.591B,50.00M,,2.131B,23.43B
2008-03,1.875B,23.00M,1.898B,2.09B,,2.09B,,,,325.00M,344.00M,4.657B,,,49.82B,-20.88B,28.93B,6.054B,,6.054B,,3.341B,38.33B,42.98B,1.44B,,,1.44B,466.00M,1.906B,,,,1.446B,,1.446B,,,,1.643B,4.995B,,6.371B,,6.371B,6.339B,6.339B,,,2.882B,15.59B,20.59B,46.00M,13.49B,6.82B,,1.00M,2.043B,22.40B
2007-12,1.364B,372.00M,1.736B,1.779B,30.00M,1.809B,145.00M,46.00M,,,178.00M,3.914B,,,48.47B,-20.39B,28.08B,6.172B,,6.172B,,3.291B,37.54B,41.46B,1.36B,,,1.36B,391.00M,1.751B,,,,1.004B,,1.004B,,,,902.00M,3.657B,,6.924B,,6.924B,6.042B,6.042B,,,2.827B,15.79B,19.45B,45.00M,12.81B,6.743B,,1.00M,2.405B,22.01B
2007-09,1.392B,341.00M,1.733B,1.435B,,1.435B,,,,,516.00M,3.684B,,,46.55B,-19.56B,26.98B,6.15B,,6.15B,,3.452B,36.59B,40.27B,1.268B,,,1.268B,516.00M,1.784B,,,,2.076B,,2.076B,,,,906.00M,4.766B,,5.873B,,5.873B,5.992B,5.992B,,,2.808B,14.67B,19.44B,46.00M,11.56B,6.883B,,1.00M,2.339B,20.83B
2007-06,1.042B,315.00M,1.357B,1.375B,,1.375B,,,,,434.00M,3.166B,,,43.99B,-18.34B,25.65B,5.961B,,5.961B,,3.25B,34.86B,38.03B,1.139B,,,1.139B,392.00M,1.531B,,,,2.022B,,2.022B,,,,863.00M,4.416B,,5.574B,,5.574B,5.602B,5.602B,,,2.753B,13.93B,18.34B,46.00M,10.89B,6.956B,,1.00M,1.791B,19.69B
2007-03,615.00M,275.00M,890.00M,1.361B,,1.361B,,,,66.00M,419.00M,2.736B,,,41.54B,-17.13B,24.41B,5.741B,,5.741B,,3.093B,33.24B,35.98B,1.236B,,,1.236B,402.00M,1.638B,,,,1.857B,,1.857B,,,,945.00M,4.44B,,5.571B,,5.571B,5.27B,5.27B,,,2.541B,13.38B,17.82B,45.00M,10.06B,6.897B,,1.00M,1.159B,18.16B
2006-12,692.00M,574.00M,1.266B,1.324B,,1.324B,,,,102.00M,520.00M,3.212B,,,39.58B,-16.43B,23.16B,5.706B,,5.706B,,2.989B,31.85B,35.06B,1.154B,,,1.154B,456.00M,1.61B,,,,2.205B,,2.205B,,,,830.00M,4.645B,,5.568B,,5.568B,5.29B,5.29B,,,2.118B,12.98B,17.62B,45.00M,9.114B,6.84B,1.00M,1.00M,1.444B,17.44B
2006-09,1.196B,124.00M,1.32B,1.317B,,1.317B,,,,71.00M,228.00M,2.936B,,,41.25B,-17.15B,24.10B,5.822B,,5.822B,,1.377B,31.30B,34.23B,1.657B,,,1.657B,407.00M,2.064B,,,,1.439B,,1.439B,,,,323.00M,3.826B,,5.962B,,5.962B,5.625B,5.625B,,,1.602B,13.19B,17.02B,45.00M,8.586B,6.791B,1.00M,1.00M,1.796B,17.22B
2006-06,1.03B,332.00M,1.362B,1.404B,,1.404B,,,,90.00M,189.00M,3.045B,,,39.77B,-16.45B,23.32B,5.823B,,5.823B,,1.331B,30.47B,33.52B,1.629B,,,1.629B,251.00M,1.88B,,,,2.098B,,2.098B,,,,220.00M,4.198B,,5.956B,,5.956B,5.552B,5.552B,,,1.319B,12.83B,17.02B,45.00M,7.932B,6.762B,18.00M,1.00M,1.772B,16.49B
2006-03,1.494B,734.00M,2.228B,1.32B,,1.32B,,,,69.00M,177.00M,3.794B,,,35.67B,-15.65B,20.02B,5.702B,,5.702B,,1.246B,26.97B,30.76B,1.639B,,,1.639B,144.00M,1.783B,,,,665.00M,,665.00M,,,,479.00M,2.927B,,5.954B,,5.954B,5.439B,5.439B,,,1.143B,12.54B,15.46B,45.00M,7.126B,6.733B,18.00M,1.00M,1.416B,15.30B
2005-12,1.593B,680.00M,2.273B,1.565B,,1.565B,,,,158.00M,210.00M,4.206B,31.96B,1.863B,33.82B,-14.91B,18.91B,5.705B,,5.705B,,1.451B,26.07B,30.27B,1.594B,,,1.594B,298.00M,1.892B,,,,662.00M,,662.00M,,,,380.00M,2.934B,,5.957B,,5.957B,5.405B,5.405B,,,1.115B,12.48B,15.41B,45.00M,6.477B,6.928B,2.00M,1.00M,1.414B,14.86B
2005-09,1.095B,791.00M,1.886B,1.516B,,1.516B,,,,180.00M,177.00M,3.759B,,,33.31B,-14.59B,18.72B,,5.729B,5.729B,,1.313B,25.76B,29.52B,1.489B,,,1.489B,254.00M,1.743B,,,,900.00M,,900.00M,,,,435.00M,3.078B,,5.252B,,5.252B,5.373B,5.373B,,,1.876B,12.50B,15.58B,46.00M,5.543B,7.645B,567.00M,1.00M,1.277B,13.94B
