,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,703.90M,0.00,,3.30M,14.70M,18.00M,,134.00M,134.00M,31.70M,,81.50M,33.50M,,-4.20M,47.00M,-82.40M,814.30M,,,-596.20M,182.70M,1.181B,-84.10M,,-84.10M,0.00,-423.70M,465.60M,-10.20M,-52.40M,0.00,,0.00,,-1.25B,-1.25B,,7.40M,-70.30M,-1.313B,2.385B,-184.20M,24.10M,2.225B,,0.00,0.00,-1.25B
2020-06,1.606B,0.00,,-3.30M,,-3.30M,,112.90M,112.90M,143.30M,,-101.70M,48.10M,,49.70M,40.10M,-126.00M,-94.00M,,,273.00M,93.10M,1.948B,-105.00M,,-105.00M,0.00,-141.80M,-578.60M,-7.30M,-832.70M,1.467B,,1.467B,,-2.809B,-2.809B,,10.40M,17.80M,-1.313B,2.591B,-197.60M,-8.80M,2.385B,,2.967B,-1.50B,-2.809B
2020-03,1.393B,0.00,,,0.00,0.00,,119.90M,119.90M,36.90M,,62.00M,67.70M,,116.10M,-159.80M,-62.20M,-347.40M,,,241.50M,-327.90M,1.467B,-261.70M,,-149.70M,-112.00M,0.00,705.10M,-0.50M,442.90M,,,,,-2.220B,-2.220B,,-29.60M,4.50M,-2.245B,2.914B,-335.10M,12.70M,2.591B,,,,-2.220B
2019-12,1.440B,-40.20M,,,-63.50M,-103.70M,,113.00M,113.00M,38.70M,,189.80M,38.40M,,-15.60M,63.30M,-66.50M,349.30M,,,-42.90M,259.90M,1.960B,-265.40M,,-110.40M,-155.00M,0.00,942.20M,31.60M,708.40M,0.00,,0.00,,-2.093B,-2.093B,,16.90M,-40.20M,-2.116B,2.344B,552.20M,17.60M,2.914B,,,0.00,-2.093B
2019-09,1.546B,-17.70M,,,63.50M,45.80M,,329.50M,329.50M,-43.20M,,9.40M,45.90M,,-61.50M,-24.30M,-61.40M,107.00M,,,-198.20M,-176.90M,1.695B,-90.10M,,-90.10M,0.00,923.70M,-1.199B,-0.60M,-365.90M,0.00,,0.00,,-717.90M,-717.90M,,6.70M,22.20M,-689.00M,1.723B,640.00M,-19.50M,2.344B,,0.00,0.00,-717.90M
2019-06,1.494B,-2.30M,,,,-2.30M,,117.00M,117.00M,-156.40M,,175.80M,52.30M,,20.40M,103.10M,-20.30M,-77.70M,,,258.00M,263.10M,1.964B,-186.90M,,-186.90M,0.00,-744.40M,826.20M,-5.70M,-110.80M,0.00,,0.00,,-2.402B,-2.402B,,8.60M,17.20M,-2.376B,2.243B,-522.50M,2.70M,1.723B,,0.00,0.00,-2.402B
2019-03,1.409B,115.50M,,,0.00,115.50M,,121.10M,121.10M,228.00M,,-375.00M,45.70M,,62.20M,-136.60M,129.00M,-138.40M,,,-0.80M,-146.80M,1.460B,-127.10M,,-127.10M,0.00,-300.00M,664.20M,1.70M,238.80M,,,,,-655.80M,-655.80M,,-32.20M,8.70M,-679.30M,1.225B,1.019B,-0.40M,2.243B,,,,-655.80M
2018-12,944.90M,0.00,,,,0.00,,329.70M,329.70M,153.10M,,136.90M,38.50M,,-58.50M,54.50M,-20.20M,364.80M,,,87.10M,350.80M,1.895B,-225.90M,,-225.90M,0.00,-300.00M,-1.099B,-0.80M,-1.625B,0.00,,0.00,,-1.353B,-1.353B,,6.70M,-91.10M,-1.437B,2.387B,-1.167B,4.80M,1.225B,,,0.00,-1.353B
2018-09,1.443B,0.00,,,0.00,0.00,,346.50M,346.50M,12.60M,,-137.90M,37.30M,,-36.80M,-66.80M,8.20M,87.40M,,,42.50M,71.30M,1.736B,-190.70M,,-163.20M,-27.50M,-300.00M,-127.50M,-0.90M,-619.10M,-3.20M,,-3.20M,,0.00,0.00,,7.60M,20.70M,25.10M,1.250B,1.142B,-5.40M,2.387B,,,-3.20M,0.00
2018-06,915.00M,,,,,,,171.50M,171.50M,-110.50M,,1.00M,38.30M,,90.30M,-53.20M,-42.70M,135.10M,,,-45.50M,-6.30M,1.099B,-264.80M,,-186.80M,-78.00M,-300.00M,-584.20M,0.50M,-1.148B,,,,,-2.75B,-2.75B,,6.90M,-48.40M,-2.792B,4.108B,-2.841B,-17.10M,1.250B,,,,-2.75B
