,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,217.54M,0.00,9.52M,96.48M,156.89M,156.89M,59.68M,0.00,25.09M,,-2.979M,42.36M,-7.749M,16.30M,,-22.66M,-98.24M,-69.98M,,482.73M,-158.23M,,-158.23M,,-69.84M,135.02M,12.72M,-80.17M,-1.790B,-1.790B,,-704.08M,-704.08M,,5.944M,-133.60M,-2.621B,3.036B,-2.219B,0.33M,817.34M,0.00,,1.502B,-3.292B,-704.08M
2020-06,254.87M,16.25M,2.988M,19.24M,157.38M,157.38M,28.80M,0.00,22.26M,,-10.94M,-58.86M,-2.531M,8.187M,,142.51M,90.22M,179.52M,,651.12M,-136.72M,,-136.72M,,-12.09M,-135.09M,39.10M,-244.51M,1.223B,1.223B,,0.00,0.00,,-4.503M,-75.68M,1.143B,1.488B,1.549B,-1.958M,3.036B,0.00,,1.754B,-530.75M,0.00
2020-03,287.90M,,-9.482M,-9.482M,154.68M,154.68M,103.30M,0.00,19.87M,,5.939M,-57.93M,1.835M,-24.04M,,3.982M,-125.66M,-201.82M,,360.38M,-154.94M,,-154.94M,,-40.28M,0.635M,31.52M,-162.62M,465.84M,465.84M,,-321.80M,-321.80M,,2.397M,-49.44M,96.99M,1.209B,294.75M,-14.98M,1.488B,0.00,,570.78M,-104.94M,-321.80M
2019-12,302.96M,0.00,3.451M,3.451M,158.47M,158.47M,-30.87M,0.00,20.04M,,25.29M,54.20M,0.639M,22.12M,,41.89M,82.34M,201.19M,,680.53M,-219.36M,,-219.36M,,-24.11M,89.72M,13.77M,-138.68M,-114.77M,-114.77M,,-546.79M,-546.79M,,4.049M,-35.17M,-692.69M,1.357B,-150.84M,2.418M,1.209B,0.00,,5.859M,-120.63M,-546.79M
2019-09,201.69M,0.00,2.50M,35.90M,155.92M,155.92M,11.88M,83.86M,18.77M,,-1.566M,162.21M,-2.023M,-37.78M,,-11.73M,23.58M,134.27M,,640.71M,-173.26M,,-173.26M,,-13.43M,-95.35M,12.24M,-268.67M,-804.94M,-804.94M,,-1.764B,-1.764B,,5.226M,-129.56M,-2.693B,3.682B,-2.321B,-4.101M,1.357B,0.00,,6.153B,-6.958B,-1.764B
2019-06,327.16M,23.02M,2.968M,25.99M,152.24M,152.24M,19.33M,0.00,16.94M,,24.14M,-162.49M,8.218M,-30.35M,,134.54M,94.09M,44.02M,,609.81M,-175.04M,,-175.04M,,-57.34M,-2.044M,3.837B,3.603B,-1.518B,-1.518B,,-73.08M,-73.08M,,0.59M,-45.33M,-1.636B,561.43M,3.120B,0.844M,3.682B,542.78M,,15.23B,-16.75B,-73.08M
2019-03,189.49M,,-0.337M,-0.337M,148.53M,148.53M,41.37M,41.04M,12.11M,,1.72M,-131.09M,3.324M,-38.54M,,17.24M,-143.54M,-292.61M,,141.30M,-198.88M,,-198.88M,,-15.34M,-0.197M,13.90M,-200.36M,357.20M,357.20M,,0.00,0.00,,1.517M,-33.76M,324.95M,415.42M,146.94M,-0.921M,561.43M,-118.96M,,17.13B,-16.78B,0.00
2018-12,-101.84M,-28.15M,17.84M,-10.31M,155.16M,155.16M,73.60M,41.54M,13.46M,,234.36M,231.20M,-14.85M,-23.16M,,-203.09M,-6.666M,-16.56M,,389.39M,-281.48M,,-281.48M,,-75.93M,-1.915M,14.94M,-344.32M,-151.06M,-151.06M,,0.00,0.00,,4.774M,-55.73M,-202.02M,540.16M,-127.18M,2.44M,415.42M,29.77M,,18.26B,-18.41B,0.00
2018-09,-96.67M,1.506M,9.045M,10.55M,146.00M,146.00M,143.17M,6.093M,39.74M,,120.52M,118.05M,16.72M,-48.03M,,-12.70M,14.21M,88.26M,,457.67M,-231.68M,,-231.68M,,-26.69M,1.523M,19.03M,-237.26M,274.05M,274.05M,,-356.33M,-356.33M,,5.671M,-40.82M,-117.43M,480.15M,62.32M,-2.317M,540.16M,-40.66M,,13.55B,-13.27B,-356.33M
2018-06,306.32M,-59.05M,-3.998M,-63.05M,147.08M,147.08M,13.26M,14.35M,10.18M,,34.38M,-95.61M,14.01M,98.06M,,8.942M,74.12M,99.52M,,562.04M,-241.53M,,-241.53M,,-80.65M,-0.004M,97.71M,-223.94M,467.11M,467.11M,,-514.80M,-514.80M,,4.317M,-39.99M,-83.36M,447.62M,42.67M,-10.14M,480.15M,-212.07M,,14.82B,-14.35B,-514.80M
