,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-10,,5.996B,,5.996B,,,,12.71B,,,1.601B,20.31B,0.00,6.063B,31.40B,8.549B,2.208B,518.00M,48.74B,-19.76B,28.98B,,,,,,,1.371B,30.35B,50.66B,14.20B,,,14.20B,5.023B,19.23B,,131.00M,,131.00M,,19.36B,12.49B,2.196B,14.69B,1.171B,,1.171B,,2.128B,17.98B,37.34B,42.00M,7.789B,6.285B,,,,-797.00M,13.32B
2020-07,,7.284B,,7.284B,,,,8.876B,,,1.463B,17.62B,0.00,6.027B,30.95B,8.296B,2.233B,811.00M,48.31B,-19.34B,28.97B,,,,,,,1.405B,30.38B,48.00B,10.73B,,,10.73B,5.057B,15.78B,,109.00M,,109.00M,,15.89B,14.19B,2.241B,16.43B,1.121B,,1.121B,,1.98B,19.53B,35.42B,42.00M,7.121B,6.248B,,,,-833.00M,12.58B
2020-04,,4.566B,,4.566B,,,,8.584B,,,1.465B,14.62B,0.00,6.034B,30.76B,8.083B,2.235B,803.00M,47.91B,-19.09B,28.82B,,,,,,,1.367B,30.19B,44.81B,9.625B,,,9.625B,4.619B,14.24B,,168.00M,,168.00M,,14.41B,14.07B,2.249B,16.32B,1.122B,,1.122B,,1.781B,19.22B,33.64B,42.00M,5.775B,6.206B,,,,-854.00M,11.17B
2020-01,326.00M,767.00M,1.81B,2.577B,,464.00M,962.00M,8.992B,154.00M,,217.00M,12.90B,0.00,6.036B,30.60B,8.775B,2.236B,533.00M,48.18B,-19.66B,28.52B,,,686.00M,418.00M,,,254.00M,29.88B,42.78B,9.92B,333.00M,601.00M,10.85B,1.004B,11.86B,161.00M,161.00M,200.00M,361.00M,955.00M,14.49B,11.34B,2.275B,13.61B,1.122B,539.00M,2.154B,417.00M,95.00M,16.46B,30.95B,42.00M,6.433B,6.226B,,,,-868.00M,11.83B
2019-10,,969.00M,,969.00M,,,,11.40B,,,1.44B,13.80B,0.00,6.04B,30.47B,8.668B,2.151B,298.00M,47.62B,-19.09B,28.54B,,,,,,,1.401B,29.94B,43.74B,11.26B,,,11.26B,4.191B,15.45B,,1.159B,,1.159B,,16.61B,10.51B,2.208B,12.72B,1.215B,,1.215B,,1.652B,15.59B,32.20B,42.00M,6.27B,6.006B,,,,-773.00M,11.54B
2019-07,,1.656B,,1.656B,,,,9.122B,,,1.341B,12.12B,0.00,6.054B,29.91B,8.249B,2.062B,667.00M,46.94B,-18.87B,28.07B,,,,,,,1.373B,29.45B,41.57B,9.152B,,,9.152B,4.059B,13.21B,,1.153B,,1.153B,,14.36B,10.36B,2.111B,12.48B,1.082B,,1.082B,,1.808B,15.37B,29.73B,43.00M,6.461B,6.114B,,,,-782.00M,11.84B
2019-04,,1.173B,,1.173B,,,,9.06B,,,1.374B,11.61B,0.00,6.061B,29.57B,7.954B,2.019B,574.00M,46.18B,-18.46B,27.72B,,,,,,,1.287B,29.01B,40.62B,8.36B,,,8.36B,3.823B,12.18B,,1.056B,,1.056B,,13.24B,11.36B,2.064B,13.42B,1.034B,,1.034B,,1.808B,16.26B,29.50B,43.00M,5.958B,5.908B,,,,-792.00M,11.12B
2019-01,359.00M,787.00M,769.00M,1.556B,,468.00M,1.10B,9.497B,157.00M,,209.00M,12.52B,0.00,6.064B,29.24B,8.456B,1.965B,460.00M,46.18B,-18.69B,27.50B,,,699.00M,380.00M,,,194.00M,28.77B,41.29B,9.761B,331.00M,601.00M,10.69B,902.00M,11.60B,1.052B,1.052B,166.00M,1.218B,830.00M,15.01B,10.22B,2.004B,12.23B,972.00M,570.00M,2.014B,321.00M,105.00M,14.98B,29.99B,43.00M,6.017B,6.042B,,,,-805.00M,11.30B
2018-10,,825.00M,,825.00M,,,,12.39B,,,1.421B,14.64B,0.00,6.069B,29.09B,8.444B,1.997B,384.00M,45.98B,-18.38B,27.60B,,,,,,,1.329B,28.93B,43.57B,11.96B,,,11.96B,4.096B,16.06B,,1.535B,,1.535B,,17.59B,10.10B,2.046B,12.15B,970.00M,,970.00M,,1.782B,14.90B,32.49B,43.00M,5.884B,5.867B,,,,-714.00M,11.08B
2018-07,,1.18B,,1.18B,,,,9.112B,,,1.211B,11.50B,0.00,6.074B,28.63B,7.931B,1.976B,685.00M,45.30B,-18.15B,27.15B,,,,,,,1.345B,28.49B,40.00B,9.116B,,,9.116B,3.878B,12.99B,,1.044B,,1.044B,,14.04B,10.11B,2.028B,12.14B,828.00M,,828.00M,,1.827B,14.79B,28.83B,44.00M,6.058B,5.788B,,,,-723.00M,11.17B
2018-04,,1.06B,,1.06B,,,,8.652B,,,1.164B,10.88B,0.00,6.09B,28.36B,7.646B,1.958B,639.00M,44.70B,-17.97B,26.72B,,,,,,,1.328B,28.05B,38.93B,8.131B,,,8.131B,3.63B,11.76B,,283.00M,,283.00M,,12.04B,11.11B,2.007B,13.11B,744.00M,,744.00M,,1.869B,15.73B,27.77B,44.00M,6.187B,5.664B,,,,-737.00M,11.16B
2018-01,337.00M,737.00M,1.906B,2.643B,,416.00M,929.00M,8.597B,157.00M,,214.00M,12.54B,0.00,6.095B,28.13B,8.268B,1.884B,440.00M,44.82B,-18.40B,26.42B,630.00M,79.00M,709.00M,383.00M,,,205.00M,27.76B,40.30B,8.677B,336.00M,670.00M,9.683B,794.00M,10.48B,281.00M,281.00M,148.00M,429.00M,796.00M,13.05B,11.12B,1.924B,13.04B,693.00M,600.00M,1.796B,319.00M,112.00M,15.60B,28.65B,45.00M,6.495B,5.858B,,,,-747.00M,11.65B
2017-10,,2.725B,,2.725B,,,,10.59B,,,1.392B,14.71B,0.00,6.087B,28.31B,8.206B,,389.00M,42.99B,-17.88B,25.11B,,,,,,,887.00M,26.00B,40.71B,9.986B,,,9.986B,4.036B,14.02B,,1.354B,,1.354B,,15.38B,11.28B,,11.28B,944.00M,,944.00M,,1.963B,14.20B,29.57B,45.00M,5.94B,5.762B,,,,-610.00M,11.14B
2017-07,,2.291B,,2.291B,,,,8.257B,,,1.053B,11.62B,0.00,6.089B,28.04B,7.879B,,423.00M,42.43B,-17.57B,24.86B,,,,,,,885.00M,25.75B,37.37B,7.584B,,,7.584B,3.79B,11.37B,,1.354B,,1.354B,1.00M,12.73B,10.89B,,10.89B,784.00M,,784.00M,,1.845B,13.54B,26.27B,46.00M,5.961B,5.707B,,,,-616.00M,11.10B
2017-04,,2.68B,,2.68B,,,,7.986B,,,1.047B,11.74B,0.00,6.105B,27.74B,7.723B,,379.00M,41.95B,-17.26B,24.68B,,,,,,,797.00M,25.48B,37.22B,6.537B,,,6.537B,4.137B,10.67B,,1.717B,,1.717B,1.00M,12.39B,11.09B,,11.09B,869.00M,,869.00M,,1.832B,13.80B,26.20B,46.00M,5.927B,5.674B,,,,-626.00M,11.02B
2017-01,,2.512B,,2.512B,,385.00M,749.00M,8.309B,207.00M,,213.00M,11.99B,0.00,6.106B,27.61B,8.154B,,200.00M,42.07B,-17.41B,24.66B,133.00M,126.00M,259.00M,345.00M,,,136.00M,25.44B,37.43B,7.252B,334.00M,729.00M,8.315B,1.035B,9.35B,,1.718B,,1.718B,686.00M,12.71B,11.03B,,11.03B,861.00M,630.00M,1.964B,352.00M,299.00M,13.77B,26.48B,46.00M,5.884B,5.661B,,,,-638.00M,10.95B
2016-10,,1.231B,,1.231B,,,,10.06B,,,1.492B,12.84B,0.00,6.106B,27.52B,8.005B,,219.00M,41.85B,-16.95B,24.90B,,,,,,,859.00M,25.76B,38.60B,8.25B,,,8.25B,3.662B,11.91B,,729.00M,,729.00M,1.00M,12.64B,12.10B,,12.10B,920.00M,,920.00M,,1.857B,14.89B,27.53B,47.00M,6.031B,5.598B,,-571.00M,-36.00M,-607.00M,11.07B
2016-07,,1.48B,,1.48B,,,,8.631B,,,1.309B,11.50B,0.00,6.111B,27.32B,7.786B,,232.00M,41.44B,-16.51B,24.93B,,,,,,,851.00M,25.78B,37.29B,6.811B,,,6.811B,3.544B,10.36B,,647.00M,,647.00M,1.00M,11.00B,12.06B,,12.06B,754.00M,,754.00M,,1.872B,14.71B,25.71B,48.00M,6.579B,5.562B,,-576.00M,-36.00M,-612.00M,11.58B
2016-04,,4.036B,,4.036B,,,,8.459B,,,1.099B,13.95B,0.00,6.12B,27.20B,7.549B,,242.00M,41.11B,-16.06B,25.05B,,,,,,,911.00M,25.96B,39.91B,6.391B,,,6.391B,3.833B,10.22B,,1.627B,,1.627B,168.00M,12.02B,12.60B,,12.60B,841.00M,,841.00M,,1.889B,15.34B,27.36B,49.00M,7.593B,5.52B,,-581.00M,-36.00M,-617.00M,12.54B
