,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,1.014B,,512.00M,603.00M,603.00M,38.00M,,57.00M,38.00M,,-3.836B,3.662B,-160.00M,,,-334.00M,0.00,1.928B,-595.00M,17.00M,-578.00M,,-5.00M,,-583.00M,-2.269B,,-2.269B,,-35.00M,-35.00M,-340.00M,-340.00M,11.00M,,-2.633B,7.284B,-1.288B,,5.996B,,0.00,-2.269B,-35.00M
2020-07,1.69B,,,604.00M,604.00M,-8.00M,,55.00M,81.00M,,-292.00M,1.727B,-25.00M,,,1.41B,0.00,3.832B,-663.00M,4.00M,-659.00M,,1.00M,,-658.00M,-109.00M,,-109.00M,,-20.00M,-20.00M,-330.00M,-330.00M,3.00M,,-456.00M,4.566B,2.718B,,7.284B,,0.00,-109.00M,-20.00M
2020-04,284.00M,,,641.00M,641.00M,-4.00M,,49.00M,5.00M,,408.00M,-110.00M,11.00M,,,309.00M,,1.284B,-751.00M,6.00M,-745.00M,,1.00M,,-744.00M,2.463B,,2.463B,,-686.00M,-686.00M,-332.00M,-332.00M,4.00M,,1.449B,2.577B,1.989B,,4.566B,,2.48B,-17.00M,-686.00M
2020-01,833.00M,,,699.00M,699.00M,-57.00M,,31.00M,23.00M,,2.404B,-1.013B,28.00M,,,1.419B,0.00,2.958B,-624.00M,34.00M,-590.00M,,6.00M,,-584.00M,-283.00M,,-283.00M,,-156.00M,-156.00M,-335.00M,-335.00M,8.00M,,-766.00M,969.00M,1.608B,,2.577B,,745.00M,-1.028B,-156.00M
2019-10,706.00M,,,638.00M,638.00M,131.00M,,30.00M,-36.00M,,-2.274B,2.21B,-74.00M,,,-138.00M,16.00M,1.347B,-1.009B,19.00M,-990.00M,,14.00M,,-976.00M,-15.00M,,-15.00M,,-747.00M,-747.00M,-337.00M,-337.00M,41.00M,,-1.058B,1.656B,-687.00M,,969.00M,,0.00,-15.00M,-747.00M
2019-07,938.00M,,,623.00M,623.00M,45.00M,,40.00M,32.00M,,-63.00M,825.00M,47.00M,,,809.00M,2.00M,2.489B,-739.00M,5.00M,-734.00M,,-1.00M,,-735.00M,-1.013B,,-1.013B,,58.00M,58.00M,-328.00M,-328.00M,12.00M,,-1.271B,1.173B,483.00M,,1.656B,,0.00,-1.013B,58.00M
2019-04,792.00M,,,644.00M,644.00M,59.00M,,46.00M,10.00M,,438.00M,-1.683B,17.00M,,,-1.228B,,323.00M,-655.00M,5.00M,-650.00M,,1.00M,,-649.00M,981.00M,,981.00M,,-720.00M,-720.00M,-330.00M,-330.00M,12.00M,,-57.00M,1.556B,-383.00M,,1.173B,,994.00M,-13.00M,-720.00M
2019-01,798.00M,,,648.00M,648.00M,61.00M,,26.00M,10.00M,,2.896B,-1.924B,-159.00M,,,813.00M,-7.00M,2.349B,-643.00M,46.00M,-597.00M,,0.00,,-597.00M,-13.00M,-490.00M,-503.00M,,-189.00M,-189.00M,-334.00M,-334.00M,5.00M,,-1.021B,825.00M,731.00M,,1.556B,,-490.00M,-13.00M,-189.00M
2018-10,616.00M,,,592.00M,592.00M,132.00M,,35.00M,-14.00M,,-3.281B,2.952B,-141.00M,,,-470.00M,9.00M,900.00M,-1.017B,24.00M,-993.00M,,12.00M,,-981.00M,-13.00M,490.00M,477.00M,,-456.00M,-456.00M,-336.00M,-336.00M,41.00M,,-274.00M,1.18B,-355.00M,,825.00M,,490.00M,-13.00M,-456.00M
2018-07,799.00M,,,603.00M,603.00M,81.00M,,29.00M,59.00M,,-460.00M,1.125B,-25.00M,,,640.00M,-1.00M,2.21B,-1.029B,11.00M,-1.018B,,-2.00M,,-1.02B,-243.00M,,-243.00M,,-530.00M,-530.00M,-331.00M,-331.00M,34.00M,,-1.07B,1.06B,120.00M,,1.18B,,0.00,-243.00M,-530.00M
