,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,22.34B,22.63B,15.51B,7.123B,4.647B,,632.00M,,-632.00M,,5.188B,1.935B,,632.00M,-632.00M,-5.00M,-632.00M,1.298B,284.00M,1.014B,0.00,,1.014B,1.014B,2.533B,603.00M,1.93B,2.02,0.0,,2.02,2.02,2.01,0.0,,2.01,2.01,500.60M,505.40M,0.68
2020-07,22.70B,22.98B,15.67B,7.302B,4.46B,,122.00M,,-122.00M,,5.002B,2.30B,,122.00M,-122.00M,11.00M,-122.00M,2.189B,499.00M,1.69B,0.00,,1.69B,1.69B,2.915B,604.00M,2.311B,3.38,0.0,,3.38,3.38,3.35,0.0,,3.35,3.35,500.10M,504.40M,0.66
2020-04,19.37B,19.62B,14.51B,5.105B,4.06B,,117.00M,,-117.00M,,4.637B,468.00M,,117.00M,-117.00M,-22.00M,-117.00M,329.00M,45.00M,284.00M,0.00,,284.00M,284.00M,1.087B,641.00M,446.00M,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,501.00M,505.80M,0.66
2020-01,23.13B,23.40B,17.06B,6.343B,4.505B,,118.00M,,-118.00M,,5.145B,1.198B,,118.00M,-118.00M,-29.00M,-118.00M,1.051B,218.00M,833.00M,1.00M,,834.00M,833.00M,1.868B,699.00M,1.169B,1.64,0.01,,1.64,1.65,1.63,0.0,,1.63,1.63,506.10M,512.00M,0.66
2019-10,18.41B,18.66B,12.94B,5.73B,4.153B,,113.00M,,-113.00M,,4.728B,1.002B,,113.00M,-113.00M,12.00M,-113.00M,901.00M,195.00M,706.00M,8.00M,,714.00M,706.00M,1.652B,638.00M,1.014B,1.38,0.02,,1.38,1.4,1.37,0.02,,1.37,1.39,509.70M,514.80M,0.66
2019-07,18.18B,18.42B,12.62B,5.797B,3.912B,,120.00M,,-120.00M,,4.473B,1.324B,,120.00M,-120.00M,13.00M,-120.00M,1.217B,279.00M,938.00M,0.00,,938.00M,938.00M,1.96B,623.00M,1.337B,1.83,0.0,,1.83,1.83,1.82,0.0,,1.82,1.82,512.10M,516.10M,0.64
2019-04,17.40B,17.63B,12.25B,5.379B,3.663B,,126.00M,,-126.00M,,4.244B,1.135B,,126.00M,-126.00M,12.00M,-126.00M,1.021B,229.00M,792.00M,3.00M,,795.00M,792.00M,1.791B,644.00M,1.147B,1.54,0.0,,1.54,1.54,1.53,0.0,,1.53,1.53,515.70M,519.50M,0.64
2019-01,22.73B,22.98B,16.90B,6.078B,4.376B,,109.00M,,-109.00M,,4.961B,1.117B,,109.00M,-109.00M,6.00M,-109.00M,1.014B,216.00M,798.00M,0.00,,798.00M,798.00M,1.771B,648.00M,1.123B,1.535,0.0019,,1.535,1.54,1.53,0.0,,1.53,1.52,519.90M,524.20M,0.64
2018-10,17.59B,17.82B,12.54B,5.286B,3.937B,,115.00M,,-115.00M,,4.467B,819.00M,,115.00M,-115.00M,9.00M,-115.00M,713.00M,97.00M,616.00M,6.00M,,622.00M,616.00M,1.42B,592.00M,828.00M,1.17,0.01,,1.17,1.18,1.16,0.01,,1.16,1.17,525.90M,531.20M,0.64
2018-07,17.55B,17.78B,12.24B,5.537B,3.865B,,115.00M,,-115.00M,,4.404B,1.133B,,115.00M,-115.00M,4.00M,-115.00M,1.022B,223.00M,799.00M,0.00,,799.00M,799.00M,1.74B,603.00M,1.137B,1.5,0.0,,1.5,1.5,1.49,0.0,,1.49,1.49,531.70M,536.30M,0.62
2018-04,16.56B,16.78B,11.62B,5.156B,3.545B,,121.00M,,-121.00M,,4.115B,1.041B,,121.00M,-121.00M,7.00M,-121.00M,927.00M,210.00M,717.00M,1.00M,,718.00M,717.00M,1.679B,631.00M,1.048B,1.335,0.0019,,1.335,1.34,1.325,0.0018,,1.325,1.33,536.90M,541.00M,0.62
2018-01,22.73B,22.98B,16.80B,6.188B,4.454B,,132.00M,,-132.00M,,5.059B,1.129B,,132.00M,-132.00M,15.00M,-132.00M,1.012B,-76.00M,1.088B,-1.00M,,1.087B,1.088B,1.811B,667.00M,1.144B,2.03,0.0,,2.03,2.03,2.02,0.0,,2.02,2.02,541.10M,545.80M,0.62
2017-10,16.65B,16.87B,11.71B,5.162B,3.733B,,251.00M,,-251.00M,,4.315B,847.00M,,251.00M,-251.00M,15.00M,-251.00M,611.00M,135.00M,476.00M,2.00M,,478.00M,476.00M,1.505B,643.00M,862.00M,0.87,0.01,,0.87,0.88,0.87,0.0,,0.87,0.87,544.50M,547.90M,0.62
2017-07,16.41B,16.63B,11.42B,5.215B,3.601B,,131.00M,,-131.00M,,4.122B,1.093B,,131.00M,-131.00M,15.00M,-131.00M,977.00M,307.00M,670.00M,1.00M,,671.00M,670.00M,1.693B,585.00M,1.108B,1.22,0.0,,1.22,1.22,1.21,0.0,,1.21,1.22,549.30M,551.90M,0.6
2017-04,16.00B,16.22B,11.20B,5.024B,3.353B,,140.00M,,-140.00M,,3.869B,1.155B,,140.00M,-140.00M,15.00M,-140.00M,1.03B,355.00M,675.00M,3.00M,,678.00M,675.00M,1.751B,581.00M,1.17B,1.22,0.01,,1.22,1.23,1.21,0.01,,1.21,1.22,552.40M,555.20M,0.6
2017-01,20.61B,21.47B,15.19B,6.278B,4.476B,,127.00M,,-127.00M,,5.035B,1.243B,,127.00M,-127.00M,,-127.00M,1.204B,385.00M,819.00M,-5.00M,,814.00M,819.00M,1.963B,632.00M,1.331B,1.47,-0.01,,1.47,1.46,1.46,-0.01,,1.46,1.45,559.90M,564.50M,0.6
2016-10,16.44B,16.44B,11.54B,4.905B,3.339B,,142.00M,,-142.00M,,3.844B,1.061B,,142.00M,-142.00M,,-142.00M,919.00M,311.00M,608.00M,0.00,,608.00M,608.00M,1.631B,570.00M,1.061B,1.07,0.0,,1.07,1.07,1.06,0.0,,1.06,1.06,570.10M,574.80M,0.6
2016-07,16.17B,16.17B,11.17B,4.997B,3.249B,,307.00M,,-307.00M,,3.749B,1.248B,,307.00M,-307.00M,,-307.00M,941.00M,316.00M,625.00M,55.00M,,680.00M,625.00M,1.818B,570.00M,1.248B,1.07,0.09,,1.07,1.17,1.07,0.09,,1.07,1.16,582.20M,586.80M,0.56
2016-04,16.20B,16.20B,11.18B,5.011B,3.153B,,415.00M,,-415.00M,,3.699B,1.312B,,415.00M,-415.00M,,-415.00M,897.00M,283.00M,614.00M,18.00M,,632.00M,614.00M,1.858B,546.00M,1.312B,1.03,0.03,,1.03,1.06,1.02,0.03,,1.02,1.05,598.30M,603.80M,0.56
2016-01,21.63B,21.63B,15.84B,5.787B,3.92B,,152.00M,,-152.00M,,4.238B,1.549B,,152.00M,-152.00M,,-152.00M,2.017B,596.00M,1.421B,5.00M,,1.426B,1.421B,2.731B,562.00M,2.169B,2.31,0.01,,2.31,2.33,2.31,0.01,,2.31,2.32,610.30M,615.50M,0.56
2015-10,17.61B,17.61B,12.44B,5.173B,3.736B,,151.00M,,-151.00M,,4.297B,876.00M,,151.00M,-151.00M,,-151.00M,725.00M,249.00M,476.00M,73.00M,,549.00M,476.00M,1.437B,561.00M,876.00M,0.76,0.12,,0.76,0.88,0.76,0.11,,0.76,0.87,623.70M,628.80M,0.56
2015-07,17.43B,17.43B,12.05B,5.376B,3.495B,,148.00M,,-148.00M,,4.046B,1.33B,,148.00M,-148.00M,,-148.00M,1.182B,409.00M,773.00M,-20.00M,,753.00M,773.00M,1.881B,550.00M,1.33B,1.21,-0.03,,1.21,1.18,1.21,-0.03,,1.21,1.18,635.80M,641.00M,0.52
2015-04,17.12B,17.12B,11.91B,5.208B,3.514B,,155.00M,,-155.00M,,4.054B,1.154B,,155.00M,-155.00M,,-155.00M,999.00M,348.00M,651.00M,-16.00M,,635.00M,651.00M,1.694B,540.00M,1.154B,1.02,-0.03,,1.02,0.99,1.01,-0.03,,1.01,0.98,640.90M,646.40M,0.52
2015-01,21.75B,21.75B,15.56B,6.188B,4.057B,,152.00M,,-152.00M,,4.602B,1.586B,,152.00M,-152.00M,,-152.00M,1.434B,474.00M,960.00M,-3.60B,,-2.64B,960.00M,2.131B,545.00M,1.586B,1.51,-5.64,,1.51,-4.14,1.51,-5.64,,1.51,-4.14,638.00M,644.30M,0.52
