,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.639B,1.651B,981.50M,669.50M,6.00M,54.30M,122.00M,-122.00M,,299.30M,370.20M,122.00M,-122.00M,65.80M,-122.00M,314.00M,46.90M,267.10M,,,0.00,0.30M,267.10M,256.89M,681.00M,,2020-09,0.85,,,,2020-09,0.84,,,,2020-09,315.40M,,2020-09,AOR,
2020-06,1.543B,1.549B,917.60M,631.10M,,49.80M,124.40M,-124.40M,,292.30M,338.80M,124.40M,-124.40M,81.50M,-124.40M,295.90M,53.80M,242.10M,,,-0.20M,0.30M,241.90M,241.90M,662.80M,,2020-06,0.77,,,,2020-06,0.76,,,,2020-06,315.40M,,2020-06,AOR,
2020-03,2.109B,2.109B,1.190B,918.20M,4.20M,52.50M,129.40M,-129.40M,,291.60M,626.60M,129.40M,-129.40M,45.40M,-129.40M,542.60M,90.00M,452.60M,,,0.20M,0.30M,452.80M,460.39M,911.10M,,2020-03,1.43,,,,2020-03,1.43,,,,2020-03,315.40M,,2020-03,AOR,
2019-12,1.995B,1.948B,1.294B,653.10M,3.80M,53.80M,127.20M,-127.20M,,290.00M,363.10M,127.20M,-127.20M,41.80M,-127.20M,277.70M,33.50M,244.20M,,,0.00,0.30M,244.20M,234.53M,641.10M,,2019-12,0.77,,,,2019-12,0.77,,,,2019-12,315.40M,,2019-12,AOR,
2019-09,1.588B,1.608B,1.014B,594.50M,3.30M,49.80M,125.80M,-125.80M,,283.60M,310.90M,125.80M,-125.80M,60.50M,-125.80M,245.60M,11.30M,234.30M,,,0.30M,0.30M,234.60M,230.12M,605.20M,,2019-09,0.74,,,,2019-09,0.74,,,,2019-09,315.40M,,2019-09,AOR,Restated
2019-06,1.564B,1.590B,995.50M,594.70M,,50.20M,124.10M,-124.10M,,280.10M,314.60M,124.10M,-124.10M,60.50M,-124.10M,251.00M,15.20M,235.80M,,,0.20M,0.30M,236.00M,236.00M,605.00M,,2019-06,0.75,,,,2019-06,0.74,,,,2019-06,315.40M,,2019-06,AOR,Restated
2019-03,2.377B,2.377B,1.560B,817.20M,4.90M,48.00M,124.40M,-124.40M,,274.40M,542.80M,124.40M,-124.40M,67.00M,-124.40M,485.40M,65.00M,420.40M,,,0.00,0.30M,420.40M,408.10M,836.20M,,2019-03,1.33,,,,2019-03,1.33,,,,2019-03,315.50M,,2019-03,AOR,Restated
2018-12,2.077B,2.077B,1.522B,555.00M,4.50M,47.50M,117.90M,-117.90M,,265.20M,289.80M,117.90M,-117.90M,46.80M,-117.90M,218.70M,13.40M,205.30M,,,0.00,0.30M,205.30M,201.08M,554.30M,,2018-12,0.65,,,,2018-12,0.65,,,,2018-12,315.50M,,2018-12,AOR,Restated
2018-09,1.644B,1.644B,1.077B,566.50M,3.70M,51.00M,112.00M,-112.00M,,263.80M,302.70M,112.00M,-112.00M,59.80M,-112.00M,250.50M,17.00M,233.50M,,,0.00,0.30M,233.50M,230.05M,575.30M,,2018-09,0.74,,,,2018-09,0.74,,,,2018-09,315.50M,,2018-09,AOR,Restated
2018-06,1.672B,1.672B,1.085B,587.10M,3.70M,49.60M,108.50M,-108.50M,,256.30M,330.80M,108.50M,-108.50M,60.10M,-108.50M,282.40M,51.10M,231.30M,,,0.00,0.30M,231.30M,228.27M,597.60M,,2018-06,0.73,,,,2018-06,0.73,,,,2018-06,315.50M,,2018-06,AOR,Restated
2018-03,2.286B,2.286B,1.484B,802.50M,3.30M,48.80M,106.70M,-106.70M,,257.40M,545.10M,106.70M,-106.70M,40.30M,-106.70M,478.70M,88.30M,390.40M,,,,0.30M,390.40M,387.71M,794.00M,,2018-03,1.24,,,,2018-03,1.23,,,,2018-03,315.50M,,2018-03,AOR,Restated
2017-12,2.055B,2.055B,1.396B,659.10M,3.10M,47.00M,105.30M,-105.30M,,252.10M,407.00M,105.30M,-105.30M,55.90M,-105.30M,357.60M,-75.30M,432.90M,,,,0.30M,432.90M,431.04M,668.00M,,2017-12,1.37,,,,2017-12,1.36,,,,2017-12,315.60M,,2017-12,AOR,Restated
2017-09,1.658B,1.658B,1.016B,641.70M,3.00M,48.30M,103.80M,-103.80M,,249.50M,392.20M,103.80M,-103.80M,57.00M,-103.80M,345.40M,129.70M,215.70M,,,,0.30M,215.70M,213.83M,650.40M,,2017-09,0.68,,,,2017-09,0.68,,,,2017-09,315.60M,,2017-09,AOR,Restated
2017-06,1.632B,1.632B,1.022B,609.90M,2.90M,50.00M,101.90M,-101.90M,,247.70M,362.20M,101.90M,-101.90M,54.90M,-101.90M,315.20M,115.80M,199.40M,,,,0.30M,199.40M,197.56M,614.80M,,2017-06,0.63,,,,2017-06,0.63,,,,2017-06,315.60M,,2017-06,AOR,Restated
2017-03,2.304B,2.304B,1.446B,858.90M,2.40M,49.60M,104.70M,-104.70M,,244.20M,614.70M,104.70M,-104.70M,60.20M,-104.70M,570.20M,213.30M,356.90M,,,,0.30M,356.90M,355.40M,869.50M,,2017-03,1.13,,,,2017-03,1.12,,,,2017-03,315.60M,,2017-03,AOR,Restated
2016-12,1.963B,1.963B,1.346B,617.20M,-15.20M,48.20M,102.60M,-102.60M,,241.30M,375.90M,102.60M,-102.60M,32.80M,-102.60M,306.10M,111.40M,194.70M,,,,0.30M,194.70M,204.37M,601.80M,,2016-12,0.62,,,,2016-12,0.61,,,,2016-12,315.60M,,2016-12,AOR,Restated
2016-09,1.712B,1.712B,1.072B,640.30M,6.70M,49.70M,99.10M,-99.10M,,241.30M,399.00M,99.10M,-99.10M,45.80M,-99.10M,345.70M,128.40M,217.30M,,,,0.30M,217.30M,213.09M,640.30M,,2016-09,0.69,,,,2016-09,0.68,,,,2016-09,315.60M,,2016-09,AOR,Restated
2016-06,1.602B,1.602B,1.030B,571.70M,26.60M,49.60M,100.10M,-100.10M,,239.60M,332.10M,100.10M,-100.10M,63.30M,-100.10M,295.30M,113.60M,181.70M,,,,0.30M,181.70M,165.34M,589.50M,,2016-06,0.57,,,,2016-06,0.57,,,,2016-06,315.60M,,2016-06,AOR,Restated
2016-03,2.195B,2.195B,1.370B,824.40M,7.00M,47.20M,100.90M,-100.90M,,235.10M,589.30M,100.90M,-100.90M,71.20M,-100.90M,559.60M,213.10M,346.50M,,,,0.30M,346.50M,342.17M,852.40M,,2016-03,1.10,,,,2016-03,1.09,,,,2016-03,315.70M,,2016-03,AOR,Restated
2015-12,1.848B,1.848B,1.238B,610.00M,9.90M,50.60M,107.00M,-107.00M,,229.80M,380.20M,107.00M,-107.00M,44.40M,-107.00M,317.60M,137.70M,179.90M,,,,0.60M,179.90M,173.96M,617.20M,,2015-12,0.57,,,,2015-12,0.57,,,,2015-12,315.80M,,2015-12,AOR,Restated
2015-09,1.699B,1.699B,1.126B,572.20M,8.30M,50.00M,103.20M,-103.20M,,226.50M,345.70M,103.20M,-103.20M,51.10M,-103.20M,293.60M,110.50M,183.10M,,,,0.60M,183.10M,177.92M,573.30M,,2015-09,0.58,,,,2015-09,0.58,,,,2015-09,315.70M,,2015-09,AOR,Restated
2015-06,991.20M,991.20M,690.00M,301.20M,23.10M,31.90M,61.80M,-61.80M,,135.40M,165.80M,61.80M,-61.80M,40.40M,-61.80M,144.40M,63.20M,81.20M,,,,0.30M,81.20M,67.34M,314.00M,,2015-06,0.36,,,,2015-06,0.35,,,,2015-06,227.50M,,2015-06,AOR,Restated
2015-03,1.388B,1.388B,894.60M,493.30M,1.70M,31.90M,59.40M,-59.40M,,134.50M,358.80M,59.40M,-59.40M,19.10M,-59.40M,318.50M,122.40M,196.10M,,,,0.30M,196.10M,195.05M,485.20M,,2015-03,0.87,,,,2015-03,0.86,,,,2015-03,225.50M,,2015-03,AOR,Restated
2014-12,1.225B,1.225B,855.10M,370.00M,2.40M,30.30M,58.60M,-58.60M,,126.50M,243.50M,58.60M,-58.60M,14.50M,-58.60M,199.40M,76.80M,122.60M,,,,,122.60M,121.12M,362.10M,,2014-12,0.54,,,,2014-12,0.53,,,,2014-12,225.60M,,2014-12,AOR,Restated
2014-09,1.033B,1.033B,656.80M,376.50M,2.80M,30.60M,60.40M,-60.40M,,130.40M,246.10M,60.40M,-60.40M,20.90M,-60.40M,206.60M,80.30M,126.30M,,,,,126.30M,124.59M,373.40M,,2014-09,0.56,,,,2014-09,0.56,,,,2014-09,225.50M,,2014-09,AOR,Restated
2014-06,1.044B,1.044B,674.40M,369.30M,6.90M,30.30M,59.00M,-59.00M,-3.10M,128.60M,240.70M,59.00M,-59.00M,25.60M,-59.00M,207.30M,74.30M,133.00M,,,,,133.00M,128.57M,369.10M,,2014-06,0.59,,,,2014-06,0.58,,,,2014-06,225.50M,,2014-06,AOR,Restated
2014-03,1.695B,1.695B,1.186B,509.50M,1.00M,30.60M,62.30M,-62.30M,-3.50M,127.70M,381.80M,62.30M,-62.30M,18.40M,-62.30M,337.90M,130.30M,207.60M,,,,,207.60M,206.99M,503.90M,,2014-03,0.92,,,,2014-03,0.91,,,,2014-03,225.80M,,2014-03,AOR,Restated
2013-12,1.178B,1.178B,827.40M,350.90M,4.20M,28.30M,60.60M,-60.60M,,79.30M,271.60M,60.60M,-60.60M,21.00M,-60.60M,232.00M,86.50M,145.50M,,,,,145.50M,142.87M,391.00M,,2013-12,0.64,,,,2013-12,0.63,,,,2013-12,226.40M,,2013-12,AOR,Restated
2013-09,1.053B,1.053B,668.80M,384.40M,5.50M,29.50M,62.00M,-62.00M,,126.40M,258.00M,62.00M,-62.00M,22.20M,-62.00M,218.20M,80.70M,137.50M,,,,,137.50M,134.04M,380.10M,,2013-09,0.61,,,,2013-09,0.60,,,,2013-09,226.80M,,2013-09,AOR,Restated
2013-06,1.012B,1.012B,656.70M,355.60M,4.90M,29.40M,63.30M,-63.30M,,126.10M,229.50M,63.30M,-63.30M,23.10M,-63.30M,189.30M,70.30M,119.00M,,,,,119.00M,115.92M,352.10M,,2013-06,0.52,,,,2013-06,0.52,,,,2013-06,228.40M,,2013-06,AOR,Restated
2013-03,1.275B,1.275B,829.20M,446.00M,4.30M,29.50M,65.00M,-65.00M,,125.00M,321.00M,65.00M,-65.00M,21.00M,-65.00M,277.00M,100.40M,176.60M,,,,,176.60M,173.86M,440.20M,,2013-03,0.77,,,,2013-03,0.76,,,,2013-03,228.90M,,2013-03,AOR,Restated
2012-12,1.071B,1.071B,744.80M,326.40M,6.30M,30.50M,66.90M,-66.90M,,125.00M,201.40M,66.90M,-66.90M,18.00M,-66.90M,152.50M,53.70M,98.80M,,,,,98.80M,94.72M,313.90M,,2012-12,0.43,0.00,,,2012-12,0.43,0.00,,,2012-12,229.60M,,2012-12,AOR,Restated
2012-09,1.039B,1.039B,636.50M,402.80M,8.90M,30.40M,60.90M,-60.90M,,122.20M,280.60M,60.90M,-60.90M,26.10M,-60.90M,245.80M,89.70M,156.10M,,,,,156.10M,150.45M,401.10M,,2012-09,0.68,,,,2012-09,0.67,,,,2012-09,230.40M,,2012-09,AOR,Restated
2012-06,944.70M,944.70M,601.60M,343.10M,8.00M,30.20M,123.00M,-123.00M,,120.50M,222.60M,123.00M,-123.00M,24.80M,-123.00M,185.90M,66.60M,119.30M,,,,,119.30M,114.17M,402.10M,,2012-06,0.52,,,,2012-06,0.51,,,,2012-06,230.40M,,2012-06,AOR,Restated
2012-03,1.191B,1.191B,777.60M,413.60M,14.80M,30.30M,58.90M,-58.90M,,117.90M,295.70M,58.90M,-58.90M,31.60M,-58.90M,268.40M,96.30M,172.10M,,,,,172.10M,162.61M,417.90M,,2012-03,0.75,,,,2012-03,0.74,,,,2012-03,230.50M,,2012-03,AOR,Restated
2011-12,1.113B,1.113B,1.717B,-604.10M,16.30M,28.20M,,-58.20M,,-797.10M,193.00M,,-58.20M,35.70M,-58.20M,170.50M,56.40M,114.10M,1.90M,,,,116.00M,103.19M,405.70M,,2011-12,0.49,0.01,,,2011-12,0.49,0.01,,,2011-12,230.80M,,2011-12,AOR,Restated
2011-09,1.053B,1.053B,420.10M,632.70M,16.20M,28.90M,,-56.80M,,408.40M,224.30M,,-56.80M,31.90M,-56.80M,199.40M,69.60M,129.80M,0.00,,,,129.80M,119.25M,306.90M,,2011-09,0.56,0.00,,,2011-09,0.55,0.00,,,2011-09,232.20M,,2011-09,AOR,Restated
2011-06,991.70M,991.70M,407.80M,583.90M,14.40M,28.30M,,-57.40M,,409.50M,174.40M,,-57.40M,29.60M,-57.40M,146.60M,48.60M,98.00M,11.50M,,,,109.50M,88.37M,259.40M,,2011-06,0.42,0.05,,,2011-06,0.41,0.05,,,2011-06,233.70M,,2011-06,AOR,Restated
2011-03,1.329B,1.329B,610.00M,718.70M,12.50M,28.30M,,-63.40M,,423.10M,295.60M,,-63.40M,28.00M,-63.40M,260.20M,89.30M,170.90M,,,,,170.90M,162.69M,379.80M,,2011-03,0.73,0.00,,,2011-03,0.72,0.00,,,2011-03,233.70M,,2011-03,AOR,Restated
2010-12,1.090B,1.090B,1.788B,-698.70M,11.40M,26.20M,,-51.50M,,-867.80M,169.10M,,-51.50M,227.70M,-51.50M,193.50M,67.90M,125.60M,0.30M,,,,125.90M,118.20M,547.60M,,2010-12,0.53,0.01,,,2010-12,0.53,0.01,,,2010-12,233.80M,,2010-12,AOR,Restated
2010-09,973.20M,973.20M,403.00M,570.20M,9.60M,26.90M,,-52.50M,,422.40M,147.80M,,-52.50M,24.80M,-52.50M,175.30M,63.00M,112.30M,-0.10M,,,,112.20M,106.15M,228.00M,,2010-09,0.48,0.00,,,2010-09,0.47,0.00,,,2010-09,233.80M,,2010-09,AOR,Restated
2010-06,890.90M,890.90M,354.20M,536.70M,56.90M,26.30M,,-53.00M,,420.60M,116.10M,,-53.00M,72.00M,-53.00M,135.10M,47.60M,87.50M,1.20M,,,,88.70M,50.65M,201.60M,,2010-06,0.37,0.01,,,2010-06,0.37,0.00,,,2010-06,233.80M,,2010-06,AOR,Restated
2010-03,1.249B,1.249B,633.20M,615.40M,-43.20M,26.60M,49.40M,-49.40M,,436.40M,179.00M,49.40M,-49.40M,-28.00M,-49.40M,200.40M,71.40M,129.00M,0.70M,,,,129.70M,156.81M,324.20M,,2010-03,0.55,0.00,,,2010-03,0.55,0.00,,,2010-03,233.80M,,2010-03,AOR,Restated
2009-12,1.061B,1.061B,494.30M,567.00M,4.50M,27.60M,37.70M,-37.70M,80.30M,193.80M,373.20M,37.70M,-37.70M,20.00M,-37.70M,178.30M,65.20M,113.10M,5.60M,,,,118.70M,110.25M,301.90M,,2009-12,0.48,0.025,,,2009-12,0.48,0.02,,,2009-12,233.80M,,2009-12,AOR,Restated
2009-09,815.50M,815.50M,355.30M,460.20M,10.20M,27.50M,38.40M,-38.40M,299.70M,413.70M,46.50M,38.40M,-38.40M,25.10M,-38.40M,91.10M,32.90M,58.20M,0.30M,,,,58.50M,51.68M,219.50M,,2009-09,0.25,0.00,,,2009-09,0.245,0.00,,,2009-09,233.80M,,2009-09,AOR,Restated
2009-06,835.70M,835.70M,354.50M,481.20M,7.40M,27.70M,39.80M,-39.80M,304.60M,417.90M,63.30M,39.80M,-39.80M,21.80M,-39.80M,100.40M,37.40M,63.00M,0.70M,,,,63.70M,58.36M,230.40M,,2009-06,0.27,0.00,,,2009-06,0.265,0.00,,,2009-06,233.80M,,2009-06,AOR,Restated
2009-03,1.396B,1.396B,769.10M,627.10M,6.30M,28.10M,40.80M,-40.80M,334.40M,448.30M,178.80M,40.80M,-40.80M,20.60M,-40.80M,222.80M,81.30M,141.50M,0.00,,,,141.50M,137.50M,351.20M,,2009-03,0.605,0.00,,,2009-03,0.60,0.00,,,2009-03,233.80M,,2009-03,AOR,Restated
2008-12,1.200B,1.200B,639.80M,560.00M,-8.60M,27.20M,40.30M,-40.30M,337.70M,449.30M,110.70M,40.30M,-40.30M,5.20M,-40.30M,160.30M,60.30M,100.00M,0.40M,,,,100.40M,105.36M,285.00M,,2008-12,0.43,0.00,,,2008-12,0.425,0.00,,,2008-12,233.80M,,2008-12,,Restated
2008-09,851.50M,851.50M,439.80M,411.70M,7.10M,26.70M,38.80M,-38.80M,320.00M,430.70M,-19.00M,38.80M,-38.80M,21.50M,-38.80M,121.10M,44.50M,76.60M,0.90M,,,,77.50M,72.11M,245.40M,,2008-09,0.325,0.005,,,2008-09,0.32,0.005,,,2008-09,233.80M,,2008-09,,Restated
2008-06,945.40M,945.40M,483.60M,461.80M,7.90M,27.20M,35.40M,-35.40M,333.30M,440.90M,20.90M,35.40M,-35.40M,20.00M,-35.40M,92.50M,34.30M,58.20M,-0.20M,,,,58.00M,53.23M,209.90M,,2008-06,0.25,0.00,,,2008-06,0.245,0.00,,,2008-06,233.80M,,2008-06,,Restated
2008-03,1.431B,1.431B,898.40M,532.70M,10.60M,27.10M,39.20M,-39.20M,369.40M,474.20M,58.50M,39.20M,-39.20M,22.10M,-39.20M,200.40M,77.40M,123.00M,0.20M,,,,123.20M,116.49M,322.00M,,2008-03,0.525,0.00,,,2008-03,0.52,0.00,,,2008-03,233.80M,,2008-03,,Restated
2007-12,1.149B,1.149B,280.30M,868.40M,12.10M,25.70M,,,586.10M,682.60M,185.80M,,,12.10M,,157.50M,62.90M,94.60M,-0.30M,,,,94.30M,87.33M,256.60M,,2007-12,0.405,0.00,,,2007-12,0.40,0.00,,,2007-12,233.80M,,2007-12,,
2007-09,881.50M,881.50M,254.30M,627.20M,25.70M,26.20M,,,362.30M,474.10M,153.10M,,,25.70M,,136.30M,53.20M,83.10M,-0.20M,,,,82.90M,67.43M,249.70M,,2007-09,0.355,0.00,,,2007-09,0.35,0.00,,,2007-09,233.80M,,2007-09,,
2007-06,906.50M,906.50M,232.30M,674.20M,30.30M,25.10M,,,462.80M,569.10M,105.10M,,,30.30M,,93.40M,35.70M,57.70M,-0.20M,,,,57.50M,38.98M,194.90M,,2007-06,0.245,0.00,,,2007-06,0.245,0.00,,,2007-06,233.80M,,2007-06,,
2007-03,1.301B,1.301B,229.50M,1.072B,23.90M,26.20M,,,776.80M,887.10M,184.50M,,,23.90M,,165.70M,64.60M,101.10M,-0.20M,,,,100.90M,86.52M,279.50M,,2007-03,0.43,0.00,,,2007-03,0.425,0.00,,,2007-03,234.00M,,2007-03,,
2006-12,1.095B,1.095B,218.20M,877.00M,18.20M,23.60M,,,631.80M,738.40M,138.60M,,,18.20M,,113.40M,35.80M,77.60M,-0.60M,,,,77.00M,65.15M,231.80M,,2006-12,0.33,-0.005,,,2006-12,0.33,-0.005,,,2006-12,234.00M,,2006-12,,
2006-09,839.80M,839.80M,229.80M,610.00M,24.90M,24.60M,,,372.20M,478.80M,131.20M,,,24.90M,,114.60M,43.80M,70.80M,,,,,70.80M,55.42M,222.80M,,2006-09,0.305,0.00,,,2006-09,0.30,0.00,,,2006-09,234.00M,,2006-09,,
2006-06,814.40M,814.40M,184.80M,629.60M,27.70M,24.00M,,,419.70M,522.50M,107.10M,,,27.70M,,92.20M,32.50M,59.70M,3.20M,,,,62.90M,41.76M,202.80M,,2006-06,0.255,0.015,,,2006-06,0.25,0.015,,,2006-06,234.00M,,2006-06,,
2006-03,1.247B,1.247B,169.20M,1.078B,20.90M,25.30M,,,778.30M,886.20M,191.60M,,,20.90M,,167.30M,62.90M,104.40M,1.30M,,,,105.70M,91.36M,276.60M,,2006-03,0.445,0.005,,,2006-03,0.44,0.005,,,2006-03,234.00M,,2006-03,,
2005-12,1.135B,1.135B,191.80M,943.20M,7.00M,21.00M,,,657.80M,765.40M,177.80M,,,7.00M,,139.90M,48.90M,91.00M,-0.40M,,,,90.60M,86.45M,264.40M,,2005-12,0.385,0.005,,,2005-12,0.38,0.005,,,2005-12,234.00M,,2005-12,,
