,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2020-09,13.10M,13.10M,911.80M,911.80M,251.90M,573.40M,169.50M,,,59.40M,1.727B,,,,33.86B,-9.309B,24.55B,3.053B,,3.053B,1.750B,,877.70M,33.69B,35.42B,,2020-09,751.30M,,751.30M,431.00M,340.00M,596.20M,1.367B,1.367B,547.60M,2.84B,589.40M,11.65B,11.65B,3.975B,417.80M,4.392B,,320.60M,78.00M,,1.129B,22.02B,24.86B,,2020-09,4.164B,,-6.40M,10.48B,,
2020-06,13.30M,13.30M,957.90M,957.90M,142.50M,467.70M,210.30M,,,64.20M,1.713B,,,,33.33B,-9.158B,24.17B,3.053B,,3.053B,1.745B,,848.90M,33.33B,35.04B,,2020-06,696.60M,,696.60M,,,,2.106B,2.106B,519.90M,3.485B,589.40M,10.72B,10.72B,3.946B,423.70M,4.370B,,322.20M,78.60M,,1.093B,21.06B,24.55B,,2020-06,4.165B,,-7.30M,10.41B,,
2020-03,15.40M,15.40M,1.177B,1.177B,67.90M,391.10M,200.00M,,,61.90M,1.845B,,,,32.84B,-9.042B,23.80B,3.053B,,3.053B,1.718B,,853.20M,32.99B,34.83B,,2020-03,597.90M,,597.90M,,,,1.522B,1.522B,599.70M,2.848B,589.40M,11.19B,11.19B,3.87B,428.50M,4.298B,,324.20M,110.10M,,1.106B,21.50B,24.35B,,2020-03,4.167B,,-7.10M,10.37B,,
2019-12,37.50M,37.50M,1.176B,1.176B,227.70M,549.80M,261.80M,,,68.00M,2.094B,6.174B,845.20M,,32.50B,-8.879B,23.62B,3.053B,,3.053B,1.721B,,957.80M,32.86B,34.95B,,2019-12,908.10M,,908.10M,830.80M,,693.20M,1.524B,1.524B,550.80M,3.183B,589.20M,11.21B,11.21B,3.769B,497.10M,4.266B,,326.20M,110.80M,,1.129B,21.51B,24.70B,,2019-12,4.187B,,-4.10M,10.14B,,
2019-09,20.00M,20.00M,911.80M,911.80M,266.40M,593.30M,166.10M,,,81.80M,1.773B,,,,31.84B,-8.808B,23.04B,3.053B,,3.053B,1.720B,,796.00M,32.60B,34.38B,,2019-09,769.00M,,769.00M,686.40M,,692.60M,1.379B,1.379B,503.40M,2.818B,631.80M,10.90B,10.90B,3.614B,502.80M,4.117B,,411.50M,105.00M,,1.116B,21.37B,24.19B,,2019-09,4.185B,,-7.10M,10.08B,,Restated
2019-06,37.90M,37.90M,1.004B,1.004B,130.50M,461.40M,254.80M,,,80.30M,1.839B,,,,31.24B,-8.705B,22.54B,3.053B,,3.053B,1.696B,,803.50M,32.10B,33.93B,,2019-06,715.60M,,715.60M,1.263B,,766.50M,2.029B,2.029B,457.90M,3.362B,631.80M,9.921B,9.921B,3.598B,508.70M,4.107B,,414.00M,101.70M,,1.107B,20.42B,23.79B,,2019-06,4.198B,,-6.60M,10.05B,,Restated
2019-03,30.60M,30.60M,1.430B,1.430B,39.00M,330.10M,167.20M,,,50.30M,2.008B,,,,30.78B,-8.589B,22.19B,3.053B,,3.053B,1.671B,,802.30M,31.73B,33.74B,,2019-03,674.10M,,674.10M,1.145B,,366.00M,1.511B,1.511B,578.70M,2.890B,631.80M,10.33B,10.33B,3.460B,514.50M,3.974B,,418.10M,97.20M,,1.110B,20.74B,23.62B,,2019-03,4.213B,,-4.00M,10.01B,,Restated
2018-12,84.50M,84.50M,1.281B,1.281B,232.90M,548.20M,256.80M,,,77.20M,2.248B,6.136B,790.00M,,30.64B,-8.637B,22.00B,3.053B,,3.053B,1.665B,,704.10M,31.23B,33.48B,,2018-12,876.40M,,876.40M,1.440B,,365.00M,1.805B,1.805B,464.80M,3.332B,616.40M,9.994B,9.994B,3.388B,520.40M,3.908B,,422.80M,23.40M,,1.108B,20.30B,23.63B,,2018-12,4.250B,,-2.60M,9.819B,,Restated
2018-09,14.50M,14.50M,1.017B,1.017B,274.40M,608.50M,137.60M,,,61.80M,1.840B,,,,30.25B,-8.589B,21.66B,3.053B,,3.053B,1.614B,,749.00M,30.72B,32.56B,,2018-09,690.40M,217.40M,907.80M,1.788B,,369.40M,2.158B,2.158B,393.90M,3.602B,617.40M,9.119B,9.119B,3.172B,525.90M,3.698B,,489.10M,37.00M,,1.233B,19.12B,22.72B,,2018-09,4.262B,,2.40M,9.806B,,Restated
2018-06,29.80M,29.80M,1.086B,1.086B,121.90M,466.60M,178.60M,,,49.30M,1.810B,,,,29.59B,-8.512B,21.08B,3.053B,,3.053B,1.597B,,753.50M,30.13B,31.94B,,2018-06,681.00M,213.50M,894.50M,1.37B,,293.50M,1.664B,1.664B,364.50M,3.053B,617.20M,9.209B,9.209B,3.117B,531.80M,3.649B,,490.40M,,,1.203B,19.13B,22.18B,,2018-06,4.271B,,2.50M,9.756B,,Restated
