,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-02,349.20M,0.00,,,-2.50M,-20.80M,-23.30M,,,64.40M,64.40M,,0.60M,9.00M,13.40M,84.00M,40.70M,-5.60M,-23.50M,,,-9.90M,18.20M,421.60M,,2018-02,-52.50M,0.60M,-51.90M,,,4.30M,-135.10M,,2018-02,-165.30M,285.20M,119.90M,0.00,-280.00M,-280.00M,-86.10M,9.00M,-0.30M,-237.50M,,85.00M,49.00M,-0.10M,133.90M,,2018-02,0.00,-165.30M,-280.00M,,2018-02,AOR,Restated
2017-11,224.10M,0.00,,,-20.60M,-11.20M,-31.80M,,,64.30M,64.30M,,2.80M,9.50M,-1.70M,-96.10M,7.90M,6.60M,114.40M,,,-4.00M,21.50M,284.70M,,2017-11,-80.80M,2.90M,-77.90M,,,,-327.50M,,2017-11,495.20M,-256.40M,238.80M,0.00,-280.00M,-280.00M,-88.30M,6.40M,-0.30M,-123.40M,,252.40M,-166.20M,-1.20M,85.00M,,2017-11,0.00,-4.80M,-280.00M,,2017-11,AOR,Restated
2017-08,153.60M,0.00,,,-30.00M,-16.40M,-46.40M,,,64.70M,64.70M,,6.00M,8.20M,5.50M,-13.70M,-138.40M,-6.50M,-23.60M,,,-50.10M,-5.50M,136.00M,,2017-08,-42.60M,4.00M,-38.60M,,,,-38.60M,,2017-08,,295.30M,295.30M,,-300.00M,-300.00M,-83.30M,-2.40M,-16.70M,-107.10M,,252.40M,-9.70M,9.70M,252.40M,,2017-08,,,-300.00M,,2017-08,AOR,Restated
2017-05,153.60M,0.00,,,18.60M,-158.40M,-139.80M,,,68.20M,68.20M,,121.40M,8.00M,9.10M,55.20M,88.30M,6.80M,44.50M,,,111.50M,-8.30M,323.70M,,2017-05,-83.60M,0.70M,-82.90M,,,,-295.20M,,2017-05,-2.20M,24.40M,22.20M,,-405.40M,-405.40M,-86.10M,7.20M,0.00,-462.10M,,683.60M,-433.60M,1.40M,252.40M,,2017-05,,-2.20M,-405.40M,,2017-05,AOR,Restated
2017-02,179.50M,0.10M,,,1.80M,0.50M,35.10M,,,66.30M,66.30M,,10.00M,9.80M,1.60M,98.70M,67.20M,8.00M,-85.40M,,,40.60M,-38.60M,304.30M,,2017-02,-40.20M,1.20M,-39.00M,,,,-39.00M,,2017-02,-506.50M,-2.90M,-509.40M,,-424.50M,-424.50M,-109.50M,19.20M,-1.90M,-1.026B,,1.442B,-760.80M,1.90M,683.60M,,2017-02,,-506.50M,-424.50M,,2017-02,AOR,Restated
2016-11,114.30M,0.70M,,,-16.50M,-13.10M,31.70M,,,66.30M,66.30M,,47.80M,10.80M,12.20M,-64.00M,51.10M,5.00M,8.90M,,,-30.80M,-36.00M,216.30M,,2016-11,-60.20M,9.30M,-50.90M,,,,-221.70M,,2016-11,-1.90M,-3.90M,-5.80M,,-84.50M,-84.50M,-109.90M,14.80M,0.00,656.80M,,722.20M,651.40M,-3.50M,1.442B,,2016-11,,-1.90M,-84.50M,,2016-11,AOR,Restated
2016-08,98.60M,-198.20M,,,-6.90M,-13.40M,-218.50M,,,67.20M,67.20M,,164.10M,7.50M,11.70M,14.80M,-83.30M,-4.80M,-64.30M,,,77.70M,117.60M,325.90M,,2016-08,-58.10M,2.00M,-56.10M,,,,371.90M,,2016-08,-553.90M,-3.30M,-557.20M,,-85.60M,-85.60M,-109.50M,32.60M,-14.90M,-737.70M,,798.10M,-39.90M,0.00,722.20M,,2016-08,,-553.90M,-85.60M,,2016-08,AOR,Restated
2016-05,-116.60M,,,,-15.40M,342.10M,326.70M,,,67.90M,67.90M,,54.20M,12.30M,28.30M,-57.50M,131.20M,2.60M,7.00M,,,-21.60M,169.40M,520.60M,,2016-05,-106.40M,16.30M,-90.10M,,,0.00,-129.00M,,2016-05,-3.30M,-1.00M,-4.30M,,,8.60M,-109.00M,43.80M,,-60.20M,,466.00M,331.40M,0.50M,798.10M,,2016-05,,-3.30M,,,2016-05,AOR,Restated
2016-02,71.40M,0.00,,,31.30M,18.40M,73.60M,,,69.40M,69.40M,,6.70M,12.80M,46.10M,-0.70M,99.90M,10.50M,-72.20M,,,-22.30M,128.80M,386.50M,,2016-02,-60.70M,3.20M,-57.50M,,,0.30M,2.493B,,2016-02,-2.265B,-166.80M,-2.432B,,0.00,0.00,-108.50M,45.40M,,-2.506B,,72.00M,373.70M,0.50M,466.00M,,2016-02,,-2.265B,0.00,,2016-02,AOR,Restated
2015-11,6.30M,0.00,,,-7.70M,-11.20M,-18.90M,,,49.50M,49.50M,,1.10M,7.50M,36.90M,-34.70M,-51.90M,-13.30M,74.50M,,,-129.70M,306.30M,259.00M,,2015-11,1.60M,3.30M,-5.50M,10.40M,,,-111.50M,,2015-11,-252.00M,172.10M,-79.90M,,0.00,0.00,-107.90M,25.60M,1.40M,-154.60M,,114.30M,-7.10M,-1.40M,72.00M,,2015-11,,-252.00M,0.00,,2015-11,AOR,Restated
2015-08,167.40M,0.00,,,-33.90M,-2.70M,-36.60M,,,91.70M,91.70M,,0.60M,9.20M,-2.10M,-63.90M,-113.10M,11.00M,-4.40M,,,-166.30M,29.20M,93.10M,,2015-08,-112.00M,12.90M,-88.70M,-10.40M,,,-125.50M,,2015-08,-2.50M,5.20M,2.70M,,0.00,0.00,-107.10M,93.60M,-1.40M,-12.20M,,164.70M,-44.60M,-1.60M,114.30M,,2015-08,,-2.50M,0.00,,2015-08,AOR,Restated
2015-05,-74.50M,,,,56.60M,-12.10M,44.50M,,,0.80M,0.80M,,11.30M,-9.60M,9.50M,49.40M,181.70M,34.50M,-4.30M,,,279.90M,502.20M,764.10M,,2015-05,4.10M,-15.40M,-11.30M,,,,-173.80M,,2015-05,-0.20M,-421.50M,-421.70M,,-14.90M,-14.90M,-107.00M,16.00M,10.20M,-543.40M,,109.80M,46.90M,-1.10M,134.10M,,2015-05,,-0.20M,-14.90M,,2015-05,AOR,Restated
