,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2010-02,221.00M,-14.30M,0.00,,5.30M,-2.60M,-11.60M,,,81.50M,81.50M,,8.40M,14.80M,-12.60M,-20.00M,141.70M,23.50M,0.80M,,,146.00M,1.80M,449.30M,,2010-02,-119.80M,2.10M,-117.70M,,0.00,6.70M,-90.90M,,2010-02,-3.40M,,-3.40M,,0.00,0.00,,30.40M,0.80M,-61.00M,,490.20M,297.40M,-2.00M,785.60M,,2010-02,,-3.40M,0.00,,2010-02,AOR,Restated
2009-11,237.80M,,1.50M,,1.60M,-14.40M,-11.30M,,,80.70M,80.70M,,0.50M,14.70M,20.50M,2.40M,-143.90M,44.50M,143.40M,,,65.50M,-13.80M,394.60M,,2009-11,-122.40M,0.90M,-121.50M,,,10.60M,-111.50M,,2009-11,-6.30M,,-6.30M,,0.00,0.00,,2.40M,2.20M,-86.10M,,289.70M,197.00M,3.50M,490.20M,,2009-11,,-6.30M,0.00,,2009-11,AOR,Restated
2009-08,163.00M,,1.30M,,1.80M,-2.70M,0.40M,,,78.80M,78.80M,,19.10M,12.00M,-35.80M,-74.10M,34.50M,-15.90M,113.20M,,,38.60M,-13.50M,262.60M,,2009-08,-117.40M,1.40M,-116.00M,,,,-114.10M,,2009-08,-2.70M,,-2.70M,,0.00,0.00,,-14.10M,-0.80M,-102.80M,,243.20M,45.70M,0.80M,289.70M,,2009-08,,-2.70M,0.00,,2009-08,AOR,Restated
2009-05,146.30M,0.00,2.30M,,0.10M,,19.80M,,,70.90M,70.90M,,5.30M,12.60M,-58.50M,101.90M,169.60M,46.00M,-38.70M,,,358.00M,-54.10M,500.30M,,2009-05,-108.50M,-1.40M,-109.90M,,-1.20M,,-116.00M,,2009-05,35.50M,-181.50M,-146.00M,,0.00,0.00,,0.00,-2.70M,-233.60M,,88.20M,150.70M,4.30M,243.20M,,2009-05,,-1.533B,0.00,,2009-05,AOR,Restated
2009-02,191.80M,0.00,0.80M,,-4.60M,,-3.80M,,,81.80M,81.80M,,0.00,10.50M,22.30M,70.80M,125.40M,128.70M,-310.60M,,,15.60M,-78.80M,239.40M,,2009-02,-100.00M,4.30M,-95.70M,,0.20M,,-93.80M,,2009-02,16.40M,-111.20M,-94.80M,,0.00,0.00,,0.00,-9.80M,-189.60M,,132.10M,-44.00M,0.10M,88.20M,,2009-02,,-3.60M,0.00,,2009-02,,Restated
2008-11,172.10M,-0.30M,1.90M,,0.80M,,2.40M,,,78.70M,78.70M,,0.00,10.20M,-33.20M,1.20M,-223.20M,-101.60M,89.70M,,,-314.40M,-94.00M,-178.20M,,2008-11,-114.80M,2.00M,-112.80M,,0.10M,,-158.60M,,2008-11,4.30M,279.70M,284.00M,,0.00,0.00,,0.30M,-8.50M,189.70M,,296.40M,-147.10M,-17.20M,132.10M,,2008-11,,-15.70M,0.00,,2008-11,,Restated
2008-08,107.60M,-19.40M,-5.00M,,3.70M,,-20.70M,,,76.20M,76.20M,,,12.60M,-25.30M,-100.80M,-116.00M,97.70M,166.90M,,,47.80M,-635.70M,-437.50M,,2008-08,-106.30M,12.80M,-93.50M,,0.90M,,2.160B,,2008-08,-41.80M,-565.30M,-607.10M,,-900.00M,-900.00M,,5.80M,-0.10M,-1.594B,,140.90M,128.60M,-3.90M,296.40M,,2008-08,,-41.80M,-900.00M,,2008-08,,Restated
2008-05,-210.40M,,,,,,-65.20M,,,64.60M,64.60M,,,,77.50M,191.00M,985.20M,295.50M,-338.10M,,-477.60M,656.00M,-275.40M,308.10M,,2008-05,-114.40M,6.80M,-107.60M,,0.00,2.70M,-204.00M,,2008-05,,,107.00M,-19.20M,-99.90M,-119.10M,,,-2.70M,-70.00M,,128.20M,34.10M,,140.90M,,2008-05,-19.20M,,-99.90M,,2008-05,,Restated
2008-02,309.10M,,,,,,-20.80M,,,85.20M,85.20M,,,,-28.00M,-113.50M,-837.60M,-406.20M,65.30M,,573.70M,-718.30M,416.80M,44.00M,,2008-02,-72.40M,6.60M,-65.80M,,0.70M,-0.80M,-67.90M,,2008-02,,,95.70M,4.30M,0.00,4.30M,,,-0.40M,6.90M,,140.80M,-17.00M,,128.20M,,2008-02,4.30M,,0.00,,2008-02,,
2007-11,244.80M,,,,,,73.60M,,,70.50M,70.50M,,,,7.10M,-39.80M,-237.40M,151.90M,33.50M,,37.10M,-54.70M,-421.60M,-80.30M,,2007-11,-110.50M,3.50M,-107.00M,,0.00,-2.40M,-181.20M,,2007-11,,,188.40M,6.50M,0.00,6.50M,,,1.70M,108.30M,,298.40M,-153.20M,,140.80M,,2007-11,6.50M,,0.00,,2007-11,,
2007-08,175.40M,,,,,,-7.60M,,,75.80M,75.80M,,,,8.20M,-104.50M,-168.30M,-177.70M,150.90M,,-133.20M,-432.80M,1.90M,-179.10M,,2007-08,-191.50M,48.70M,-142.80M,,0.30M,2.00M,-190.70M,,2007-08,,,100.00M,8.40M,-88.10M,-79.70M,,,1.30M,-67.00M,,735.20M,-436.80M,,298.40M,,2007-08,8.40M,,-88.10M,,2007-08,,
2007-05,192.00M,,,,,,88.30M,,,67.70M,67.70M,,,,-66.50M,57.10M,587.50M,431.60M,-122.60M,,-334.40M,619.20M,-179.30M,721.40M,,2007-05,-172.10M,-0.70M,-172.80M,,118.60M,-110.20M,-164.40M,,2007-05,,,-16.60M,2.90M,-214.40M,-211.50M,,,-0.60M,-318.80M,,497.00M,238.20M,,735.20M,,2007-05,2.90M,,-214.40M,,2007-05,,
2007-02,192.60M,,,,,,-73.50M,,,90.80M,90.80M,,,,34.00M,-82.10M,-232.00M,156.00M,61.20M,,72.10M,-24.80M,-18.00M,201.10M,,2007-02,-209.10M,72.80M,-136.30M,,0.90M,3.70M,-133.20M,,2007-02,,,-8.40M,15.60M,-197.50M,-181.90M,,,-92.70M,-374.40M,,803.50M,-306.50M,,497.00M,,2007-02,15.60M,,-197.50M,,2007-02,,
2006-11,271.50M,,,,,,-28.60M,,,87.40M,87.40M,,,,-40.20M,-91.90M,-472.30M,-597.30M,183.40M,,314.20M,-663.90M,13.70M,-360.10M,,2006-11,-91.50M,57.80M,-33.70M,,0.80M,115.50M,704.40M,,2006-11,,,-23.90M,27.70M,-202.90M,-175.20M,,,54.90M,-236.10M,,695.30M,108.20M,,803.50M,,2006-11,27.70M,,-202.90M,,2006-11,,
2006-08,108.50M,,,,,,-3.90M,,,89.40M,89.40M,,,,10.80M,42.80M,9.60M,129.90M,46.60M,,-46.90M,182.00M,-5.80M,381.00M,,2006-08,-45.50M,44.10M,-1.40M,,,2.50M,116.10M,,2006-08,,,-5.50M,17.60M,,17.60M,,,-52.20M,-133.40M,,331.60M,363.70M,,695.30M,,2006-08,17.60M,,,,2006-08,,
2006-05,59.20M,,,,,,11.80M,,,73.50M,73.50M,,,,116.40M,-49.30M,386.40M,-198.00M,24.10M,,108.50M,271.70M,-188.20M,344.40M,,2006-05,-88.70M,5.70M,-83.00M,,,-490.30M,341.70M,,2006-05,,,-257.70M,4.50M,,-192.60M,,,0.10M,-591.70M,,237.20M,94.40M,,331.60M,,2006-05,4.50M,,,,2006-05,,
2006-02,-25.20M,,,,,,-324.10M,,,78.00M,78.00M,,,,386.90M,100.30M,-15.30M,105.90M,-197.20M,,-44.50M,-50.80M,192.50M,257.30M,,2006-02,-54.30M,20.10M,-34.20M,,,480.10M,-38.60M,,2006-02,,,-528.60M,0.20M,,0.20M,,,1.00M,-668.90M,,687.40M,-450.20M,,237.20M,,2006-02,0.20M,,,,2006-02,,
2005-11,180.60M,,,,,,331.00M,,,74.10M,74.10M,,,,-289.90M,-49.40M,-170.30M,185.30M,181.30M,,-5.10M,141.80M,25.40M,463.00M,,2005-11,-59.50M,-5.10M,-64.60M,,,-483.50M,-38.10M,,2005-11,,,-104.50M,6.90M,,6.90M,,,0.00,-238.90M,,501.40M,186.00M,,687.40M,,2005-11,6.90M,,,,2005-11,,
2005-08,319.20M,,,,,,-335.30M,,,74.70M,74.70M,,,,15.80M,12.80M,-145.30M,-72.30M,107.10M,,-0.60M,-98.30M,26.50M,2.60M,,2005-08,-60.90M,9.00M,-51.90M,,,480.30M,431.80M,,2005-08,,,-6.60M,7.30M,,7.30M,,,-0.30M,-140.60M,,207.60M,293.80M,,501.40M,,2005-08,7.30M,,,,2005-08,,
2005-05,99.20M,,,,,,202.90M,,,22.20M,22.20M,,,,-172.20M,49.20M,358.40M,-118.20M,-83.80M,,-41.50M,164.10M,71.10M,387.30M,,2005-05,-29.20M,40.90M,11.70M,,-282.50M,18.20M,-8.40M,,2005-05,,,-55.30M,14.50M,0.00,14.50M,,,0.80M,-179.90M,,8.60M,199.00M,,207.60M,,2005-05,14.50M,,0.00,,2005-05,,
2005-02,164.30M,,,,,,-232.70M,,,93.20M,93.20M,,,,201.00M,127.70M,-19.60M,-47.60M,-150.60M,,24.80M,-65.30M,103.80M,264.30M,,2005-02,-98.40M,25.30M,-73.10M,,512.00M,-210.00M,253.20M,,2005-02,,,-778.90M,58.30M,0.00,58.30M,,,-0.10M,-862.10M,,353.20M,-344.60M,,8.60M,,2005-02,58.30M,,0.00,,2005-02,,
2004-11,245.60M,,,,,,29.60M,,,83.80M,83.80M,,,,,-178.80M,-320.60M,108.90M,290.20M,,-13.60M,-113.90M,60.80M,305.90M,,2004-11,-149.20M,17.40M,-131.80M,,,179.60M,116.90M,,2004-11,,,-321.90M,18.80M,0.00,18.80M,,,-1.10M,-439.40M,,369.80M,-16.60M,,353.20M,,2004-11,18.80M,,0.00,,2004-11,,
2004-08,132.40M,,,,,,-9.50M,,,87.70M,87.70M,,,,,-22.10M,-68.40M,-59.60M,-110.80M,,202.10M,-58.80M,4.10M,155.90M,,2004-08,-105.20M,8.30M,-96.90M,,,1.70M,-65.40M,,2004-08,,,-26.00M,12.20M,-181.40M,-169.20M,,,-0.30M,-329.30M,,608.60M,-238.80M,,369.80M,,2004-08,12.20M,,-181.40M,,2004-08,,
2004-05,-31.70M,,,,,,-53.80M,,,10.20M,10.20M,,,,-21.30M,-47.70M,386.50M,45.40M,51.70M,,-260.30M,175.60M,220.60M,299.60M,,2004-05,15.30M,45.00M,60.30M,,43.10M,-44.10M,11.00M,,2004-05,,,-13.50M,54.80M,-200.20M,-145.40M,,,-0.10M,-302.50M,,600.50M,8.10M,,608.60M,,2004-05,54.80M,,-200.20M,,2004-05,,
2004-02,164.30M,,,,,,-387.30M,,,88.20M,88.20M,,,,2.20M,291.40M,242.10M,-10.80M,-352.70M,,84.00M,254.00M,14.50M,135.90M,,2004-02,-89.20M,8.00M,-81.20M,,26.40M,37.00M,806.90M,,2004-02,,,-69.10M,38.10M,-218.40M,-180.30M,,,5.40M,-394.20M,,51.90M,548.60M,,600.50M,,2004-02,38.10M,,-218.40M,,2004-02,,
2003-11,201.50M,,,,,,-11.80M,,,80.20M,80.20M,,,,-25.60M,-315.20M,-780.20M,218.40M,527.70M,,68.30M,-184.70M,-141.70M,-82.10M,,2003-11,-74.20M,7.30M,-66.90M,,,-3.40M,-70.30M,,2003-11,,,-537.70M,25.10M,,25.10M,,,121.30M,-535.90M,,680.70M,-688.30M,,51.90M,,2003-11,25.10M,,,,2003-11,,
2003-08,192.00M,,,,,,15.10M,,,91.20M,91.20M,,,,25.60M,,,,,,,-96.30M,,227.60M,,2003-08,-78.10M,4.20M,-73.90M,,,10.40M,-63.50M,,2003-08,,,134.30M,,,,,,-128.80M,-112.00M,,628.60M,52.10M,,680.70M,,2003-08,,,,,2003-08,,
2003-05,191.60M,,,,,,-194.00M,,,83.90M,83.90M,,,,0.50M,,,,,,,89.70M,280.50M,452.20M,,2003-05,-110.40M,184.10M,73.70M,,,140.80M,214.50M,,2003-05,,,-158.60M,,,,,,200.70M,-56.60M,,78.00M,610.10M,,688.10M,,2003-05,,,,,2003-05,,
2003-02,161.00M,,,,,,-24.30M,-232.80M,-5.00M,47.20M,47.20M,,,,-104.70M,,,,,,,1.258B,-593.70M,743.90M,,2003-02,-67.50M,-131.80M,-199.30M,,,156.30M,-43.00M,,2003-02,,,-425.30M,,,,,,-93.00M,-649.10M,,26.20M,51.80M,,78.00M,,2003-02,,,,,2003-02,,
2002-11,235.80M,,,,,,0.00,112.00M,2.20M,114.20M,114.20M,,,,69.30M,,,,,,,27.70M,,447.00M,,2002-11,-94.80M,754.60M,659.80M,,,-143.60M,516.20M,,2002-11,,,-823.60M,,,,,,-6.80M,-954.40M,,17.40M,8.80M,,26.20M,,2002-11,,,,,2002-11,,
2002-08,227.60M,,,,,,-3.90M,120.80M,2.80M,123.60M,123.60M,,,,34.90M,,,,,,,-1.411B,,-1.029B,,2002-08,-97.10M,19.10M,-78.00M,,,4.70M,-73.30M,,2002-08,,,1.185B,,,,,,-99.50M,961.60M,,157.90M,-140.50M,,17.40M,,2002-08,,,,,2002-08,,
2002-05,192.20M,,,,,,-74.00M,-352.00M,-111.20M,73.40M,73.40M,,,,-124.10M,,,,,,,969.50M,,1.392B,,2002-05,-82.40M,-6.60M,-89.00M,,,59.90M,-29.10M,,2002-05,,,-1.055B,,,,,,213.20M,-1.236B,,30.70M,127.20M,,157.90M,,2002-05,,,,,2002-05,,
2002-02,170.80M,,,,,,0.00,119.10M,36.50M,155.60M,155.60M,,,,29.00M,,,,,,,857.40M,,1.213B,,2002-02,-144.80M,8.50M,-136.30M,,,10.50M,-235.80M,,2002-02,,,-453.30M,,,,,,-400.70M,-972.00M,,25.70M,5.00M,,30.70M,,2002-02,,,,,2002-02,,
2001-11,231.60M,,,,,,0.00,116.70M,37.50M,154.20M,154.20M,,,,27.90M,,,,,,,-49.60M,,364.10M,,2001-11,-123.50M,8.80M,-114.70M,,,-25.00M,-139.70M,,2001-11,,,-255.70M,,,,,,151.00M,-224.60M,,25.90M,-0.20M,,25.70M,,2001-11,,,,,2001-11,,
2001-08,188.40M,,,,,,2.00M,116.20M,37.20M,153.40M,153.40M,,,,52.90M,,,,,,,-1.173B,,-776.10M,,2001-08,-103.30M,6.80M,-96.50M,,,-14.00M,-110.50M,,2001-08,,,830.10M,,,,,,5.80M,714.40M,,198.10M,-172.20M,,25.90M,,2001-08,,,,,2001-08,,
2001-05,92.30M,,,,,,,,,96.70M,96.70M,,,,90.50M,,,,,,,807.90M,,1.204B,,2001-05,-127.50M,-32.70M,-160.20M,,,-36.60M,-196.80M,,2001-05,,,-508.00M,,,,,,-208.50M,-833.90M,,24.40M,173.70M,,198.10M,,2001-05,,,,,2001-05,,
2001-02,98.50M,,,,,,,,,161.30M,161.30M,,,,45.40M,,,,,,,493.20M,,798.40M,,2001-02,-132.10M,17.90M,-114.20M,,,18.50M,-153.30M,,2001-02,,,-601.00M,,,,,,11.80M,-703.40M,,82.70M,-58.30M,,24.40M,,2001-02,,,,,2001-02,,
2000-11,301.70M,,,,,,,,,147.00M,147.00M,,,,0.70M,,,,,,,-421.20M,,28.20M,,2000-11,-139.10M,4.10M,-135.00M,,,3.50M,-272.70M,,2000-11,,,188.50M,,,,,,177.10M,245.20M,,82.00M,0.70M,,82.70M,,2000-11,,,,,2000-11,,
2000-08,146.10M,,,,,,,,,133.40M,133.40M,,,,32.00M,,,,,,,-2.178B,,-1.866B,,2000-08,-112.40M,50.10M,-62.30M,,,-15.00M,-985.70M,,2000-08,,,2.870B,,,,,,6.80M,2.776B,,157.60M,-75.60M,,82.00M,,2000-08,,,,,2000-08,,
2000-05,-50.20M,,,,,,385.30M,,,149.80M,149.80M,,,,-10.70M,,,,,,,1.152B,,1.626B,,2000-05,-205.60M,108.60M,-97.00M,,,-6.80M,-119.10M,,2000-05,,,-1.202B,,,,,,-68.00M,-1.367B,,17.40M,140.20M,,157.60M,,2000-05,,,,,2000-05,,
2000-02,143.40M,,,,,,84.60M,,,130.20M,130.20M,,,,8.80M,,,,,,,331.00M,,698.00M,,2000-02,-96.00M,19.00M,-77.00M,,,-8.40M,-460.20M,,2000-02,,,-355.00M,,,,,,231.80M,-230.00M,,9.60M,7.80M,,17.40M,,2000-02,,,,,2000-02,,
1999-11,187.30M,,,,,,104.40M,,,126.00M,126.00M,,,,19.20M,,,,,,,369.40M,,806.30M,,1999-11,-126.10M,20.90M,-105.20M,,,-29.90M,-135.10M,,1999-11,,,-584.60M,-17.20M,,-17.20M,,,17.30M,-672.30M,,10.70M,-1.10M,,9.60M,,1999-11,-17.20M,,,,1999-11,,
1999-08,101.80M,,,,,,47.10M,,,130.50M,130.50M,,,,32.60M,,,,,,,-2.751B,,-2.439B,,1999-08,-111.60M,6.10M,-105.50M,,,8.50M,-97.00M,,1999-08,,,2.545B,17.20M,,17.20M,,,5.90M,2.484B,,62.80M,-52.10M,,10.70M,,1999-08,17.20M,,,,1999-08,,
1999-05,-169.50M,,,,,,,,,127.00M,127.00M,,,,21.70M,,,,,,,1.625B,,2.045B,,1999-05,179.00M,35.20M,214.20M,,,21.10M,-186.60M,,1999-05,,,-1.922B,-7.00M,,-7.00M,,,181.30M,-1.818B,,22.90M,39.90M,,62.80M,,1999-05,-7.00M,,,,1999-05,,
1999-02,171.40M,,,,,,,,,127.80M,127.80M,,,,2.511B,,,,,,,-1.804B,,1.006B,,1999-02,-165.70M,6.10M,-159.60M,,,15.00M,-144.60M,,1999-02,,,-742.20M,0.60M,,0.60M,,,-43.80M,-882.70M,,44.30M,-21.40M,,22.90M,,1999-02,0.60M,,,,1999-02,,
1998-11,219.00M,,,,,,,,,124.90M,124.90M,,,,648.10M,,,,,,,,,992.00M,,1998-11,-163.40M,2.30M,-161.10M,,,-8.50M,-169.60M,,1998-11,,,-698.50M,0.00,,0.00,,,-18.40M,-788.90M,,10.80M,33.50M,,44.30M,,1998-11,0.00,,,,1998-11,,
1998-08,109.30M,,,,,,,,,120.10M,120.10M,,,,-3.093B,,,,,,,,,-2.863B,,1998-08,-512.20M,4.90M,-507.30M,,,-2.10M,-509.40M,,1998-08,,,3.333B,6.40M,,6.40M,,,8.40M,3.275B,,108.40M,-97.60M,,10.80M,,1998-08,6.40M,,,,1998-08,,
1998-05,148.30M,,,,,,34.20M,,,112.70M,112.70M,,,,2.081B,,,,,,,,,1.815B,,1998-05,-257.30M,84.30M,-173.00M,,,20.50M,-186.20M,,1998-05,,,-1.530B,,153.10M,153.10M,,,-117.00M,-1.565B,,44.60M,63.80M,,108.40M,,1998-05,,,153.10M,,1998-05,,
