,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-11,3.805B,3.805B,2.908B,896.30M,477.70M,,,,,477.70M,418.60M,,,,16.30M,,366.70M,128.80M,237.90M,32.20M,,,,270.10M,237.90M,418.60M,,2003-11,0.45,0.06,0.51,,2003-11,0.45,0.06,0.51,,2003-11,0.26,,2003-11,,
2003-08,3.229B,3.229B,2.545B,684.20M,464.00M,,,,,464.00M,220.20M,,,,11.20M,,166.00M,-1.30M,167.30M,39.30M,-11.70M,,,194.90M,167.30M,220.20M,,2003-08,0.32,0.07,0.37,,2003-08,0.32,0.07,0.37,,2003-08,0.2475,,2003-08,,
2003-05,3.026B,3.026B,2.242B,785.00M,414.70M,,,,,414.70M,370.30M,,,,19.10M,,285.10M,115.80M,215.50M,-76.10M,0.00,,,139.40M,215.50M,370.30M,,2003-05,-0.10,0.37,0.26,,2003-05,-0.10,0.37,0.26,,2003-05,0.2475,,2003-05,,
2003-02,3.614B,3.614B,2.774B,839.90M,482.60M,,,,,482.60M,357.30M,,,,11.80M,,305.50M,105.20M,200.30M,-39.30M,,,,161.00M,200.30M,357.30M,,2003-02,0.38,-0.08,0.30,,2003-02,0.38,-0.08,0.30,,2003-02,0.2475,,2003-02,,
2002-11,4.451B,4.451B,3.529B,921.40M,534.20M,,,,,534.20M,387.20M,,,,7.40M,,324.60M,116.20M,208.40M,27.40M,,,,235.80M,208.40M,387.20M,,2002-11,0.39,0.00,0.39,,2002-11,0.38,0.00,0.38,,2002-11,0.2475,,2002-11,,
2002-08,7.063B,7.063B,6.043B,1.020B,581.80M,,,,,581.80M,438.70M,,,,,,355.10M,131.40M,223.70M,,3.90M,,,227.60M,223.70M,438.70M,,2002-08,0.42,0.01,0.43,,2002-08,0.42,0.01,0.43,,2002-08,0.235,,2002-08,,
2002-05,1.119B,1.119B,669.10M,450.30M,116.90M,,,,,116.90M,333.40M,,,,,,265.50M,95.90M,169.60M,,0.00,,,192.20M,169.60M,333.40M,,2002-05,0.34,0.03,0.37,,2002-05,0.33,0.03,0.36,,2002-05,0.235,,2002-05,,
2002-02,6.245B,6.245B,5.291B,953.90M,583.30M,,,,,583.30M,370.60M,,,,,,276.50M,105.70M,170.80M,,,,,170.80M,170.80M,370.60M,,2002-02,0.31,0.00,0.31,,2002-02,0.31,0.00,0.31,,2002-02,0.235,,2002-02,,
2001-11,7.364B,7.364B,6.263B,1.100B,627.00M,,,,,627.00M,473.30M,,,,,,373.50M,141.90M,231.60M,,,,,231.60M,231.60M,473.30M,,2001-11,0.44,0.00,0.44,,2001-11,0.44,0.00,0.44,,2001-11,0.235,,2001-11,,
2001-08,7.608B,7.608B,6.552B,1.056B,644.80M,,,,,644.80M,411.20M,,,,,,307.10M,116.70M,190.40M,,-2.00M,,,188.40M,190.40M,411.20M,,2001-08,0.36,0.00,0.36,,2001-08,0.36,0.00,0.36,,2001-08,0.225,,2001-08,,
2001-05,4.388B,4.388B,3.505B,882.50M,617.40M,,,,,617.40M,265.10M,,,,,,165.80M,64.00M,121.30M,,0.00,,,121.40M,121.30M,265.10M,,2001-05,0.18,0.05,0.23,,2001-05,0.18,0.05,0.23,,2001-05,0.225,,2001-05,,
2001-02,6.379B,6.379B,5.457B,922.10M,603.10M,,,,,603.10M,319.00M,,,,,,188.10M,72.30M,115.80M,,,,,115.80M,115.80M,319.00M,,2001-02,0.22,0.00,0.22,,2001-02,0.22,0.00,0.22,,2001-02,0.225,,2001-02,,
2000-11,7.232B,7.232B,6.128B,1.104B,528.90M,,,,,528.90M,575.10M,,,,,,457.70M,176.50M,281.20M,,,,,281.20M,281.20M,575.10M,,2000-11,0.54,0.00,0.54,,2000-11,0.54,0.00,0.54,,2000-11,0.225,,2000-11,,
2000-08,6.802B,6.802B,5.621B,1.180B,735.10M,,,,,868.50M,311.80M,,,,,,235.70M,89.60M,146.10M,,,,,146.10M,146.10M,311.80M,,2000-08,0.31,0.00,0.31,,2000-08,0.30,0.00,0.30,,2000-08,0.2035,,2000-08,,
2000-05,6.227B,6.227B,6.010B,216.90M,353.30M,-260.80M,,,,-33.40M,250.30M,,,,-260.80M,,-80.00M,-29.80M,-50.20M,,,,,-50.20M,113.45M,250.30M,,2000-05,-0.20,0.09,-0.11,,2000-05,-0.20,0.09,-0.11,,2000-05,0.2035,,2000-05,,
2000-02,5.905B,5.905B,4.892B,1.013B,542.10M,-27.70M,,,,673.10M,339.70M,,,,-27.70M,,231.30M,87.90M,143.40M,,,,,143.40M,160.57M,339.70M,,2000-02,0.30,0.00,0.30,,2000-02,0.30,0.00,0.30,,2000-02,0.2035,,2000-02,,
1999-11,6.603B,6.603B,5.335B,1.268B,731.80M,-30.20M,,,,857.80M,409.80M,,,,-30.20M,,302.10M,114.80M,187.30M,,,,,187.30M,206.02M,409.80M,,1999-11,0.39,0.00,0.39,,1999-11,0.39,0.00,0.39,,1999-11,0.2035,,1999-11,,
1999-08,6.594B,6.594B,5.487B,1.107B,732.30M,-3.50M,,,,862.80M,243.90M,,,,-3.50M,,164.20M,62.40M,101.80M,,,,,101.80M,103.97M,243.90M,,1999-08,0.22,0.00,0.22,,1999-08,0.21,0.00,0.21,,1999-08,0.1785,,1999-08,,
1999-05,6.263B,6.263B,6.363B,-99.40M,-51.70M,,,,,-424.50M,325.10M,,,,,,-176.90M,-7.40M,-169.50M,,,,,-169.50M,-169.50M,325.10M,,1999-05,-0.40,,-0.40,,1999-05,-0.40,,-0.40,,1999-05,0.1785,,1999-05,,
1999-02,5.693B,5.693B,4.558B,1.135B,640.40M,,,,,768.20M,366.70M,,,,,,278.70M,107.30M,171.40M,,,,,171.40M,171.40M,366.70M,,1999-02,0.36,0.00,0.36,,1999-02,0.36,0.00,0.36,,1999-02,0.1785,,1999-02,,
1998-11,6.404B,6.404B,5.174B,1.231B,658.90M,,,,,783.80M,447.00M,,,,,,356.00M,137.00M,219.00M,,,,,219.00M,219.00M,447.00M,,1998-11,0.47,0.00,0.47,,1998-11,0.46,0.00,0.46,,1998-11,0.1785,,1998-11,,
1998-08,6.483B,6.483B,5.446B,1.038B,663.30M,,,,,783.40M,254.20M,,,,,,177.80M,68.50M,109.30M,,,,,109.30M,109.30M,254.20M,,1998-08,0.23,0.00,0.23,,1998-08,0.23,0.00,0.23,,1998-08,0.1563,,1998-08,,
1998-05,6.266B,6.266B,5.824B,441.80M,56.80M,,,,,101.70M,340.10M,,,,,,264.70M,101.60M,163.10M,,0.00,,,163.10M,163.10M,340.10M,,1998-05,0.37,0.00,0.37,,1998-05,0.36,0.00,0.36,,1998-05,0.1563,,1998-05,,
