,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-02,1.981B,1.981B,1.360B,621.00M,349.70M,,47.00M,1.30M,-45.70M,349.70M,271.30M,1.30M,47.00M,-45.70M,,-45.70M,225.60M,67.90M,179.50M,0.70M,,-0.50M,,179.70M,179.00M,272.60M,,2017-02,0.41,0.01,0.42,,2017-02,0.41,0.00,0.41,,2017-02,0.20,,2017-02,AOR,Restated
2016-11,2.088B,2.088B,1.441B,647.50M,417.90M,,54.90M,0.80M,-54.10M,417.90M,229.60M,0.80M,54.90M,-54.10M,,-54.10M,175.50M,78.40M,114.30M,11.60M,,-3.80M,,122.10M,110.50M,230.40M,,2016-11,0.26,0.02,0.28,,2016-11,0.26,0.02,0.28,,2016-11,0.25,,2016-11,AOR,Restated
2016-08,1.896B,1.896B,1.351B,544.60M,231.70M,,58.90M,0.70M,-58.20M,231.70M,312.90M,0.70M,58.90M,-58.20M,,-58.20M,254.70M,169.20M,98.60M,91.40M,,-3.80M,,186.20M,94.80M,313.60M,,2016-08,0.22,0.20,0.42,,2016-08,0.22,0.20,0.42,,2016-08,0.25,,2016-08,AOR,Restated
2016-05,2.053B,2.053B,1.473B,580.10M,731.60M,,60.70M,0.60M,-60.10M,731.60M,-151.50M,0.60M,60.70M,-60.10M,,-60.10M,-211.60M,-79.60M,-116.60M,237.50M,,-3.30M,,117.60M,-119.90M,-150.90M,,2016-05,-0.07,0.34,0.27,,2016-05,-0.07,0.34,0.27,,2016-05,0.25,,2016-05,AOR,Restated
2016-02,2.199B,2.199B,1.580B,619.80M,447.00M,,76.90M,0.50M,-76.40M,447.00M,172.80M,0.50M,76.90M,-76.40M,,-76.40M,96.40M,33.60M,71.40M,134.90M,,-1.70M,,204.60M,69.70M,173.30M,,2016-02,0.16,0.30,0.46,,2016-02,0.16,0.30,0.46,,2016-02,0.25,,2016-02,AOR,Restated
2015-11,2.359B,2.359B,1.691B,668.00M,483.20M,,79.20M,0.00,-79.20M,483.20M,184.80M,0.00,79.20M,-79.20M,,-79.20M,105.60M,43.10M,80.10M,79.20M,,-4.40M,,154.90M,75.70M,184.80M,,2015-11,0.18,0.18,0.36,,2015-11,0.18,0.17,0.35,,2015-11,0.25,,2015-11,AOR,Restated
2015-08,2.795B,2.795B,2.094B,701.10M,405.40M,,80.50M,0.20M,-80.30M,405.40M,295.70M,0.20M,80.50M,-80.30M,,-80.30M,215.40M,85.00M,167.40M,-1.320B,,-1.70M,,-1.154B,165.70M,295.90M,,2015-08,0.38,-3.06,-2.68,,2015-08,0.38,-3.06,-2.68,,2015-08,0.25,,2015-08,AOR,Restated
2015-05,222.50M,222.50M,-4.70M,227.20M,237.30M,,86.40M,0.00,-86.40M,237.30M,-10.10M,0.00,86.40M,-86.40M,,-86.40M,-96.50M,-35.20M,-74.50M,286.00M,,-2.30M,,209.20M,-76.80M,-10.10M,,2015-05,0.48,0.01,0.49,,2015-05,0.47,0.01,0.48,,2015-05,0.25,,2015-05,AOR,Restated
2015-02,2.907B,2.907B,2.187B,720.00M,360.30M,,80.00M,0.20M,-79.80M,360.30M,359.70M,0.20M,80.00M,-79.80M,,-79.80M,279.90M,100.60M,212.30M,-1.165B,,-1.40M,,-954.10M,210.90M,359.90M,,2015-02,0.49,-2.72,-2.23,,2015-02,0.49,-2.72,-2.23,,2015-02,0.25,,2015-02,AOR,Restated
2014-11,3.136B,3.136B,2.379B,757.30M,392.00M,,79.00M,0.30M,-78.70M,392.00M,365.30M,0.30M,79.00M,-78.70M,,-78.70M,286.60M,101.90M,218.70M,-202.80M,,-5.90M,,10.00M,212.80M,365.60M,,2014-11,0.50,-0.48,0.02,,2014-11,0.49,-0.48,0.02,,2014-11,0.25,,2014-11,AOR,Restated
