,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,767.17M,767.17M,127.29M,639.88M,298.66M,81.59M,380.25M,130.63M,0.701M,0.00,16.64M,0.491M,-16.15M,,511.58M,128.30M,0.491M,16.64M,-16.15M,3.841M,-16.15M,116.00M,17.77M,98.23M,,,98.23M,98.23M,185.33M,52.69M,132.64M,0.8,,0.8,0.8,0.78,,0.78,0.78,123.26M,125.86M,0.35
2020-06,798.93M,798.93M,122.24M,676.69M,291.51M,90.81M,382.32M,140.48M,0.694M,-9.528M,17.08M,0.589M,-16.49M,,523.49M,153.20M,0.589M,17.08M,-16.49M,-7.617M,-16.49M,129.10M,16.19M,112.91M,,,112.91M,121.24M,199.06M,52.89M,146.17M,0.91,,0.9775,0.91,0.9,,0.9663,0.9,123.52M,125.74M,0.35
2020-03,860.94M,860.94M,115.58M,745.37M,326.11M,80.10M,406.21M,134.46M,0.702M,-2.453M,14.61M,1.605M,-13.01M,,541.37M,204.00M,1.605M,14.61M,-13.01M,-0.355M,-13.01M,190.64M,9.417M,181.22M,,,181.22M,183.55M,258.95M,53.70M,205.25M,1.45,,1.469,1.45,1.42,,1.4380000000000002,1.42,124.74M,127.58M,0.35
2019-12,809.82M,809.82M,119.18M,690.65M,285.00M,81.68M,366.68M,128.16M,4.219M,-6.225M,8.83M,2.087M,-6.743M,,499.06M,191.59M,2.087M,8.83M,-6.743M,-8.884M,-6.743M,175.96M,-31.15M,207.11M,,,207.11M,211.66M,189.01M,1.029M,184.79M,1.59,,1.625,1.59,1.56,,1.594,1.56,130.35M,133.09M,0.35
2019-09,732.90M,732.90M,126.92M,605.98M,274.87M,80.04M,354.92M,126.42M,4.937M,-8.879M,8.822M,2.649M,-6.173M,,486.27M,119.71M,2.649M,8.822M,-6.173M,-5.423M,-6.173M,108.11M,-162.74M,270.86M,,,270.86M,277.34M,186.69M,69.75M,116.94M,2.08,,2.13,2.08,2.04,,2.089,2.04,130.28M,132.66M,0.35
2019-06,748.70M,748.70M,110.48M,638.22M,298.43M,81.16M,379.59M,134.03M,3.205M,-4.311M,10.29M,3.87M,-6.419M,,516.82M,121.39M,3.87M,10.29M,-6.419M,-7.731M,-6.419M,107.24M,13.75M,93.50M,,,93.50M,97.25M,173.75M,56.22M,117.53M,0.71,,0.7386,0.71,0.7,,0.728,0.7,131.31M,134.28M,0.35
2019-03,719.14M,719.14M,107.47M,611.67M,274.66M,77.55M,352.20M,130.26M,3.529M,-2.832M,18.03M,9.674M,-8.359M,,485.99M,125.68M,9.674M,18.03M,-8.359M,0.867M,-8.359M,118.18M,7.836M,110.35M,,,110.35M,112.99M,198.69M,62.47M,136.22M,0.84,,0.8601,0.84,0.78,,0.7988,0.78,131.48M,141.02M,0.35
2018-12,801.87M,801.87M,112.85M,689.02M,273.73M,88.19M,361.92M,116.93M,4.106M,-3.587M,19.32M,11.00M,-8.321M,,482.96M,206.06M,11.00M,19.32M,-8.321M,-10.11M,-8.321M,187.62M,21.91M,165.72M,,,165.72M,168.89M,211.05M,-19.69M,206.95M,1.24,0.0,1.264,1.24,1.15,0.0,1.172,1.15,133.86M,144.07M,0.35
2018-09,732.48M,732.48M,103.92M,628.56M,262.56M,86.08M,348.65M,111.56M,4.063M,0.486M,19.96M,10.90M,-9.066M,,464.27M,164.29M,10.90M,19.96M,-9.066M,4.188M,-9.066M,159.42M,0.558M,158.86M,,,158.86M,158.37M,234.69M,55.32M,179.38M,1.18,,1.176,1.18,1.08,,1.077,1.08,135.06M,147.57M,
2018-06,742.36M,742.36M,108.75M,633.62M,286.73M,77.34M,364.07M,112.94M,4.019M,-7.437M,20.54M,9.402M,-11.14M,,481.03M,152.58M,9.402M,20.54M,-11.14M,-9.974M,-11.14M,131.47M,24.64M,106.83M,,,106.83M,112.88M,206.40M,54.39M,152.01M,0.79,,0.8345,0.79,0.73,,0.7716,0.73,135.99M,145.45M,
2018-03,697.19M,697.19M,108.29M,588.91M,251.21M,63.73M,314.94M,98.55M,3.666M,-6.187M,20.34M,8.731M,-11.60M,,417.16M,171.75M,8.731M,20.34M,-11.60M,-9.199M,-11.60M,150.95M,6.687M,144.26M,,,144.26M,150.17M,223.16M,51.88M,171.28M,1.04,,1.082,1.04,0.99,,1.03,0.99,139.25M,146.39M,
2017-12,777.86M,777.86M,121.94M,655.92M,241.55M,65.53M,307.08M,99.32M,6.119M,-53.70M,16.32M,8.763M,-7.56M,,412.52M,243.40M,8.763M,16.32M,-7.56M,-53.71M,-7.56M,182.12M,466.01M,-283.89M,0.00,,-283.89M,-251.67M,218.65M,20.20M,198.45M,-1.93,0.0,-1.7109999999999999,-1.93,-1.93,0.0,-1.719,-1.93,147.43M,152.86M,
2017-09,690.92M,690.92M,105.94M,584.99M,249.50M,79.38M,328.88M,107.11M,3.733M,-8.552M,11.73M,7.873M,-3.853M,,439.72M,145.26M,7.873M,11.73M,-3.853M,-7.571M,-3.853M,133.84M,7.121M,126.72M,0.00,,126.72M,134.82M,197.98M,52.41M,145.57M,0.84,0.0,0.8936,0.84,0.82,0.0,0.8724,0.82,151.16M,154.63M,
2017-06,693.23M,693.23M,109.31M,583.92M,268.30M,81.15M,349.45M,106.70M,3.692M,-2.14M,12.01M,5.56M,-6.447M,,459.83M,124.08M,5.56M,12.01M,-6.447M,-3.281M,-6.447M,114.35M,5.524M,108.83M,,,108.83M,110.87M,174.46M,48.10M,126.36M,0.72,0.0,0.7335,0.72,0.7,0.0,0.7131,0.7,151.21M,156.04M,
2017-03,662.68M,662.68M,102.46M,560.22M,246.76M,76.51M,323.27M,102.67M,3.646M,-7.986M,11.55M,5.612M,-5.941M,,429.59M,130.63M,5.612M,11.55M,-5.941M,-4.66M,-5.941M,120.03M,49.70M,70.32M,-42.70M,,27.62M,75.12M,180.88M,49.30M,131.58M,0.46,-0.28,0.4913,0.18,0.44,-0.28,0.4703,0.17,153.25M,158.37M,
2016-12,734.58M,734.58M,99.72M,634.87M,252.00M,80.06M,332.06M,90.75M,3.627M,-6.089M,11.34M,4.578M,-6.766M,,426.44M,208.43M,4.578M,11.34M,-6.766M,-9.439M,-6.766M,192.23M,13.65M,178.58M,21.28M,,199.85M,184.23M,215.64M,12.07M,203.57M,1.2790000000000001,0.14,1.315,1.2790000000000001,1.26,0.13,1.296,1.26,156.00M,158.24M,
2016-09,668.74M,668.74M,98.17M,570.56M,244.50M,79.62M,324.11M,101.74M,3.907M,-12.18M,11.25M,4.193M,-7.061M,,429.76M,140.80M,4.193M,11.25M,-7.061M,-11.68M,-7.061M,122.06M,10.32M,111.74M,20.16M,,131.90M,122.88M,187.23M,53.92M,133.32M,0.72,0.13,0.7916,0.85,0.71,0.13,0.7807,0.84,155.52M,157.53M,
