,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,98.23M,-9.059M,,-9.059M,,,52.69M,52.69M,-13.42M,85.17M,,-3.724M,55.02M,1.302M,-41.53M,6.87M,,,-119.19M,-97.53M,,112.36M,-12.08M,,-9.705M,-2.371M,,-44.28M,0.216M,-56.14M,0.00,0.00,,0.00,0.00,-43.05M,-43.05M,,-3.692M,-46.74M,555.07M,9.474M,4.278M,568.82M,,0.00,0.00,0.00
2020-06,112.91M,-2.96M,,-2.96M,,,52.89M,52.89M,-15.38M,85.36M,,12.05M,84.02M,0.05M,9.507M,56.79M,,,23.93M,174.30M,,419.17M,-12.10M,,-10.58M,-1.528M,,-287.40M,-0.177M,-299.68M,0.00,0.00,,0.00,0.00,-43.22M,-43.22M,,-46.91M,-90.13M,524.88M,29.35M,0.839M,555.07M,,0.00,0.00,0.00
2020-03,181.22M,2.794M,,2.794M,,,53.70M,53.70M,-5.575M,58.32M,,7.871M,11.31M,-1.944M,-7.029M,44.69M,,,-61.12M,-14.09M,,284.25M,-12.18M,,-10.50M,-1.682M,,21.34M,0.884M,10.03M,986.95M,986.95M,,-1.200B,-1.200B,-42.84M,-42.84M,,-54.25M,-310.04M,545.76M,-15.76M,-5.125M,524.88M,,1.737B,-750.00M,-1.200B
2019-12,207.11M,-0.081M,,-0.081M,,,1.029M,1.029M,-60.36M,76.37M,,57.79M,-295.62M,2.603M,6.41M,54.37M,,,156.43M,-75.81M,,206.05M,-14.10M,,-13.00M,-1.095M,,17.08M,0.732M,3.712M,0.00,0.00,,-99.95M,-99.95M,-45.72M,-45.72M,,-14.42M,-160.09M,493.83M,49.67M,2.255M,545.76M,,0.00,0.00,-99.95M
2019-09,270.86M,1.386M,,1.386M,,,69.75M,69.75M,-203.44M,68.97M,,3.967M,101.46M,3.037M,-36.27M,15.59M,,,-148.20M,-64.38M,,147.11M,-12.64M,,-12.39M,-0.247M,,12.22M,-0.246M,-0.664M,0.00,0.00,,-103.90M,-103.90M,-45.37M,-45.37M,,-4.242M,-153.52M,504.72M,-7.077M,-3.809M,493.83M,,200.00M,-200.00M,-103.90M
2019-06,93.50M,3.265M,,3.265M,,,56.22M,56.22M,-5.123M,68.32M,,3.076M,-49.24M,-0.718M,5.199M,16.38M,,,-28.53M,-56.90M,,162.35M,-22.35M,,-20.78M,-1.568M,,171.57M,0.59M,149.81M,-1.164B,-1.164B,,-156.20M,-156.20M,-45.83M,-45.83M,,-52.89M,-1.419B,1.613B,-1.107B,-0.705M,504.72M,,0.00,-1.164B,-156.20M
2019-03,110.35M,-1.939M,,-1.939M,,,62.47M,62.47M,23.99M,65.23M,,0.845M,204.41M,-1.876M,17.53M,-125.22M,,,-88.23M,6.613M,,267.57M,-17.87M,,-17.28M,-0.59M,,900.18M,0.575M,882.89M,0.00,0.00,,-93.80M,-93.80M,-46.02M,-46.02M,,-17.66M,-157.49M,618.77M,992.97M,0.945M,1.613B,,0.00,0.00,-93.80M
2018-12,165.72M,0.724M,,0.724M,,,-19.69M,-19.69M,-15.66M,59.31M,,83.56M,-277.58M,-0.69M,43.87M,26.61M,,,140.24M,-67.55M,,206.41M,-16.14M,,-15.06M,-1.07M,-182.95M,130.13M,-4.601M,-73.55M,-272.99M,-272.99M,,-380.00M,-380.00M,-46.80M,-46.80M,0.00,-18.00M,-717.79M,1.205B,-584.93M,-1.486M,618.77M,,0.00,-272.99M,-380.00M
2018-09,158.86M,1.205M,,1.205M,,,55.32M,55.32M,-3.248M,52.74M,,0.392M,113.82M,-0.904M,-13.65M,2.294M,,,-65.92M,35.64M,,300.90M,-22.28M,,-21.36M,-0.923M,0.00,27.19M,-1.603M,3.301M,0.00,0.00,,-116.18M,-116.18M,0.00,0.00,0.051M,-3.653M,-119.78M,1.022B,184.42M,-0.948M,1.205B,,0.00,0.00,-116.18M
2018-06,106.83M,7.927M,,7.927M,,,54.39M,54.39M,-2.404M,55.84M,,1.864M,-102.64M,-6.679M,-24.59M,44.78M,,,34.84M,-54.27M,,170.18M,-17.61M,,-16.93M,-0.682M,0.347M,-28.56M,-0.255M,-46.08M,0.00,0.00,,-14.98M,-14.98M,0.00,0.00,0.043M,-36.33M,-51.27M,954.70M,72.83M,-5.818M,1.022B,,,0.00,-14.98M
