,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,954.70M,510.27M,1.465B,427.89M,427.89M,,13.57M,168.99M,,,,2.075B,,,,,,,,,,249.70M,1.663B,155.90M,1.818B,773.65M,114.28M,105.98M,3.062B,5.137B,68.70M,4.818M,73.52M,243.94M,317.46M,,,,1.204B,1.204B,,,1.522B,2.137B,,2.137B,,480.98M,480.98M,,138.58M,3.092B,4.614B,0.308M,3.787B,4.939B,8.187B,-14.87M,523.38M
2017-12,1.115B,632.52M,1.748B,712.54M,712.54M,,13.91M,147.33M,,,,2.621B,0.0,16.77M,76.15M,638.42M,,28.82M,168.66M,928.82M,-675.89M,252.93M,1.614B,141.95M,1.756B,984.33M,152.36M,52.68M,3.199B,5.820B,66.89M,34.03M,100.93M,116.63M,217.56M,,,,1.308B,1.308B,,,1.687B,2.127B,,2.127B,,555.77M,555.77M,,121.94M,3.141B,4.828B,0.306M,3.509B,4.884B,7.390B,-10.81M,992.46M
2017-09,940.87M,562.89M,1.504B,464.80M,464.80M,,14.89M,168.22M,,,,2.152B,,,,,,,,,,254.30M,1.617B,168.09M,1.785B,1.055B,195.76M,57.50M,3.348B,5.499B,56.77M,3.493M,60.26M,225.04M,285.30M,40.00M,40.00M,40.00M,1.173B,1.173B,,,1.499B,1.377B,,1.377B,,505.72M,505.72M,,122.74M,2.005B,3.504B,0.305M,3.790B,4.995B,6.781B,-8.667M,1.996B
2017-06,844.77M,511.09M,1.356B,541.32M,541.32M,,13.23M,176.08M,,,,2.086B,,,,,,,,,,252.92M,1.617B,187.55M,1.805B,1.045B,177.38M,64.08M,3.344B,5.431B,65.26M,4.724M,69.99M,240.81M,310.80M,30.00M,30.00M,30.00M,1.206B,1.206B,,,1.546B,1.367B,,1.367B,,510.21M,510.21M,,125.42M,2.003B,3.549B,0.305M,3.664B,4.922B,6.696B,-8.779M,1.882B
2017-03,907.98M,506.12M,1.414B,485.77M,485.77M,,15.21M,170.08M,,,,2.085B,,,,,,,,,,260.15M,1.617B,199.34M,1.816B,952.16M,184.21M,62.74M,3.275B,5.361B,64.08M,28.19M,92.26M,255.01M,347.28M,100.00M,100.00M,100.00M,1.170B,1.170B,,13.82M,1.631B,1.358B,,1.358B,,493.86M,493.86M,,144.40M,1.996B,3.627B,0.305M,3.554B,4.883B,6.692B,-10.93M,1.734B
2016-12,836.10M,726.92M,1.563B,681.21M,681.21M,,12.52M,124.84M,,,,2.561B,0.0,16.77M,76.15M,591.63M,,15.75M,164.09M,864.39M,-602.43M,261.95M,1.586B,173.68M,1.760B,980.14M,233.90M,593.38M,3.829B,6.390B,72.72M,39.77M,112.50M,113.13M,225.63M,1.348B,1.348B,1.348B,1.208B,1.208B,,172.67M,3.098B,,,,,476.14M,476.14M,,119.81M,603.66M,3.702B,0.303M,4.011B,4.762B,6.135B,-28.70M,2.688B
2016-09,1.309B,354.33M,1.663B,475.08M,475.08M,,14.81M,119.48M,,,,2.272B,,,,,,,,,,352.52M,1.965B,247.39M,2.212B,789.04M,231.68M,64.46M,3.650B,5.923B,85.66M,51.34M,137.00M,279.95M,416.94M,1.339B,1.339B,1.339B,1.194B,1.194B,,,2.950B,,,,,418.17M,418.17M,,114.93M,533.10M,3.483B,0.302M,3.811B,4.687B,6.124B,-22.84M,2.440B
2016-06,666.23M,684.60M,1.351B,504.42M,504.42M,,11.51M,135.03M,,,,2.002B,,,,,,,,,,365.80M,1.962B,260.67M,2.223B,854.49M,214.50M,54.79M,3.712B,5.714B,72.64M,27.68M,100.32M,315.26M,415.58M,,,,1.211B,1.211B,,,1.627B,1.329B,,1.329B,,425.98M,425.98M,,90.03M,1.845B,3.472B,0.301M,3.679B,4.697B,6.112B,-21.90M,2.242B
2016-03,513.31M,642.45M,1.156B,450.00M,450.00M,,12.19M,169.62M,,,,1.788B,,,,,,,,,,376.01M,1.962B,281.80M,2.244B,849.49M,205.94M,55.65M,3.731B,5.519B,85.49M,18.46M,103.95M,310.88M,414.83M,,,,1.209B,1.209B,,,1.624B,1.320B,,1.320B,,412.58M,412.58M,,93.52M,1.826B,3.451B,0.301M,3.558B,4.632B,6.101B,-21.06M,2.068B
2015-12,368.52M,502.85M,871.37M,669.28M,669.28M,,10.52M,132.78M,,,,1.684B,0.0,27.59M,85.09M,882.30M,,14.10M,217.20M,1.226B,-852.46M,373.82M,1.963B,283.42M,2.246B,891.96M,215.20M,56.45M,3.784B,5.468B,95.40M,18.35M,113.75M,133.18M,246.93M,,,,1.250B,1.250B,,,1.681B,1.311B,,1.311B,,414.31M,414.31M,,87.72M,1.813B,3.494B,0.299M,3.475B,4.567B,6.040B,-28.53M,1.973B
