,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2010-03,281.85M,391.22M,673.07M,242.61M,242.61M,,7.337M,108.65M,,55.07M,,1.087B,,,,,,,,,,243.09M,912.41M,211.15M,1.124B,717.93M,24.98M,42.17M,2.152B,3.238B,54.17M,,54.17M,209.04M,263.21M,,,,570.74M,570.74M,,,833.95M,,,,,65.54M,65.54M,8.221M,4.334M,69.88M,903.83M,0.271M,1.625B,2.785B,2.078B,-5.675M,2.326B
2009-12,261.44M,338.17M,599.61M,304.91M,304.91M,,8.664M,71.52M,,54.59M,,1.039B,0.0,15.88M,72.10M,177.28M,155.35M,,90.62M,511.24M,-263.54M,247.70M,899.82M,213.20M,1.113B,607.65M,37.94M,45.54M,2.052B,3.091B,57.35M,,57.35M,221.50M,278.85M,,,,555.51M,555.51M,,,834.36M,,,,,63.34M,63.34M,0.00,4.94M,68.28M,902.64M,0.265M,1.578B,2.588B,1.976B,-2.06M,2.189B
2009-09,300.37M,278.30M,578.67M,237.90M,237.90M,,8.793M,100.76M,,35.15M,,961.26M,,,,,,,,,,251.17M,900.29M,228.54M,1.129B,511.70M,15.08M,45.92M,1.953B,2.914B,47.22M,,47.22M,183.12M,230.34M,,,,495.19M,495.19M,,,725.53M,,,,,60.74M,60.74M,,0.835M,61.58M,787.11M,0.263M,1.490B,2.528B,1.899B,,2.127B
2009-06,294.21M,285.46M,579.68M,224.18M,224.18M,,9.864M,104.41M,,34.25M,,952.39M,,,,,,,,,,254.02M,899.62M,242.20M,1.142B,407.67M,15.14M,45.23M,1.864B,2.816B,42.59M,,42.59M,186.67M,229.25M,,,,490.28M,490.28M,,,719.53M,,,,,47.77M,47.77M,,1.126M,48.90M,768.43M,0.26M,1.437B,2.440B,1.824B,-5.592M,2.048B
2009-03,269.82M,286.74M,556.56M,198.17M,198.17M,,10.04M,87.56M,,38.72M,,891.06M,,,,,,,,,,257.35M,905.11M,254.74M,1.160B,347.42M,16.60M,39.75M,1.821B,2.712B,40.64M,,40.64M,185.96M,226.60M,,,,491.91M,491.91M,,,718.51M,,,,,43.29M,43.29M,,0.697M,43.99M,762.50M,0.258M,1.394B,2.363B,1.784B,-24.00M,1.950B
2008-12,326.12M,249.18M,575.30M,231.30M,231.30M,,11.23M,84.53M,,37.79M,,940.14M,0.0,15.88M,72.10M,183.65M,129.11M,,86.59M,487.34M,-233.01M,254.33M,904.50M,270.22M,1.175B,275.58M,12.94M,36.58M,1.754B,2.694B,46.67M,,46.67M,195.55M,242.22M,,,,488.70M,488.70M,,,730.92M,,,,,44.78M,44.78M,,0.744M,45.52M,776.44M,0.256M,1.387B,2.305B,1.759B,-15.85M,1.918B
2008-09,218.08M,242.99M,461.06M,220.77M,220.77M,,12.65M,91.68M,62.83M,44.07M,,893.08M,,,,,,,,366.56M,-190.08M,176.48M,888.24M,267.39M,1.156B,,,337.73M,1.670B,2.563B,42.00M,,42.00M,204.35M,246.35M,,,,441.57M,441.57M,,,687.92M,,,,,,,,,40.50M,728.42M,0.255M,1.327B,2.244B,1.702B,-34.70M,1.834B
2008-06,147.38M,241.45M,388.84M,225.28M,225.28M,,12.82M,91.63M,62.83M,44.48M,,825.88M,,,,,,,,357.02M,-190.08M,166.93M,889.16M,282.52M,1.172B,,,405.36M,1.744B,2.570B,44.22M,,44.22M,189.51M,233.73M,,,,436.23M,436.23M,,,669.96M,,,,,,,,,40.71M,710.68M,0.254M,1.278B,2.208B,1.634B,6.845M,1.859B
2008-03,192.13M,238.58M,430.71M,186.60M,186.60M,,13.80M,100.17M,,43.69M,,774.97M,,,,,,,,341.49M,-190.08M,151.40M,890.18M,294.42M,1.185B,,,436.56M,1.773B,2.548B,46.93M,,46.93M,189.87M,236.81M,,,,422.91M,422.91M,,,659.72M,,,,,,,,,38.38M,698.10M,0.253M,1.243B,2.157B,1.564B,12.17M,1.849B
2007-12,223.75M,356.08M,579.83M,225.86M,225.86M,,9.629M,76.00M,,43.03M,,934.34M,0.0,9.062M,81.97M,143.86M,90.10M,,,324.99M,-190.08M,134.91M,888.52M,276.32M,1.165B,,,300.61M,1.600B,2.535B,55.59M,,55.59M,191.38M,246.97M,,,,407.30M,407.30M,,,654.27M,,,,,,,,,42.09M,696.37M,0.252M,1.209B,2.038B,1.414B,5.751M,1.838B
2007-09,363.46M,347.53M,710.99M,190.54M,190.54M,,6.809M,70.73M,,57.07M,,1.036B,,,,,,,,271.34M,-156.43M,114.91M,675.34M,143.98M,819.31M,,48.48M,294.05M,1.277B,2.313B,41.49M,,41.49M,190.03M,231.52M,,,,367.23M,367.23M,,22.53M,621.28M,,,,,,,,,39.22M,660.50M,0.241M,1.146B,1.700B,1.202B,8.064M,1.652B
2007-06,495.45M,234.15M,729.60M,177.42M,177.42M,,6.791M,61.56M,,55.47M,,1.031B,,,,,,,,261.57M,-156.43M,105.13M,675.43M,148.35M,823.77M,,49.45M,273.73M,1.252B,2.283B,43.88M,,43.88M,177.40M,221.28M,,,,369.10M,369.10M,,24.72M,615.11M,,,,,,,,,36.82M,651.93M,0.239M,1.085B,1.745B,1.202B,3.256M,1.631B
2007-03,449.57M,200.18M,649.76M,168.05M,168.05M,,9.709M,56.50M,,55.62M,,939.63M,,,,,,,,256.17M,-156.43M,99.73M,675.77M,154.86M,830.63M,,46.44M,270.95M,1.248B,2.187B,46.82M,,46.82M,166.47M,213.29M,,,,351.45M,351.45M,,20.46M,585.20M,,,,,,,,,36.21M,621.41M,0.239M,1.032B,1.733B,1.202B,3.41M,1.566B
2006-12,349.05M,152.65M,501.71M,204.97M,204.97M,,6.619M,45.65M,,52.79M,,811.74M,0.0,9.062M,64.31M,175.64M,,,,249.01M,-156.43M,92.58M,631.69M,130.46M,762.15M,,41.59M,316.41M,1.213B,2.024B,45.22M,,45.22M,145.66M,190.88M,,,,332.77M,332.77M,,11.89M,535.54M,,,,,,,,,24.64M,560.18M,0.238M,1.007B,1.656B,1.202B,4.18M,1.464B
2006-09,216.54M,240.60M,457.14M,149.34M,149.34M,,5.415M,43.06M,,46.65M,,701.60M,,,,,,,,218.49M,-131.66M,86.82M,636.96M,136.80M,773.76M,,42.47M,352.19M,1.255B,1.957B,38.92M,,38.92M,121.73M,160.64M,,,,293.21M,293.21M,,,453.86M,,,,,,,,,28.48M,482.34M,0.237M,1.082B,1.488B,1.097B,1.145M,1.475B
2006-06,344.59M,276.24M,620.83M,136.18M,136.18M,,4.817M,54.28M,,46.63M,,862.73M,,,,,,,,212.98M,-131.66M,81.31M,598.89M,128.17M,727.06M,,33.25M,287.58M,1.129B,1.992B,38.25M,,38.25M,122.11M,160.36M,,,,290.10M,290.10M,,,450.46M,,,,,,,,,22.01M,472.47M,0.236M,1.036B,1.449B,967.50M,2.312M,1.519B
2006-03,423.19M,157.07M,580.26M,116.42M,116.42M,3.954M,3.954M,34.46M,,46.36M,,781.46M,,,,,,,,207.96M,-131.66M,76.29M,591.59M,129.20M,720.79M,,30.46M,167.85M,995.40M,1.777B,35.30M,,35.30M,119.68M,154.98M,,,,274.19M,274.19M,,,429.17M,,,,,,,,,19.61M,448.78M,0.231M,989.30M,1.288B,946.53M,-2.637M,1.328B
2005-12,484.04M,18.90M,502.94M,142.02M,142.02M,,3.933M,31.16M,,46.41M,,726.46M,0.0,9.062M,56.86M,139.47M,,,,205.39M,-131.66M,73.73M,591.99M,137.33M,729.33M,,29.16M,140.31M,972.52M,1.699B,33.50M,,33.50M,131.31M,164.80M,,,,266.22M,266.22M,,1.329M,432.35M,31.00M,,31.00M,,,,,21.10M,52.10M,484.45M,0.226M,823.71M,1.324B,907.50M,-25.88M,1.215B
2005-09,508.23M,,508.23M,111.13M,111.13M,,,33.21M,,43.08M,,695.65M,,,,,,,,186.95M,-116.89M,70.06M,,712.46M,712.46M,,,134.76M,917.28M,1.613B,17.79M,,17.79M,119.06M,136.86M,,,,239.27M,239.27M,,23.20M,399.33M,75.00M,,75.00M,,,,,17.55M,92.55M,491.88M,0.224M,885.68M,1.145B,884.97M,-24.53M,1.121B
2005-06,207.67M,183.28M,390.95M,98.86M,98.86M,,,33.88M,,41.76M,,565.46M,,,,,,,,186.28M,-116.89M,69.39M,,439.15M,439.15M,,,309.74M,818.28M,1.384B,17.39M,,17.39M,110.64M,128.02M,,,,227.69M,227.69M,,22.10M,377.81M,,,,,,,,,16.66M,394.47M,0.216M,844.73M,950.50M,802.44M,-3.739M,989.27M
2005-03,120.95M,189.69M,310.64M,85.46M,85.46M,,,32.10M,,44.11M,,472.32M,,,,,,,,185.13M,-116.89M,68.24M,,443.80M,443.80M,,,305.88M,817.91M,1.290B,15.20M,,15.20M,104.84M,120.04M,,,,216.42M,216.42M,,,336.46M,,,,,,,,,18.10M,354.56M,0.214M,816.85M,907.53M,790.76M,1.835M,935.66M
2004-12,73.48M,159.66M,233.14M,108.40M,108.40M,,,41.16M,,43.88M,,426.58M,0.0,9.062M,53.54M,123.57M,,,,186.17M,-116.89M,69.28M,,448.62M,448.62M,,,341.60M,859.50M,1.286B,17.55M,,17.55M,111.54M,129.09M,,,,210.87M,210.87M,,2.198M,342.16M,,,,,,,,,19.02M,361.18M,0.213M,778.29M,872.66M,732.68M,6.426M,924.90M
2004-09,197.66M,68.34M,266.00M,90.12M,90.12M,,,27.06M,,50.69M,,433.86M,,,,,,,,167.64M,-97.22M,70.42M,,387.43M,387.43M,,,282.12M,739.98M,1.174B,102.66M,,102.66M,,102.66M,,,,190.89M,190.89M,,,293.56M,11.42M,,11.42M,,,,,9.338M,20.76M,314.31M,0.21M,725.99M,854.56M,722.31M,1.069M,859.52M
2004-06,183.96M,56.41M,240.36M,86.48M,86.48M,,,31.25M,,52.24M,,410.34M,,,,,,,,166.16M,-97.22M,68.93M,,388.58M,388.58M,,0.112M,290.14M,747.77M,1.158B,107.68M,,107.68M,,107.68M,,,,184.00M,184.00M,,,291.68M,9.777M,,9.777M,,,,,9.447M,19.22M,310.91M,0.21M,687.54M,828.71M,669.89M,0.624M,847.20M
2004-03,201.10M,50.09M,251.19M,67.65M,67.65M,,,39.59M,,51.82M,,410.25M,,,,,,,,164.25M,-97.22M,67.03M,,381.99M,381.99M,,,292.28M,741.30M,1.152B,106.74M,,106.74M,,106.74M,,,,172.71M,172.71M,,,279.45M,10.97M,,10.97M,,,,,15.30M,26.27M,305.72M,0.209M,656.06M,847.15M,662.94M,5.347M,845.83M
2003-12,182.97M,385.43M,568.40M,87.46M,87.46M,,,58.17M,,51.54M,,765.57M,0.0,9.062M,48.70M,105.30M,,,,163.06M,-97.22M,65.84M,,173.66M,173.66M,,3.168M,336.70M,579.37M,1.345B,114.46M,,114.46M,,114.46M,,351.42M,351.42M,152.94M,152.94M,,,618.82M,,,,,,,,,19.32M,638.14M,0.203M,646.74M,700.11M,648.07M,7.81M,706.80M
2003-09,264.47M,250.61M,515.08M,85.56M,85.56M,,,38.29M,,52.40M,,691.33M,,,,,,,,157.41M,-90.48M,66.93M,,174.77M,174.77M,,5.689M,305.10M,552.49M,1.244B,102.64M,,102.64M,,102.64M,,346.88M,346.88M,133.77M,133.77M,,,583.28M,,,,,,,,,10.80M,594.08M,0.201M,610.47M,667.04M,632.46M,4.483M,649.74M
2003-06,248.22M,221.78M,470.00M,84.25M,84.25M,,,43.53M,,49.91M,,647.69M,,,,,,,,69.54M,,69.54M,,177.01M,177.01M,,5.141M,331.03M,582.72M,1.230B,102.82M,,102.82M,,102.82M,,342.43M,342.43M,119.55M,119.55M,,,564.80M,8.597M,,8.597M,,,,,,8.597M,573.40M,0.20M,579.47M,665.48M,594.02M,5.885M,657.01M
2003-03,151.82M,250.64M,402.46M,68.73M,68.73M,,,41.38M,,49.15M,,561.73M,,,,,,,,163.53M,-90.48M,73.05M,,180.94M,180.94M,,5.30M,332.75M,592.04M,1.154B,95.33M,,95.33M,,95.33M,,338.00M,338.00M,102.77M,102.77M,,,536.10M,,,,,,,,,12.35M,548.45M,0.199M,550.13M,607.32M,556.87M,4.543M,605.32M
2002-12,142.70M,77.21M,219.91M,69.47M,69.47M,,1.774M,2.128M,,49.52M,32.50M,375.30M,0.0,9.062M,47.06M,110.89M,,,,167.01M,-90.48M,76.53M,,183.21M,183.21M,,5.587M,520.90M,786.23M,1.162B,92.93M,,92.93M,,92.93M,,,,95.96M,95.96M,,,188.89M,341.58M,,341.58M,,,,,16.48M,358.05M,546.94M,0.197M,519.80M,595.96M,505.20M,3.833M,614.59M
2002-09,117.56M,129.25M,246.81M,51.90M,51.90M,,2.538M,,,32.93M,29.88M,364.05M,,,,,,,,146.74M,-64.76M,81.99M,,181.01M,181.01M,,23.01M,458.80M,744.81M,1.109B,82.95M,,82.95M,,82.95M,,,,86.00M,86.00M,,,168.95M,337.12M,,337.12M,,,,,3.604M,340.72M,509.67M,0.197M,480.23M,586.32M,472.00M,4.432M,599.18M
2002-06,93.30M,104.54M,197.84M,69.66M,69.66M,,2.438M,18.21M,,34.10M,35.18M,357.44M,,,,,,,,150.02M,-64.76M,85.27M,152.36M,31.05M,183.42M,,22.76M,552.58M,844.03M,1.201B,94.12M,,94.12M,,94.12M,,,,81.03M,81.03M,,,175.15M,350.03M,,350.03M,,,,,6.738M,356.76M,531.91M,0.197M,463.42M,632.08M,432.74M,6.607M,669.56M
2002-03,84.57M,100.47M,185.04M,79.50M,79.50M,,3.014M,8.836M,,33.42M,24.15M,333.95M,,,,,,,,154.22M,-64.76M,89.46M,,185.84M,185.84M,,24.98M,543.24M,843.53M,1.177B,101.50M,,101.50M,,101.50M,,,,77.89M,77.89M,,,179.38M,351.84M,,351.84M,,,,,4.983M,356.83M,536.21M,0.197M,452.57M,545.51M,356.66M,-0.337M,641.28M
2001-12,139.69M,77.08M,216.77M,65.03M,65.03M,,3.568M,6.069M,,33.17M,21.44M,346.06M,0.0,9.062M,25.93M,31.28M,88.59M,,,154.86M,-64.76M,90.11M,,188.98M,188.98M,,25.07M,558.02M,862.18M,1.208B,111.93M,,111.93M,,111.93M,,,,80.57M,80.57M,,,192.50M,351.84M,,351.84M,,,,,16.55M,368.40M,560.90M,0.197M,425.88M,507.86M,286.52M,-0.084M,647.33M
2001-09,162.22M,53.68M,215.90M,79.20M,79.20M,,3.733M,24.32M,,29.97M,,353.13M,,,,,,,,115.05M,-35.37M,79.68M,,196.39M,196.39M,,,582.73M,858.80M,1.212B,98.99M,,98.99M,,98.99M,,,,88.82M,88.82M,,,187.81M,343.57M,,343.57M,,,,,24.51M,368.08M,555.89M,0.196M,400.24M,471.32M,214.98M,-0.74M,656.04M
2001-06,215.26M,46.92M,262.18M,55.60M,55.60M,,4.136M,24.73M,,29.34M,,375.98M,,,,,,,,114.78M,-35.37M,79.41M,,203.21M,203.21M,,16.64M,510.20M,809.45M,1.185B,89.74M,,89.74M,,89.74M,,,,93.24M,93.24M,,,182.98M,339.17M,,339.17M,,,,,10.85M,350.02M,533.00M,0.191M,372.45M,437.73M,159.72M,1.785M,652.43M
2001-03,328.12M,83.98M,412.10M,43.06M,43.06M,,4.593M,46.78M,,32.81M,,539.34M,,,,,,,,108.70M,-35.37M,73.33M,,46.03M,46.03M,,19.08M,482.11M,620.55M,1.160B,79.00M,,79.00M,,79.00M,,,,88.85M,88.85M,,,167.85M,334.78M,,334.78M,,,,,14.27M,349.06M,516.90M,0.19M,349.55M,410.66M,118.22M,0.803M,642.99M
2000-12,375.02M,91.61M,466.64M,,37.30M,,4.622M,,,,78.17M,586.73M,,,,,,,,90.93M,-35.37M,55.56M,,52.34M,52.34M,,,417.94M,525.84M,1.113B,78.74M,,78.74M,,78.74M,,,,,,,80.65M,159.39M,330.50M,,330.50M,,,,,29.81M,360.31M,519.70M,0.188M,320.62M,351.05M,76.04M,-2.943M,592.88M
2000-09,322.41M,286.48M,608.88M,,53.11M,,5.107M,,,,105.55M,772.65M,,,,,,,,78.54M,-29.38M,49.16M,,69.30M,69.30M,,,228.48M,346.93M,1.120B,71.97M,,71.97M,,71.97M,,,,,,,81.06M,153.03M,326.22M,,326.22M,,,,,24.09M,350.31M,503.35M,0.187M,301.24M,344.74M,27.57M,-2.355M,616.24M
2000-06,350.96M,276.06M,627.02M,,57.28M,,8.84M,,,,101.11M,794.26M,,,,,,,,66.54M,-23.94M,42.60M,,75.43M,75.43M,,,309.06M,427.09M,1.221B,71.02M,,71.02M,,71.02M,,,,,,,80.08M,151.10M,322.04M,,322.04M,,,,,34.10M,356.14M,507.24M,0.186M,279.62M,431.92M,,2.375M,714.10M
2000-03,265.14M,238.38M,503.52M,,82.97M,,10.49M,,,,125.57M,722.55M,,,,,,,,55.53M,-19.09M,36.44M,,84.11M,84.11M,,,362.71M,483.26M,1.206B,77.42M,,77.42M,,77.42M,,39.90M,39.90M,,,,42.67M,159.99M,317.95M,,317.95M,,,,,43.97M,361.92M,521.92M,0.185M,264.65M,411.46M,,7.603M,683.89M
1999-12,216.10M,222.00M,438.10M,,55.30M,,7.70M,,,,69.10M,570.20M,,,,,,,,47.40M,-15.90M,31.50M,,63.40M,63.40M,,,372.80M,467.70M,1.038B,59.60M,,59.60M,,59.60M,,,,,,,77.40M,137.00M,313.90M,,313.90M,,,,,53.90M,367.80M,504.80M,0.20M,226.10M,309.30M,,-2.50M,533.10M
1999-09,179.90M,137.30M,317.20M,,47.40M,,8.50M,,,,39.20M,412.30M,,,,,,,,34.30M,-12.80M,21.50M,,65.20M,65.20M,,,425.10M,511.80M,924.10M,50.20M,,50.20M,,50.20M,,,,,,,65.90M,116.10M,309.80M,,309.80M,,,,,48.90M,358.70M,474.80M,0.10M,192.10M,258.70M,,-1.60M,449.30M
1999-06,234.90M,,234.90M,,44.00M,,7.50M,,,,121.70M,408.10M,,,,,,,,27.30M,-10.60M,16.70M,,39.30M,39.30M,,,383.30M,439.30M,847.40M,44.00M,,44.00M,,44.00M,,39.90M,39.90M,,,,35.10M,119.00M,305.90M,,305.90M,,,,,43.90M,349.80M,468.80M,,162.70M,,,,378.60M
1999-03,413.10M,,413.10M,,43.80M,,4.80M,,,,75.00M,536.70M,,,,,,,,24.00M,-8.70M,15.30M,,43.00M,43.00M,,,210.20M,268.50M,805.20M,44.30M,,44.30M,,44.30M,,,,,,,77.30M,121.60M,301.90M,,301.90M,,,,,38.90M,340.80M,462.40M,,134.90M,,,,342.80M
1998-12,127.50M,,127.50M,,32.80M,,4.10M,,,,79.60M,244.00M,,,,,,,,21.30M,-7.10M,14.20M,,46.80M,46.80M,,,126.40M,187.40M,431.40M,29.70M,,29.70M,,29.70M,,,,,,,55.40M,85.10M,,,,,,,,,48.80M,133.90M,,109.20M,,,,297.50M
1998-09,133.10M,,133.10M,,33.10M,,4.30M,,,,119.60M,290.10M,,,,,,,,20.80M,-6.70M,14.10M,,8.90M,8.90M,,,25.30M,48.30M,338.40M,2.90M,,2.90M,,2.90M,,,,,,,64.00M,66.90M,0.20M,,0.20M,,,,,39.10M,39.30M,106.20M,,60.10M,,,,232.20M
1998-06,152.80M,,152.80M,,36.20M,,3.40M,,,,98.80M,291.20M,,,,,,,,16.80M,-3.90M,12.90M,,9.10M,9.10M,,,40.60M,62.60M,353.80M,2.10M,,2.10M,,2.10M,,,,,,,107.10M,109.20M,0.20M,,0.20M,,,,,42.90M,43.10M,152.30M,,44.40M,,,,201.50M
1998-03,119.00M,,119.00M,,20.70M,,2.30M,,,,124.30M,266.30M,,,,,,,,11.20M,-0.70M,10.50M,,,,,,16.80M,27.30M,293.60M,0.90M,,0.90M,,0.90M,,15.00M,15.00M,,,,27.50M,43.40M,,,,,,,,,46.60M,90.00M,,48.90M,,,,203.60M
