,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2010-09,,,,,9.11M,23.14M,32.25M,32.25M,,0.591M,6.266M,84.26M,-8.118M,-6.279M,26.52M,,3.572M,15.69M,139.06M,-6.278M,,,-521.76M,-0.338M,-528.38M,340.89M,,340.89M,0.461M,,0.461M,,-8.929M,8.466M,0.996M,341.88M,290.74M,-47.43M,7.504M,250.81M,0.461M,318.00M,22.89M,
2010-06,-59.72M,,,,8.752M,19.19M,27.95M,27.95M,,0.591M,6.11M,131.68M,-7.781M,1.346M,18.04M,,-7.938M,3.671M,110.27M,-7.628M,,,0.349M,-0.688M,-7.967M,-0.014M,,-0.014M,0.367M,,0.367M,,-8.915M,6.046M,1.998M,-0.518M,191.28M,101.78M,-2.329M,290.74M,0.367M,,-0.014M,
2010-03,59.72M,,,,9.409M,19.10M,28.50M,28.50M,,0.59M,7.008M,-0.67M,2.781M,-2.344M,-0.508M,,,-0.071M,95.09M,-6.485M,,,-15.00M,2.841M,-18.64M,-43.00M,,-43.00M,0.408M,,0.408M,,-8.878M,2.443M,0.979M,-48.05M,167.71M,28.40M,-4.818M,191.28M,0.408M,,-43.00M,
2009-12,71.92M,,,,8.335M,18.00M,26.34M,26.34M,,2.573M,6.655M,4.645M,-23.13M,16.58M,30.07M,,-9.787M,13.74M,119.65M,-7.177M,,,-353.31M,-0.729M,-361.22M,381.92M,,381.92M,-228.15M,,-228.15M,,-7.48M,5.661M,1.002M,152.95M,256.02M,-88.62M,0.307M,167.71M,-228.15M,0.00,381.92M,
2009-09,56.41M,,,,8.308M,16.97M,25.28M,25.28M,,-1.353M,6.74M,-13.85M,0.945M,5.756M,-10.38M,,2.006M,-1.67M,86.99M,-6.349M,-10.19M,-10.19M,0.00,9.156M,-7.38M,-40.08M,,-40.08M,0.406M,,0.406M,,-7.493M,1.807M,-3.329M,-48.69M,220.83M,30.92M,4.282M,256.02M,0.406M,500.00M,-540.08M,
2009-06,59.59M,,,,8.751M,16.85M,25.60M,25.60M,,0.677M,7.096M,15.28M,25.92M,11.60M,-19.06M,,-0.971M,17.48M,110.28M,-7.131M,9.82M,9.82M,-0.565M,-0.843M,1.281M,-155.70M,,-155.70M,0.378M,,0.378M,,-7.456M,1.87M,83.95M,-76.96M,177.51M,34.61M,8.709M,220.83M,0.378M,-51.00M,-104.70M,
2009-03,51.56M,,,,8.769M,17.46M,26.23M,26.23M,,0.676M,6.985M,0.156M,27.26M,-2.855M,-59.43M,,,-35.02M,50.58M,-5.228M,0.367M,0.367M,-0.683M,-1.33M,-6.874M,50.60M,,50.60M,0.512M,,0.512M,,-7.394M,1.168M,-85.78M,-40.89M,178.07M,2.809M,-3.369M,177.51M,0.512M,51.00M,-0.404M,
2008-12,70.87M,,,,9.125M,16.35M,25.48M,25.48M,,,8.057M,10.32M,19.18M,3.429M,-3.66M,,3.281M,22.23M,128.90M,-9.26M,,1.746M,-2.829M,-2.145M,-12.49M,-489.35M,10.17M,-479.18M,351.89M,,351.89M,,-6.494M,0.987M,49.36M,-83.43M,156.27M,32.98M,-11.18M,178.07M,351.89M,-430.00M,-49.18M,
2008-09,71.75M,,,14.28M,8.585M,18.01M,26.59M,26.59M,,,22.85M,22.85M,-5.517M,-12.16M,10.19M,6.452M,3.805M,2.777M,138.24M,-6.451M,,14.34M,-302.23M,-1.813M,-310.49M,334.38M,-10.17M,240.14M,-7.782M,,-7.782M,,-6.486M,10.05M,-48.30M,187.63M,146.19M,15.38M,-5.292M,156.27M,-7.782M,1.243B,-918.79M,
2008-06,75.67M,,,1.231M,8.196M,17.06M,25.25M,25.25M,,,,,,,,-6.452M,,-6.452M,95.70M,-7.956M,,-7.956M,-22.07M,-1.438M,-31.47M,,,-70.22M,5.189M,,5.189M,,-6.479M,,2.845M,-68.66M,151.20M,-4.427M,-0.587M,146.19M,5.189M,,,
2008-03,63.58M,,,-15.51M,7.994M,15.53M,23.52M,23.52M,,,,,,,,,,,71.59M,-6.38M,,-6.38M,-377.63M,-0.833M,-384.85M,,,154.29M,2.593M,,2.593M,,-6.428M,,1.932M,152.38M,308.77M,-160.87M,3.301M,151.20M,2.593M,,,
2007-12,72.23M,,,43.67M,8.245M,14.73M,22.98M,22.98M,,,,,,,,1.206M,,-42.73M,116.84M,-10.52M,,-10.52M,-0.655M,-1.743M,-12.91M,,,78.27M,4.107M,,4.107M,,-5.772M,,-0.011M,76.59M,125.93M,180.51M,2.325M,308.77M,4.107M,,,
2007-09,65.14M,,,-11.66M,7.875M,16.06M,23.93M,23.93M,,,,,,,,14.01M,,14.01M,91.42M,-6.866M,,-6.866M,-5.526M,-0.837M,-13.23M,,,-74.29M,2.317M,,2.317M,,-5.745M,,1.491M,-76.22M,120.10M,1.966M,3.861M,125.93M,2.317M,,,
2007-06,61.23M,,,-4.814M,8.029M,15.62M,23.64M,23.64M,-10.22M,,,,,,,8.625M,,8.625M,78.46M,-6.669M,,-6.669M,-31.03M,-2.433M,-40.13M,,,-4.727M,5.345M,,5.345M,,-5.745M,,4.952M,-0.175M,80.44M,38.16M,1.501M,120.10M,5.345M,,,
2007-03,51.43M,,,-27.19M,7.656M,14.97M,22.63M,22.63M,10.22M,,,,,,,,,,57.09M,-6.056M,,-6.056M,-69.74M,-0.326M,-76.12M,,,28.35M,5.257M,,5.257M,,-5.692M,,1.444M,29.36M,69.48M,10.33M,0.636M,80.44M,5.257M,,,
2006-12,56.73M,,,43.39M,8.307M,13.41M,21.72M,21.72M,,,,,,,,-4.506M,,-28.24M,109.00M,-8.606M,,-8.606M,-248.73M,-1.004M,-258.34M,,,169.52M,9.002M,,9.002M,,-5.111M,,4.529M,177.94M,40.88M,28.60M,-0.003M,69.48M,9.002M,,,
2006-09,50.81M,,,-10.80M,7.705M,13.16M,20.86M,20.86M,,,,,,,,-13.10M,,-13.10M,47.78M,-6.74M,,-6.74M,-39.94M,-0.513M,-47.19M,,,-14.53M,13.26M,,13.26M,,-5.102M,,-7.172M,-13.55M,53.38M,-12.97M,0.462M,40.88M,13.26M,,,
2006-06,48.09M,,,-22.86M,7.303M,13.15M,20.45M,20.45M,-10.36M,,,,,,,13.10M,,13.10M,48.43M,-7.035M,,-7.035M,-57.62M,0.04M,-64.61M,,,1.188M,,,,,-5.143M,,5.035M,1.08M,67.16M,-15.10M,1.331M,53.38M,,,,
2006-03,37.69M,,,-9.726M,6.624M,12.38M,19.01M,19.01M,10.36M,,,,,,,,,,57.33M,-9.772M,,-9.772M,-5.838M,-0.91M,-16.52M,,,-30.51M,,,,,-5.046M,,8.379M,-27.18M,53.12M,13.63M,0.408M,67.16M,,,,
2005-12,50.41M,,,-20.33M,7.622M,10.87M,18.49M,18.49M,,,,,,,,,4.138M,52.48M,105.38M,-8.703M,,-8.703M,-148.85M,-0.16M,-157.71M,,,29.86M,15.69M,,15.69M,,-4.558M,,-13.12M,27.87M,79.10M,-24.47M,-1.513M,53.12M,15.69M,,,
2005-09,39.19M,,,17.21M,7.107M,11.03M,18.14M,18.14M,,,,,,,,,,,74.54M,-5.559M,,-5.559M,-3.711M,0.586M,-8.684M,,,-54.91M,,,,,-4.561M,,4.339M,-55.13M,68.40M,10.73M,-0.03M,79.10M,,,,
2005-06,35.56M,,,3.118M,6.255M,10.71M,16.96M,16.96M,,,,,,,,,7.116M,7.116M,62.76M,-5.438M,,-5.438M,-124.85M,-0.632M,-130.92M,,,41.30M,-4.299M,,-4.299M,,-4.525M,,8.785M,41.26M,98.22M,-26.90M,-2.925M,68.40M,-4.299M,,,
2005-03,28.01M,,,,7.429M,10.30M,17.73M,17.73M,,,,,,,,,-7.116M,-7.116M,38.62M,-5.062M,,-5.062M,-52.52M,-0.968M,-58.55M,,,-8.407M,4.299M,,4.299M,,-4.507M,,,-8.615M,129.42M,-28.54M,-2.649M,98.22M,4.299M,,,
2004-12,24.79M,,,-2.666M,4.823M,6.737M,11.56M,11.56M,,,,,,,,,8.097M,28.62M,63.27M,-4.033M,,-4.033M,-589.29M,-1.59M,-594.91M,,,258.32M,310.33M,,310.33M,,-3.523M,,-10.88M,554.26M,102.42M,22.61M,4.391M,129.42M,310.33M,,,
2004-09,27.38M,,,-1.98M,4.592M,5.624M,10.22M,10.22M,,,,,,,,,,,35.62M,-2.983M,,-2.983M,-0.35M,-2.214M,-5.547M,,,-4.202M,0.00,,0.00,,-3.574M,,4.693M,-3.083M,74.73M,26.99M,0.695M,102.42M,0.00,,,
2004-06,23.55M,,,4.646M,4.367M,5.54M,9.907M,9.907M,,,,,,,,,2.255M,2.255M,40.36M,-2.579M,,-2.579M,-39.47M,-0.824M,-42.87M,,,-4.972M,0.00,,0.00,,-3.562M,,3.521M,-5.013M,82.36M,-7.527M,-0.097M,74.73M,0.00,,,
2004-03,18.13M,,,,4.478M,5.226M,9.704M,9.704M,,,,,,,,,-2.255M,-2.255M,25.58M,-2.546M,,-2.546M,-12.04M,-0.483M,-15.07M,,,-25.78M,28.87M,,28.87M,,-3.542M,,2.662M,2.213M,70.23M,12.72M,-0.602M,82.36M,28.87M,,,
