,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,42.03B,42.03B,12.18B,,12.18B,,54.21B,,,,624.10M,47.53B,,50.68B,64.10B,,,2.694B,,2.694B,2.694B,,,,,2.694B,5.396B,5.396B,,,20.27B,13.44B,,39.10B,47.06B,,,,,,,,,,,17.04B,,AOR,
2020-09,90.10M,40.98B,41.07B,12.56B,,12.56B,463.40M,54.10B,1.182B,452.70M,185.50M,638.20M,45.76B,,48.33B,62.89B,,5.406B,,,5.406B,5.406B,499.70M,,499.70M,499.70M,5.906B,4.896B,4.896B,213.90M,213.90M,19.59B,14.20B,0.00,38.90B,44.80B,,1.080B,14.43B,1.629B,,493.90M,,,950.60M,950.60M,18.09B,,AOR,
2020-06,108.00M,39.43B,39.53B,11.21B,,11.21B,361.30M,51.11B,1.190B,452.70M,199.70M,652.40M,43.78B,,46.38B,59.41B,,5.576B,,,5.576B,5.576B,499.60M,,499.60M,499.60M,6.076B,4.895B,4.895B,197.10M,197.10M,18.51B,13.06B,0.00,36.66B,42.74B,,1.079B,13.00B,1.614B,,493.90M,,,975.00M,975.00M,16.67B,,AOR,
2020-03,369.50M,36.80B,37.17B,7.568B,,7.568B,438.20M,45.18B,1.215B,452.70M,213.80M,666.50M,40.34B,34.60M,42.95B,56.27B,,5.346B,,,5.346B,5.346B,499.50M,,499.50M,499.50M,5.846B,4.894B,4.894B,,,18.31B,12.64B,225.60M,36.07B,41.91B,,1.079B,11.27B,1.602B,,493.90M,,,404.20M,404.20M,14.35B,,AOR,
2019-12,226.20M,34.91B,35.14B,7.507B,,7.507B,626.50M,43.27B,1.214B,452.70M,228.30M,681.00M,39.25B,0.00,41.92B,54.90B,,5.963B,,,5.963B,5.963B,499.40M,,499.40M,499.40M,6.462B,3.908B,3.908B,132.50M,132.50M,18.11B,12.39B,225.60M,34.76B,41.22B,,1.078B,10.68B,1.573B,,493.90M,,,341.70M,341.70M,13.67B,,AOR,
2019-09,45.90M,34.28B,34.33B,7.687B,,7.687B,458.80M,42.47B,1.214B,452.70M,242.90M,695.60M,38.57B,0.00,41.24B,54.01B,,5.223B,,,5.223B,5.223B,499.30M,,499.30M,499.30M,5.722B,3.907B,3.907B,136.00M,136.00M,17.37B,12.53B,222.90M,34.16B,39.88B,,1.078B,11.00B,1.539B,,493.90M,,,510.50M,510.50M,14.12B,,AOR,Restated
2019-06,91.90M,32.55B,32.64B,7.167B,,7.167B,338.00M,40.15B,1.175B,452.70M,258.70M,711.40M,36.81B,0.00,39.44B,51.32B,,4.868B,,,4.868B,4.868B,499.20M,,499.20M,499.20M,5.367B,3.907B,3.907B,134.50M,134.50M,16.57B,11.80B,220.10M,32.63B,37.99B,,1.078B,10.28B,1.523B,,493.90M,,,453.10M,453.10M,13.33B,,AOR,Restated
2019-03,158.00M,30.41B,30.56B,7.190B,,7.190B,446.70M,38.20B,1.127B,452.70M,276.70M,729.40M,34.51B,0.00,37.04B,48.85B,,4.594B,,,4.594B,4.594B,,,,,4.594B,4.405B,4.405B,38.50M,38.50M,15.88B,11.60B,221.20M,32.15B,36.74B,,1.078B,9.358B,1.497B,,493.90M,,,178.10M,178.10M,12.11B,,AOR,Restated
2018-12,69.50M,29.91B,29.98B,6.497B,,6.497B,309.70M,36.78B,1.132B,452.70M,294.60M,747.30M,33.57B,43.20M,35.81B,46.58B,,5.046B,,,5.046B,5.046B,499.10M,,499.10M,499.10M,5.546B,3.906B,3.906B,,,15.40B,10.69B,214.50M,30.21B,35.75B,,1.077B,8.387B,1.479B,,493.90M,,,-120.90M,-120.90M,10.82B,,,Restated
2018-09,121.90M,28.45B,28.57B,6.777B,,6.777B,379.60M,35.73B,1.139B,452.70M,312.60M,765.30M,32.35B,,34.65B,45.54B,,3.924B,,,3.924B,3.924B,,,,,3.924B,3.860B,3.860B,53.50M,53.50M,14.62B,11.01B,217.40M,29.76B,33.68B,,1.077B,9.602B,1.443B,,493.90M,-249.90M,0.00,-13.80M,-263.70M,11.86B,,AOR,Restated
